,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,tone,cubcol.0,cubcol.0.5,movement,blur,blockiness,uhdhdsim,temporal,cubcol.1.0,cubrow.1.0,cubrow.0,cubrow.0.3,staticness,saturation,cubcol.0.3,cubrow.0.5,fft,color_fulness,cubrow.0.6,cubcol.0.6,contrast,noise
0,300,66.5328,17.5398,48,0.0,0,130,126,4,128,4,0.99919,67.97094,0.0,0.0,9.5,8.535,0.0,0.0,0.0,128.0,59.64326,0.0,0.42,1.61,0.0,0.295438,0.773687843137255,0.16533414636757418,0.22274708947322305,0.0,38418.71544527252,1.432737979382984,95.76124392020023,0.0,0.16331527160658543,0.2794672358260864,0.12278525972908795,0.24199809366559236,331.1617256662347,16.071562778802566,0.20537420297215708,0.24359653314455468,64632.242949937005,137.57985664753082,0.27444727767446536,0.2021248096665614,88.35945152949898,0.3540979684953542
1,301,66.4044,17.9416,48,19.3744,0,130,126,4,128,4,1.00176,67.83002,0.0,0.0,8.57143,8.542,15.15674,0.0,0.0,129.0,59.59129,0.0,0.42,1.774,-1.0,0.28555,0.773687843137255,0.14673470651857715,0.19974808654619639,11.781828703703704,38243.409394777336,1.7553242702535452,95.7843011655786,6.163078520036541,0.15507779218044782,0.2685891862659766,0.11618578115038208,0.24014657892299582,330.6068811827599,16.101972980263792,0.19615887595718384,0.23566749335478795,64578.63677618483,137.8597641677967,0.2674344064195247,0.19010661224412076,92.30247830474677,0.35409796849535563
2,302,66.5661,17.6781,48,20.1802,0,130,126,4,128,4,1.00155,67.92551,0.0,0.0,8.57143,8.51,15.49904,0.0,0.0,129.0,59.5607,0.0,0.42,1.824,-1.0,0.275082,0.7750568627450981,0.14183626498260124,0.1914093592290647,12.014467592592593,38435.10016632864,1.6127265121405157,95.76890347186328,6.192771206811003,0.1489137494218665,0.258003371145153,0.11180433071993562,0.24027242886347872,329.90180143574236,16.14083316002363,0.19171009803075517,0.2302849199973228,64456.034293056815,137.87219906535034,0.26816009845922856,0.17861305937951621,92.3415596948737,0.35409796849535397
3,303,66.4199,17.8916,48,19.1666,0,130,126,4,128,4,1.00329,67.83091,0.0,0.0,9.32143,8.527,15.27912,0.0,0.0,130.0,59.4747,0.0,0.42,1.656,-1.0,0.264027,0.773687843137255,0.1380952192473101,0.18954805273172556,11.102382330246913,38261.02212251298,2.241353314480365,95.7818986236901,6.169640786289066,0.14820745619888018,0.2524309281557046,0.10821941990269904,0.2372489978771851,328.8546418222658,16.053770277235245,0.18996912131933302,0.22868923812273406,64516.910386231706,138.76673612462332,0.271596570559743,0.1783138724742023,90.94660346167639,0.35409796849535463
4,304,66.6555,17.9551,48,19.4868,0,130,126,4,128,4,1.00467,67.97226,0.0,0.0,7.10714,8.522,15.45888,0.0,0.0,130.0,59.46643,0.0,0.42,1.752,-1.0,0.278045,0.7745588235294119,0.1337647681352915,0.18952637499647265,10.424768518518519,38625.515705264734,2.1769572580616536,95.77367742111527,6.174024990813639,0.14645724156096862,0.2512737738662665,0.1058871970209512,0.2309602273196636,327.67349009857486,16.07288520718798,0.1883434452885866,0.22346665478279426,64441.1266531428,138.83026342104054,0.2763796113845883,0.17615442675248855,90.97449163209858,0.3540979684953547
5,305,66.4731,17.0813,48,19.4859,0,130,126,4,128,4,0.99862,67.84567,0.0,0.0,9.92857,8.491,15.50974,0.0,0.0,130.0,59.41366,0.0,0.42,1.724,-1.0,0.256011,0.7734917647058824,0.13180210569409526,0.19079868947939443,9.707224151234568,38339.92589272763,2.052170481788369,95.78074949426036,6.185464641647879,0.14563201277906662,0.25026523091979824,0.10445643700777092,0.2249693322873889,326.5001527900599,16.074727564682195,0.1880920644224365,0.21594144319659794,64467.1294703469,138.99831963118484,0.2777594445257869,0.17485190040814433,92.18576227044687,0.35409796849535474
6,306,66.5698,17.0307,48,19.1807,0,130,126,4,128,4,0.99949,67.96385,0.0,0.0,10.10714,8.517,14.76098,0.0,0.0,130.0,59.39577,0.0,0.42,1.784,-1.0,0.240722,0.775123568627451,0.13074091358503653,0.1935373915476145,8.704378858024691,38568.653545270055,1.555255241404417,95.77361324948927,6.117860382811972,0.14565067059061718,0.2504558850408425,0.1056850206542792,0.21976143877509374,325.4237460108454,16.12930787639853,0.18851887853010835,0.21151726335875387,64582.151758629094,139.47318132396285,0.2775171758424822,0.17523424912418123,92.43166019402538,0.3540979684953581
7,307,66.41,17.199,48,19.3805,0,130,126,4,128,4,0.99631,67.77022,0.0,0.0,10.5,8.512,14.71678,0.0,0.0,130.0,59.35455,0.0,0.41,1.622,-1.0,0.241644,0.7748643137254903,0.12994144740276778,0.19475572667847246,8.221788194444445,38270.94678563517,1.5343454473522526,95.78590303196698,6.099727257382475,0.14441765612349952,0.24975029679535873,0.1065111591464618,0.216935660299669,324.3129278462094,16.1178628427011,0.18838269316421735,0.20840115504156026,64570.85278654804,139.51523867971693,0.27696349477847865,0.17420796812050424,90.83353798364317,0.3540979684953563
8,308,66.435,17.3319,48,18.9644,0,130,126,4,128,4,1.00052,67.79077,0.0,0.0,7.71429,8.503,14.86453,0.0,0.0,130.0,59.32871,0.0,0.42,1.66,0.27392,0.244256,0.775369411764706,0.1294979478468685,0.19651608695751122,8.013792438271604,38401.2397488486,1.686930302967042,95.78273774326743,6.115150771828227,0.14352039818280918,0.25132618972048554,0.10778069713922346,0.2153269178329661,323.1830480423667,16.117823282877605,0.18828424276086175,0.20474001134298933,64624.151778133,139.62444185383796,0.2759358754125261,0.17528546286966187,92.47454054720654,0.35409796849535624
9,309,66.3643,17.6673,48,19.4039,0,130,126,4,128,4,1.00307,67.65948,0.0,0.0,11.71429,8.538,14.98319,0.0,0.0,131.0,59.29953,0.0,0.42,1.719,-1.0,0.246414,0.7751243137254903,0.12956119926158735,0.19802026869781622,7.886429398148148,38152.88973853279,1.5435143027936764,95.79639874771844,6.125171522226747,0.1422588693905366,0.2519280777880093,0.10850681057027219,0.21257859429233142,322.02923238924495,16.092692810812114,0.18870935466216807,0.2019405740675633,64504.57425282137,140.1717120937367,0.27441148572043356,0.1743352009499211,92.50988058439229,0.3540979684953547
