,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0,cubcol.1.0,cubrow.0,cubrow.1.0,cubrow.0.3,blockiness,uhdhdsim,saturation,noise,contrast,temporal,cubcol.0.3,cubrow.0.6,blur,staticness,movement,tone,color_fulness,cubcol.0.6,cubrow.0.5,cubcol.0.5,fft
0,400,79.8322,22.3433,75,0.0,0,119,120,25,134,24,0.97963,78.42677,0.0,0.0,2.46429,2.822,0.0,0.0,0.0,126.0,34.17971,0.00914,2.54,1.813,0.0,1e-05,0.0889994216538548,0.15443320069008917,0.3628621428107756,0.3237427694792142,0.48446096206597306,2.618015614583924,80.8981854478088,41.727479722764755,2.346859301526468,86.99906314302204,0.0,0.13260914779615726,0.14707021665459036,77975.35091142303,558.3986888696191,0.0,0.552868294117647,95.25641063443862,0.17788807657606043,0.09850636216202777,0.22100534924679507,76003.1735673065
1,401,80.4501,22.3802,75,32.2522,0,119,120,25,134,24,0.9898,79.03272,0.0,0.0,2.60714,2.817,19.3876,0.0,0.0,126.0,34.336,0.00912,2.53,1.89,-1.0,1.2e-05,0.07042923643032031,0.11936920700854377,0.34244229146064636,0.2632728999097406,0.4500215274408368,2.5423214182166243,80.86834467921679,41.89871423038436,2.3331185525460536,89.10148804177719,7.018157208768971,0.10260093494814553,0.13534639574736532,80319.30612279812,549.5953937747637,10.55492862654321,0.5557525490196079,95.14812725485326,0.140504618043932,0.08734720840031233,0.177430466166871,75913.45536629469
2,402,81.0669,22.2785,76,32.9128,0,119,120,25,134,25,0.97878,79.63079,0.0,0.0,2.85714,2.828,19.42302,0.0,0.0,126.0,34.54119,0.00909,2.54,1.79,-1.0,1.2e-05,0.06567264278019908,0.11085981887230865,0.330119704982075,0.25833925251047984,0.4336318500777422,2.3769214266223133,80.81791185982411,41.98093706295814,2.3451562773974506,91.121255976165,7.0049953241055585,0.09516375336237769,0.12612946122596042,82850.65170608864,542.3153486393711,9.627748842592593,0.5589396078431372,95.06779930455579,0.1352212943959412,0.08377844542796453,0.16899359765117256,76223.1673733167
3,403,80.9892,22.1817,76,33.7357,0,119,120,25,134,25,0.97642,79.54492,0.0,0.0,1.5,2.833,19.3372,0.0,0.0,126.0,34.62195,0.00939,2.51,1.766,-1.0,0.000333,0.06351949737648865,0.10514749582144518,0.3242507217408961,0.2595382928344121,0.42128645342723336,2.222240126094807,80.82393870290832,42.155387030707466,2.3369595935251093,88.69231195807296,6.997948458831263,0.0920378673762474,0.11861400417249884,83381.10424093729,536.2455750925186,8.646074459876543,0.5608237843137255,94.8328198317906,0.1397613543547339,0.08093607378796201,0.16022732569681775,76720.03795454522
4,404,80.7409,22.1959,76,32.6467,0,119,120,25,134,25,0.97032,79.36257,0.0,0.0,2.57143,2.797,19.26438,0.0,0.0,126.0,34.5772,0.00899,2.54,1.788,-1.0,0.000381,0.061838071475230474,0.10295251153348704,0.32107713520934833,0.2460008936206978,0.415943196739815,2.5942395385944566,80.77274324033777,42.25755027488426,2.3478885053549114,86.38872072066647,7.007400016849472,0.09056534023408352,0.12324595241050491,82925.30481571998,530.965546406177,7.907021604938271,0.5611639215686275,94.26151555278047,0.1450200569196817,0.07888562281165061,0.15303473057595132,76251.0129343999
5,405,81.4034,22.0686,76,32.5495,0,119,120,25,134,25,0.97393,79.99228,0.0,0.0,1.96429,2.773,19.27604,0.0,0.0,126.0,34.57753,0.00948,2.54,1.82,-1.0,0.000517,0.060971006770912384,0.10039898661038242,0.31735957446212615,0.23170414452227742,0.41424384645436185,2.652915700859373,80.67255438654615,42.341141877350985,2.334741967481882,88.06415846714427,7.009378867197111,0.08823111402579208,0.12788213139513627,84421.39978391271,526.2130405616576,7.515817901234568,0.5615796274509803,94.22552063803015,0.15014763408750215,0.07769662450609066,0.14675289151237084,76674.8245913095
6,406,80.8955,21.9983,75,32.0116,0,119,120,25,134,24,0.98392,79.49319,0.0,0.0,0.71429,2.775,19.15138,0.0,0.0,126.0,34.49778,0.00962,2.53,1.812,-1.0,0.000546,0.060288544402560165,0.10134844020843171,0.31395395385066666,0.22336238591977386,0.4175859378310864,1.8662545966592197,80.6837949425696,42.473183902693386,2.342424049440007,91.82056352356261,7.010688912953406,0.08653082175995729,0.12539751592706427,84252.07547837493,522.1116012686941,7.111979166666667,0.5590423725490195,93.92701814746745,0.15313421204411035,0.07927685157595626,0.1430743061900944,77102.07214773151
7,407,80.7564,21.7009,75,30.5222,0,119,120,25,134,25,0.9779,79.36437,0.0,0.0,1.78571,2.75,19.07933,0.0,0.0,126.0,34.40862,0.00948,2.52,1.759,-1.0,0.000658,0.05924099086473398,0.09918701299688923,0.3103036975385983,0.21281366872038254,0.4141459815768737,2.122955978365518,80.6139229629338,42.55539166485821,2.3325243414386514,89.20852843646314,7.033362222747994,0.08553208825046109,0.12468602551919164,82334.6998274415,518.3734014093882,7.00733024691358,0.5569525490196078,93.71132512079707,0.1534421430365656,0.07993517553536302,0.13727140379730138,77409.6655842067
8,408,81.5048,21.9362,76,32.3912,0,119,120,25,134,25,0.98258,80.13906,0.0,0.0,1.89286,2.729,18.82173,0.0,0.0,126.0,34.38357,0.00992,2.54,1.845,0.12976,0.000452,0.05869279280919187,0.09805546743078804,0.3082219868496454,0.20775224844079135,0.41097738860002175,2.377213594551314,80.501598232952,42.619556379906925,2.3252772522015657,91.79293477882246,6.9999954760052985,0.08494956221127493,0.12194364879238603,83916.5825699988,515.0611081188559,6.46826774691358,0.5551094117647059,93.5025318254579,0.15773547092313628,0.08072249736573565,0.13130712266007408,77407.00346212332
9,409,80.927,22.5133,75,33.2307,0,119,119,25,134,25,0.98282,79.59008,0.0,0.0,1.28571,2.719,19.02823,0.0,0.0,125.0,34.2484,0.00998,2.52,1.756,-1.0,0.00051,0.0583814872719287,0.09678601210562608,0.3046955814144596,0.20454959265849537,0.4109719086911682,1.662462132555669,80.54494318330566,42.63711773907697,2.331495137610219,90.37977170436292,6.990362737358175,0.08427385209943622,0.12114411530932861,82177.09796109064,511.7620097363942,6.191840277777778,0.552555294117647,93.21581227199697,0.1584973329089096,0.08247555666838789,0.12713240855887775,76843.19780218821
