,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,color_fulness,cubrow.0,cubcol.0,cubrow.0.3,temporal,cubcol.0.3,noise,saturation,cubcol.0.6,cubcol.1.0,contrast,blur,cubrow.1.0,movement,uhdhdsim,fft,cubrow.0.6,tone,cubrow.0.5,staticness,cubcol.0.5
0,100,22.3682,17.7176,10,0.0,0,120,116,3,138,6,0.99444,20.72139,0.0,0.0,13.17857,11.072,0.0,0.0,0.0,119.0,29.15319,0.0,0.28,5.15,0.0,6.281328,0.6031226485544309,74.61140841762088,0.015500580598954736,0.04738052601589503,0.0838493844100227,0.0,0.1438209106543652,0.13566751892005532,51.281801011827255,0.038916691896493986,0.032089799453766166,88.4779299616055,2437.4962812556228,0.09653716005132904,0.0,103.38347095671004,60752.58884024351,0.10047883116733489,0.4346713725490197,0.07682553551277659,592.8185070458819,0.07112723324873303
1,101,21.7374,17.3497,10,17.8273,0,121,116,3,138,6,0.99825,20.11013,0.0,0.0,12.75,11.395,15.20901,0.0,0.0,106.0,28.63984,0.0,0.28,6.173,-1.0,6.364132,0.697509214742677,73.92165082353793,0.011384888783448559,0.04241324835123493,0.06326040175757505,4.775596508967325,0.12572197455243156,0.13566751892005316,51.118558342074174,0.039289654770978205,0.03410266073783433,88.08765058776657,2301.4991085042316,0.07374143459408661,9.66970486111111,103.49316517169743,60636.09872880556,0.07089529547808573,0.429183137254902,0.05310600700770523,580.2740232165818,0.06609615361574996
2,102,21.7613,17.3401,9,17.1985,0,121,116,3,138,6,0.99625,20.07718,0.0,0.0,12.17857,11.474,14.89099,0.0,0.0,103.0,28.42122,0.0,0.28,6.104,-1.0,6.268466,0.7481474180538646,73.96966104063969,0.010330747263391693,0.0344804423895844,0.0602886545779575,4.789395009695815,0.11953012143207947,0.13182647794099045,50.9045805754485,0.038073103454735975,0.03517778584080016,87.13236283245644,2480.9886578703104,0.0631014398849215,8.962143132716049,103.48435339641489,60597.16892264203,0.058862907977267384,0.42775960784313727,0.04675394191046055,569.0947716918105,0.0635590722906308
3,103,23.1603,17.091,9,15.2437,0,121,116,3,137,6,0.99904,21.25337,0.0,0.0,12.21429,10.591,14.88478,0.0,0.0,101.0,28.43053,0.0,0.28,4.455,-1.0,6.154422,0.8098627811429925,74.53561118112512,0.009844967348415612,0.03185095110391458,0.0600447977296556,4.789216983180611,0.11402867411988764,0.13566751892005222,50.75848087263696,0.03696482937274619,0.03404421144806838,89.44780227815966,3252.2338023795915,0.05653533304585138,8.02517361111111,103.22034993495748,60641.472748925815,0.05964253899444013,0.42579019607843127,0.044721172814044065,558.5393411629269,0.062354661007212375
4,104,23.9338,16.9341,9,14.5397,0,121,116,3,137,6,0.99566,21.92596,0.0,0.0,14.14286,10.482,14.67328,0.0,0.0,99.0,28.43535,0.0,0.27,6.651,-1.0,6.107684,0.7850013805728118,75.20524822637863,0.009541384505457662,0.029426214184564682,0.05870817484239537,4.78051930657486,0.11771244241246653,0.1356675189200529,50.558547785252706,0.03722891662575163,0.034219565418702254,87.28270254837415,3616.9065059725554,0.05189365817408906,7.274402006172839,103.10364507686275,60834.375987254956,0.058249852052065135,0.4249996078431373,0.04537213149211384,548.257038672296,0.060138734533136826
5,105,24.0584,16.8183,9,13.8654,0,121,116,3,137,6,1.01161,22.0611,0.0,0.0,12.67857,10.63,14.54473,0.0,0.0,99.0,28.26548,3e-05,0.27,4.731,-1.0,6.128123,0.7331230883093373,74.6375691480399,0.009176086968994754,0.030178237775852306,0.05793704637490191,4.760867941303009,0.1165336573255217,0.135667518920053,50.46603186336564,0.03761803757622816,0.03434861515655981,86.94777009037001,3680.046271967817,0.050451363670953236,5.980902777777778,103.07418829207077,60836.20101165388,0.06001378160615817,0.423453725490196,0.047245820318700775,538.2397772507369,0.059140600625811605
6,106,24.16,17.5754,9,14.5655,0,121,116,3,137,6,1.01063,22.15245,0.0,0.0,14.0,10.589,14.45152,0.0,0.0,99.0,28.06203,0.0,0.28,5.303,-1.0,6.170848,0.86522445183289,74.15489494285777,0.009011846011047531,0.030972637530217687,0.057558962997094884,4.712918548097128,0.11689551969205968,0.1356675189200521,50.30413780683352,0.04053398023001154,0.03390715039950741,89.07493589438474,3607.1377409073853,0.048474556255651405,5.5483217592592595,103.09489664706751,60896.07458947659,0.05760509747006397,0.4224847058823529,0.04569805747680717,528.2579566289756,0.059898052930149534
7,107,24.3657,18.4227,10,15.0066,0,121,116,3,137,6,1.0035,22.36029,0.0,0.0,16.14286,10.699,15.09575,0.0,0.0,100.0,27.96413,0.0,0.28,7.601,-1.0,6.209087,0.8480735497564802,73.54896897454937,0.008856425322621117,0.03127957737924953,0.058162129735363444,4.717538782495789,0.11471961563597337,0.13566751892005421,49.95379544481819,0.04132377517040299,0.03320091434847677,88.925641979,3496.0468898533354,0.04837045599744988,5.678578317901234,103.07573936831795,60832.46617512519,0.05548865720092675,0.4225223529411765,0.04362825307011983,518.4795450572245,0.06622368883707026
8,108,24.3338,19.0043,10,15.4545,0,121,116,3,137,6,1.01336,22.38959,0.0,0.0,12.17857,10.986,15.82323,0.0,0.0,102.0,28.24539,1e-05,0.27,5.887,0.50077,6.245308,0.9636503801474717,74.47214851515314,0.0087260426603169,0.034349967138539154,0.05865014867183608,4.7421980136882524,0.11079363125524906,0.1356675189200549,49.76873044614439,0.04364889879219899,0.0321091320767549,87.28412313475675,3299.4777608929653,0.04734589901352859,5.858169367283951,103.08001930767355,60955.586217159864,0.05419655825808781,0.42637568627450984,0.042870005100331066,508.52269344729945,0.07226775393566344
9,109,25.0542,19.48,10,17.2233,0,121,116,3,137,6,0.98864,23.07606,0.0,0.0,14.14286,10.883,16.33087,0.0,0.0,103.0,28.79476,0.0,0.28,4.904,-1.0,6.221514,1.226275939755642,76.37414521267117,0.008604725607410255,0.03569585544909156,0.05968636794131788,4.858816687356856,0.10736309007254058,0.13566751892005605,49.6049313015408,0.04826441060238748,0.03156507592981581,88.47757129907365,3456.180502007543,0.04796808696351744,6.446228780864198,102.95632432983182,60870.21024344538,0.05254303476711904,0.43593098039215694,0.043073128693877104,498.2076113383882,0.07676192744946488
