,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,saturation,cubrow.1.0,cubrow.0.5,cubrow.0.3,cubrow.0.6,cubcol.0.5,cubcol.0,cubrow.0,cubcol.1.0,fft,temporal,blur,blockiness,staticness,uhdhdsim,color_fulness,tone,noise,contrast,cubcol.0.6,movement,cubcol.0.3
0,300,65.2431,16.798,42,0.0,0,130,126,3,128,3,0.99919,63.87846,0.0,0.0,9.53571,8.442,0.0,0.0,0.0,130.0,58.96661,0.0,0.3,1.891,0.0,1.292805,15.617867740584007,0.2605889661358971,0.2322520160276037,0.22894146115187486,0.26456180867235846,0.21505942686858792,0.1513951761391677,0.11289628949264496,0.13644825765420524,63714.33240367838,0.0,34102.22981654441,1.3383888127155832,322.72604699660724,96.39967576547582,136.17269447985646,0.755241568627451,0.26143532983875534,92.36632477521337,0.19013333920717462,0.0,0.19597427862048228
1,301,65.1325,17.2481,42,18.974,0,130,126,3,128,3,1.00183,63.75535,0.0,0.0,9.71429,8.456,14.48962,0.0,0.0,129.0,58.91596,0.0,0.3,1.979,-1.0,1.265284,15.634703836323302,0.25232976267545953,0.22521291842780522,0.22400494195525625,0.25678585153632394,0.19320274746109944,0.1311012080923489,0.10738801101580446,0.13210815334434056,63704.34456382041,5.332680398038444,33925.24932708717,1.311130532011999,322.3890215888472,96.42499513843597,136.36472723408025,0.7559848431372547,0.26143532983875545,92.02427148775877,0.18090270840163108,10.427903163580247,0.18347248568009197
2,302,65.303,16.9283,42,19.7964,0,130,126,3,128,3,1.00079,63.87636,0.0,0.0,10.46429,8.41,14.88206,0.0,0.0,130.0,58.88581,0.0,0.3,1.826,-1.0,1.314527,15.674260645736881,0.2422542633652475,0.22108085399828778,0.22373148235893667,0.25603759071530097,0.1845827950964668,0.12940781655283085,0.10063817043829591,0.12564752234061008,63545.220592070895,5.358149534004734,34147.75620098078,1.7037374401061065,321.93933760989466,96.42579440614583,136.56735881729952,0.7557168627450981,0.26143532983875556,92.26534456792353,0.16767941317106308,10.548080632716049,0.18122022560144926
3,303,65.1325,17.1379,42,19.0694,0,130,126,3,128,3,1.00353,63.74952,0.0,0.0,11.57143,8.448,14.6093,0.0,0.0,131.0,58.79359,0.0,0.3,1.957,-1.0,1.271241,15.57619203167197,0.2361529636988689,0.2193227792950529,0.21837499783286773,0.2595882054004236,0.18375226554674454,0.12419180113551863,0.10019559013327074,0.1272529094764317,63568.373758566006,5.345969024022938,33883.691533329365,1.4314293549431634,321.27156343167655,96.42351342277763,137.4887860291484,0.7549509803921568,0.26143532983875745,90.24301886832185,0.168708501270592,9.747010030864198,0.17924057495093454
4,304,65.4909,17.2444,42,19.0905,0,130,126,3,128,3,1.00479,64.00243,0.0,0.0,10.42857,8.414,14.78435,0.0,0.0,132.0,58.7925,0.0,0.3,1.893,-1.0,1.372127,15.599503693757233,0.23554287443155075,0.215047595540544,0.2121965490976458,0.2639897303821088,0.1831938347135732,0.12053675850040531,0.09770276884282096,0.1263177358833082,63460.36120313745,5.353126790501528,34464.54542513056,1.5871240054846387,320.48279614490536,96.40693374584659,137.7222194064252,0.7554490196078432,0.26143532983875484,91.46403296161714,0.16586003665462173,9.236689814814815,0.17762757185519198
5,305,65.2103,16.3459,42,19.209,0,130,126,3,128,3,0.999,63.77846,0.0,0.0,12.96429,8.409,14.87542,0.0,0.0,132.0,58.73035,0.0,0.3,1.841,-1.0,1.273131,15.610527321144389,0.2342666537587288,0.2072779647829912,0.20597571146217744,0.26525497556329475,0.1844882135952996,0.11804974622771426,0.0968066929316361,0.12712943630640297,63490.97007516319,5.356333132208973,34067.18715692966,2.1433100226171393,319.71772467142904,96.41020310003854,137.76496642815184,0.7554490196078432,0.2614353298387538,92.09460906960784,0.16416737862093422,8.658371913580247,0.17723613702949556
6,306,65.3123,16.3718,42,19.0205,0,130,126,3,128,3,0.99878,63.88577,0.0,0.0,13.28571,8.449,14.10561,0.0,0.0,130.0,58.71709,0.0,0.29,1.735,-1.0,1.304392,15.657525144977333,0.23496868129032877,0.2031634630594896,0.20102113276283726,0.26524028282616297,0.18770755563634398,0.11752626625333558,0.09749308810840261,0.1280118040905148,63555.81327080478,5.289346072409518,34207.66463904108,1.4872069858792307,319.02539004157524,96.41350464448453,138.0464220522891,0.7561784705882353,0.2614353298387563,92.19906525544604,0.16497805471910426,7.7799961419753085,0.17926855877841785
7,307,65.1846,16.4791,42,19.1557,0,130,126,3,128,3,0.99579,63.72085,0.0,0.0,13.03571,8.441,14.12873,0.0,0.0,132.0,58.68025,0.0,0.29,1.922,-1.0,1.280934,15.642828293788579,0.23429120696346845,0.20052740746890443,0.19757413690972225,0.26462127676876324,0.18859982327137587,0.1169499894872125,0.09726614584577555,0.12782015573096808,63591.27575051384,5.282427060980416,34061.54607930361,1.4344610024442896,318.2474370693661,96.42864201097026,138.51702552616976,0.7560819607843137,0.2614353298387546,92.23546519648542,0.16328949593213143,7.421923225308642,0.179393215221326
8,308,65.1959,16.593,42,18.9504,0,130,126,3,128,3,0.997,63.71867,0.0,0.0,9.57143,8.422,14.21976,0.0,0.0,132.0,58.64452,0.0,0.3,2.19,0.46116,1.31008,15.640651749975888,0.23639298400851463,0.1965909803691774,0.1959861591747436,0.26375753030467763,0.18995200580175098,0.11703436020531627,0.09836424983162337,0.12706133961527927,63659.90124673918,5.286759505347943,34152.903808724135,1.710862880508776,317.4420650925398,96.42222589424759,138.3046164707015,0.7560819607843137,0.261435329838753,92.20183133467727,0.16434038059297815,7.249710648148148,0.17952847747588854
9,309,65.1358,16.9462,42,18.9355,0,130,126,3,128,3,1.00102,63.62445,0.0,0.0,15.46429,8.476,14.32342,0.0,0.0,132.0,58.62787,0.0,0.29,1.8,-1.0,1.353411,15.61863049165702,0.23859962913111898,0.19373283830261584,0.19315191018053107,0.2624083185283928,0.19112810826164167,0.11706693232337785,0.09833320691212491,0.1270355428657799,63544.5483187486,5.3006152464351475,33910.66726428364,2.047006495540701,316.62061943288165,96.43372355600235,139.10665858285898,0.7562972549019608,0.26143532983875334,92.24011506133503,0.16303436328481305,7.162471064814815,0.18010365073549897
