,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.6,blockiness,cubcol.0.5,cubrow.0.5,color_fulness,fft,cubcol.0.3,cubcol.0,uhdhdsim,temporal,saturation,blur,staticness,cubrow.0.3,noise,contrast,cubrow.1.0,cubcol.0.6,movement,tone,cubrow.0,cubcol.1.0
0,200,58.0259,23.4101,41,0.0,0,110,122,9,130,8,0.99878,58.05297,0.0,0.0,6.46429,5.432,0.0,0.0,0.0,125.0,42.91189,0.00032,0.32,2.438,0.0,1.722341,0.19427371913119826,5.606351619894877,0.12846492464086312,0.21559765780953016,98.2387226007979,65167.63204787205,0.08817793779193238,0.0938505730497501,94.40553662190587,0.0,30.906093267746915,24290.851454127554,323.48310814449826,0.2317862442188501,0.36237426156087643,90.8484834802704,0.12102454727157154,0.16245884898792864,0.0,0.6518870588235294,0.07034817073677475,0.15766080522437312
1,201,58.1195,23.4046,42,28.8094,0,110,122,9,130,8,1.00376,58.16971,0.0,0.0,4.39286,5.445,20.11191,0.0,0.0,125.0,42.84374,0.00039,0.33,2.351,-1.0,1.652769,0.14974255493286598,5.212297488846552,0.12119584846633222,0.15881521388422562,98.56680484502287,65231.8559831457,0.0936354239100306,0.08412184582835404,94.46250986968471,6.29418145565881,30.887073469750675,24417.007858744764,318.6282805261051,0.17083449280334667,0.362374261560878,85.60647452122132,0.09657014463084852,0.14598552991205502,13.429253472222221,0.6507631372549019,0.05016570488117258,0.13871165964732154
2,202,58.1463,23.2129,41,26.5103,0,111,122,9,130,8,0.98059,58.19397,0.0,0.0,6.71429,5.425,20.11073,0.0,0.0,125.0,42.86768,0.00043,0.32,2.231,-1.0,1.727509,0.13803983645137854,5.960151805337372,0.12142039703239901,0.14574576392851543,97.80634722439893,65088.03068697374,0.10650304205489793,0.08301913671338004,94.40747670804286,6.300926610505582,30.75125988618827,24429.952300190467,313.88557598493384,0.15602896202590133,0.3623742615608761,86.45045400085885,0.0890758895524828,0.15239037204749747,12.670524691358025,0.6513450980392158,0.04569786952706817,0.1353305273755689
3,203,58.0892,23.2385,41,22.9066,0,111,122,9,130,8,0.97536,58.15548,0.0,0.0,6.71429,5.431,19.9432,0.0,0.0,125.0,42.83278,0.00038,0.32,2.225,-1.0,1.744215,0.13059899945379225,5.185424573338443,0.11065055554353193,0.13724559772742453,96.86923766584849,65073.227620102145,0.10855808436235792,0.0833655084407688,94.37641377333028,6.276682267777927,30.79045218008536,24427.925998990577,308.4319590034074,0.14756489096703926,0.36237426156087565,90.17222193485539,0.089490409051384,0.15456032161445585,11.467158564814815,0.6512156862745098,0.04367224710912656,0.12626395267856924
4,204,57.5414,23.4089,41,25.1832,0,111,122,9,130,8,1.02107,57.61949,0.0,0.0,8.25,5.501,19.96349,0.0,0.0,125.0,42.73555,0.00044,0.32,2.431,-1.0,1.730948,0.12485016204547482,5.642952495855207,0.10351464615708571,0.1321544163074297,97.05787115582655,64893.50861519254,0.11150543195204757,0.08112159808080219,94.42108120357913,6.280179028531053,30.668326672212576,23891.657304444463,303.0262128990307,0.14192308459188846,0.3623742615608729,88.45006670288197,0.08790052230258351,0.1539036213755096,10.59350887345679,0.6495780588235279,0.0412683523539003,0.11702282285674778
5,205,56.9319,23.3554,40,25.8646,0,111,122,9,130,8,0.99764,57.0529,0.0,0.0,8.35714,5.617,20.11052,0.0,0.0,125.0,42.74429,0.00043,0.32,2.129,-1.0,1.731471,0.12232258907380791,5.019780369942211,0.0976988346057806,0.12804445631586597,97.65100696328537,64674.067890053106,0.1188063463535892,0.08647148201902574,94.58477599135858,6.290714020143537,30.68538091212143,23089.025727264143,297.9728326337654,0.1377998987121467,0.3601566355176484,89.4080593900245,0.08576482487007359,0.15699323251422492,10.09717399691358,0.6483717647058823,0.03980561863621695,0.10917757228725493
6,206,56.5294,23.2094,40,27.0858,0,111,122,8,130,8,1.04144,56.6579,0.0,0.0,6.89286,5.684,20.05698,0.0,0.0,125.0,42.6763,0.00038,0.31,2.041,-1.0,1.735942,0.12152614035260077,5.725639519001291,0.09360601289548863,0.12527971043184066,97.27547482231557,64690.29426810988,0.12545987633999542,0.0888970251336917,94.65634982748989,6.28182496651884,30.522148980034725,22783.292776740396,293.19606343361886,0.13435795392261815,0.3601566355176476,87.2773194535632,0.08550940736228657,0.1582533232171046,9.50535300925926,0.6476101960784314,0.039202460756084946,0.10264140566516619
7,207,56.2588,23.2344,40,24.3415,0,111,122,8,130,8,1.00548,56.39436,0.0,0.0,7.25,5.616,19.93367,0.0,0.0,125.0,42.56448,0.00035,0.32,2.041,-1.0,1.814572,0.1225496129368705,5.226353844370384,0.0902903073318544,0.1229684381504484,97.00519019451457,64596.93231823296,0.1278988761715281,0.09117881465794325,94.64615062329082,6.268555800774027,30.55996854805652,22499.36193933464,288.78273961439476,0.13125199500605889,0.3601566355176449,91.14328377786413,0.08618336371836527,0.15441684445087908,9.027970679012345,0.6471121568627453,0.0381612065158973,0.0992885449559895
8,208,56.1778,23.4286,40,23.0282,0,111,122,8,130,8,1.03586,56.25799,0.0,0.0,6.39286,5.7,19.95527,0.0,0.0,125.0,42.58185,0.00034,0.32,1.967,0.36626,1.787209,0.12314208443136151,4.011283676794169,0.08734160488893204,0.12015870060407798,95.90888723822424,64733.30140874674,0.13302067125511155,0.09392308648272214,94.71258863161893,6.250346080953217,30.71598740565924,22607.748106387124,284.90256920263215,0.12942196657526647,0.3601566355176456,89.07858033252907,0.09052633649737875,0.15322239020546352,8.643711419753087,0.6462745098039215,0.03788816759043281,0.0965410447376909
9,209,55.6936,23.4321,40,29.1457,0,111,122,8,130,7,1.00006,55.7803,0.0,0.0,11.75,5.748,20.11935,0.0,0.0,125.0,42.43996,0.0004,0.32,2.226,-1.0,1.799321,0.12267395306732715,2.907489021529215,0.08357957520889828,0.1192245505867901,95.71948554136915,64713.851832087516,0.13680312283458482,0.1006037495771871,94.68365682465587,6.208545080903008,30.534006754557293,22152.29952756198,281.1677989006404,0.1272094467450482,0.36015663551764493,87.12733984053878,0.09488630975042629,0.15421504304629147,8.387731481481481,0.6451760784313726,0.037262479548802956,0.09355785176265362
