,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,movement,cubcol.0.6,blockiness,tone,staticness,cubcol.0,uhdhdsim,fft,contrast,temporal,cubrow.0.3,noise,cubcol.1.0,cubcol.0.3,blur,cubrow.0.5,cubrow.1.0,color_fulness,cubrow.0.6,saturation,cubrow.0,cubcol.0.5
0,100,67.3912,23.3104,64,0.0,0,121,118,22,135,22,0.98513,66.15078,0.0,0.0,0.0,4.705,0.0,0.0,0.0,126.0,33.70894,0.01664,2.9,7.32,0.0,4e-06,0.0,0.23859350734806206,2.761862938565687,0.511983137254902,546.8396323229877,0.10431311724706993,81.52271491125889,74826.7899011291,87.84901361019504,0.0,0.07365797036078393,2.408634393964211,0.1069325699447202,0.4272853352663987,63842.565994245415,0.13342850878805756,0.07763207627033901,78.104157256866,0.17621001274476944,44.520689599307964,0.08507416550974632,0.26594855669996886
1,101,67.44,23.2192,64,38.7749,0,122,118,22,135,23,0.98828,66.19661,0.0,0.0,0.14286,4.709,20.20038,0.0,0.0,126.0,33.47676,0.01653,2.97,5.974,-1.0,0.0,16.926167052469136,0.21263461531420094,2.71684509657513,0.5089038431372548,530.5012064647724,0.08685297322324174,81.18891444263271,74941.34949548732,84.46912348725965,7.578042337061349,0.057856641189236155,2.412475434943263,0.09185153046978396,0.4041508362973677,66574.78253065847,0.14667262982445525,0.06104323778330869,77.85347948684077,0.13183023166706676,44.42243505407263,0.06327853633717212,0.230000363948125
2,102,67.5948,22.832,64,36.3574,0,122,118,21,135,23,0.99223,66.35636,0.0,0.0,0.28571,4.622,20.10744,0.0,0.0,126.0,33.28879,0.01734,2.94,6.437,-1.0,0.0,14.15306712962963,0.20702213681836593,2.6365213382927424,0.5082131568627449,519.1414966744082,0.08267617738802435,80.97455816695614,73773.03006383016,84.78805572729235,7.531956118819536,0.05696182815809858,2.411446231114836,0.08792696587341936,0.4042136099134618,68899.04080504888,0.16121525486393729,0.055712012420543876,77.56331872146549,0.12081714961358714,44.31659764419367,0.05669322194783392,0.21681939825378688
3,103,65.9329,22.6718,63,38.6645,0,122,118,21,135,22,0.98835,64.96409,0.0,0.0,0.39286,4.701,19.76378,0.0,0.0,126.0,33.14165,0.01764,2.94,6.531,-1.0,0.0,12.270640432098766,0.20795977576271452,3.4099375843261392,0.509330980392157,510.02721093883605,0.07593026307839194,81.10740346220268,72578.12326432108,84.45846694781568,7.488658444927499,0.055276059558531994,2.409228605071602,0.09511569233870572,0.38500744218182886,64275.14138345605,0.1627414862661005,0.05358566944432214,77.51182598746905,0.10932314697521547,44.315222846137154,0.05420021520318616,0.21543602756500943
4,104,63.9304,22.3008,63,38.0156,0,122,118,21,136,22,0.98599,63.30026,0.0,0.0,0.07143,4.693,19.61966,0.0,0.0,126.0,33.09944,0.01809,2.92,5.674,-1.0,0.0,10.808400848765432,0.2127577991467081,2.0826052488287354,0.509026274509804,501.97740919281654,0.07470026576231589,81.27278535610243,71053.09570202902,86.4476650057201,7.4499490234087435,0.05350067958399195,2.402575726941915,0.10251371254980908,0.3617238214351904,57011.915418372584,0.15843463349961956,0.05210819402174689,78.15973780136423,0.10763954845975225,44.31109732168692,0.051872108409233696,0.21752506447683084
5,105,63.5527,22.6231,64,36.7757,0,122,118,21,135,22,0.97805,62.99691,0.0,0.0,0.10714,4.6,19.30118,0.0,0.0,126.0,33.20535,0.01785,2.93,5.897,-1.0,0.0,9.551986882716049,0.21958524779945696,2.7744141404133664,0.5087039215686274,494.6088236975896,0.0758844684154367,81.28526886050082,70643.13309435199,88.28504215923624,7.418967762308919,0.054017290374557096,2.3975462637480542,0.10702557931003083,0.3462113137024879,56034.92836224171,0.15646488140120718,0.0515670456818921,79.18935858457311,0.10332606369348836,44.00400062843605,0.050606727473413354,0.22103825845328784
6,106,63.6209,23.1683,64,38.222,0,122,118,21,135,22,0.98696,63.09616,0.0,0.0,0.14286,4.68,19.58849,0.0,0.0,126.0,33.26059,0.01765,2.94,5.641,-1.0,0.0,9.093074845679013,0.2256494649602202,2.77762416694094,0.5093709803921569,488.07441078986795,0.076644899606848,81.24190106657194,70447.22529148852,87.07441786846617,7.457612451367679,0.05465417923000496,2.408475175577841,0.1108027788389117,0.33409199683437657,57462.753986932825,0.15231691384810556,0.05074379399040826,80.02933822755912,0.09971845756136398,43.696219550238716,0.04951711017428213,0.22640921981922205
7,107,64.4548,23.1153,64,39.5566,0,122,118,22,135,22,0.98264,63.85751,0.0,0.0,0.14286,4.766,20.05801,0.0,0.0,126.0,33.58452,0.0187,2.96,5.436,-1.0,0.0,9.058786651234568,0.23071398856544778,2.63284036062021,0.5120917647058825,482.2232420466182,0.07795716852869444,81.00949287707786,69809.46753864705,85.22124392357726,7.469878610252197,0.0566388240947831,2.4070109790283696,0.1124855858466081,0.3264654960474667,62016.05401675729,0.1475895632095222,0.05023880229284569,80.82979678597997,0.09861533220213822,43.478654084382235,0.049023110695175315,0.2305816395996236
8,108,64.7393,23.1421,64,37.1318,0,123,118,22,135,23,0.9843,64.09931,0.0,0.0,0.10714,4.943,20.00844,0.0,0.0,126.0,33.84682,0.01785,2.95,5.097,0.12603,1.5e-05,8.329378858024691,0.2343026228225129,2.3135316912791835,0.5150650980392156,476.6088163688953,0.07913691827359694,80.99779063589791,69328.9957300129,87.10233063514073,7.456189094918881,0.05754799874056721,2.380399466509602,0.11236814034617863,0.31870356813843875,62413.352559753526,0.1401693586711249,0.04996287348536666,81.30412815185025,0.09798601249361795,43.36986343948929,0.04823173399649886,0.23148016066386148
9,109,64.6497,23.142,64,36.5626,0,123,118,22,135,23,0.97714,63.99779,0.0,0.0,0.0,4.978,20.01831,0.0,0.0,126.0,33.84782,0.01826,2.92,5.153,-1.0,5.5e-05,7.605275848765432,0.23425843521342984,3.3802180459931215,0.5145360784313725,470.7670723756717,0.08095880017200806,81.02320407728175,68709.97569683917,84.68645713156761,7.443477849336959,0.05966924610489375,2.3777468477453403,0.11268902920685878,0.31554418454962974,61756.33224139646,0.13602393134567295,0.049582392471920006,81.31400899547332,0.09741580175410194,43.17316691080729,0.047697398220057814,0.23270815001885434
