,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,noise,uhdhdsim,cubcol.0,saturation,fft,cubrow.0.3,cubcol.0.6,movement,cubrow.0,blockiness,contrast,cubcol.0.3,staticness,cubcol.0.5,blur,temporal,cubrow.0.6,cubrow.1.0,tone,cubcol.1.0,cubrow.0.5,color_fulness
0,0,70.3859,7.12549,46,0.0,0,138,126,3,128,3,0.9985,68.7137,0.0,0.0,9.64286,8.526,0.0,0.0,0.0,130.0,66.99053,0.0,0.3,1.83,0.0,2.107661,0.24710036975092953,95.82133662653365,0.22303445141037195,13.900936173804013,64461.647407578945,0.17327883405210667,0.2164243836574327,0.0,0.28890795071083564,1.5930801382838466,90.63394752984723,0.19734187340268527,269.93539949215096,0.15089482474938248,42950.665548488556,0.0,0.28037635892699825,0.2227762667644612,0.2780813709434839,0.27228381092585774,0.3099752651183398,102.60328669331534
1,1,70.4316,7.30115,46,8.9905,0,138,126,2,128,3,1.0007,68.77203,0.0,0.0,10.03571,8.519,6.15241,0.0,0.0,132.0,66.99626,0.0,0.31,1.752,-1.0,2.147508,0.2471003697509316,95.80415212514967,0.21657514650175838,13.876294171368633,64389.907618742414,0.17419196099350354,0.20998007834839152,2.3542631172839505,0.283968845730847,2.0130635386087543,89.64538514753399,0.19152465818153172,269.69596941672296,0.15175216094258487,42949.79435634679,3.846390762873705,0.2805869910388226,0.2188966572287509,0.2779519304083051,0.2673091807542473,0.3096068823232708,103.00464342155632
2,2,70.5799,7.90644,47,9.22146,0,138,126,3,128,3,1.00427,68.92439,0.0,0.0,9.92857,8.506,6.30605,0.0,0.0,133.0,67.01663,0.0,0.31,1.745,-1.0,2.152405,0.24104170272863787,95.78334406455437,0.2073568278384087,13.881721214011863,64306.61080530959,0.17459934467625168,0.20891426210874045,2.7505304783950617,0.2813536132758043,1.6187506741142832,89.73579089493279,0.1889355006640787,269.5195831206048,0.15244143237773017,43130.441259693245,3.9106879933428234,0.27983295850700296,0.21820850473140654,0.2779519304083051,0.265361395623006,0.3091229677573458,102.83764592612803
3,3,70.6314,7.86018,47,9.76887,0,138,126,3,128,3,1.00726,68.99998,0.0,0.0,10.85714,8.519,6.83141,0.0,0.0,132.0,67.00947,0.0,0.31,1.781,-1.0,2.154653,0.2471003697509293,95.78788980810495,0.2006118137789707,13.929646809895832,64329.82560160659,0.17468570876683778,0.20740175329082214,3.36328125,0.27734208015601247,2.0177000221237216,90.68445868969752,0.18862192467309935,269.30070869342836,0.1537462689933818,43153.44631040935,4.073989983612389,0.27910061911130757,0.21756159160419955,0.2779519304083051,0.2631001171296534,0.3081224836371776,102.42305340937651
4,4,70.6566,7.67499,47,9.34812,0,137,126,3,128,3,1.00308,69.05019,0.0,0.0,10.64286,8.513,6.78534,0.0,0.0,131.0,67.019,0.0,0.31,1.733,-1.0,2.088017,0.24488274370771154,95.77076907785877,0.19672704058179527,13.922659038025657,64199.608271842124,0.17487709696933226,0.20750463843969266,3.0815007716049383,0.27284821085480376,2.155889968302367,89.71445035105828,0.1886165789747743,269.2483570309659,0.15346562559279678,43192.87829039138,4.043385468809858,0.27795572697714155,0.2166834480610691,0.27789778089042744,0.2594365204989855,0.3085526452595868,103.11312235801819
5,5,70.67,7.51597,47,8.98396,0,137,126,3,128,3,0.99829,69.09342,0.0,0.0,11.07143,8.514,6.62969,0.0,0.0,131.0,67.03034,0.0,0.31,1.712,-1.0,2.111403,0.24488274370770666,95.75715076969229,0.1943950350904843,13.922523592725211,64226.560585873005,0.17475923812277208,0.20700397898450665,2.71484375,0.2701972879823268,2.0427757491026366,90.69342574257735,0.18907950451416436,269.17424085412773,0.15420137870994463,43250.496241259156,3.967875255986244,0.2771122541407961,0.21471324972049366,0.278060638634372,0.2540381696841369,0.30945067539548315,103.0669700405704
6,6,70.6203,7.76312,47,9.04828,0,137,126,3,128,3,1.00015,69.05929,0.0,0.0,10.0,8.531,6.49146,0.0,0.0,131.0,66.99918,0.0,0.31,1.785,-1.0,2.123339,0.24710036975092842,95.76322449458823,0.19303218048179246,13.897450764973959,64218.22902932425,0.17474714474813205,0.2065345833016959,2.439284336419753,0.2677756958829274,1.3343121780180434,90.65797980552122,0.18951875126586334,269.053702595229,0.15401075693411315,43129.74553768814,3.875261527912951,0.2762953641072781,0.21263083884807507,0.27788495959400294,0.2490238626221117,0.30981799194142595,102.90911046936728
7,7,70.731,7.96644,47,9.1656,0,137,126,3,128,3,0.99911,69.18122,0.0,0.0,9.82143,8.52,6.69967,0.0,0.0,131.0,67.02946,0.0,0.31,1.852,-1.0,2.090082,0.24488274370770435,95.75785005664108,0.19320377688570808,13.981376742139275,64237.173023555435,0.17518954603727344,0.20494519477949752,2.5629822530864197,0.2648571019262105,1.7917665350095777,90.70530302351679,0.19109983835892147,268.9501617953262,0.1542372010364748,43285.97442008135,3.9599967062262875,0.2756434177561346,0.21161269099892188,0.27834802662975844,0.24486403198744866,0.3093943119082391,102.071476024493
8,8,70.857,8.23907,47,9.20844,0,137,126,3,128,3,0.99841,69.28442,0.0,0.0,11.92857,8.49,6.87557,0.0,0.0,130.0,67.00707,0.0,0.31,1.832,0.58796,2.104503,0.24710036975093275,95.74612225745972,0.1938538479851515,13.94007346070843,64284.170950887936,0.17550866262540962,0.20361550337232548,2.6278452932098766,0.26203554269606816,1.909312988523673,90.69668695452776,0.19203508251782747,268.83884996842625,0.154559325041291,43684.47237485523,3.990966945713762,0.27534437133676193,0.21079564407122386,0.2781458866159176,0.24215689990309713,0.3091705677396628,102.82466069289384
9,9,70.8828,7.98154,47,9.34115,0,137,126,3,128,3,0.99594,69.30084,0.0,0.0,11.21429,8.474,7.11148,0.0,0.0,130.0,67.02536,0.0,0.3,1.793,-1.0,2.151658,0.2471003697509332,95.74487705764221,0.19577876588734622,13.970686547550153,64371.74483405093,0.17565053440490627,0.20273489332662778,2.8012635030864197,0.25826199934640914,2.1432158711962908,90.71525288735893,0.19244445830476467,268.6885241311283,0.1548208759131917,43799.56738661398,4.0824777070297715,0.2748499502447474,0.2098754009716825,0.278060638634372,0.24045165488263676,0.30901721699226503,102.15109762184721
