,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.5,cubcol.1.0,cubcol.0,cubcol.0.3,noise,cubrow.0.3,tone,movement,blur,cubcol.0.6,cubrow.0.6,saturation,uhdhdsim,staticness,fft,cubrow.0,contrast,cubrow.1.0,cubrow.0.5,blockiness,temporal,color_fulness
0,200,58.3707,16.368,86,0.0,0,99,124,32,128,25,0.98899,65.95302,0.0,0.0,0.0,4.331,0.0,0.0,0.0,139.0,37.14939,0.00765,1.98,1.519,0.0,2e-06,0.20767314270924453,0.12390738925587307,0.2262377281178903,0.18696697728283967,2.0589716775553213,0.20188904588737397,0.5099729411764705,0.0,19500.502219256152,0.26497338952851884,0.2052239679319404,29.403204458731192,83.11919236725328,265.097801202794,71082.51875882175,0.2624458989328371,93.2015926393295,0.15988020335477132,0.23401604635015585,4.541142330807902,0.0,149.99950855609444
1,201,58.3525,16.1932,86,21.4061,0,99,124,32,128,25,0.97754,65.91783,0.0,0.0,0.0,4.322,14.05785,0.0,0.0,139.0,37.18465,0.00748,1.98,1.393,-1.0,3e-06,0.20591831098705185,0.11561213732386103,0.21195822805809236,0.1809153123131614,2.0605950924911443,0.1662235692557189,0.5097443137254901,4.9867380401234565,19635.978898909,0.2330813993644611,0.1695429089701401,29.236542689947438,83.14542261260266,260.5523659334499,71292.11011302656,0.2523479609683408,93.17162310819461,0.13519640361398247,0.20331711563032778,4.407349963309965,6.7453820318158435,150.21503612541957
2,202,58.3369,16.3465,86,19.7175,0,99,124,32,128,25,0.99509,65.90875,0.0,0.0,0.0,4.355,13.9063,0.0,0.0,139.0,37.20307,0.00711,1.98,1.399,-1.0,3e-06,0.20436947627970434,0.12077289845157221,0.19972244717754542,0.188135976217687,2.0650303445776066,0.15576197096250394,0.51028,4.256124614197531,19540.7886057103,0.22298905221143103,0.15722586006899267,29.37966862431279,83.07822261032524,257.41900187496407,71313.07346427022,0.2481279974296975,93.17349274469167,0.13048726628656723,0.1929012972535717,4.5032939041874425,6.557013506073261,150.1733438768373
3,203,58.3208,16.4913,86,20.845,0,99,124,32,128,25,0.9879,65.83905,0.0,0.0,0.07143,4.353,14.03765,0.0,0.0,139.0,37.21028,0.00779,1.97,1.506,-1.0,2e-06,0.2187266340535257,0.12062732706545817,0.199298758067027,0.1862996650282836,2.053507221640419,0.1489940993862677,0.5108454901960784,3.912422839506173,19557.499497272245,0.22081585566679182,0.15074257966696475,29.216749214831694,83.1342073364162,254.6506008618824,71445.70815339191,0.24564238038364491,93.4062133639885,0.12876071748918416,0.18700837188603195,3.6905647872059744,6.554068118289354,150.21296014200155
4,204,58.3039,16.6948,86,20.7564,0,99,124,32,128,25,0.98836,65.85684,0.0,0.0,0.10714,4.368,14.16428,0.0,0.0,139.0,37.21622,0.00775,1.97,1.55,-1.0,2e-06,0.2141349915142912,0.1183474090125409,0.20339268778590516,0.1889123082359208,2.061189303598544,0.145702078169391,0.5109129411764707,3.728973765432099,19568.938821066615,0.22567002386414295,0.14651616230037418,29.21933039912471,83.10346511389258,252.31045111656854,71367.72604113803,0.24532859674641672,93.42062582790389,0.12833062015090632,0.18486038448841302,3.7032714344790127,6.585192284717094,150.3574484171429
5,205,58.4166,16.5165,87,21.4892,0,99,124,32,128,25,0.98871,65.99436,0.0,0.0,0.03571,4.369,14.33978,0.0,0.0,139.0,37.25841,0.00745,1.97,1.384,-1.0,2e-06,0.2072729189335397,0.11565271897645694,0.2056029926595397,0.1886695021545526,2.065624555685005,0.14340277776953983,0.5113364705882353,3.5050154320987654,19726.598330845918,0.22509951474444262,0.14398162073649315,29.003658530152876,83.01647020543298,250.13899070031624,71514.99430789077,0.24761977242664207,93.42817805283374,0.12629792248790636,0.1843515492598666,3.2777458830853385,6.654464600000088,150.02008042863403
6,206,58.4447,16.6639,87,19.3669,0,99,124,32,128,25,0.97782,65.97765,0.0,0.0,0.03571,4.341,14.19035,0.0,0.0,139.0,37.31561,0.00761,1.96,1.318,-1.0,2e-06,0.2047298111344524,0.11304555608664958,0.2054268435383468,0.1875674208908082,2.063247711255416,0.14247782507356144,0.5114250980392155,3.21460262345679,19818.84998460285,0.22001967090200697,0.1431340908061982,29.104025758342978,83.03612802524327,248.32011024401274,71778.35825336423,0.24877538943317304,93.16016574740274,0.12567051433504176,0.1841244876774703,2.8529502007897674,6.431823641567318,150.18063423812896
7,207,58.5903,16.1949,87,21.1843,0,99,124,32,128,25,0.9821,66.06719,0.0,0.0,0.0,4.357,14.31665,0.0,0.0,139.0,37.38439,0.00761,1.97,1.358,-1.0,2e-06,0.20632738662748112,0.11138577755659144,0.2030621139286596,0.18698544526692013,2.0650303445776115,0.14212165602855,0.5122364705882353,3.028886959876543,20282.75864511632,0.21504105390019418,0.14197334375791779,29.004778261537904,83.07469251978175,246.69201823143484,71852.93911002146,0.2529574363158293,93.12814844325635,0.12452758350824975,0.18494728028613466,3.2750535262433997,6.532063617190407,149.93021438620394
8,208,58.6214,16.6441,87,20.5441,0,99,124,32,128,25,0.99237,66.08659,0.0,0.0,0.03571,4.342,13.91813,0.0,0.0,139.0,37.45445,0.00786,1.98,1.391,0.12873,4e-06,0.20846754782512628,0.11037754144012216,0.20525192673613332,0.18703806526605324,2.0694655966640663,0.14268793741494373,0.5130619607843138,2.8168885030864197,20352.35887568586,0.21089487212549468,0.14248991473007389,29.012150328836324,83.03495663259861,245.30935425864396,71834.27030132693,0.25584209758115656,93.18190496462452,0.12448273231095427,0.18662363144783103,3.54900096066872,6.2891343091713585,149.9970143442784
9,209,58.5927,16.7478,87,21.5912,0,99,124,32,128,25,0.9875,66.03063,0.0,0.0,0.10714,4.392,14.30648,0.0,0.0,139.0,37.50673,0.00765,1.98,1.351,-1.0,4e-06,0.20789902044143432,0.10922956926602136,0.2076835938845761,0.18786646890738395,2.0638419223628124,0.14249343085317911,0.5128615686274509,2.728105709876543,20427.386745028747,0.2069472405526975,0.14204677992004527,29.038026974524982,83.0459696462226,244.05544018483295,71757.8679557478,0.2588172806956046,93.10670766675781,0.12517711771361692,0.18695088423992423,3.6550483233995146,6.353246809051109,150.0208914499776
10,210,58.6131,16.3219,87,21.0251,0,99,124,32,128,25,0.9828,66.04356,0.0,0.0,0.0,4.375,14.39898,0.0,0.0,139.0,37.54,0.00777,1.97,1.272,-1.0,1e-06,0.20710428643062462,0.10900322122398161,0.20520750027643672,0.18879116097979126,2.062812718534379,0.14321283421769285,0.5136650980392158,4.345052083333333,20511.102137035672,0.2030835405119698,0.14270956671892168,28.754388879846644,83.03458668930125,242.76144611992336,71842.09236051489,0.2623981702838982,92.83652813263457,0.12517125028155193,0.187635097717498,3.232604199264327,6.396748562215798,149.98199127776815
