,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,saturation,movement,noise,cubcol.0.5,temporal,cubrow.0.3,tone,color_fulness,blur,fft,contrast,cubcol.0,cubrow.0,staticness,blockiness,cubcol.1.0,cubcol.0.6,uhdhdsim,cubrow.0.5,cubrow.1.0,cubcol.0.3,cubrow.0.6
0,200,33.7432,16.9559,18,0.0,0,119,117,5,136,8,1.0136,32.03729,0.0,0.0,10.42857,9.391,0.0,0.0,0.0,115.0,32.72847,0.0,0.29,4.397,0.0,4.341703,49.22920095184703,0.0,0.20793653046654348,0.12887913769656176,0.0,0.17017816244219305,0.4820305882352942,88.42243788031162,6562.809796977351,62349.40146227062,90.24220641542829,0.11062967482057831,0.059716290599886764,545.0057281691578,1.2164287685370123,0.04590153615240616,0.046727044742322255,101.0131108946298,0.13587459335887161,0.023735074389760944,0.05202869518688223,0.15562317298808342
1,201,33.397,16.7546,17,16.5485,0,119,117,5,136,8,1.00505,31.68804,0.0,0.0,15.5,9.376,14.60248,0.0,0.0,115.0,32.49618,0.0,0.29,3.802,-1.0,4.341443,49.26383708435812,7.604938271604938,0.20793653046654206,0.1264679679773149,4.425340742733876,0.1619010413475746,0.47969409803921426,87.36736658703393,6514.675742705542,62225.52869660003,89.82438178118989,0.08265843553657454,0.05801126529415944,537.990244825618,1.269271491398135,0.04538844166697659,0.04659138670655265,101.0717056444881,0.11909989712370624,0.02295274573902739,0.05210088693731332,0.12584238740271098
2,202,33.674,16.1259,18,15.9896,0,119,117,5,136,8,0.9998,31.92355,0.0,0.0,12.07143,9.288,14.42533,0.0,0.0,119.0,32.29134,0.0,0.29,5.282,-1.0,4.373434,49.16643024962625,7.19483024691358,0.20793653046654162,0.12441260665914175,4.411129204675318,0.1574621775545699,0.4774078431372549,86.30429173214166,6873.6471301988795,62282.46013583235,87.96240088885978,0.07818071279119457,0.056356299447475784,531.0299054373775,1.0799279758260358,0.045250377889723865,0.04659121225573284,101.00502531623238,0.12075063265147358,0.022487484209722092,0.05213999974603693,0.11693809503775252
3,203,34.4016,16.2485,18,15.7127,0,119,117,5,136,8,0.99325,32.59,0.0,0.0,7.42857,8.834,13.87645,0.0,0.0,121.0,32.14514,0.0,0.29,4.471,-1.0,4.383322,49.25911175763166,6.515962577160494,0.20793653046654118,0.12376579878824842,4.359735901657536,0.15895814256907767,0.4768721568627451,84.96055138669394,7506.671792137247,62418.37184571391,89.6260697909298,0.0798404238948415,0.05494882573275044,524.426999439122,1.1607542829339577,0.04540512805257618,0.0466069916851814,100.85217137983533,0.1217313361686343,0.022214832309555992,0.05237981978217142,0.11536890563521673
4,204,34.6268,16.736,17,15.3238,0,119,117,5,136,7,0.98518,32.7678,0.0,0.0,12.85714,8.771,13.98564,0.0,0.0,120.0,32.10026,0.0,0.29,4.83,-1.0,4.342301,49.23252152807919,5.973765432098766,0.20350127838008233,0.12336349771165324,4.302986408667707,0.16228454427050423,0.4757219607843137,84.11065437077964,7567.795126832568,62445.87874303521,87.6343252273638,0.08092788166015302,0.054154683885867444,518.251859060196,1.0245086903680805,0.04551072812394579,0.046636827964378375,100.85752691178924,0.12023625925708634,0.0220412610090275,0.052512240378867064,0.11472077875993394
5,205,34.8305,16.7171,18,15.8987,0,119,117,5,136,8,0.99242,32.99656,0.0,0.0,14.67857,8.803,14.40766,0.0,0.0,118.0,32.19047,0.0,0.29,5.165,-1.0,4.330482,49.13766347626109,5.355758101851852,0.20793653046653637,0.12331688281801592,4.256885931716769,0.1645422298515227,0.47938000000000003,83.34018367299063,7540.199479156604,62354.799992923836,87.9049064740221,0.08365949112243826,0.05426326680338957,512.2770287635095,1.3079826788480966,0.045512359311373006,0.046814237565622197,100.83622356683802,0.1206542115260507,0.02189299159536797,0.05274986366687365,0.1113333189883979
6,206,35.0821,16.4692,18,15.8066,0,119,117,5,136,8,0.98607,33.24079,0.0,0.0,11.78571,8.825,14.40415,0.0,0.0,116.0,32.22044,0.0,0.29,6.079,-1.0,4.201941,49.30583718382282,5.149450231481482,0.20793653046654195,0.12317080415658067,4.195172398199778,0.1685000766112704,0.48105019607843136,83.07786674713508,7669.503291613739,62346.940719014885,87.78694783172611,0.0802929754337534,0.05519716065408465,506.61070831101034,1.6055194467409355,0.04566203749203064,0.04689521863490451,100.81755704328943,0.11663030060037258,0.021933066459153203,0.05298895048040022,0.11230019537357554
7,207,35.4482,16.4942,18,14.0536,0,119,117,5,136,8,0.98905,33.56631,0.0,0.0,12.10714,8.703,14.16626,0.0,0.0,112.0,32.22389,0.0,0.29,6.739,-1.0,4.169431,49.28752098554446,4.692611882716049,0.20793653046654217,0.12323765317496141,4.149295831384855,0.17104517852069906,0.48344509803921565,82.38179156435461,7941.9380407563995,62210.99315264742,88.24330042834924,0.0774942202350214,0.05656329129639242,501.4249861573144,1.326421560866421,0.04574407479485596,0.04696298231485494,100.7594084281459,0.11507229180431254,0.022037959285041667,0.05315928314294516,0.11562752104789902
8,208,35.2799,16.3769,18,14.3225,0,119,117,5,136,8,0.99644,33.41198,0.0,0.0,10.67857,8.714,14.18418,0.0,0.0,107.0,32.20194,0.0,0.29,6.523,0.59581,4.187906,49.35765038007571,4.345534336419753,0.20793653046654256,0.12275425494206577,4.127914370621456,0.1734795883720835,0.4841874509803922,81.53379786659973,7822.7734217677735,62221.070029233415,87.88341729474878,0.07621870961869809,0.0578499203286206,497.0080965392544,1.047057503220633,0.045817822297892816,0.04698022650801178,100.7891709134297,0.11270571866354966,0.02209380360579693,0.05342209444179726,0.11770886349234239
9,209,35.188,16.1392,18,13.9248,0,119,117,5,136,8,0.99153,33.28455,0.0,0.0,7.92857,8.712,14.08245,0.0,0.0,104.0,32.09996,0.0,0.29,5.358,-1.0,4.178593,49.25348333664882,4.138695987654321,0.20793653046653812,0.12108952783722446,4.071488848589326,0.17453444143854502,0.48223803921568625,80.8333051126338,7741.284602622506,62189.65482471843,87.29657932621183,0.07627898694617447,0.05870836113702162,493.02740420712416,1.0796697761214473,0.045917951937011495,0.04708736788352697,100.82477786972463,0.11035594327449887,0.022126884487367774,0.05356519750494774,0.11825218374179262
