,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,cubrow.0.6,movement,color_fulness,contrast,blockiness,cubcol.0,tone,cubrow.1.0,temporal,blur,fft,saturation,cubcol.1.0,cubrow.0.3,uhdhdsim,noise,cubcol.0.5,staticness,cubcol.0.6,cubcol.0.3,cubrow.0
0,200,65.6966,14.3751,88,0.0,0,116,121,38,131,31,1.02746,69.00572,0.0,0.0,0.46429,3.53,0.0,0.0,0.0,130.0,59.15687,0.01002,2.67,1.669,0.0,0.0,0.26706153895284357,0.2620789665858401,0.0,146.7180091120484,91.97267813479077,3.509908069759437,0.10738648272283129,0.904944705882353,0.3134048691224268,0.0,36166.7320025752,75012.86295501188,39.48515866126544,0.14603973591316904,0.25267229418214737,82.58311522436793,2.779879159697998,0.31619971972037614,510.3193775027028,0.27676575159572586,0.2162973439270818,0.3705281823060513
1,201,66.0857,14.2899,88,20.0439,0,116,121,38,131,31,1.03113,69.33169,0.0,0.0,0.53571,3.508,12.53291,0.0,0.0,130.0,59.1634,0.00965,2.67,1.678,-1.0,0.0,0.25527700466238884,0.2522783428870789,6.733169367283951,146.46799707114957,91.85707238342104,3.382679562518386,0.09883045127301911,0.9065843137254903,0.29006534153674607,6.46053588985105,36532.23239788308,75231.14114958304,39.3487089180652,0.1437289676507942,0.23956830487037672,82.53663510093924,2.786372819441332,0.2963751031969572,504.38309691866823,0.25697372936279517,0.19188307163955332,0.3184565777724833
2,202,64.8844,14.8656,87,20.4978,0,116,121,38,131,31,1.02223,68.25651,0.0,0.0,0.42857,3.537,12.45125,0.0,0.0,130.0,59.20068,0.00958,2.67,1.692,-1.0,0.0,0.25140301925789177,0.2507583250340248,6.120515046296297,146.31302217736368,92.88522042687134,3.308760712985372,0.09666328941515255,0.9064160784313725,0.2876957444088871,6.475340919751344,33996.071099940695,74727.35222959626,39.48821814266252,0.14146440055663492,0.2375398903303612,82.67423392947576,2.7698202333102864,0.2819590959941027,499.81208242553123,0.2458743803930809,0.18610776079104902,0.3018503315998632
3,203,65.0672,15.352,87,19.8453,0,116,121,38,131,31,1.02169,68.44023,0.0,0.0,0.57143,3.578,12.95634,0.0,0.0,130.0,59.22952,0.00958,2.69,1.608,-1.0,0.0,0.2501878675078541,0.24938981962393328,5.715663580246914,146.20446692984942,91.88505742781966,3.065350705494908,0.09526048868631999,0.9061411764705882,0.28437287575143044,6.492604992784899,34431.401229730036,74815.65387426771,39.456650722174,0.14109497178651573,0.23650217358241218,82.69301928411952,2.785343615612901,0.2745400736370112,495.602721728078,0.23844545911864257,0.17919912149512915,0.2963787374930737
4,204,65.8291,15.0725,88,21.014,0,116,121,38,131,31,1.0237,69.12976,0.0,0.0,0.46429,3.535,13.37136,0.0,0.0,130.0,59.13491,0.00933,2.68,1.603,-1.0,0.0,0.24959072566156806,0.2492081605498307,5.364438657407407,145.8424112674094,93.02311536267015,2.9993482185403155,0.09439863017557655,0.9052623529411765,0.277970411346359,6.514964201893571,35911.12876882461,75106.26558469453,39.22858928162374,0.14062750525536716,0.23693359872003936,82.54219085214535,2.785343615612895,0.2756618045024863,491.9372886806231,0.23479205495148192,0.17521934140824919,0.28742623064138795
5,205,65.2349,15.8855,87,20.9266,0,116,121,38,131,31,1.02056,68.62944,0.0,0.0,0.89286,3.538,13.14342,0.0,0.0,130.0,59.19145,0.0092,2.68,1.58,-1.0,0.0,0.24855111537476432,0.24935578707100883,4.797405478395062,145.8655183942603,91.70879664420573,3.5304601970214464,0.09385259701019413,0.9049894117647059,0.27745741812175717,6.4954529268993895,34726.193813619415,75187.43049130293,39.415254004207654,0.14048393062961964,0.23696706389877048,82.62483011938598,2.789184656591964,0.2748953580144641,488.6231856323176,0.23395372583298812,0.17414528103371182,0.28201123299872877
6,206,65.669,15.503,88,20.9141,0,116,121,38,131,31,1.02635,69.04693,0.0,0.0,0.35714,3.563,13.8915,0.0,0.0,130.0,59.28021,0.00929,2.67,1.617,-1.0,0.0,0.24869856672495325,0.24995960520177124,4.458236882716049,145.59542875596043,92.94533001976095,2.878607681258646,0.09339738785666334,0.9075541176470588,0.2781264161083124,6.474794148518492,35597.60920274683,75322.97969225749,39.57403715157214,0.1403179888558991,0.23740692421059956,82.5941177673678,2.7895613713388347,0.2725565306495554,485.641086661665,0.23243543346969112,0.17098001839896265,0.2799475670288347
7,207,67.0531,16.182,89,20.6342,0,116,121,38,131,31,1.02512,70.3248,0.0,0.0,0.28571,3.545,13.57048,0.0,0.0,130.0,59.17986,0.00938,2.67,1.578,-1.0,0.0,0.24859165362621383,0.2505033495821717,3.8783275462962963,145.3490161355444,92.83048256361073,2.707168695459653,0.09316354693773182,0.9060537254901961,0.2788024273371727,6.440404761865234,38782.987609648284,75914.25515545598,39.65774837540991,0.14062298231034615,0.23776466601050114,82.46692606490696,2.8018962017439573,0.27212972506150523,483.1809306413069,0.22979372084740954,0.1717809145096077,0.28483294068683945
8,208,67.4058,18.5456,89,20.5199,0,116,121,39,131,31,1.02901,70.74116,0.0,0.0,0.46429,3.552,14.20404,0.0,0.0,130.0,59.17668,0.00937,2.67,1.556,0.125,0.0,0.24812550757100219,0.2507412291146622,3.7527970679012346,145.26386402286957,92.92367565598451,3.023605370724314,0.09302752069919845,0.9055074509803922,0.28112736423826884,6.457560873258692,39658.13795043959,75979.73333953583,39.65454082724489,0.1408781992760892,0.23736505110882852,82.46226048927353,2.7990843645933245,0.27025067744545483,481.07256463551806,0.22849293350809183,0.17090362878607415,0.28514016560717764
9,209,68.3409,19.0256,90,21.3431,0,116,121,39,131,32,1.02337,71.6326,0.0,0.0,0.71429,3.577,16.29246,0.0,0.0,131.0,59.22381,0.0091,2.65,1.605,-1.0,0.0,0.24796711297152893,0.251052029275431,3.9715952932098766,145.25890950851846,91.99613924088362,2.156971133567531,0.09279932958242387,0.9060090196078432,0.28035004739683955,6.505898753381348,42015.903533783385,76210.27795285087,39.556066630799094,0.14109105038906863,0.23695386550745498,82.45083070415811,2.798055160764884,0.2715837648791265,479.0362626029755,0.2282755967877118,0.1715081325414782,0.2796727904069834
