,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,saturation,blockiness,noise,cubrow.0.5,staticness,blur,cubcol.0.5,cubcol.0.3,cubrow.0.3,movement,cubcol.0,color_fulness,temporal,contrast,cubcol.1.0,tone,fft,uhdhdsim,cubrow.0,cubcol.0.6,cubrow.0.6
0,100,88.0379,12.274,92,0.0,0,104,125,23,127,14,0.98005,87.14189,0.0,0.0,4.85714,3.498,0.0,0.0,0.0,124.0,45.12848,0.00381,0.47,4.533,0.0,0.070915,0.12035882091317672,30.277446793921197,2.124241261893421,0.660755804640785,0.26026194038460876,294.5168128173418,65027.13938285712,0.345397739168009,0.27772444437202626,0.344836296878515,0.0,0.36578112949941965,163.02860887034998,0.0,96.88661282486484,0.23145773632995048,0.6113854901960785,74608.00081549287,81.609725950566,0.29387533352554135,0.30357986306636153,0.2801175281177044
1,101,88.1406,12.3824,92,14.9656,0,104,125,23,127,14,0.98538,87.24875,0.0,0.0,5.17857,3.512,10.53414,0.0,0.0,124.0,45.14147,0.00365,0.47,4.855,-1.0,0.074308,0.11751063883888768,30.24376442991657,2.5152267473997347,0.6623792195766134,0.24265175031283795,293.0424950888239,65347.06683302524,0.33006819208131505,0.2697338893770497,0.3290920581280607,3.074025848765432,0.34137655017832436,163.05250125292457,3.64012997460199,97.16376257699382,0.22461835882075412,0.6112972549019607,74662.71504668039,81.56817874013939,0.29339441901990976,0.29478422127778653,0.25644544856942264
2,102,88.1609,12.3753,92,14.5187,0,104,125,23,127,14,0.97564,87.25895,0.0,0.0,4.96429,3.514,10.62332,0.0,0.0,125.0,45.15278,0.00379,0.47,4.71,-1.0,0.087969,0.11638397343195991,30.30021064664111,2.620830837447221,0.6563205525543239,0.23630625248275341,292.04281375267936,65395.114379713086,0.32138305078964746,0.2649785629673188,0.3250361715941898,3.0826581790123457,0.33949960077523916,163.1156440658256,3.570865768504461,95.2501707883367,0.22319373016571817,0.6113627450980392,74529.25746386203,81.61188893719199,0.2942365298349904,0.28889549255327074,0.24741901620005194
3,103,88.1647,12.336,93,14.3448,0,104,125,23,127,14,0.97681,87.28598,0.0,0.0,5.39286,3.526,10.61849,0.0,0.0,124.0,45.1614,0.00368,0.47,4.626,-1.0,0.072943,0.11617690043784085,30.243121488594717,2.2462578673197893,0.6607558046407902,0.23294147712104207,290.87387433960816,65276.90495880769,0.3195003007833866,0.2652150250349733,0.3230183558156867,2.973476080246914,0.34142645832985763,163.0997896535555,3.629693330766598,95.0170431428935,0.22246930829592151,0.6113768627450981,74617.91677538145,81.60975877575554,0.29471310634371883,0.2868810201380675,0.2418759494515863
4,104,88.2004,12.5213,92,14.6538,0,104,125,23,127,14,0.98092,87.326,0.0,0.0,4.89286,3.523,10.58559,0.0,0.0,124.0,45.16664,0.00377,0.47,4.82,-1.0,0.073724,0.11673200454178766,30.23397751796393,2.433588430436818,0.6601615935333914,0.23197576735845596,289.93686051295293,65300.028754515464,0.31803785522859856,0.26506885934552304,0.32167998823310673,2.804494598765432,0.34250336457939956,163.11960002329374,3.6313357476258785,94.58890989636093,0.22172866524643373,0.6111843137254902,74582.55528491837,81.58443154995986,0.29536652012353765,0.2870159605249122,0.2411701519434164
5,105,88.2889,12.5531,93,15.4346,0,104,125,23,127,14,0.99532,87.41645,0.0,0.0,7.17857,3.517,10.74225,0.0,0.0,124.0,45.1769,0.00377,0.47,4.272,-1.0,0.084059,0.11714633268772173,30.215966495466823,2.833901753756564,0.6585381785975618,0.2330405198523126,288.92248480003406,65702.4519068559,0.31583101825752136,0.264499403108863,0.3211089456025101,2.7230420524691357,0.34493098514202125,163.1109839381741,3.6701855133868775,97.11174393168976,0.2209224777474842,0.6112149019607843,74671.51459024788,81.5696156651666,0.29599476172668254,0.2885807845985433,0.23854904796399537
6,106,88.2981,12.4949,92,14.9527,0,104,125,23,127,14,0.98508,87.42707,0.0,0.0,6.32143,3.511,10.77088,0.0,0.0,124.0,45.18562,0.00408,0.47,4.782,-1.0,0.076287,0.11729226556833018,30.214315908926505,2.827219196492324,0.6585381785975596,0.23369234172205444,287.96079003681746,65619.89784185376,0.31544910465676684,0.2643311172866456,0.32016063686864643,2.597463348765432,0.34769387989361406,163.0776279596715,3.7339817351944067,95.38375726330109,0.2201703176127692,0.6114294117647059,74591.434081272,81.58600804607708,0.2959140295454666,0.2905988982407898,0.23736546774359837
7,107,88.2374,12.5641,92,15.7086,0,104,125,23,127,14,0.98013,87.37509,0.0,0.0,5.82143,3.542,10.71897,0.0,0.0,124.0,45.18761,0.00393,0.47,4.722,-1.0,0.077239,0.11741460461726928,30.19621163827402,3.4111986694008576,0.6585381785975589,0.23369796851913982,286.98888867372705,65679.1566874816,0.3132449887382929,0.2651522897615392,0.31778229518304496,2.4645061728395063,0.3510455502497886,163.13251684690624,3.6629190259812,95.51091226906104,0.21911781261114333,0.611423137254902,74563.67806882867,81.59056551374536,0.29595736783179066,0.2942425762824967,0.23426193740029072
8,108,88.1827,12.7292,93,15.5926,0,104,125,23,127,14,0.9753,87.34201,0.0,0.0,5.57143,3.545,10.78406,0.0,0.0,124.0,45.18529,0.00393,0.47,4.661,0.12899,0.074697,0.11814031328430248,30.19240089699074,2.57022267639099,0.6668144716630762,0.23300920627194163,286.097912983852,65429.58909772653,0.3107132314488098,0.26588824680077106,0.31621843241708114,2.445505401234568,0.35353427689878975,163.21223621504367,3.6127986842006194,97.12239736298365,0.21828966388637935,0.6113847058823529,74555.61652822538,81.59494481572875,0.2959439970281115,0.29460600562234046,0.23577209713866418
9,109,88.2625,12.9969,93,15.8103,0,104,125,23,127,14,0.9724,87.43697,0.0,0.0,5.64286,3.553,10.93404,0.0,0.0,125.0,45.19962,0.00413,0.47,4.604,-1.0,0.071258,0.11913633344800079,30.173932487581983,2.596390489175105,0.6668144716630748,0.2323895428692284,285.14560643970975,65764.33013050517,0.30876647660160483,0.2665457402405999,0.3141492133798888,2.427758487654321,0.3530428662681933,163.19621780957843,3.738208162158936,96.93582137191456,0.21718185825836642,0.6114372549019608,74511.41597813129,81.61340212827778,0.29581899040753956,0.29571444487656867,0.23612769364392658
