,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,contrast,temporal,cubrow.0.3,cubcol.0,staticness,cubcol.1.0,cubcol.0.3,cubcol.0.6,uhdhdsim,saturation,fft,blur,cubcol.0.5,blockiness,cubrow.0.6,noise,color_fulness,tone,movement,cubrow.0.5,cubrow.0,cubrow.1.0
0,400,66.3215,4.16758,37,0.0,0,107,131,10,125,8,0.98235,62.00578,0.0,0.0,2.85714,4.036,0.0,0.0,0.0,126.0,59.42752,0.0001,0.71,1.238,0.0,0.0,94.11207699308109,0.0,0.27859073076326046,0.026098229966056992,545.6294345470793,0.03516826231438419,0.13999624493548685,0.2194681456177942,89.98944474227072,32.627694589120374,69056.58610939949,60946.23623309436,0.22278216507108245,1.997011112353491,0.1637228309823442,0.5273059117639636,158.512987240065,0.8588183137254891,0.0,0.1642354889070405,0.11466324235490834,0.1289025672398364
1,401,66.3458,4.11183,37,4.55272,0,107,131,10,125,8,0.98999,62.03997,0.0,0.0,3.85714,4.037,3.53088,0.0,0.0,126.0,59.40995,0.00012,0.72,1.233,-1.0,0.0,93.2854359412461,3.4535127649905504,0.2768493262912898,0.02096288676466304,545.6841895962126,0.029233853615862875,0.13171677029351495,0.21861843138339623,89.94820766532038,32.62366758746865,69101.93431520578,60817.73138874982,0.22134023957136326,1.8716886233782966,0.15334758466792253,0.5250882857207418,158.89323025817419,0.8582580392156864,0.30714699074074076,0.16226062593395604,0.11187054716391735,0.12473554743152038
2,402,66.2915,4.17243,37,4.55605,0,107,131,10,125,8,0.9846,61.96752,0.0,0.0,3.10714,4.044,3.48337,0.0,0.0,126.0,59.40145,0.00012,0.72,1.207,-1.0,0.0,93.84775872831105,3.4609266734194195,0.2762538421995114,0.020617728011390352,545.5974787938193,0.026902607355901508,0.1251133071871105,0.2183447020231905,89.97725090016247,32.63834917986834,69187.54711925388,60725.9768208436,0.22181390094180822,1.9579133227383172,0.15066018277866314,0.5273059117639637,158.59095938522,0.8568645294117582,0.28838734567901236,0.1605404308397642,0.11155947241276129,0.12448007999571026
3,403,66.3482,4.27676,37,4.39395,0,107,131,10,125,8,0.98936,62.01648,0.0,0.0,2.60714,4.037,3.53516,0.0,0.0,126.0,59.40147,9e-05,0.72,1.236,-1.0,0.0,92.15060620428453,3.498820187134985,0.2757624256336351,0.019629599082759002,545.6386951208751,0.026327114026562015,0.12155631677194799,0.2178788319282107,89.94516921695548,32.57220082224151,69098.4513362371,60849.32741109853,0.2214052645733132,1.8807528541761112,0.1493667099667723,0.5273059117639635,159.17652400670875,0.8574098039215686,0.3091242283950617,0.15973979596451177,0.11114415892703017,0.12407046831433997
4,404,66.2764,4.31156,37,4.62958,0,107,131,10,125,8,0.99035,61.94067,0.0,0.0,2.82143,4.052,3.62557,0.0,0.0,126.0,59.3786,9e-05,0.71,1.256,-1.0,0.0,89.51187183995766,3.516040344692324,0.2752661383240612,0.019331901864527136,545.6056988547396,0.025523767713435036,0.12141453222445989,0.2178516843621765,89.96605522789771,32.55311565634645,69228.4055748653,60804.64593950334,0.22134918145937926,1.7510720925732703,0.14831834009555964,0.5273059117639649,158.8870697035499,0.8560635294117648,0.3150077160493827,0.15899447102673395,0.11101726552120401,0.12247995919686669
5,405,66.3398,4.32708,37,4.47824,0,107,131,10,125,8,0.98394,62.00386,0.0,0.0,3.42857,4.044,3.6559,0.0,0.0,126.0,59.4168,0.0001,0.71,1.26,-1.0,0.0,90.43644159685134,3.524852014740909,0.2750410568617782,0.01906718800569074,545.6340288856513,0.02512516175080271,0.12099748665224194,0.21768262834650554,89.97563470848426,32.58959263931086,69155.06382796944,60899.394795162596,0.22125475996049165,2.107068994145556,0.1479469971210092,0.5273059117639649,159.13370970608705,0.8571490196078433,0.322241512345679,0.15898218472231632,0.11083848394248928,0.12186279728155774
6,406,66.2423,4.42836,37,4.67617,0,107,131,10,125,8,0.98322,61.91654,0.0,0.0,2.71429,4.046,3.66892,0.0,0.0,126.0,59.38654,0.00012,0.71,1.204,-1.0,0.0,90.62529208654452,3.50672439261944,0.2745734558058172,0.01904635982469881,545.5569368599066,0.025242418804730087,0.11921522222872566,0.21751399779111316,89.98853437065661,32.67083118580006,69215.09894247344,60724.41143880659,0.22131496084964303,1.8862685727554125,0.14755889731242186,0.5273059117639638,159.3729137537484,0.855483137254902,0.33487654320987653,0.15861058220807148,0.11091656177045207,0.12088087105469207
7,407,66.2585,4.49888,37,4.56027,0,107,131,10,125,8,0.98697,61.91913,0.0,0.0,3.03571,4.043,3.75754,0.0,0.0,126.0,59.41421,5e-05,0.71,1.208,-1.0,0.0,93.26004615694265,3.5149715842253295,0.2745461985634826,0.018616638196518875,545.5596029816858,0.024669835412811623,0.1182340691336912,0.21732872652929058,90.02481621821367,32.6574326503424,69208.55303647747,60894.0162686083,0.2211529896021991,2.129677566219265,0.14707016246539284,0.5273059117639644,159.73331893605385,0.8574168627450982,0.3556616512345679,0.15850988221432888,0.11068037985317715,0.1202492558976257
8,408,66.2039,4.50228,37,4.42633,0,107,131,10,125,8,0.98255,61.88072,0.0,0.0,3.39286,4.05,3.81856,0.0,0.0,126.0,59.37034,0.0001,0.71,1.211,0.125,0.0,93.54825518308556,3.517114127923268,0.2742748829829171,0.018620736933382627,545.473916004716,0.02475362350467395,0.11836824556997423,0.21709329402362423,90.03038347953097,32.72855669186439,69149.9082812088,60769.47293015249,0.2212337813634403,1.826755485649361,0.1466955511687548,0.5250882857207372,159.06614599170544,0.8549764705882354,0.38348765432098764,0.15824286827796458,0.11084511775660373,0.119426028142334
9,409,66.2756,4.45246,37,4.40645,0,107,131,10,125,8,0.98262,61.94528,0.0,0.0,2.82143,4.047,3.82335,0.0,0.0,126.0,59.38272,7e-05,0.72,1.184,-1.0,0.0,94.11285524819272,3.511106715890357,0.2743054166121827,0.018687408574212704,545.3991941372522,0.02452680958989234,0.11811062922927384,0.21698114744822816,90.00113274817568,32.80671145592207,69143.67648588461,60896.50086460615,0.22127956482472305,1.9231274694736036,0.14644328304473977,0.5250882857207397,158.83186717514525,0.8565905882352943,0.39303626543209874,0.15813584603997835,0.11081631058587514,0.11920335709432332
10,410,66.2722,4.42251,37,4.70724,0,107,131,10,125,8,0.99083,61.96392,0.0,0.0,3.25,4.045,3.77878,0.0,0.0,126.0,59.35828,0.00012,0.72,1.199,-1.0,0.0,94.01992711103551,3.506811053568769,0.2742597795261473,0.018696585994984784,545.297939701547,0.0247497935255567,0.11701451484478238,0.21703642390679237,89.99736949473161,32.778556917920525,69111.1222035811,60821.09297336765,0.22136114649109845,1.921102502178154,0.14631180066088592,0.5273059117639672,158.84019283626557,0.8557125490196079,0.8873456790123457,0.1582729245625254,0.11075595155762225,0.11873406780451212
