,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,cubrow.0.3,cubrow.0.5,contrast,cubcol.0.5,saturation,temporal,cubcol.0,fft,cubrow.0.6,cubrow.0,color_fulness,uhdhdsim,tone,staticness,cubcol.1.0,cubrow.1.0,noise,cubcol.0.3,blur,movement,cubcol.0.6
0,0,84.7274,13.4366,86,0.0,0,104,125,22,127,14,0.99381,83.14957,0.0,0.0,6.10714,3.777,0.0,0.0,0.0,124.0,45.4474,0.00379,0.46,4.845,0.0,0.082906,3.609251649274625,0.3305932063614521,0.31893724352501024,96.75785565343267,0.3013798941171749,30.722825792100693,0.0,0.4227331509739743,75507.94250472213,0.28465631467608304,0.2713633490775378,162.66286271179175,82.18672644101122,0.611721568627451,329.8223241200706,0.18283184764316213,0.18652287348417532,0.6072570052685796,0.24087861294735471,63663.93459643038,0.0,0.3274651129282791
1,1,84.7572,13.2656,86,15.7913,0,104,125,22,127,14,0.99676,83.16588,0.0,0.0,5.32143,3.753,11.54712,0.0,0.0,125.0,45.42571,0.00373,0.46,4.121,-1.0,0.07812,2.586497111580957,0.31233181931249926,0.2752520334559554,96.90686725954933,0.2998458149365013,30.779640668704182,3.856485538657774,0.4059914521601686,75683.05471797142,0.2503040032792368,0.2714326393022532,162.62532400726855,82.12042235035611,0.6114294117647059,327.46685226510067,0.17939175752174366,0.1668001583716361,0.6072570052685804,0.24124013365272104,63875.22180417894,3.5144193672839505,0.29716906183469893
2,2,84.7516,13.1278,86,15.3618,0,104,125,22,127,14,0.99165,83.1746,0.0,0.0,5.92857,3.762,11.39143,0.0,0.0,125.0,45.40875,0.00374,0.46,4.606,-1.0,0.073666,2.055544564401393,0.3050680674646781,0.26365493927489153,96.993327327242,0.29830117572722126,30.78302661283517,3.83296384675956,0.408912492330476,75562.94423238459,0.2447804877336136,0.2719385013212373,162.7142471714167,82.15806217183881,0.6116745098039216,325.61658160540634,0.17783215082399187,0.1623713197620039,0.6072570052685807,0.2475846538559285,63777.84019646898,3.3088831018518516,0.28764953769050255
3,3,84.6471,13.0793,86,16.0269,0,104,125,22,127,14,0.99074,83.07017,0.0,0.0,5.92857,3.746,11.28166,0.0,0.0,125.0,45.38568,0.00357,0.46,4.471,-1.0,0.079091,2.8718303073296667,0.2991590174453907,0.2600779922031242,97.27827926920668,0.2979388644641991,30.80879267939815,3.759386443638532,0.4046834682895643,75611.79327258348,0.23957204060376672,0.27110300056612285,162.71987561293116,82.15031625604624,0.6113347647058799,323.8619096549267,0.17589271194292191,0.15935093337152362,0.6072570052685806,0.25209983277642256,63479.49937049563,3.0985243055555554,0.28149874266954306
4,4,84.6961,13.1316,86,16.3071,0,104,125,22,127,14,0.98326,83.12457,0.0,0.0,6.60714,3.752,11.22706,0.0,0.0,125.0,45.35985,0.00349,0.46,4.465,-1.0,0.078111,2.9109878513865524,0.2967636079557607,0.2609849972585273,96.88788449362272,0.30177298953053927,30.789217160071857,3.7257809307900382,0.40272315974557094,75659.42863959524,0.23806150440988105,0.2707090043708279,162.68549362890346,82.13918457736085,0.6111373333333331,322.30191339906946,0.17373726917113652,0.15609826437839422,0.6072570052685803,0.2527683400993417,63586.8418515298,2.9684606481481484,0.2829763957416699
5,5,84.6001,13.1875,86,15.6666,0,104,125,22,127,14,0.98942,83.04889,0.0,0.0,4.64286,3.742,11.27749,0.0,0.0,125.0,45.33902,0.00348,0.46,4.537,-1.0,0.070914,2.691380882719424,0.2940702460624596,0.25959574140175407,96.62769073266287,0.30741384171983044,30.804446750217014,3.664872289964409,0.4034229348531682,75516.82991165026,0.23351585193816224,0.2699723788051483,162.73690183509876,82.15784941062971,0.6114827450980392,320.7640300748188,0.17253635764307113,0.15230186957015363,0.6072570052685804,0.2510161462624905,63266.199361975494,2.8365644290123457,0.28277769533803104
6,6,84.6458,13.2269,86,15.8426,0,104,125,22,127,14,0.98604,83.10592,0.0,0.0,4.25,3.725,11.32113,0.0,0.0,125.0,45.31235,0.00367,0.45,4.518,-1.0,0.084418,2.5004436085892534,0.2919344910205575,0.25906330875218636,96.70713268017528,0.3081123858620083,30.782633463541664,3.7527612647675186,0.4059833100709739,75615.71286038878,0.23155179051679087,0.26964126264601135,162.83809593923363,82.16415375859923,0.6111474509803921,319.28586770643636,0.17168026452677404,0.15142508356114787,0.6072570052685805,0.2491608745468452,63396.86785648028,2.7425733024691357,0.27803363016167626
7,7,84.6279,13.4051,86,14.5926,0,104,125,22,127,14,0.99311,83.09571,0.0,0.0,4.14286,3.747,11.35254,0.0,0.0,125.0,45.29543,0.00367,0.46,4.33,-1.0,0.079874,2.986146376659595,0.2909065326610075,0.2605618238347365,97.40518057615263,0.31119096707444777,30.767346040702158,3.7888288330542363,0.405921068518679,75604.54746203095,0.23030463263490664,0.26963912550335806,162.78958020130767,82.14204682600915,0.611289411764706,317.79766703945546,0.16982484856532676,0.15125792235267307,0.6072570052685807,0.2483317525893073,63106.10855056357,2.599392361111111,0.2752194528386078
8,8,84.5765,13.031,86,16.4807,0,104,125,22,127,14,0.98959,83.0424,0.0,0.0,5.53571,3.71,11.50708,0.0,0.0,125.0,45.26384,0.00353,0.46,4.836,0.13182,0.077122,2.71199293614236,0.289282990483501,0.26002580794129204,93.24109281036954,0.31222945095259963,30.778132309148344,3.8882607586309144,0.40373510906547194,75459.9090950754,0.2301116823640484,0.2702311761359584,162.84039475016925,82.12713375506121,0.6115959411764698,316.363173093273,0.16912102109032753,0.15030144940197568,0.6078512163759755,0.24785640713043083,62740.867538251056,2.5560378086419755,0.2756774769834748
9,9,84.6096,13.0898,86,16.0099,0,104,125,22,127,14,0.99074,83.09345,0.0,0.0,4.64286,3.731,11.19394,0.0,0.0,125.0,45.23651,0.00368,0.46,4.446,-1.0,0.078296,2.711957754249303,0.2883769392479206,0.25933196248483836,96.99166220001395,0.3144183925497759,30.74452981831115,3.7372860821077722,0.39972229750561356,75476.8819997028,0.2292105109633212,0.2704003774717473,162.82533216906432,82.12364060662667,0.6111913725490197,314.9731750797213,0.16881954783795444,0.14921873004850647,0.6094746313118068,0.24789828272972136,62720.97234424829,2.302758487654321,0.27774266866024816
10,10,84.4971,12.781,86,15.6964,0,104,125,22,127,14,0.97219,82.99257,0.0,0.0,7.17857,3.712,11.24195,0.0,0.0,125.0,45.20654,0.00386,0.46,4.511,-1.0,0.079154,2.3693970536975146,0.2871322292800599,0.25861495896249637,96.95943119418895,0.31684556779903256,30.69781720196759,3.9615236290768943,0.3928633375150981,75431.20280067109,0.2284870698809957,0.2702083678140544,162.84183201460135,82.17063569871652,0.6110650980392156,313.62167717486426,0.1683207892961968,0.14795303771659069,0.6072570052685815,0.2477744746699789,62263.472452097965,3.400559413580247,0.27763282598822425
11,11,84.5184,12.6494,86,15.0966,0,104,125,22,127,14,0.98478,83.01198,0.0,0.0,6.17857,3.716,10.97915,0.0,0.0,125.0,45.18718,0.00341,0.46,4.225,-1.0,0.080101,2.493195584560864,0.2854091557015904,0.25754182195755815,96.76921674425708,0.3181491038013837,30.684111041787233,3.720914834832441,0.3872929733184761,75278.59028882213,0.2275450618387496,0.2698065079788813,162.87015882318508,82.13461296351662,0.6113556862745098,312.2910062708635,0.16846283118032013,0.14696535381262243,0.6094746313118087,0.24781348536447118,62300.57248806238,3.953125,0.27590493054763704
12,12,84.4859,12.9965,86,14.5464,0,104,125,22,127,14,0.98022,82.97104,0.0,0.0,6.21429,3.723,10.86318,0.0,0.0,125.0,45.17268,0.00343,0.46,4.558,-1.0,0.076407,2.2898983043684065,0.2839116241164857,0.2576405344475852,96.68385796439966,0.3177910693784507,30.655178870683837,3.577603915324971,0.38330543744539786,75361.3939100582,0.22753079949304245,0.26950176978242774,162.92981695140784,82.12119835665351,0.6112376470588236,311.00822136657825,0.1691742657256115,0.14611993911939147,0.6072570052685803,0.2485037520975503,62183.93418237857,3.5422453703703702,0.2754778951900191
13,13,84.4047,13.1912,86,16.2065,0,104,125,22,127,14,0.99993,82.89631,0.0,0.0,6.42857,3.74,11.15819,0.0,0.0,125.0,45.15141,0.00371,0.45,4.46,-1.0,0.089154,2.3030567072602706,0.2831638953114313,0.2575434024287466,96.77459632934247,0.3177328803463839,30.651638454861114,3.8957008172154453,0.38159153011743396,75227.35033857901,0.22726220802061384,0.2693305733859153,162.93353769042216,82.1356786191282,0.6110741176470589,309.75792109370735,0.16991817978270904,0.14472524991515642,0.6094746313118078,0.24976752378728595,61862.58797029468,3.0348186728395063,0.27391733727085327
14,14,84.4025,12.4984,86,15.9899,0,104,125,22,127,14,1.00552,82.8856,0.0,0.0,5.42857,3.7,11.32461,0.0,0.0,125.0,45.11882,0.00358,0.46,4.311,-1.0,0.069752,2.9715583411663267,0.28296811087545964,0.25709053790651726,96.37182109026135,0.31873692024667516,30.613870879750195,4.046227162463472,0.3779652539775353,75302.23425920407,0.2264878920868554,0.2698667648276856,162.9635790173528,82.13514671929107,0.6111474509803921,308.5112308901138,0.17062604254523475,0.14337911098758918,0.6072570052685796,0.2501285342962504,61762.10085321194,3.1107253086419755,0.2732832592708054
15,15,84.4106,12.4753,86,16.2114,0,104,125,22,127,14,1.00856,82.88557,0.0,0.0,5.21429,3.704,10.72993,0.0,0.0,124.0,45.08331,0.00367,0.46,4.368,-1.0,0.078561,2.7023016945162013,0.2830434694466983,0.25760769932244576,94.90678905330304,0.3200346140732786,30.586310304241415,3.561815100938229,0.37523640619741855,75359.63231110707,0.22608907509814252,0.2705132669294697,162.96977001654724,82.13830988304727,0.6102678431372549,307.266804463781,0.17149937433424609,0.1419754322803105,0.6072570052685805,0.2505786236680639,61875.290631388074,3.814284336419753,0.2737821039964857
