,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blur,saturation,color_fulness,cubrow.1.0,cubrow.0,cubcol.0.3,cubcol.0.5,staticness,cubrow.0.5,cubrow.0.3,uhdhdsim,temporal,cubcol.0,fft,cubrow.0.6,cubcol.1.0,contrast,noise,blockiness,tone,cubcol.0.6,movement
0,200,46.6229,19.9921,27,0.0,0,117,113,11,138,13,0.998,42.967,0.0,0.0,4.67857,5.184,0.0,0.0,0.0,126.0,27.01992,7e-05,0.31,1.652,0.0,1.58153,17099.126278899097,61.90853373209635,82.74457190330835,0.09075590193102843,0.2404792769931289,0.12671432153945178,0.057090403172999696,585.1413751365866,0.11028320346709532,0.17776167735754364,96.55509298024795,0.0,0.0731341910492562,66193.33703232437,0.09906973843211987,0.10174482290631828,88.7700032028832,0.30059916912314205,1.2509274548987543,0.4064960784313726,0.06370896120425673,0.0
1,201,46.485,19.1982,27,20.8741,0,117,113,12,138,13,0.9985,42.83651,0.0,0.0,5.75,5.187,17.16115,0.0,0.0,126.0,26.67986,9e-05,0.31,1.721,-1.0,1.615976,17039.6680653763,61.86009178632571,81.50475650998834,0.07500876064528104,0.23686227655407116,0.10994217664461738,0.056625734488596,565.9629657710385,0.09675308842841017,0.1700803947878942,96.64531008947293,5.106103814817661,0.07337424382504054,66144.83596022973,0.08549429716980471,0.08146097539232101,88.63930141863374,0.30059916912314105,1.2147797683777979,0.4027247058823529,0.0616841423835906,11.700231481481481
2,202,45.9328,18.6028,27,19.145,0,117,113,12,138,13,0.99962,42.34362,0.0,0.0,4.89286,5.29,16.48085,0.0,0.0,125.0,26.49882,5e-05,0.31,1.734,-1.0,1.575547,16378.143749226261,61.97863166714892,80.77172180679813,0.07226170548917496,0.23378922004972993,0.10759687609240803,0.057784337942216296,550.9409257810436,0.09259895996779047,0.17086136637707353,96.71650438852825,4.89664156383547,0.07146078977433888,66010.13020826611,0.08337891019275638,0.07803214376873577,88.27002079713056,0.29838154307991266,0.8444042476509427,0.401778470588235,0.061903350677703986,10.048852237654321
3,203,46.6384,18.683,27,19.4687,0,117,113,12,138,13,1.00232,42.94901,0.0,0.0,4.14286,5.23,15.97153,0.0,0.0,125.0,26.45935,5e-05,0.31,1.749,-1.0,1.577119,16879.32403087557,62.27069091796875,80.61110638603418,0.07176916345752321,0.23246979422830974,0.1067617951350351,0.057311531680758275,539.0823910906672,0.08960344460915487,0.1722886696214823,96.52559714581635,4.861763845065409,0.0723508147139184,66041.68352836017,0.08070761035845721,0.07620229310358674,87.96853255074659,0.2983815430799161,1.245423528839395,0.4059521568627452,0.060968214405935424,9.08912037037037
4,204,46.7433,18.2889,27,19.7304,0,117,113,12,138,13,1.00513,43.0156,0.0,0.0,4.64286,5.245,16.04004,0.0,0.0,125.0,26.43117,5e-05,0.31,1.543,-1.0,1.611276,16948.311199281645,62.396764684606474,80.6141855213932,0.07010245310627543,0.23309327542525002,0.10795626395511539,0.05556609048092771,529.3725982288478,0.08894894475687327,0.17091104468688517,96.49572301729764,5.03509479783644,0.07230114834777782,66108.5911404199,0.07880572625259107,0.07471581825664796,88.37073253681389,0.298381543079912,0.9124820811065849,0.4100596078431372,0.06036182570374982,7.759211033950617
5,205,46.3115,18.1777,27,19.9687,0,117,113,12,138,13,0.9994,42.58388,0.0,0.0,4.21429,5.265,15.7002,0.0,0.0,125.0,26.36263,2e-05,0.31,1.447,-1.0,1.723012,16646.910939878584,62.46184944812162,80.3356783704356,0.07032380362516662,0.23220096634656026,0.10637917902979471,0.05805717668056528,521.8803472700366,0.08633791135472259,0.1689453437839301,96.64887293790557,4.942556648435486,0.0722865402582237,66036.46767748022,0.077979341921092,0.07440090541255967,85.15312673449654,0.2961639170366768,0.9615768505274497,0.4121435294117647,0.06035468257378927,6.782889660493828
6,206,46.7929,19.0447,27,18.1878,0,117,113,12,138,13,0.99596,43.05124,0.0,0.0,4.85714,5.213,15.60706,0.0,0.0,124.0,26.51672,5e-05,0.31,1.574,-1.0,1.71307,16981.386638459677,62.50359127845293,80.19130665683268,0.07085051780087814,0.23183581343459098,0.10562063549105684,0.05707177231482342,516.3881321932571,0.08712086884381208,0.16864827513441846,96.55577460797096,4.66125204299037,0.07300680848270714,66048.9735529967,0.07691219044922354,0.07510107603542224,87.78069662092707,0.29616391703667905,1.025715469389556,0.4145071764705878,0.05992161782702237,6.172550154320987
7,207,47.4079,18.4592,28,19.2978,0,117,113,12,138,13,0.99941,43.60626,0.0,0.0,5.46429,5.235,16.35162,0.0,0.0,124.0,26.69228,5e-05,0.31,1.582,-1.0,1.648265,17593.750069058104,62.49863405580874,79.29009006382653,0.07095468747615694,0.2315246695442026,0.10537299460330314,0.0558007593832946,511.8553358544948,0.08495244689730615,0.16782461426156162,96.42075874619786,4.932787330713888,0.0736622555842259,66153.28284344128,0.07595536566760569,0.07442976523280351,88.33607484914664,0.29232287605761864,1.010853100248832,0.42285570588235294,0.059106812556176266,5.926697530864198
8,208,47.1102,18.1868,27,18.1557,0,117,113,12,138,13,1.00172,43.32079,0.0,0.0,4.75,5.251,15.84762,0.0,0.0,123.0,26.61489,4e-05,0.31,1.569,0.35378,1.704428,17572.48207559746,62.433443045910494,78.770202120976,0.0701317161882672,0.23095721312556775,0.10432724300484475,0.05459414364674764,507.84607184004335,0.08434921574707185,0.1686389598311198,96.53332289393576,4.748400951877826,0.07368220846004474,66126.81040919274,0.07551952654776581,0.07410984514949118,88.09948278445447,0.2862642090353286,1.2509077060387976,0.41855882352941187,0.05947961790452932,5.367814429012346
9,209,47.8982,18.3941,28,20.4496,0,117,113,12,138,13,1.00053,44.04437,0.0,0.0,5.28571,5.223,15.61652,0.0,0.0,123.0,26.72367,3e-05,0.31,1.645,-1.0,1.638887,18090.13162229941,62.46320220570506,78.93351621830911,0.06908913130271094,0.23007882096073842,0.10308487147474729,0.053483062881474086,504.0481520038979,0.08307529290769244,0.16972654493423245,96.33733458695045,4.683877406778319,0.07383030543666776,66262.9186315718,0.07591883715344232,0.07715225762897245,88.88205962075892,0.2961639170366809,1.2256557281446565,0.42104235294117653,0.05947764899614656,5.503231095679013
