,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,cubrow.0.5,tone,cubcol.0.6,cubcol.1.0,temporal,noise,saturation,color_fulness,fft,cubrow.0,cubrow.0.6,cubrow.0.3,uhdhdsim,cubcol.0.3,contrast,staticness,cubcol.0,blur,blockiness,movement,cubcol.0.5
0,200,66.5428,13.6577,68,0.0,0,116,121,18,130,22,1.02765,64.32365,0.0,0.0,0.82143,3.625,0.0,0.0,0.0,125.0,58.37367,0.00112,0.6,2.008,0.0,0.026276,0.2962852243081824,0.2527166063145976,0.9025470588235296,0.25929905240660056,0.13419234972738625,0.0,0.9635725998071645,40.17358115867332,149.55736291553822,75441.2049202877,0.3587767442571017,0.24491505365515945,0.23563146826459966,83.75375726526498,0.20032358476082898,98.47790480093343,505.8720203949041,0.08831844306036625,35935.39975253229,2.899888939693367,0.0,0.292920234790777
1,201,66.915,13.5526,68,21.3245,0,116,121,18,130,22,1.03234,64.65427,0.0,0.0,0.67857,3.614,11.7436,0.0,0.0,125.0,58.37271,0.0012,0.6,1.956,-1.0,0.027948,0.27589328415294995,0.2436794538306469,0.9038733333333334,0.2398852923162331,0.13339948035676416,4.983900940309602,0.965790225850386,40.064916163315004,149.3225464983175,75691.56965272648,0.3090507047833584,0.2385998784592705,0.22604018059876888,83.68171756849529,0.17849896852345612,96.67458032964203,500.9452638646592,0.08600687476856005,36322.36801211111,2.651438594039777,6.504533179012346,0.27283314277553405
2,202,65.7212,14.1543,67,21.6253,0,115,121,18,130,21,1.01911,63.59965,0.0,0.0,0.75,3.639,11.65913,0.0,0.0,125.0,58.4142,0.00104,0.6,2.17,-1.0,0.038512,0.2749241049831453,0.2407571684792748,0.9036176470588236,0.2280103004286741,0.1330463890417108,4.992981538883731,0.9657902258503857,40.181740089699076,149.1184482550924,75113.6326325966,0.29312568818407975,0.23756566689440894,0.2241910764782668,83.87134742063422,0.171684002959233,96.62620433713545,496.7676410093759,0.08593768595961383,33757.72812711708,2.806355376199295,5.913966049382716,0.25875951235170863
3,203,65.9323,14.6685,67,20.8313,0,115,121,18,130,21,1.0196,63.79143,0.0,0.0,0.78571,3.669,12.1799,0.0,0.0,125.0,58.44844,0.00118,0.6,2.164,-1.0,0.029283,0.27131488099968576,0.24016369894352285,0.9032105882352942,0.22013494010678294,0.1331139489436833,5.015417475643449,0.9696312668294561,40.112943672839506,149.00076661194962,75164.31523417954,0.288317665344052,0.23718953633302767,0.22355723681785436,83.89817826816746,0.16525866428690159,98.3838499120286,492.8011092362564,0.08541117470319694,34226.17505781681,2.8401063666877273,5.572579089506172,0.251012036750751
4,204,66.669,14.3933,68,22.4265,0,115,121,18,131,21,1.02027,64.47243,0.0,0.0,0.75,3.624,12.62511,0.0,0.0,125.0,58.35382,0.00112,0.6,1.981,-1.0,0.034416,0.2645233182760237,0.23985387221265117,0.902377254901961,0.21651047766217327,0.13296757838175163,5.049070311914907,0.9696312668294516,39.86620660475742,148.72667183993377,75489.01655911472,0.2794103734270768,0.2371851812137898,0.22364820955142525,83.70963354994389,0.16216139965731868,96.56061778387206,489.3108225827529,0.08503800256500091,35685.433757357336,2.5761345326302787,5.259693287037037,0.253351344504698
5,205,66.0822,15.2313,68,22.0286,0,115,121,18,130,21,1.01782,63.94226,0.0,0.0,0.82143,3.643,12.37416,0.0,0.0,125.0,58.41341,0.001,0.6,1.918,-1.0,0.033312,0.26388100614952387,0.23931676166767826,0.902377254901961,0.21531322213481371,0.13289424495020202,5.010998416600512,0.9718488928726883,40.09990456663532,148.75463940349206,75580.03703355153,0.274496161895544,0.23732375940748526,0.22416868075724397,83.84016889859588,0.16073019583767215,98.16479535675326,486.12068224714614,0.08499660856162052,34476.527788122956,2.966789679101432,4.698157793209877,0.2526485020398668
6,206,66.5143,14.8323,68,22.0351,0,115,121,18,131,21,1.02549,64.34685,0.0,0.0,0.53571,3.655,13.10116,0.0,0.0,125.0,58.49875,0.00113,0.6,1.914,-1.0,0.029124,0.2641638775386902,0.23966796170240573,0.9054050980392158,0.21396786681872434,0.13295830088306784,4.976416556114363,0.9756899338517447,40.238603191611205,148.53593596729786,75791.951467472,0.27234123469303484,0.2378155264678909,0.22460555000297736,83.79252264239136,0.1580365789970948,96.23834404568794,483.2314097695186,0.08489324128457708,35444.170848177346,2.6499504738159096,4.369454089506172,0.24991081669037774
7,207,67.8543,15.5371,69,21.6491,0,115,121,18,131,21,1.02254,65.55393,0.0,0.0,0.64286,3.64,12.75231,0.0,0.0,125.0,58.38995,0.00133,0.6,1.995,-1.0,0.024358,0.2647744536831,0.23966309995580132,0.9037533333333333,0.21098962234665294,0.13296989080479318,4.915623810462682,0.9779075598949758,40.35133003894194,148.39486436989688,76352.03759829502,0.27743938583900024,0.23820327350542425,0.22491108556285674,83.63191066988988,0.15887214410969996,98.18405623135928,480.85436243589123,0.08480210416247778,38570.823923085045,2.854914321486849,3.8050733024691357,0.2492832383962924
8,208,68.2596,17.984,69,21.9633,0,115,121,18,131,21,1.02584,65.94135,0.0,0.0,0.75,3.634,13.35596,0.0,0.0,125.0,58.37681,0.00123,0.6,1.854,0.15959,0.022417,0.26749546958744114,0.2393216724311574,0.90356,0.20940748017706234,0.13311754112652152,4.943107344306352,0.9817486008740386,40.344539312668786,148.2724610154285,76387.57254082103,0.27773183185845196,0.2385004495417169,0.2245824980761653,83.626037891006,0.15845760485350746,98.13239188068728,478.8091013330186,0.08477289160334721,39455.180801384064,2.238270312807137,3.68359375,0.247123985350247
9,209,69.2491,18.4835,70,22.6185,0,115,121,19,131,22,1.02005,66.88733,0.0,0.0,1.0,3.662,15.46107,0.0,0.0,125.0,58.42199,0.00109,0.6,2.049,-1.0,0.029389,0.2666846487093739,0.2390920281428613,0.9041603921568627,0.2094136060762601,0.1330274321084378,5.021954820704127,0.9861838529605106,40.2268748342255,148.28351256353704,76645.67915439254,0.27250139335556883,0.23872851736773812,0.22422560212190776,83.59648631085024,0.15883929327684684,98.147828081082,476.8373760652108,0.08472997656395588,41855.66709880108,2.716579633561129,3.900896990740741,0.24826179951880126
