,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,saturation,uhdhdsim,cubrow.0,tone,movement,cubrow.0.3,fft,cubrow.1.0,cubcol.0.5,cubcol.1.0,cubcol.0,cubcol.0.3,cubrow.0.6,temporal,blockiness,cubcol.0.6,cubrow.0.5,noise,blur,color_fulness,staticness,contrast
0,200,48.4493,4.59511,31,0.0,0,116,133,8,125,7,0.987,46.90301,0.0,0.0,2.67857,5.117,0.0,0.0,0.0,128.0,55.08296,3e-05,0.73,1.066,0.0,0.0,33.64208475748698,92.00983065924751,0.10865144813149655,0.7690003921568628,0.0,0.231834429934103,65707.00481258283,0.11487156463110394,0.14122252126252113,0.03615102100776368,0.030296991705990414,0.05602497101856045,0.15731883308956252,0.0,2.745056872051775,0.1589977780391307,0.2547320841431277,0.5432642867876135,20964.640214556286,162.99081652278053,618.7592897152948,90.4002173632181
1,201,48.4741,4.77419,31,5.18472,0,116,133,8,125,7,0.99011,46.9316,0.0,0.0,2.5,5.144,3.90374,0.0,0.0,128.0,55.08415,3e-05,0.72,1.049,-1.0,0.0,33.64796881028164,92.00234147393175,0.10628876971808597,0.7686274509803921,0.2453221450617284,0.22880277456216264,65738.35804903499,0.10482774874517031,0.1377600754908902,0.03007177959084543,0.023540213784875242,0.04775700742811165,0.15452970156843476,3.7038776941192086,2.2942270378804186,0.1569428255904779,0.25035825489181046,0.5454819128308419,20927.84517976343,162.9862066046264,618.6919692408242,88.20846248853547
2,202,48.3386,4.98379,31,5.02056,0,116,133,8,125,7,0.99683,46.81041,0.0,0.0,2.32143,5.124,4.06241,0.0,0.0,128.0,55.03935,6e-05,0.73,1.052,-1.0,0.0,33.63274468315972,91.98510511076486,0.10700023927937262,0.7689329411764706,0.2777777777777778,0.22652566174261102,65669.20215049639,0.10201905365348252,0.14170776792302078,0.02818954883789247,0.021868433567663274,0.04629839829409516,0.1534729981254809,3.6782634153672595,2.312794064532578,0.15548544522627955,0.24980097037947724,0.5454819128308407,20735.10994803942,162.97522945072393,618.3398954498349,91.06627929657846
3,203,48.2058,5.27181,31,5.01163,0,116,133,8,125,7,0.99669,46.68756,0.0,0.0,2.46429,5.158,4.24148,0.0,0.0,128.0,55.02281,8e-05,0.72,1.047,-1.0,0.0,33.73303429874373,92.04219547088412,0.10665575250571183,0.7690003921568628,0.30473572530864196,0.22383201247988999,65554.65817657296,0.10140974125656467,0.14727631481107065,0.027340209732023068,0.021254896050959416,0.044734557596073476,0.15223707815960155,3.6734704910774596,2.509153015248188,0.15450514186111272,0.24979934547975902,0.5454819128308418,20506.605990267806,162.97506891787327,618.2797370287217,88.84838973035593
4,204,47.9808,5.49689,30,5.36964,0,116,133,8,125,7,0.99342,46.48866,0.0,0.0,2.35714,5.178,4.49362,0.0,0.0,128.0,54.95945,6e-05,0.73,1.041,-1.0,0.0,33.64044961811584,92.10455491965544,0.10721433071877799,0.7691850980392156,0.34466628086419754,0.22162801653517397,65486.98855359358,0.10033188666689116,0.15107092699861477,0.02703211037599863,0.0210075170448222,0.04409725530883569,0.15157667120036547,3.7188839585790445,2.442411647640734,0.15400950350129117,0.24996064565095955,0.5454819128308449,20311.182015406906,162.97328861825235,618.0886459765898,88.98754627906474
5,205,47.867,5.67397,30,5.37721,0,116,133,8,125,7,0.99446,46.38805,0.0,0.0,2.14286,5.209,4.68605,0.0,0.0,128.0,54.98006,5e-05,0.73,1.051,-1.0,0.0,33.61506200719763,92.12233135277324,0.10725632748534564,0.7708596078431373,0.4473861882716049,0.21986237568936137,65484.63419593597,0.09882273340036427,0.15131953600886303,0.026550362499401056,0.02089767506209733,0.043631240099798956,0.15092182711583207,3.786529066663187,2.372838216822774,0.15323583857588724,0.2503602618709978,0.5454819128308422,20183.94307626831,162.97629476888886,617.9340837106416,88.91549311425467
6,206,47.7819,5.89426,30,5.55727,0,116,133,8,125,7,0.99411,46.31776,0.0,0.0,3.17857,5.169,4.84081,0.0,0.0,128.0,54.91814,4e-05,0.73,1.044,-1.0,0.0,33.663222889841336,92.14146159888284,0.10786370247430237,0.7703466666666667,0.5190489969135802,0.21831695220205596,65438.00017008107,0.09748345889597929,0.1502721827531933,0.026514332054041707,0.02071912891254486,0.04344331766786718,0.15048586940572692,3.8417597477074144,2.1742222649282503,0.1533249367446006,0.2501869709713276,0.541640871851782,20108.782533946007,162.9753004704672,617.7363330606754,90.85594389117016
7,207,47.8672,6.10182,30,6.5095,0,116,133,8,125,7,0.9851,46.38528,0.0,0.0,2.35714,5.204,5.02895,0.0,0.0,129.0,54.89373,7e-05,0.72,1.028,-1.0,0.0,33.67415929723669,92.11023376822078,0.1077835369472726,0.77118,0.5943287037037037,0.21709120757345796,65407.01543232859,0.10177033093376286,0.14908408918476657,0.026365290459377095,0.020431289757014977,0.04345482470160728,0.15013443167650314,3.910992203776954,2.8012905468541143,0.1530542171429267,0.2501489106673648,0.5454819128308456,20155.397654200613,162.98905571848033,617.5376631654811,89.21291148111423
8,208,47.9127,6.20488,31,6.23058,0,116,133,8,125,7,0.98208,46.44329,0.0,0.0,2.39286,5.184,5.21138,0.0,0.0,128.0,54.81734,6e-05,0.72,1.043,0.125,0.0,33.69140455457899,92.05293724710485,0.10752159530963534,0.7725341176470588,0.5907600308641975,0.21611020703001008,65398.87225465893,0.10547565927927113,0.14732272629591453,0.02623196937066758,0.02054383803856425,0.04349824265197324,0.14973856413882716,3.9255161509262866,2.6680591770975894,0.15292871089110877,0.25024592945980045,0.5454819128308452,20155.427808849614,162.9986587291226,617.295179505436,88.11783314727771
9,209,47.9165,6.26004,31,6.16016,0,116,133,8,125,7,0.98857,46.45428,0.0,0.0,2.42857,5.199,5.29758,0.0,0.0,129.0,54.77975,6e-05,0.72,1.044,-1.0,0.0,33.709236615969814,92.12399445878042,0.1076828247658545,0.7731145098039216,0.5813078703703703,0.2152093822276502,65338.118710295974,0.10828338399504912,0.14812964991106872,0.0260697195751247,0.020172611055625466,0.04359512343534789,0.1496278894670863,3.911109816425764,2.339978446164426,0.15275022406443708,0.25027260588534633,0.5454819128308466,20130.05583596748,162.99389874176129,617.0780536908513,90.96518906503414
