,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,uhdhdsim,cubcol.1.0,blockiness,color_fulness,contrast,blur,tone,movement,cubcol.0.3,cubrow.0.6,staticness,cubcol.0.6,temporal,cubrow.0,cubcol.0,noise,cubrow.1.0,cubrow.0.5,fft,saturation,cubrow.0.3,cubcol.0.5
0,100,24.4674,19.3947,13,0.0,0,120,116,4,138,7,0.99608,23.72997,0.0,0.0,14.39286,11.178,0.0,0.0,0.0,117.0,29.89781,0.0,0.3,4.423,0.0,3.805441,102.36417079089696,0.056242587721621475,0.770126481153567,77.53530901795172,86.55548315719564,3125.2026024093816,0.4456070588235295,0.0,0.1514374430405198,0.11469815022401385,604.224727668192,0.051278567359595545,0.0,0.02322243093879854,0.05139906770663803,0.20793653046654223,0.0912112706058541,0.0901643716098808,61683.04298766237,51.53503606348862,0.08935863344970059,0.08300813974013192
1,101,23.8416,19.0858,13,19.1734,0,121,116,4,138,7,1.00213,23.08572,0.0,0.0,10.60714,11.372,16.65561,0.0,0.0,108.0,29.38223,0.0,0.3,4.556,-1.0,3.815475,102.46562116372087,0.05672111164385396,0.6236698645819352,77.35031621237755,90.12466011044707,2957.884422641781,0.43983176470588237,12.018711419753087,0.13778184840205826,0.08083868680551184,588.8862016836257,0.04970555782231568,5.309821598478107,0.016768163502479574,0.048927542044279966,0.19966023740101982,0.0725548219154859,0.06095198442333975,61602.0246032213,51.35302225748698,0.06798645083682382,0.07729529622801269
2,102,23.7866,19.0571,13,18.6032,0,121,116,4,138,7,0.99713,22.94873,0.0,0.0,11.53571,11.657,16.39047,0.0,0.0,106.0,29.15868,1e-05,0.3,4.675,-1.0,3.760093,102.47595743367026,0.05700310678843101,0.9142748300172386,77.51477542799249,84.96645671370423,3098.0145644995036,0.43917660784313517,10.80762924382716,0.12987715156403215,0.06739906331438135,575.7087513145827,0.049511819103821575,5.328173034642219,0.015149264949152684,0.04048719511354913,0.19966023740101888,0.06278192128892074,0.05399379736827427,61587.48574363806,51.11552523389275,0.06445566397982228,0.07300602163478215
3,103,25.1213,18.7884,13,17.2401,0,121,116,4,137,7,0.9941,24.03142,0.0,0.0,12.53571,11.024,16.36731,0.0,0.0,103.0,29.15497,0.0,0.3,4.87,-1.0,3.801232,102.26763990825553,0.056016729681585095,0.7732905029504523,77.82322793262708,88.57798019799085,3989.754745048808,0.4393701960784314,9.457079475308642,0.12403066403668499,0.06698233754954107,563.7958296241474,0.048827512913274675,5.312975847122689,0.014237293296231341,0.03764151260541445,0.19966023740101504,0.05691034981700708,0.05105247024078502,61653.2151997095,50.97650881166811,0.06343220316191255,0.07255243503523622
4,104,25.7958,18.5842,13,16.1921,0,121,116,4,137,7,0.99119,24.60351,0.0,0.0,13.64286,10.483,16.14539,0.0,0.0,101.0,29.14056,1e-05,0.3,4.616,-1.0,3.764724,102.17063107200758,0.05556749943747285,1.0465623312607863,78.57504777504137,87.11447855096289,4367.62353119189,0.439418431372549,8.335407021604938,0.12757648226725846,0.06559162277037187,552.583857538811,0.048847764976731475,5.307056503682799,0.013534320422983095,0.035409045667390435,0.19966023740101776,0.05255488685015418,0.050278802954560935,61697.96660011864,50.76563102816358,0.061641929973189714,0.06918017389940163
5,105,26.0237,18.4089,13,15.4796,0,121,116,4,137,7,1.00389,24.84543,0.0,0.0,10.82143,10.349,15.97429,0.0,0.0,101.0,28.97654,0.0,0.29,4.472,-1.0,3.847279,102.12142310640107,0.0556753683305621,1.131927853062647,78.03512299873636,87.17189403151775,4480.388866357785,0.43671176470588235,7.077160493827161,0.12595652269207508,0.06711749867839431,541.9660506674128,0.04919784705351224,5.278292083250114,0.01316420905992341,0.03612797083207147,0.19966023740101657,0.05101770331176528,0.051516211177811556,61792.32007626199,50.655158902391975,0.06051699282884451,0.06892682292103253
6,106,26.1317,19.1207,13,16.4522,0,121,116,4,137,7,1.00629,24.96611,0.0,0.0,14.96429,10.407,15.83156,0.0,0.0,102.0,28.78765,0.0,0.29,4.424,-1.0,3.77798,102.13207970941278,0.05526996268952063,0.9551726185450266,77.78245655751002,86.45428523190222,4404.168427268853,0.4340772549019608,6.514515817901234,0.12655482090099238,0.0649619789148199,531.5522109982835,0.053071938343729134,5.234880046730035,0.012976573276282983,0.03661188634448909,0.19966023740101968,0.04917490319344602,0.04987461538088011,61813.46826227695,50.49261644151476,0.06008053423249118,0.06959481343398119
7,107,26.1974,19.9568,13,16.9837,0,121,116,4,137,7,0.99944,25.07331,0.0,0.0,16.10714,10.695,16.43825,0.0,0.0,101.0,28.69431,0.0,0.29,4.935,-1.0,3.739193,102.1271879538244,0.054976482613290925,0.9571698473238939,77.24239614611693,88.93361508559738,4235.842723762035,0.4353278431372549,6.552758487654321,0.12437663688031154,0.06299912324112657,521.4393406553205,0.053276699355169585,5.2450053555043725,0.012805923787069047,0.03681362024185383,0.199660237401023,0.0486631860085352,0.0478354200663222,61804.788188838196,50.12134843991126,0.06034537856799458,0.07668425606712816
8,108,26.2489,20.564,13,17.3554,0,121,116,4,137,7,1.00587,25.20874,0.0,0.0,10.75,11.051,17.15847,0.0,0.0,105.0,28.99704,0.0,0.3,5.096,0.43107,3.826071,102.10956665501652,0.05304592585795901,1.078162672589786,78.13535591772423,87.90629840339669,4081.199794334896,0.4396152941176471,6.7018711419753085,0.12098952638127825,0.061436756389381314,511.2597585029403,0.05519117197967934,5.266354123818379,0.01261109627559999,0.03974896757315031,0.20793653046654,0.04822120132130654,0.04702135857176408,61850.34630470368,50.01292344081549,0.06065692429986563,0.0829053512465299
9,109,26.9562,20.9532,14,18.5505,0,120,116,4,137,7,0.99295,25.91188,0.0,0.0,12.78571,10.908,17.68152,0.0,0.0,105.0,29.5543,0.0,0.3,4.555,-1.0,3.786153,101.97865494046134,0.05192011344504537,1.1690223120407963,79.67615826571527,87.79619501959571,4248.823325607222,0.448329411764706,7.101514274691358,0.11796514770913773,0.059331645143003854,500.75765008719816,0.05907655141751665,5.341439318244057,0.012640566477218777,0.04134116408847966,0.20793653046654392,0.04882580160734823,0.04695205527780881,61792.38867411504,49.85759801040461,0.06144208910227726,0.08786660974813768
