,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,staticness,temporal,movement,cubcol.0.5,cubrow.1.0,fft,cubrow.0.5,cubrow.0.3,blockiness,contrast,noise,cubcol.0.3,uhdhdsim,cubrow.0,cubrow.0.6,color_fulness,blur,saturation,cubcol.0,cubcol.0.6,cubcol.1.0,tone
0,100,121.082,25.9248,141,0.0,0,115,129,18,125,13,1.00441,117.61743,0.0,0.0,0.96429,3.852,0.0,0.0,0.0,128.0,58.39175,0.00417,0.42,4.476,0.0,0.005813,234.4369332370261,0.0,0.0,0.5476263998739378,0.4115000373451033,84973.22344189009,0.43165602256273733,0.47966147505947215,2.2492170873766084,93.85363749478783,0.644797429617133,0.4993503436856605,80.10170400644533,0.21368114509114763,0.47067776394163396,146.89895630549597,196761.56058890515,22.83530718014564,0.26307045395418277,0.47192385892253996,0.4202705173049339,0.8918329411764705
1,101,120.976,25.3889,141,47.9281,0,115,129,18,125,13,0.99986,117.54508,0.0,0.0,1.0,3.862,22.253,0.0,0.0,128.0,58.37901,0.00386,0.41,4.329,-1.0,0.006041,232.00094692129562,5.260624568071116,12.503761574074074,0.4777884337316874,0.38186632211774363,84958.8796523678,0.38939346060857616,0.43950817059492997,1.8223934542290947,93.74123572629544,0.6447974296171286,0.43711944803096014,80.13285741051574,0.20099488914931476,0.4310485843847733,147.04733395684949,196171.6349671741,22.841652387454186,0.2438357814454275,0.42400286455235087,0.38667371317027976,0.8918329411764705
2,102,120.936,25.5409,142,48.0715,0,115,129,18,125,13,1.01032,117.52663,0.0,0.0,1.17857,3.881,21.79038,0.0,0.0,128.0,58.3956,0.00381,0.42,4.74,-1.0,0.008736,229.19033507172762,5.156992853958777,12.237123842592593,0.4513533862855336,0.37602207214839567,85053.77482612502,0.3775301714725365,0.42326081401443366,1.6629411561814453,88.1662385382462,0.6496676744246325,0.4153843173322526,80.09909968810024,0.19854020455137464,0.42168059960200777,147.12261961890567,195556.14809897222,22.788556887779706,0.24160479006066427,0.40750341110638333,0.37874904095131046,0.8915054901960784
3,103,121.336,26.0194,142,49.7868,0,115,129,18,125,13,1.00645,117.95708,0.0,0.0,0.89286,3.839,21.92235,0.0,0.0,128.0,58.44767,0.00421,0.42,5.289,-1.0,0.006936,226.64826012690256,5.230100409722732,12.010320216049383,0.44161330495801665,0.3739095592330985,84970.19371929183,0.3663906349525272,0.4114958856800113,1.9907133811671585,91.97090725793755,0.6517260820815083,0.40426437451830965,80.06587354527659,0.19539445499672545,0.42155727062733717,147.2164110520748,197612.34118499124,22.625234533239293,0.2368908970939295,0.40150707548466796,0.3738962277115893,0.8909925490196078
4,104,121.844,25.8085,143,48.1683,0,115,129,18,125,13,1.01806,118.42768,0.0,0.0,0.89286,3.838,22.33331,0.0,0.0,128.0,58.60704,0.00387,0.42,5.219,-1.0,0.008606,224.33772100771182,5.263984961988508,11.750096450617283,0.4285402042436923,0.3728507105129979,84916.62237936707,0.3606370916322396,0.40356437379044047,1.7465539849753697,93.88477942221414,0.6447974296171364,0.399003509518542,80.02402720560087,0.19258442380647986,0.4260816646169756,147.46539526386152,201306.0715867768,22.557385668342498,0.23541037519398858,0.39812386075507916,0.36759669673881806,0.8910223529411765
5,105,121.425,25.6589,142,47.4093,0,115,129,18,125,13,1.0027,118.04236,0.0,0.0,0.78571,3.845,22.15317,0.0,0.0,128.0,58.742,0.00418,0.42,5.03,-1.0,0.007316,222.3077320625105,5.187577469796864,11.119502314814815,0.42030146432576604,0.3694079712990765,84887.66971367446,0.3533978816561132,0.40162746323422727,1.7502699774584833,89.8850401760671,0.6464208445529698,0.39322485295894877,80.07906670125183,0.1897366881213353,0.4329070344875335,147.5894754678764,198517.91298668672,22.661590199411652,0.23461472969865138,0.3942404367879377,0.364684365240816,0.8918031372549019
6,106,121.434,25.8066,142,45.369,0,115,129,18,125,13,1.01029,118.01433,0.0,0.0,0.60714,3.821,22.02744,0.0,0.0,128.0,58.71245,0.00392,0.41,5.361,-1.0,0.005196,220.37642893692768,5.202109692057597,10.569540895061728,0.4158399983163699,0.3670959321716456,84922.62142289468,0.34716636019000896,0.3999724977170976,1.7649427640964788,88.31038359254624,0.6470150556603698,0.3889572578507855,80.0584605375378,0.18215722645336474,0.4356830733752542,147.72073958469275,199440.8475192797,22.733643708405673,0.23498535668074133,0.3903082918693476,0.3640828429548824,0.8918329411764705
7,107,121.138,26.2526,142,47.9364,0,115,129,18,125,13,1.00525,117.81326,0.0,0.0,1.28571,3.858,22.15062,0.0,0.0,128.0,58.56946,0.00387,0.42,4.813,-1.0,0.007681,218.4735002036204,5.2055772182985365,10.091628086419753,0.41211794419065356,0.3668391828459294,84825.54542621928,0.34237111769168715,0.40048068407850373,1.7785904255865883,93.79802046083357,0.6502618855320289,0.38677787283390885,80.10673337296596,0.1767589410422225,0.4345780195845349,147.62155306011067,196784.4909410322,22.840936166268808,0.23525664318725126,0.38882197187067263,0.3650591376067182,0.8918329411764705
8,108,121.245,25.8059,143,49.4408,0,115,129,18,125,13,1.01392,117.97163,0.0,0.0,1.07143,3.831,22.53441,0.0,0.0,128.0,58.45599,0.00367,0.42,5.27,0.17425,0.005624,216.58719351379773,5.346303763112338,9.717881944444445,0.41313000144309064,0.37157198615183157,84995.83609344916,0.3393425730804869,0.39889228199908633,1.660341411550167,93.6377240626474,0.6546971376184912,0.38583314750766945,80.07676244498064,0.17381591198760268,0.4358459711980041,147.53640848884956,197128.91811560345,22.861031426323784,0.23397469076882416,0.385538351358373,0.3640350420604701,0.8918329411764705
9,109,121.369,25.8911,143,48.1183,0,115,129,18,125,13,1.01454,118.08701,0.0,0.0,1.03571,3.826,22.14888,0.0,0.0,128.0,58.41077,0.00398,0.42,5.13,-1.0,0.006251,214.80536695484568,5.307693071573256,9.00462962962963,0.4176514161320451,0.37458501289396917,84905.57813305977,0.33521289901353174,0.3971913804897879,1.8258366862630782,93.71467346206505,0.6563205525543243,0.3845847519054681,80.06678587714421,0.17070821403630607,0.4350039054130932,147.54726066796127,197967.4863823257,22.877581372673127,0.235592936553206,0.3825060568784423,0.3668623781873632,0.8918329411764705
