,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0,cubrow.0.6,staticness,tone,cubcol.1.0,cubrow.0,movement,saturation,blockiness,cubrow.1.0,noise,cubcol.0.5,blur,cubrow.0.5,cubcol.0.6,fft,cubrow.0.3,uhdhdsim,cubcol.0.3,temporal,contrast,color_fulness
0,100,70.1001,12.8469,47,0.0,0,137,125,3,128,3,1.00224,68.85814,0.0,0.0,12.71429,8.482,0.0,0.0,0.0,131.0,66.79196,0.0,0.29,1.617,0.0,1.907428,0.20477465801606953,0.23050721974809502,298.5604230466369,0.2716628932195313,0.1790668257681676,0.14219699164900926,0.0,14.86657432273582,2.030398050555513,0.21474981699390297,0.2493179957941578,0.1310481307317071,41760.17665577461,0.2914398474458649,0.11405667315694622,64253.22450286713,0.2527841384582322,95.77413505223845,0.22271975922520895,0.0,89.46152757804721,98.4785886505888
1,101,70.1357,12.3935,47,15.8514,0,137,125,3,128,3,1.00342,68.86526,0.0,0.0,11.03571,8.474,11.09811,0.0,0.0,130.0,66.80112,0.0,0.29,1.67,-1.0,1.947688,0.1931212122453356,0.22844920599915566,298.48213268633504,0.27986223391634046,0.17760708279538132,0.13274397400934757,7.420717592592593,14.845941425841533,1.7304419820682695,0.21558443607899616,0.24710036975093316,0.13481413567980816,41945.14280950581,0.2846212211013737,0.10765165129146542,64257.80994833821,0.2529210243370796,95.80290852539873,0.20853608313837627,4.964638491609057,90.3501443917094,97.89302762324883
2,102,70.2074,12.2534,47,15.0897,0,137,125,3,128,3,0.99794,68.92595,0.0,0.0,14.64286,8.473,10.70779,0.0,0.0,131.0,66.81589,0.0,0.29,1.717,-1.0,1.90826,0.1850181732670635,0.23012283902523137,298.323493014745,0.2716628932195313,0.18039444964304127,0.13421039948152985,7.334924768518518,14.8613471513913,1.6473319845765388,0.2157359941711342,0.24710036975093222,0.1335969468341616,42036.71267995902,0.28215119288642826,0.1053198999567725,64347.50818356797,0.25650276091703184,95.78829944006885,0.20977597581877958,4.9464513912238885,90.3681879314522,97.25355133911648
3,103,70.1782,12.2928,47,15.3445,0,137,125,3,128,3,0.99204,68.87177,0.0,0.0,14.17857,8.466,10.58486,0.0,0.0,131.0,66.80071,0.0,0.29,1.624,-1.0,1.855887,0.17847408530804262,0.22791716925317926,298.0864240534857,0.26712581339484875,0.1773472222836325,0.1386636487795984,6.976610725308642,14.869852890203028,1.928930124645289,0.21810467872689093,0.24488274370770613,0.13401025840205277,42020.44259470166,0.28256972466201563,0.10517018327049688,64360.53835040614,0.2626510121051845,95.79796837321052,0.21182545634843458,4.9214153836938035,90.32079785882814,98.12060413690585
4,104,70.1229,12.2173,47,15.0311,0,137,125,3,128,3,0.99844,68.82035,0.0,0.0,10.03571,8.457,10.61692,0.0,0.0,130.0,66.80584,0.0,0.29,1.658,-1.0,1.856852,0.17631424602365603,0.22673703022316355,297.9096550135602,0.2671358424728957,0.17890864625230013,0.1435582525814913,6.652922453703703,14.898172825942805,1.5488177009559954,0.22023559488448524,0.24710036975093363,0.13462827287520612,41940.22583504582,0.2833709701370379,0.1044815412989583,64605.53694753641,0.2690604013701134,95.79707079501947,0.21280936463389952,4.9263545613773365,90.32684169840488,97.54759347855305
5,105,70.0012,12.9199,47,14.2302,0,137,125,3,128,3,1.00333,68.70451,0.0,0.0,8.17857,8.501,10.55624,0.0,0.0,130.0,66.80382,0.0,0.29,1.578,-1.0,1.906667,0.17451641704108595,0.2244139395271419,297.7610111766122,0.26722359690580605,0.17932739594120184,0.147522387407667,6.241994598765432,14.931411931544176,1.5573223913289616,0.2216755422438107,0.24710036975092478,0.13401015906585334,41710.97162602152,0.2827609255665761,0.10277161717150589,64638.96365475629,0.27254447253809577,95.81555055941314,0.21262357949043942,4.907126258543176,90.3292651484827,97.74186590454302
6,106,70.0213,12.8647,47,15.996,0,137,125,3,128,3,1.00282,68.69471,0.0,0.0,8.71429,8.496,11.16447,0.0,0.0,132.0,66.79358,0.0,0.29,1.705,-1.0,1.889239,0.18292965666611807,0.22349156661264966,297.5754818048716,0.26722359690580605,0.1821260766611743,0.15077309835879818,6.396026234567901,14.919242199556326,1.1741243637764565,0.22214762355161152,0.24488274370770555,0.1321632158215945,41725.80207582502,0.2831048813639365,0.10136873118994769,64880.36710174845,0.27410864326232354,95.83320914058422,0.2152265181145413,4.9898838313852725,90.29531547412444,97.97594142184933
7,107,70.1307,13.0816,47,15.8435,0,137,125,3,128,3,0.99987,68.79184,0.0,0.0,9.46429,8.43,11.11074,0.0,0.0,131.0,66.79936,0.0,0.29,1.632,-1.0,1.878486,0.18700201379017392,0.22473014992383056,297.3639687109268,0.26720710171165,0.18656563767145387,0.15457687409790957,6.1614101080246915,14.948177384741513,1.6985571584666974,0.2232478989952672,0.24710036975093444,0.13055849465863248,42043.906450870934,0.285538684774123,0.10158381034567843,64439.57984281537,0.27345623436683447,95.81529472929594,0.21718473449463546,4.988148634554861,90.2852133231487,97.28862120685355
8,108,69.9346,13.7909,47,15.8386,0,137,125,3,128,3,0.99695,68.62163,0.0,0.0,11.75,8.474,11.30135,0.0,0.0,131.0,66.79723,0.0,0.29,1.52,0.53434,1.865327,0.18790444875968387,0.22648495566225235,297.0438114702106,0.27599603017301155,0.18831044858759466,0.15689753881320617,6.1625192901234565,15.001089778947241,1.1877595753109893,0.22359247679838204,0.24488274370770902,0.13071719640775545,41653.49878896864,0.2874460851566156,0.10113668389024258,64154.818698720555,0.2715248898947913,95.8244462862663,0.21884428008702614,5.0218549816054745,90.35829533261634,97.24645702733278
9,109,70.0298,13.4793,47,16.0698,0,138,125,3,128,3,1.00297,68.684,0.0,0.0,14.25,8.48,11.91103,0.0,0.0,131.0,66.78398,0.0,0.29,1.591,-1.0,1.883642,0.1903710743348449,0.22804912703516775,296.67925752140314,0.2671358424728957,0.19124116770935187,0.15956084637281587,6.295958719135802,14.92291165575569,1.4585929703778342,0.22293472460789585,0.24488274370770768,0.13043228054483302,41831.434871732585,0.2875040600729931,0.1003378423107117,64102.88396948589,0.2702016743645831,95.80462342062052,0.2201132047208156,5.082412431130828,89.41063368657814,97.43934447348866
