,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.1.0,cubrow.0.5,noise,cubrow.0.6,cubcol.0.6,cubrow.0,uhdhdsim,contrast,color_fulness,blockiness,cubcol.0,saturation,temporal,cubrow.0.3,movement,cubcol.0.5,tone,cubcol.0.3,fft,cubrow.1.0,staticness,blur
0,100,49.1014,3.08398,25,0.0,0,115,133,6,125,5,0.98819,44.85304,0.0,0.0,3.60714,4.921,0.0,0.0,0.0,127.0,55.08866,0.00014,0.0,1.019,0.0,8.264356,0.00903189350759685,0.2517432097538829,0.2162128235320668,0.14751636369269452,0.15335876098828596,0.10548092785787529,92.93987117058535,92.36246218390087,161.51717155500702,2.4656849803737266,0.009251193628023064,33.86494671856916,0.0,0.2253638643529915,0.0,0.15719176567695278,0.7692454901960785,0.030554186859199074,65329.65733610349,0.11834559185768047,610.6161811779708,21125.27976246323
1,101,49.1221,3.07948,25,3.93791,0,115,133,6,125,5,0.98934,44.87611,0.0,0.0,3.21429,4.93,2.60768,0.0,0.0,127.0,55.09173,0.0002,0.0,0.938,-1.0,8.393582,0.006968148836941802,0.25174181830595704,0.2162128235320667,0.14700870908857544,0.1514147801725368,0.10485138930255583,92.96032654429521,91.1395603993047,161.75664597301127,2.175714592990976,0.007389887393841675,33.82137326841001,2.419135439456451,0.22144406742889233,0.1900077160493827,0.1609199961314009,0.7691929411764706,0.028719115061659244,65273.086824894286,0.11329278286248622,610.9722048497548,21180.776670053103
2,102,49.1392,2.91908,25,3.9241,0,115,133,6,125,5,0.99116,44.89551,0.0,0.0,3.71429,4.938,2.60227,0.0,0.0,127.0,55.06703,0.00011,0.0,0.975,-1.0,8.275773,0.007089486060225723,0.25210591337823923,0.21621282353206736,0.14707032999294675,0.1512958770639372,0.10478384793458631,92.96914278359287,93.31619619299892,162.1320649883283,2.3240678909690584,0.0071332410953689595,33.79129292052469,2.4182338468956233,0.21988678892803282,0.19632523148148148,0.16440734508013669,0.7699694117647059,0.028638166676312287,65315.870101599394,0.11220329292976536,610.5982533206953,21216.517545943298
3,103,49.2915,2.5034,25,3.95422,0,115,133,6,125,5,0.98465,45.02977,0.0,0.0,3.75,4.936,2.4618,0.0,0.0,127.0,55.09132,0.00015,0.0,1.031,-1.0,8.40017,0.0068083691185441345,0.25218788805144404,0.21621282353206647,0.14735498676009018,0.1515161337323491,0.10447477602243671,92.88445644124533,90.06912152253304,161.8061019541992,2.375912343902622,0.006784334794567406,33.865604730299964,2.389431765673304,0.21942095133839304,0.18070023148148148,0.1660916299048278,0.7700560784313726,0.028475320825084017,65292.588178502665,0.11395738438742498,610.7221369699955,21445.035655854113
4,104,49.321,2.37183,25,3.47843,0,115,133,6,125,5,0.98585,45.06672,0.0,0.0,3.64286,4.928,2.09945,0.0,0.0,127.0,55.07232,0.00018,0.0,0.947,-1.0,8.28792,0.006446867749104653,0.2520012056882666,0.21621282353206683,0.14632362906140256,0.15177148440872257,0.10473758364216355,92.90918784538896,89.9774673480477,162.24188501387255,2.427032457308557,0.006637481940490294,33.80533402054398,2.221722491553639,0.21962623403776066,0.11853780864197531,0.169180800928938,0.7708823529411765,0.028525590968087874,65400.89283111224,0.11617321000234233,610.478854593261,21526.874146827842
5,105,49.3234,2.42683,25,3.34594,0,115,133,6,125,5,0.98719,45.06196,0.0,0.0,3.82143,4.963,1.98204,0.0,0.0,127.0,55.08362,0.00012,0.0,0.946,-1.0,8.421417,0.006470735957100906,0.2522882119006034,0.2162128235320663,0.14503879226995137,0.1515475238050554,0.10447957311303276,92.91467082326825,93.2513139408731,161.79721406246847,2.80734766126263,0.006612992774318716,33.839939258716726,2.1703280287947293,0.2206902155032959,0.0998263888888889,0.17167060758479072,0.7708745098039216,0.028582172271061856,65385.026649130385,0.11628037482057044,610.5328247819851,21553.62078700823
6,106,49.2187,2.59176,25,3.47269,0,115,133,6,125,5,0.98361,44.95066,0.0,0.0,3.17857,4.987,2.03336,0.0,0.0,127.0,55.06046,0.00012,0.0,0.982,-1.0,8.423555,0.0063779227074096285,0.2525829225198416,0.21621282353206683,0.14432185387909915,0.15203039931171763,0.10461310873001708,92.9521436307775,89.36240856054334,161.8436761183251,2.9185985431561785,0.006489142355411115,33.86569873197579,2.17892388527904,0.22149212636781895,0.09466628086419752,0.17534419994340777,0.7714101960784314,0.02816699744365059,65355.26193962346,0.11645418238859319,610.3581601099502,21488.3214036677
7,107,49.1923,2.48004,25,3.56133,0,115,133,6,125,5,0.97936,44.92482,0.0,0.0,4.21429,4.987,2.17551,0.0,0.0,127.0,55.07557,0.00015,0.0,1.003,-1.0,8.322213,0.0064728056986950435,0.25230644771004845,0.21621282353206742,0.14314037652388695,0.15188048155142161,0.10443422380421687,92.93441800417645,90.5411759904767,162.00070088882896,2.3911197705892033,0.006352605759158529,33.870097407588254,2.2253162416288617,0.22212828863434542,0.1072048611111111,0.17819797547533267,0.7714254901960782,0.028125792572130583,65358.080482210935,0.11635141914349938,610.3965279999823,21409.098121227482
8,108,49.204,2.292,25,3.51337,0,115,133,6,125,5,0.98957,44.92243,0.0,0.0,4.03571,5.001,2.07978,0.0,0.0,127.0,55.05754,0.0001,0.0,1.018,0.48598,8.341305,0.006354839546989427,0.25221307172051255,0.21621282353206642,0.14236908276874344,0.1519066841975418,0.10454673386221015,92.95913427280016,91.99631501168098,161.77618967963724,2.3919807970620552,0.006308716393091961,33.833394745249805,2.188677813427014,0.22201704231131036,0.1017554012345679,0.18018025714417818,0.7714478431372549,0.027805748320600163,65357.20006978418,0.11593720000741568,610.2648431802247,21457.627703632184
9,109,49.2653,2.33127,25,3.43655,0,115,133,6,125,5,0.99525,44.9803,0.0,0.0,3.32143,4.964,1.91265,0.0,0.0,127.0,55.07442,0.00015,0.0,1.054,-1.0,8.395125,0.006312971806161973,0.25202340593559847,0.21621282353206742,0.14187373311653237,0.1520948832539079,0.10443979128042512,92.93805430076401,90.38328444670873,161.69654692871114,2.342622636750505,0.006281672384169271,33.855072586624715,2.1284432207558375,0.22207380028571216,0.08666087962962964,0.18177597759970682,0.7714478431372549,0.027719241240281807,65353.12227446335,0.11645564999236296,610.2885350118308,21507.057070365554
