,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,movement,cubrow.0,tone,cubcol.0.3,cubrow.1.0,cubrow.0.5,blockiness,noise,fft,cubcol.0.5,uhdhdsim,cubcol.0.6,color_fulness,blur,staticness,temporal,saturation,cubrow.0.6,contrast,cubcol.0,cubcol.1.0,cubrow.0.3
0,300,35.6137,7.81107,26,0.0,0,112,118,6,137,7,1.00456,36.72216,0.0,0.0,4.21429,8.307,0.0,0.0,0.0,127.0,42.59987,0.0,0.39,2.057,0.0,0.806817,0.0,0.11082427513381082,0.6686,0.05069057798691818,0.10615310789006793,0.1613248533322863,1.8093823465817243,0.35188034245212113,63772.24449309473,0.06399503923572344,99.97664617398266,0.11705527564062453,73.14163713137476,8598.461272067902,640.0797499366379,0.0,51.65427200882523,0.16179993464462722,89.76033406642243,0.10806923400806492,0.11218704771363895,0.08591566266440362
1,301,35.6527,7.80695,26,8.24346,0,112,118,6,137,7,1.00498,36.76185,0.0,0.0,3.85714,8.256,6.72442,0.0,0.0,125.0,42.54149,0.0,0.4,1.966,-1.0,0.829022,2.1511381172839505,0.10683828111652106,0.6677607843137255,0.05051018119507432,0.10959443429151337,0.16211466105790795,1.7378326854086856,0.3518803424521184,63667.95990240583,0.059128402318048334,99.98663511666523,0.1176487852520011,73.0498004749551,8622.62848565998,638.5009544678948,3.880614875338648,51.91977795259453,0.1601522141193087,87.18321980840454,0.08426235972785466,0.11026396300414894,0.08598805968365107
2,302,35.7517,7.58343,26,8.85438,0,112,118,6,138,7,1.00268,36.8644,0.0,0.0,3.92857,8.233,6.71918,0.0,0.0,126.0,42.4107,0.0,0.4,1.992,-1.0,0.813994,1.990644290123457,0.1073837517788768,0.6666980392156863,0.05022299392907507,0.11164982994765482,0.16223914012818338,1.8047928877900845,0.35188034245212146,63866.42560637893,0.057910493044585766,99.95281526092145,0.11484278220255908,72.85199376816348,8734.236750505734,636.8483145529078,3.882750115161948,51.91345817660108,0.16042929460410763,90.03232983084963,0.08529307729914339,0.11540880194414677,0.08612181309970565
3,303,35.6587,7.13212,26,8.71833,0,112,118,6,138,6,0.99803,36.8344,0.0,0.0,3.89286,8.243,6.52805,0.0,0.0,126.0,42.3237,0.0,0.4,2.074,-1.0,0.820336,1.9379340277777777,0.10666097777505106,0.6662654901960785,0.04997434818786904,0.11233935534417301,0.16202474906940187,1.7245952100569717,0.35188034245212146,63672.76748502926,0.0585905032441011,99.94891454552251,0.11535812540785724,72.89180021446576,8699.355366454205,635.7081663335498,3.8806864141222603,52.06074147165557,0.1606149900311366,89.37877903864518,0.07375705675110723,0.11658316383592694,0.08909951400880035
4,304,35.4969,6.78444,26,7.95896,0,112,118,6,138,7,0.99567,36.72024,0.0,0.0,4.0,8.356,6.14214,0.0,0.0,126.0,42.29288,0.0,0.4,2.169,-1.0,0.841805,1.705102237654321,0.10758142342874763,0.6658470588235293,0.050189834459508295,0.11285610304206138,0.16236189402809237,1.8117842172557739,0.3518803424521204,63721.14652639614,0.05905227855908714,99.96889903520965,0.11584250251436301,72.84614629390728,8581.64311146507,635.1590345376029,3.753158670564041,52.09884530526621,0.16016677759952241,88.80205480005304,0.0733943998773625,0.11437130979927193,0.08829569481124895
5,305,35.4628,6.3109,26,8.06506,0,113,118,6,138,6,0.99498,36.68771,0.0,0.0,4.53571,8.325,5.85794,0.0,0.0,126.0,42.3109,0.0,0.4,2.508,-1.0,0.839677,1.3747106481481481,0.10715556637072174,0.6664196078431373,0.050344380349874256,0.11398480478376698,0.1623146610589858,1.9409698729201117,0.3518803424521204,63773.39307572123,0.05963193648483809,99.98287169915801,0.11608156492166806,72.79741646292644,8574.262839078541,634.7518896713575,3.717975958624459,52.184283032829384,0.15986766098568772,88.17986362546804,0.07310978377898422,0.11259004276501032,0.08778378324214357
6,306,35.5469,6.05313,26,7.73973,0,113,118,6,138,6,0.99344,36.76716,0.0,0.0,3.96429,8.246,5.44077,0.0,0.0,126.0,42.28917,0.0,0.39,2.182,-1.0,0.840687,1.0381944444444444,0.10601594922870784,0.6664054901960784,0.05089806691501978,0.11444534184925274,0.1617003404133919,1.8716226988611515,0.35188034245212396,63733.41571107661,0.06019436964004592,99.97555116350463,0.11618585889818264,72.52142809412544,8647.755457173695,634.2295519240909,3.6877428513879544,52.2643172652633,0.15966122253558654,90.10409544651998,0.07085798134777906,0.11141086358098248,0.0873505612250016
7,307,35.6393,6.15661,26,7.6524,0,113,118,6,138,6,0.99306,36.83823,0.0,0.0,4.92857,8.238,5.20615,0.0,0.0,126.0,42.3077,0.0,0.4,2.204,-1.0,0.873123,0.9440586419753086,0.10595321649771146,0.6678125490196078,0.051394590005282986,0.11446915288023195,0.16112616551059566,1.7705248788167376,0.351880342452121,63661.037928230726,0.061078527789829244,99.96622851354257,0.11672669050126204,72.25628372981284,8684.06782590842,633.6590115312932,3.6673434025816083,52.503078884548614,0.15941133490102757,88.80467931294237,0.06905551055475317,0.11116992242896925,0.08721469729226979
8,308,35.7856,6.20162,26,7.44183,0,113,118,6,138,6,0.99647,36.99817,0.0,0.0,3.85714,8.232,5.30228,0.0,0.0,127.0,42.40492,0.0,0.4,2.15,0.27726,0.837821,0.9389949845679012,0.10429093338917099,0.6690325490196077,0.05200434548479606,0.11433930096340479,0.16051528423365974,2.0596175021539493,0.35188034245212196,63659.79572697347,0.06184622732125896,99.94010486977372,0.11661926652055846,72.27358899065135,8790.144470657568,633.2100858840078,3.641766691425147,52.54292636447483,0.15916999623830896,87.74435599499795,0.06664852553138752,0.11027997712809832,0.08738691789194945
9,309,35.7973,6.08657,26,7.64681,0,113,118,6,138,6,0.99886,37.04657,0.0,0.0,4.82143,8.281,5.34251,0.0,0.0,126.0,42.48037,0.0,0.39,2.336,-1.0,0.857547,0.8426890432098766,0.10356892957562286,0.6695533333333332,0.05246897618990009,0.1146646910915854,0.15979482702770512,2.530599012934157,0.3518803424521228,63717.54523870281,0.06153949106866741,99.92533735195926,0.11764262597822914,72.4905930435015,8780.036384411833,632.9814831906239,3.5455994640418114,52.75669860839843,0.15886805011929112,91.12828361896524,0.06522228050029384,0.1105303868423247,0.08753051713007813
