,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,tone,cubrow.0.6,contrast,cubrow.0.5,cubrow.0,cubcol.0.5,cubcol.0,color_fulness,cubrow.1.0,uhdhdsim,temporal,cubcol.0.3,noise,cubcol.1.0,cubrow.0.3,saturation,staticness,cubcol.0.6,movement,blur,fft,blockiness
0,200,81.5885,17.936,88,0.0,0,118,117,24,136,22,1.00657,93.19838,0.0,0.0,0.0,4.323,0.0,0.0,0.0,127.0,44.40295,8e-05,2.68,2.483,0.0,0.0,0.6444266666666666,0.28308048257219126,82.32302277072472,0.3109637506440644,0.28041346664165945,0.2518102196527534,0.2917070431891585,85.80010056373891,0.2893130850396938,89.19745325654786,0.0,0.25020078475172897,0.7600713214270746,0.3541725272129003,0.3284081102477842,50.08277384440104,590.4595963138732,0.24404039417968287,0.0,58471.33599326692,70202.30423549702,7.199972793399803
1,201,81.1957,17.9912,87,27.6535,0,118,117,24,136,21,1.01053,92.74925,0.0,0.0,0.03571,4.305,15.54046,0.0,0.0,128.0,44.22172,4e-05,2.67,2.61,-1.0,0.0,0.6421278431372549,0.271027358364321,85.84738312152017,0.3082862250815979,0.25568651938904846,0.24655654396149373,0.2613971494593125,86.13866896186542,0.2599843119390003,89.20642857179436,6.682878809376447,0.24770414942212918,0.7616947363629055,0.34415841210704273,0.31406110349565847,50.10259519977333,585.6040362148896,0.23026638853789178,9.054832175925926,57095.165045463255,70140.26298797868,5.136230164952333
2,202,80.7079,17.9549,86,30.1605,0,118,117,24,136,21,1.01296,92.09336,0.0,0.0,0.03571,4.311,15.58344,0.0,0.0,128.0,43.87039,4e-05,2.6,2.65,-1.0,0.0,0.6390953725490193,0.25792273628667245,82.66565219693561,0.30959052822099176,0.25287576233459347,0.2455400665386865,0.26706970282810133,85.75726908911581,0.24828961462281676,89.29123242655459,6.686740178365163,0.23993303051475778,0.7550418582332243,0.3395855574335814,0.3094822922113474,49.864414356372976,581.6288491502576,0.22662192305528908,7.853587962962963,56314.53279266674,70093.49027205195,6.256972521148686
3,203,80.6032,17.7241,86,28.8233,0,118,117,24,136,21,1.00796,91.92707,0.0,0.0,0.07143,4.291,15.54712,0.0,0.0,128.0,43.67039,6e-05,2.61,2.857,-1.0,0.0,0.6370909803921567,0.25675014130905327,86.84037367110658,0.31182546943845973,0.24659711883166935,0.2403146238290852,0.2757121886428186,85.27871647345762,0.24386178182545598,89.2893296853045,6.628662691518712,0.23322391437839848,0.7556360693406082,0.33752914662750866,0.30803880813895246,49.85753622172791,578.1497477953338,0.23038502305733152,6.930025077160494,55934.06337501443,69974.43776641699,7.293266607046223
4,204,80.6608,17.5799,86,27.6306,0,118,117,24,136,21,1.00807,91.9765,0.0,0.0,0.17857,4.269,15.34712,0.0,0.0,128.0,43.54865,8e-05,2.63,2.779,-1.0,0.0,0.6369772549019607,0.2581207983723185,86.79367253721091,0.3126852450426288,0.24307593941959837,0.24509095638758902,0.2741954359698838,85.24245999249749,0.2446202285683222,89.28400545311592,6.625829520433479,0.22871976921514256,0.7534184432973813,0.3380838780422107,0.30680669902174473,49.659717135959205,575.401787465985,0.23079118404465446,6.206114969135802,55918.80281104395,69885.13060266218,5.425992381363059
5,205,80.4184,17.221,85,28.2294,0,118,117,24,136,20,1.00285,91.65085,0.0,0.0,0.35714,4.302,15.2216,0.0,0.0,129.0,43.43239,8e-05,2.61,2.714,-1.0,0.0,0.6359702156862744,0.257945599661919,82.9554467734965,0.31211871634563426,0.24102342793075934,0.2456166671143005,0.2787513175695155,83.9649023269947,0.24264198139086146,89.27130680444107,6.654323727728111,0.22469408373957248,0.7473597762750949,0.3348938750042268,0.30643363746309316,49.713535450122976,572.8212964956839,0.23147744086067432,5.56592399691358,55637.21187107612,69907.23609765673,5.399045188224717
6,206,80.5441,17.0762,85,27.2222,0,118,117,23,136,20,0.99536,91.78264,0.0,0.0,0.32143,4.296,14.91588,0.0,0.0,128.0,43.32683,6e-05,2.63,3.117,-1.0,0.0,0.6348439215686273,0.2570791221594631,82.48687440250615,0.30837422487000604,0.23896315646282704,0.24505057396699237,0.27833847332331146,83.40517244893493,0.24414368747690776,89.25782167154287,6.6891827163569575,0.21995996454376088,0.7451421502318691,0.33476423331164956,0.3067980573634458,49.55529144663869,570.7472370381018,0.2342050498040402,5.122829861111111,55851.822048885326,69934.53640159714,5.392779375951167
7,207,80.3225,17.3721,85,25.6672,0,118,117,23,136,20,0.9951,91.54136,0.0,0.0,0.21429,4.284,14.78312,0.0,0.0,129.0,43.17864,0.00014,2.61,3.395,-1.0,0.0,0.6332156862745097,0.25481453852655606,86.66698224777889,0.3068113417631956,0.2373596530787956,0.24564960226235652,0.27755587962599493,83.52202198893768,0.24565854890628722,89.27007076674306,6.610208867491415,0.21641164756298084,0.7473597762750949,0.3323234867025368,0.3067286445579991,49.455493503146705,569.1804664280515,0.2363102006498369,4.624662422839506,55300.93219720645,69932.0482482292,5.646952615560245
8,208,80.632,17.413,85,24.497,0,118,118,23,136,20,1.00034,91.74408,0.0,0.0,0.03571,4.295,15.03769,0.0,0.0,129.0,43.03868,7e-05,2.66,3.132,0.125,0.0,0.6322399607843124,0.25470695638713,86.82536461162344,0.3058766402082984,0.23926335305016636,0.24602842732739752,0.27102448223634845,83.59335418019458,0.2484158796871654,89.24075036434695,6.598064371200243,0.2137927256849891,0.745142150231865,0.32837615468429127,0.30645792091887725,49.384757524655186,567.9978010074223,0.238154086981596,4.602430555555555,56089.00446771663,70204.94903249733,7.55135802670022
9,209,80.5974,17.3283,85,26.3616,0,118,118,23,136,20,1.00068,91.61103,0.0,0.0,0.25,4.275,15.07278,0.0,0.0,129.0,42.83148,0.00012,3.21,2.878,-1.0,0.0,0.6305898039215686,0.2535837589792742,84.92668978391102,0.30498857186252165,0.23612908615188677,0.2474780965715436,0.26820030047539045,84.2222542970692,0.25000624453464276,89.23713483035914,6.604715104092248,0.21259561321623185,0.743518735296019,0.32541516386603614,0.3071996039332849,49.23988982777537,567.1805308906231,0.24007835383260823,4.654947916666667,56077.87979420587,70170.72912592297,6.615484715024378
