,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.1.0,cubrow.0.5,temporal,color_fulness,uhdhdsim,movement,cubcol.0.3,staticness,saturation,noise,cubrow.0.3,blur,contrast,cubcol.0.5,blockiness,cubcol.0,cubrow.0.6,cubrow.0,fft,cubcol.0.6,cubrow.1.0,tone
0,300,66.7457,13.0404,59,0.0,0,115,121,16,131,19,1.02147,62.71458,0.0,0.0,0.71429,3.853,0.0,0.0,0.0,125.0,58.63953,0.00031,0.4,1.893,0.0,0.408396,0.12321739746958449,0.20921105669645973,0.0,144.75559000301368,83.58540250377516,0.0,0.2922394786809951,481.5836357427163,39.46619613082321,0.5432642867876152,0.19705288271781957,37623.526482887515,95.6714513528815,0.2893894469478687,3.6117207756644643,0.07906778621904277,0.2179307326430617,0.24286235063469078,78943.2126701823,0.24515165370443792,0.29825905243658185,0.8919895490196077
1,301,65.7809,13.3456,58,18.9525,0,115,121,16,131,19,1.02365,61.8692,0.0,0.0,0.53571,3.873,11.2093,0.0,0.0,125.0,58.58625,0.00035,0.39,1.821,-1.0,0.428229,0.12226076289418762,0.2071399504499578,4.395277175776664,144.69866675901244,83.78891408572011,5.61670524691358,0.21873473389860446,477.7118085415448,39.55174217695072,0.5416408718517839,0.1890357130840661,36261.721693486994,98.09041884719569,0.253604726655677,3.2943551075632835,0.0784259499334977,0.2183757291447266,0.21201821676443672,78586.67528119245,0.2030044591165571,0.284674231315172,0.8913733333333334
2,302,66.2368,13.0124,58,20.0859,0,115,121,16,131,19,1.02773,62.2894,0.0,0.0,0.42857,3.826,11.46754,0.0,0.0,125.0,58.58049,0.00029,0.39,2.012,-1.0,0.427975,0.12134594689915634,0.2063082277362477,4.394000810179257,144.75386195658493,83.68374030123564,5.295380015432099,0.19973457238647288,474.30646909708713,39.795492666739,0.5476995388740743,0.1853912703213973,37069.96712323976,98.07895965706521,0.24340535980275177,3.4586533335657372,0.0782420988865718,0.21699472396356073,0.21689620261583248,78701.59522629413,0.1911720909142222,0.2763078881654007,0.8914607843137256
3,303,66.3913,13.4248,59,18.5579,0,115,121,16,131,19,1.02794,62.41425,0.0,0.0,0.03571,3.753,11.18548,0.0,0.0,125.0,58.66437,0.00025,0.39,2.092,-1.0,0.416922,0.1215048572086157,0.2065810302616331,4.347226234319531,144.64707717074106,83.629638786512,4.530960648148148,0.1968687992174998,471.2368600473863,39.83868106794946,0.5476995388740763,0.18221236612072927,37565.52300273041,95.44506171699236,0.2383001681451999,2.8059307400017155,0.07837301784609037,0.21735500884435258,0.2151469665526506,78924.74229773186,0.1871827517589916,0.27094489396894794,0.8917619607843137
4,304,66.444,13.6646,59,19.05,0,115,121,16,131,19,1.02951,62.4574,0.0,0.0,0.5,3.726,11.53758,0.0,0.0,125.0,58.62034,0.00027,0.39,2.11,-1.0,0.40566,0.12169160423335172,0.20673010041817788,4.3837344101935765,144.8558445861257,83.70330513265645,3.8980516975308643,0.1875722458184428,468.93344797481467,39.99329046555508,0.5476995388740785,0.18020741848775115,37935.85152221364,95.54134879775253,0.2336737861772869,3.3177020791457092,0.07815568964444365,0.21742780580764964,0.21473456985177627,78929.26358216355,0.18237794730955087,0.2668371718227474,0.8920490196078432
5,305,67.1328,13.884,59,19.6649,0,115,121,16,131,19,1.0215,63.0823,0.0,0.0,0.5,3.734,11.74403,0.0,0.0,125.0,58.49643,0.00032,0.4,2.126,-1.0,0.412209,0.12165828098934221,0.2068880366155805,4.465236359320609,145.11512022833975,83.52970097571658,4.0026523919753085,0.1850666920185129,467.33064825509194,39.937122297875675,0.547699538874077,0.17923743228269687,38952.51945899036,95.70651832585175,0.23062375408721245,2.843868465382605,0.07813965833692985,0.21693433270168652,0.21567135568062812,79164.80776466844,0.17974713062359163,0.26503037067223617,0.8912945098039216
6,306,66.8221,14.5724,59,19.3981,0,115,121,16,131,19,1.03025,62.83594,0.0,0.0,0.57143,3.775,11.92657,0.0,0.0,125.0,58.43907,0.0003,0.4,1.917,-1.0,0.397255,0.12144205191457907,0.207707704582791,4.538824342071305,145.16406434019342,83.54157079457751,4.409529320987654,0.1813794794218099,466.0414484982158,40.082880090784144,0.5476995388740804,0.17915301894783628,38430.65201656772,95.45141856272063,0.22602902172007266,2.9168890864751313,0.07813519119048108,0.2164954432017192,0.22063607483191372,78898.14747609894,0.18075078014129475,0.2598827103172208,0.8914607843137256
7,307,66.5103,14.6571,59,19.4143,0,115,121,16,131,19,1.03358,62.56993,0.0,0.0,0.57143,3.809,12.51928,0.0,0.0,125.0,58.33441,0.00025,0.39,2.124,-1.0,0.399673,0.12158228745823267,0.20825595030983488,4.621088307290363,145.29998511504613,83.58545012812668,4.759018132716049,0.17930340734468084,464.54019389569976,39.99870507511092,0.5476995388740787,0.17908446884260354,37973.66040866715,98.1971662468601,0.22225984381331945,2.9029280080197917,0.07826055099622152,0.21686517285293047,0.217813784814319,78771.53001822233,0.18087823551347912,0.2571466399908087,0.8919211764705882
8,308,67.2772,14.5893,59,19.8071,0,115,121,16,131,20,1.03235,63.24075,0.0,0.0,0.07143,3.79,12.59194,0.0,0.0,125.0,58.27048,0.00027,0.4,2.1,0.18557,0.394954,0.1215027109105977,0.20880078157234971,4.648126458236615,145.60436588142107,83.45434128049183,4.761043595679013,0.17786873735177208,463.09911530438455,39.90285388334298,0.5454819128308478,0.1792690960918501,38386.24116990528,96.04830200768322,0.2196017637591227,2.6959737069094576,0.07822111933190024,0.21674988293629072,0.22092398985851464,78646.64043838394,0.1789305196248129,0.25354590124270726,0.8920980392156863
9,309,67.048,14.6044,59,20.8416,0,115,121,16,131,19,1.03499,63.04889,0.0,0.0,0.57143,3.796,12.5339,0.0,0.0,125.0,58.25483,0.00035,0.39,2.024,-1.0,0.404851,0.12163963592492076,0.20899151170302632,4.579155696383134,145.95129922249544,83.53517267129412,4.087046682098766,0.17645302423621936,461.8457634628448,39.89210811662085,0.5454819128308506,0.1791924336462115,38289.80792701183,95.77807696279345,0.21802929133854296,2.3233457209421466,0.07814980609710043,0.21641204880994508,0.2227793064035723,78818.215148022,0.17736719340041107,0.25261476605259175,0.8940168627450981
