,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,contrast,cubrow.0.6,noise,cubcol.0,movement,fft,staticness,color_fulness,tone,cubcol.0.3,temporal,cubcol.0.5,cubrow.0.5,saturation,blur,cubrow.0.3,cubcol.1.0,cubcol.0.6,uhdhdsim,cubrow.0,cubrow.1.0,blockiness
0,200,50.5523,13.9224,53,0.0,0,98,124,14,127,8,1.00799,48.99895,0.0,0.0,0.07143,5.742,0.0,0.0,0.0,132.0,35.96869,0.00159,0.41,1.576,0.0,0.365482,93.18449306358991,0.15540745663742736,0.5394232458085515,0.15320648280172094,0.0,73350.17927663906,250.84396234757597,154.39802500401873,0.49573176470588237,0.0968199781309364,0.0,0.14775671143025787,0.19034953051190207,30.899636351032022,16945.99151324392,0.12963923002440272,0.08367116184074809,0.2022970276825058,86.3119314490457,0.20660849957225122,0.10282583357634507,2.4736321966999766
1,201,50.6326,13.9075,53,23.9288,0,98,124,14,127,9,0.98659,49.05832,0.0,0.0,0.10714,5.746,11.94809,0.0,0.0,132.0,36.00376,0.0012,0.42,1.489,-1.0,0.371034,93.09149162443792,0.12993265058648787,0.539423245808552,0.151840072383453,4.57421875,73575.37075807857,248.69404288572082,154.681931341812,0.4960294117647059,0.09568722633140213,4.46751894969049,0.14895229678884525,0.1706807603868196,30.714097764756943,17210.077700792976,0.11080258751242258,0.08089782775054008,0.17401807848644987,86.32171385971873,0.2038261039238468,0.08531157343441377,2.0900859977879445
2,202,50.6256,14.0986,53,21.7172,0,98,124,14,127,9,1.00833,49.05743,0.0,0.0,0.17857,5.757,11.93513,0.0,0.0,132.0,36.02182,0.00125,0.41,1.628,-1.0,0.361081,92.89146660750866,0.12070516497912694,0.5400174569159486,0.14561228549756464,3.871190200617284,73555.04507055115,247.41776792673807,154.61648716681182,0.49659568627450984,0.10461025021079906,4.391041175558785,0.14976630027626672,0.16299348050214935,30.878393479335454,17114.258946758127,0.10532957693350992,0.08518994189951509,0.165374624878202,86.27238118316876,0.20141341906610102,0.08342529696603755,2.183694456277496
3,203,50.6382,14.2434,53,22.2434,0,98,124,14,127,9,1.00676,49.06024,0.0,0.0,0.10714,5.75,12.0992,0.0,0.0,132.0,36.0295,0.0013,0.41,1.529,-1.0,0.353869,92.6962879216152,0.11623915304815972,0.5394232458085546,0.14731827454504262,3.5088252314814814,73682.59740281057,246.13664525720029,154.69346781257084,0.497361568627451,0.10188419604693612,4.3999553000266385,0.167546958830414,0.15890729775395881,30.691639652958624,17159.95666255679,0.10244998741218878,0.08342262773858052,0.16363245203723556,86.32120084479021,0.19833192632918115,0.08533757432176751,2.603116370830551
4,204,50.6911,14.4548,53,22.5389,0,98,124,14,127,9,1.00175,49.09916,0.0,0.0,0.32143,5.762,12.22439,0.0,0.0,132.0,36.03416,0.00147,0.41,1.447,-1.0,0.346102,92.8739551178699,0.1136319593352884,0.5394232458085546,0.15124336150607218,3.3862364969135803,73563.35467551726,244.9633024707655,154.7140686630517,0.4971227450980392,0.107305734135084,4.413670695082454,0.16339534358551255,0.15793938970786714,30.68894657087915,17156.27581654302,0.10091347953283854,0.08049762568102985,0.16869703086772778,86.26391571517834,0.19739271968330852,0.08695413986205922,2.195279529696363
5,205,50.7826,14.4933,53,23.1484,0,98,124,14,127,9,1.00333,49.20394,0.0,0.0,0.10714,5.729,12.40634,0.0,0.0,132.0,36.07526,0.00115,0.41,1.447,-1.0,0.346223,92.54173495498053,0.1117597828170251,0.5416408718517843,0.15096336008532282,3.2079957561728394,73778.72155446092,243.67210751373895,154.51323510614733,0.4971227450980392,0.10801455502280741,4.4379571614334115,0.15282253479310884,0.15872631653828012,30.445745397497102,17391.339884029738,0.0995973297971156,0.07752775647777996,0.1698558778089125,86.2089909499039,0.199624591426671,0.08381028768885007,2.5657262026480567
6,206,50.8727,14.6651,53,21.2255,0,98,124,15,127,9,0.98431,49.27845,0.0,0.0,0.10714,5.705,12.44088,0.0,0.0,132.0,36.13876,0.00123,0.41,1.53,-1.0,0.362982,93.19396157245953,0.11123770245456494,0.5416408718517814,0.14986488663398445,2.988088348765432,74050.43758247735,242.5643093608343,154.56111805919235,0.49878235294117645,0.10661236456781477,4.369947350594171,0.1494419351462582,0.15892725809183073,30.547374584056712,17574.36904531058,0.09933616741844169,0.075829237855895,0.1644528134547211,86.22731537850643,0.2021741703770038,0.08101641143735479,2.510195468507596
7,207,51.1385,14.4317,53,22.8452,0,98,124,15,127,9,0.98716,49.49824,0.0,0.0,0.14286,5.805,12.58908,0.0,0.0,132.0,36.20835,0.00127,0.41,1.493,-1.0,0.356176,93.17504660301381,0.11009858012068277,0.539423245808554,0.1447515905054572,2.853829089506173,74023.15765954329,241.5042331819613,154.3039085321887,0.4993478431372549,0.10461142370314541,4.3719601799798244,0.1513972710843892,0.160194079034582,30.42540938765914,18059.562357404895,0.09911637931169323,0.07456228977899974,0.15915323103870146,86.22467019548843,0.20735213829658983,0.07962777304036116,2.9859522253480733
8,208,51.2217,14.8107,54,22.6053,0,98,124,15,127,9,1.01214,49.56689,0.0,0.0,0.14286,5.793,12.38804,0.0,0.0,132.0,36.28309,0.00131,0.41,1.621,0.13606,0.365952,93.19082763640677,0.11056541578542718,0.539423245808556,0.1464698558157734,2.6550443672839505,74106.23144210843,240.5725398721808,154.43751504186577,0.49981686274509796,0.1033194615080607,4.241419582928162,0.15340481206713594,0.16200164796426805,30.434272860303334,18173.058736816925,0.09962112808492514,0.07353549947718681,0.1542739312858815,86.19133915561042,0.21066427620784695,0.07901712468914643,2.92748823809952
9,209,51.2405,14.968,53,23.1541,0,98,124,15,127,9,1.00088,49.57003,0.0,0.0,0.17857,5.795,12.7153,0.0,0.0,132.0,36.33924,0.00108,0.41,1.702,-1.0,0.366102,93.23772177609271,0.11011333960134728,0.5394232458085518,0.1462578647995064,2.5552179783950617,74013.05414753265,239.74921385222646,154.36587483863423,0.500189019607843,0.10372302259125957,4.338775869769803,0.15236460708811522,0.16242450408443107,30.467164592978396,18324.52844072639,0.0999808525663361,0.07252693223799984,0.14951058388806462,86.20434621918835,0.21448025567096707,0.07914631554119024,2.7250778529295823
