,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,noise,cubcol.0.3,uhdhdsim,blur,saturation,cubrow.0.6,blockiness,cubrow.0.3,cubcol.0.6,color_fulness,cubrow.0.5,cubrow.0,temporal,cubcol.0.5,staticness,contrast,cubcol.0,cubcol.1.0,fft,tone,cubrow.1.0,movement
0,400,24.6286,23.323,15,0.0,0,122,118,6,135,8,1.00042,25.80482,0.0,0.0,4.71429,11.078,0.0,0.0,0.0,124.0,35.65391,0.0,0.39,4.322,0.0,0.122845,0.32926908929878357,0.057885079733936806,101.40650241180559,4381.284291875995,44.47098136242525,0.10479914361831398,0.8412684568654071,0.05903431561303873,0.10914172480042225,110.31557697541842,0.05615703285958422,0.03455519310906933,0.0,0.06233376228672579,642.107090635661,86.70684628136146,0.058594529830270026,0.08474569676939761,63612.63887619603,0.494613725490196,0.046517703554467854,0.0
1,401,24.4959,23.5451,16,20.8567,0,122,118,6,135,8,1.00323,25.71127,0.0,0.0,4.75,11.757,20.11987,0.0,0.0,124.0,35.94382,0.0,0.39,4.005,-1.0,0.116284,0.3314867153420062,0.05437408834584455,101.39697819828669,4139.298094597581,44.48038868845245,0.09045648852002611,0.7993174661191833,0.04600774386652408,0.11212296204546958,110.30099110554006,0.0412191457668782,0.02832629785509788,7.159548182405307,0.06557752560917554,627.1663934592185,84.88309885865118,0.04374957499587862,0.07161318106528088,63486.74676997045,0.49648000000000003,0.0426510847935885,21.075761959876544
2,402,23.6573,23.5458,15,21.5587,0,121,118,6,135,8,1.00227,25.01963,0.0,0.0,6.07143,12.752,20.33532,0.0,0.0,125.0,36.0831,0.0,0.39,3.822,-1.0,0.120015,0.3314867153420052,0.05446204938770734,101.54857616064291,3353.7344474665015,44.597486519519194,0.0762986311020372,0.9927503727493285,0.045047135266342526,0.12075635492326851,110.04690633644981,0.038633783987190966,0.026038687416574197,7.109726597261574,0.06766549790318217,612.470433518638,87.28975210631133,0.04147601079352967,0.06957426919109784,63477.45057672968,0.4982690196078432,0.04073745243143044,17.14105902777778
3,403,23.2774,24.0021,16,21.8751,0,121,118,6,135,8,1.00657,24.78794,0.0,0.0,8.35714,12.41,20.31515,0.0,0.0,125.0,36.21206,0.0,0.39,4.068,-1.0,0.10059,0.3314867153420083,0.05500879733667779,101.6436912066868,3047.107101592507,44.58214446644725,0.06790882987592903,0.6696092330681692,0.04648780101066723,0.11071918999234756,108.6742632423031,0.03654297771775888,0.024538914713977275,7.02726212928573,0.06945941458119427,597.4092701497037,85.76892903139341,0.04086323777251804,0.06531627350130965,63496.6764265036,0.5033776470588236,0.03855634958471679,14.579475308641975
4,404,23.2268,24.7067,16,22.0729,0,122,118,6,135,8,1.00333,24.87798,0.0,0.0,7.53571,11.988,20.66933,0.0,0.0,125.0,36.27495,0.0,0.38,3.977,-1.0,0.090557,0.33148671534200996,0.055012177046934195,101.67669134045467,2949.724511360064,44.64416560420283,0.06392274397610508,1.0713678348646625,0.04960795359766056,0.1052576872418878,106.83495064517129,0.037011019468085785,0.023462575498644455,6.935229221383953,0.07014806580318084,582.7235667377213,86.27570772518641,0.0397153144865725,0.06277577471528688,63386.08581456846,0.5096137254901961,0.037571750598978604,12.395351080246913
5,405,24.0282,25.1843,17,21.6466,0,122,118,7,135,8,1.00353,25.65633,0.0,0.0,8.71429,11.515,21.26865,0.0,0.0,125.0,36.15066,0.0,0.38,3.71,-1.0,0.08109,0.3353277563210808,0.054040002763007564,101.55135657008826,3272.294880661673,44.745437245310086,0.06353946404807523,0.6285053625809509,0.05363013939906227,0.10317160516111454,104.40259984615216,0.039112681067033,0.022549196548153426,6.867794519530997,0.07044307535220272,568.8470888188158,89.75197778453966,0.037533975512243925,0.06433502720769306,63469.32209326938,0.5106850980392157,0.03716771922154427,10.652777777777779
6,406,25.6097,25.2709,18,22.3686,0,122,118,7,135,9,0.99712,27.12426,0.0,0.0,7.96429,10.882,21.68073,0.0,0.0,124.0,35.9896,0.0,0.38,3.966,-1.0,0.059136,0.3397630084075341,0.053879647769332024,101.28711144642335,3951.211142778227,44.98341407304929,0.06289298237515618,0.784722708050579,0.05492824783072276,0.10859812147407989,101.49267171344982,0.041162416581563464,0.02197370208744381,6.747656188394592,0.06972108139858586,555.633468150858,84.19619339579666,0.03859083252563776,0.07071593913527018,63790.26460893941,0.5095611764705883,0.03748138053480468,9.635706018518519
7,407,27.0781,24.8646,18,20.4688,0,122,117,7,135,9,1.00044,28.47654,0.0,0.0,6.71429,10.205,21.76735,0.0,0.0,123.0,36.04759,0.0,0.39,3.509,-1.0,0.050526,0.34803930147305917,0.05450199648395209,101.08342729935376,4473.204472791878,45.3266554467472,0.061148927415752945,0.6416293908545523,0.0578394284794471,0.10994992543993075,98.24520187561357,0.05065438968670974,0.021742900793370604,6.572544916215387,0.0692000385195074,542.9151484531634,87.82952208074215,0.0394932201661117,0.07816132579924932,63894.59139613186,0.5125180392156863,0.036826370760048854,8.858362268518519
8,408,28.0602,24.2629,19,20.0668,0,123,117,7,136,9,1.00418,29.32865,0.0,0.0,7.64286,9.773,21.43217,0.0,0.0,124.0,35.89512,0.0,0.39,4.238,0.12577,0.047539,0.35188034245212024,0.05487368098885948,100.94604375115507,4834.564433821408,45.531009061836905,0.06111996801001511,0.8104406866791992,0.06152311037372108,0.11045691898619238,95.92828325669467,0.06003799956809808,0.021445672369086483,6.38370328501982,0.068189952742088,531.3806551415474,85.3683616994688,0.039329186858562765,0.0756230946068936,63752.58237990052,0.5115426666666665,0.03546521945655363,8.11646412037037
9,409,28.1099,23.2968,19,19.0609,0,123,117,7,136,9,1.00624,29.48196,0.0,0.0,10.10714,9.881,20.89068,0.0,0.0,122.0,35.52307,0.0,0.39,4.057,-1.0,0.038135,0.3540979684953496,0.05521995206722883,100.93321811049987,4834.9819158850005,45.701855129665795,0.06011146506804261,1.4280000576468252,0.06476304765499498,0.10755436970644237,93.49686123222821,0.0670347587865491,0.02122541309642387,6.24047812479783,0.06748812177496735,520.87150041318,86.36465352864307,0.03864269765011763,0.07512480358307697,63845.48812777044,0.5100513725490197,0.0344255422545162,7.307677469135802
