,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,staticness,cubrow.0.3,cubrow.0.6,color_fulness,cubcol.0.5,fft,cubrow.1.0,uhdhdsim,cubcol.0.3,blockiness,tone,cubcol.1.0,saturation,cubrow.0.5,blur,temporal,noise,cubcol.0.6,contrast,movement,cubcol.0
0,400,46.8181,21.2198,29,0.0,0,118,113,13,137,13,0.9987,43.41301,0.0,0.0,4.53571,5.275,0.0,0.0,0.0,129.0,27.97033,6e-05,0.32,1.552,0.0,1.255946,0.2251676358425421,575.9829153068356,0.20829888169271185,0.08470468069015707,84.99567688388838,0.06486284961784178,66068.39582279454,0.0928933335886057,96.51101521323996,0.10873966811471812,1.1765827206620452,0.40661807843137243,0.09014624436096579,60.701252313307776,0.10347415877129333,16846.404063995054,0.0,0.3209927962332541,0.07031599726730346,90.69508281668102,0.0,0.08238697719642495
1,401,48.3499,20.032,30,22.3594,0,119,113,13,137,14,0.99786,44.82505,0.0,0.0,4.60714,5.27,18.2077,0.0,0.0,129.0,28.16071,5e-05,0.32,1.67,-1.0,1.282519,0.22427428682191167,561.2802925420798,0.19505895107837598,0.08467341883599855,83.77296622675533,0.06541446479002941,66228.75279257614,0.08139470479455689,96.32828045474483,0.11105106368518651,1.1204023828023475,0.4107811372549015,0.08384610172363445,60.78466985255112,0.08875006032780032,18568.907989597556,4.61814367431941,0.3209927962332547,0.06981387264717945,88.01327550286177,10.23461612654321,0.08094205019383927
2,402,49.0124,20.3538,30,19.1838,0,119,113,13,137,14,1.00362,45.42377,0.0,0.0,5.28571,5.204,17.18995,0.0,0.0,128.0,28.12679,4e-05,0.31,1.45,-1.0,1.311944,0.2243781720676642,551.100587967708,0.19530592474356803,0.08413308755500118,83.11325777280756,0.06505160315221115,66365.81365678816,0.07777726123479412,96.26899913427167,0.10537111547553805,1.3002847251727057,0.41068196078431385,0.08380821061551706,60.72745787067178,0.09208520783478559,19412.373756770623,4.434726843874823,0.320992796233255,0.07014431165069882,88.50702954895534,8.536072530864198,0.08111767577186431
3,403,49.3574,19.9902,30,18.1174,0,119,113,13,137,14,0.99667,45.75747,0.0,0.0,5.10714,5.207,17.46565,0.0,0.0,128.0,27.90911,5e-05,0.32,1.595,-1.0,1.231498,0.2240116061826541,543.8866251010498,0.19500007774091913,0.08361027040796327,82.24511555183497,0.06349640226082301,66443.61316700425,0.07405008103338627,96.16982089069847,0.10402524266674607,1.4409603078744795,0.4036580392156862,0.08400812459075008,60.97765190218701,0.0932364706071424,19749.18439055739,4.4886240059533815,0.32321042227648594,0.07019304446372378,87.39385758944454,7.4895351080246915,0.08120997800611615
4,404,49.4067,19.1231,30,16.4771,0,119,113,13,137,13,0.99905,45.77359,0.0,0.0,4.92857,5.19,17.15273,0.0,0.0,128.0,27.79653,5e-05,0.32,1.382,-1.0,1.293038,0.22415109273973335,536.8948475302324,0.19489227944063783,0.08509386086277829,81.74263153562322,0.06299207203306015,66381.47471208402,0.0725938985098153,96.15759513098857,0.1059366587084153,1.3755401759529282,0.3976698039215685,0.0837456116721341,61.137499208803526,0.09784059863770113,19861.615265415017,4.402745465181111,0.32321042227648095,0.0710433233930824,87.23325432454918,7.093171296296297,0.08055857863216745
5,405,49.3178,19.1504,30,16.6944,0,119,113,13,137,13,0.99748,45.67775,0.0,0.0,6.25,5.198,16.40673,0.0,0.0,127.0,27.87827,4e-05,0.32,1.607,-1.0,1.268676,0.2254462829398367,529.7213890160057,0.19489724772198022,0.08778111011201366,82.16123517298514,0.06017195746398072,66372.36604772504,0.07567543836845807,96.19038814667107,0.1068987858346942,1.0085051504758042,0.39903411764705893,0.08410858118370919,61.17725306381414,0.09966094570126068,19730.155792740952,4.36656953392463,0.32321042227648433,0.07153234921445427,88.13378171254904,6.835407021604938,0.08071210341024197
6,406,49.4647,18.9576,31,18.2079,0,118,113,13,137,14,0.99902,45.85151,0.0,0.0,5.39286,5.201,16.43775,0.0,0.0,127.0,28.17734,8e-05,0.31,1.673,-1.0,1.276363,0.2248620089535812,523.4634274699558,0.1948261005915122,0.08762056261909006,83.6283664625039,0.059751062333798316,66349.42505657476,0.07449427018623848,96.195499320447,0.10906796040566225,0.8785289807284954,0.4108328039215687,0.08471223621453056,61.19231537241995,0.10218818277478468,19743.78112709043,4.3551891446702875,0.32321042227648583,0.07157362412234959,88.94179615737688,6.305121527777778,0.08078143024101461
7,407,49.8802,18.8923,31,19.4419,0,118,113,14,137,14,1.00005,46.26519,0.0,0.0,4.75,5.239,16.273,0.0,0.0,127.0,28.49349,3e-05,0.31,1.492,-1.0,1.28881,0.22423966100004977,518.2332400177808,0.19547472237938188,0.08667436949647019,84.44866892377694,0.06304258840989348,66448.06683026542,0.07441787558635074,96.13349735320504,0.11055966475281305,1.015716998222832,0.42300945098039194,0.08391172352664066,61.069278669945994,0.10540533855959126,19838.86715498755,4.449291808272931,0.3232104222764855,0.07224546619488166,86.28168280583785,5.798466435185185,0.08120456402695729
8,408,49.9339,19.0676,31,19.4374,0,118,113,14,137,14,0.99913,46.34782,0.0,0.0,5.0,5.314,16.21523,0.0,0.0,127.0,28.71805,4e-05,0.32,1.617,0.3206,1.309223,0.2232221989125256,513.8682620536249,0.19641406415486234,0.08656149439152856,85.41692857034965,0.06314736713418244,66383.95793436638,0.07357467500705855,96.08512885763702,0.11014818286318263,0.958870684653584,0.43357607843137247,0.08362845627199503,60.92233841507523,0.10663345580827834,19613.671890803358,4.39541849382444,0.32321042227648,0.07243644954490405,87.33280900364586,5.79615162037037,0.08128877537566531
9,409,50.3064,19.5458,32,19.9311,0,118,113,14,137,14,0.99969,46.70951,0.0,0.0,3.85714,5.38,16.36445,0.0,0.0,127.0,28.88917,3e-05,0.32,1.589,-1.0,1.26095,0.22246463974502836,509.86599759919505,0.1965297606352264,0.08695690256066936,86.53300098397943,0.06859243398072756,66379.27665147245,0.07379988648077485,96.00455658685235,0.11051581392599243,1.5945319278481078,0.44572754901960776,0.08328896458890218,60.815212108470774,0.10790553864247521,19825.8423964218,4.48919305613687,0.32321042227648467,0.0713288099451388,88.18192356781873,5.787085262345679,0.08131427102414251
