,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,cubrow.1.0,cubrow.0,noise,blockiness,cubrow.0.3,cubcol.0.3,cubrow.0.6,saturation,temporal,cubcol.0.5,fft,movement,uhdhdsim,contrast,cubcol.0,cubcol.0.6,color_fulness,cubcol.1.0,staticness,tone,blur
0,100,51.3344,19.1666,35,0.0,0,117,114,15,138,18,0.99772,48.79582,0.0,0.0,4.57143,5.281,0.0,0.0,0.0,123.0,28.5803,2e-05,0.47,1.542,0.0,0.531681,0.10057640083884539,0.14515873626979467,0.26308848364212833,0.38942076680068644,1.419221088130616,0.2040243568469769,0.12017865089209065,0.09798883205508377,62.4028827055001,0.0,0.1062664730508597,67021.77336494955,0.0,95.67966477499668,86.9190982785639,0.08695289157126723,0.1930842034250592,86.26603137924046,0.12195942354112979,637.2242138339592,0.4428177843137254,22485.527650796514
1,101,51.8308,19.3986,35,22.1046,0,117,113,15,138,18,0.99717,49.27712,0.0,0.0,6.32143,5.303,16.45285,0.0,0.0,124.0,28.7134,2e-05,0.47,1.6,-1.0,0.540497,0.09287294841254508,0.11976479282002282,0.26106954788818854,0.3971028487588059,1.1310841228338977,0.20357741079729946,0.11939978405278177,0.09232502465640872,62.48327372986593,4.970193662080004,0.08608097965325226,67115.90425214196,11.18359375,95.65730160685106,90.33816587815778,0.08539015806144536,0.1555558990624745,86.43091801774477,0.10391933726551014,622.5877318863862,0.44009019607843136,23202.295794410096
2,102,52.5966,19.683,36,21.1761,0,117,114,15,138,18,1.00355,49.99918,0.0,0.0,8.89286,5.288,16.64775,0.0,0.0,124.0,28.91114,4e-05,0.47,1.546,-1.0,0.514268,0.0944781056389304,0.1141674299959243,0.26256081526362124,0.39932047480203775,1.1359017039469137,0.21110588605001965,0.1168714166154319,0.0986488813349202,62.32171630859376,4.784841623516908,0.08234061036529737,67401.79500609224,9.501398533950617,95.58021073049807,89.89998884737216,0.08515507906348378,0.13409381936983406,86.9065867258646,0.10345227622863662,611.0925322223674,0.43962013725490134,24400.69270585724
3,103,53.0959,19.8544,36,21.9804,0,117,114,14,138,18,0.99984,50.42669,0.0,0.0,5.78571,5.251,16.89919,0.0,0.0,124.0,29.02184,4e-05,0.48,1.461,-1.0,0.50835,0.09417977477968373,0.1142346119162094,0.26234786957660766,0.3993204748020389,1.4827462757774519,0.21940911275041694,0.11617861246862163,0.10145855576090435,62.02573272328318,4.910746854683297,0.08218840531397699,67586.12531348331,8.542100694444445,95.51593083565562,86.89313869073236,0.08510825499264037,0.1341432087177746,87.00805297352429,0.10433139756031064,600.5147637988068,0.4392282352941177,25195.727121484826
4,104,53.3762,19.9253,36,22.4161,0,117,114,14,138,18,0.99897,50.66572,0.0,0.0,3.82143,5.221,17.04618,0.0,0.0,125.0,29.13593,4e-05,0.48,1.416,-1.0,0.489483,0.09728647393190608,0.11246523537620115,0.26259787942865853,0.39932047480204075,1.6323418355799442,0.22498395554629366,0.11513233054778844,0.10473040438006607,61.88144486038774,4.842721482466102,0.08148809655719921,67710.7186403348,8.140287422839506,95.47842622123929,89.38508942325761,0.08566283769114025,0.12159928280634216,86.9611996175523,0.09882016201788578,590.4944226477313,0.438998431372549,25645.849748061475
5,105,53.5662,19.6034,36,23.0021,0,117,114,14,138,18,0.99833,50.82754,0.0,0.0,5.25,5.198,17.10626,0.0,0.0,125.0,29.06395,3e-05,0.48,1.439,-1.0,0.485639,0.09581213728080008,0.11184950244907033,0.26280487630123717,0.39710284875880886,1.3234390175264743,0.22790035732663988,0.11608811847478137,0.10353364602352608,61.69416601863909,4.859489825532587,0.08121560271206384,67831.19570586544,7.51953125,95.43397589507661,87.65925554704502,0.08602443056388069,0.11520010420217945,86.63139783569757,0.09757098687831421,581.3631395550955,0.4397729411764707,25958.60121674091
6,106,53.1175,20.0895,35,24.658,0,118,114,14,138,17,1.00034,50.39159,0.0,0.0,4.35714,5.234,16.82803,0.0,0.0,125.0,28.98777,5e-05,0.47,1.588,-1.0,0.51492,0.09477972855535487,0.11417571098438933,0.2626076143066162,0.399320474802037,1.210331797264196,0.2298662073622654,0.11908157543483411,0.10324524738643771,61.67021292227286,4.949624039402391,0.08274742483003912,67735.52964675931,6.9856288580246915,95.48369938466533,86.06168280660998,0.08629688823447115,0.11092998375345463,86.3597495632025,0.09817404487697551,573.2104273855385,0.4395380784313725,25525.08414959168
7,107,51.4992,20.8309,34,24.7091,0,118,114,13,138,17,0.99987,48.83986,0.0,0.0,4.78571,5.242,17.24817,0.0,0.0,127.0,28.28297,8e-05,0.47,1.634,-1.0,0.50485,0.09425862251527628,0.11446455883628502,0.2619805166843921,0.3932618077797437,1.1724101578113801,0.22376227278624297,0.11841891473010825,0.10329689158808811,61.824337241090376,4.927722223213924,0.08468169715217647,67652.26622120655,6.7641782407407405,95.69373860002642,86.52137088738567,0.08671907909570142,0.10739764362678268,85.73647601652782,0.09881726911223025,566.2010061935326,0.4281435294117647,23778.341713293223
8,108,50.2029,19.4013,33,20.6733,0,118,113,13,138,16,1.00089,47.58782,0.0,0.0,5.28571,5.311,17.88368,0.0,0.0,128.0,27.582,5e-05,0.48,1.662,0.18994,0.499347,0.093581129768653,0.11082226925777304,0.2617782495010326,0.38720314075744827,1.3962670018855166,0.21930728230823923,0.11712389542974885,0.10367736614732266,62.0239052478178,4.778839177430525,0.08513204045795472,67369.96016912987,6.302710262345679,95.90802506402902,88.48185325546261,0.08661604565183047,0.1046706934933291,85.00941631007566,0.09926902516323265,560.2174776187127,0.4122898039215686,22417.87585775967
9,109,50.0129,19.8094,33,19.7628,0,118,113,13,138,16,1.0001,47.40186,0.0,0.0,5.92857,5.256,16.65363,0.0,0.0,128.0,27.46038,6e-05,0.47,1.678,-1.0,0.503534,0.09324454685565409,0.1082027841160934,0.2615410195853329,0.3872031407574506,1.3849050721058562,0.21401427538699808,0.1171597831485465,0.10471666822783267,61.966411449291094,4.777348828047381,0.08579442545189274,67277.20181345059,6.36694637345679,95.91964383937894,91.23152690704424,0.08692763515097429,0.10242991052702415,84.23894962316714,0.10012375803704782,554.8160253601934,0.4113976470588236,22410.490807740392
