,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,tone,cubrow.1.0,staticness,noise,cubrow.0.5,cubcol.0.6,color_fulness,cubrow.0.6,cubcol.1.0,blur,temporal,cubrow.0.3,cubrow.0,saturation,cubcol.0.3,fft,movement,cubcol.0,blockiness,contrast,cubcol.0.5,uhdhdsim
0,100,66.5582,22.0737,37,0.0,0,121,118,10,135,15,0.97793,60.7318,0.0,0.0,0.10714,5.651,0.0,0.0,0.0,124.0,33.05325,0.00414,0.42,30.436,0.0,0.131389,0.499473725490196,0.04147147847232477,540.2812225723127,0.5063180735464553,0.10475378168747393,0.2142156308558106,77.41189842778134,0.15588880100230368,0.058005776351534276,61293.37279468585,0.0,0.044292376727147545,0.03699902548631758,45.26121520996094,0.415213944562092,75979.38927105203,0.0,0.061237069140175356,1.847976510766971,87.10131023842374,0.23373842520991792,83.05168144978316
1,101,66.6046,22.0173,36,40.8188,0,121,118,10,135,15,0.98151,60.75037,0.0,0.0,0.17857,5.676,18.95316,0.0,0.0,125.0,32.80906,0.00376,0.41,27.432,-1.0,0.123107,0.49799490196078433,0.032837022768299945,525.558158104082,0.5101591145255159,0.1293872950134563,0.19247898109236794,77.06607748173661,0.11522844113312258,0.05112863313284008,63915.28371714284,6.430120313144409,0.03499059509819359,0.02581581665185399,45.15700107150607,0.3919298454009065,75950.3990579891,16.189911265432098,0.054815427408997294,2.345277450061319,87.48537505162858,0.20506690454501633,82.59239816296454
2,102,66.7791,21.641,36,38.4922,0,121,118,10,135,15,0.99045,60.86723,0.0,0.0,0.25,5.534,18.90129,0.0,0.0,125.0,32.61389,0.00408,0.43,30.47,-1.0,0.128357,0.4974839215686274,0.030551427320072603,514.8633864747411,0.5024770325673992,0.14963249531879713,0.18890569861007858,76.34205399475353,0.1054025637191528,0.05022407961180463,66257.27407435335,6.379139741075011,0.036977496195081894,0.022630054962568008,45.049378760067036,0.39359428218804443,74681.47810768665,13.674623842592593,0.05223629366334067,1.5709370834846095,88.52289901980991,0.1961732057048523,82.33881726250758
3,103,65.0472,21.4808,36,40.7646,0,121,118,9,135,15,0.97669,59.37983,0.0,0.0,0.25,5.693,18.57429,0.0,0.0,125.0,32.45825,0.00461,0.42,30.413,-1.0,0.11634,0.4994709803921569,0.02952766514872269,506.0760320104078,0.5024770325673938,0.1515557137808407,0.19090611707011532,76.54101343699742,0.09365039566908066,0.06062543881860663,61543.944031582185,6.339615168613243,0.03594536695020613,0.021150740348829276,45.07517609772859,0.3733740419680288,73134.42780984897,11.91652199074074,0.04668792496240032,1.6940205624056208,85.13043567213765,0.19649151972876322,82.54769330822577
4,104,62.9344,21.0723,36,40.6565,0,121,118,9,135,15,0.98392,57.55341,0.0,0.0,0.07143,5.947,18.43324,0.0,0.0,125.0,32.41477,0.0046,0.41,22.964,-1.0,0.130744,0.4987349019607844,0.029002603495709812,498.24768229149646,0.5046946586106241,0.14658440602912465,0.19610813196900911,76.9478161506788,0.09293381652425642,0.07134494952434839,54234.16931317843,6.28119757415216,0.03484394242693669,0.020244872043738257,45.090155142324946,0.34890232835666135,71360.20673310963,10.50462962962963,0.04452534429809262,1.7643229371322777,84.63327973092642,0.2000050339710461,82.7809842781869
5,105,62.5555,21.3836,36,39.0315,0,122,118,10,135,15,0.96663,57.24075,0.0,0.0,0.10714,6.029,18.08274,0.0,0.0,125.0,32.52751,0.00451,0.42,24.385,-1.0,0.123887,0.4977650980392157,0.028992316774004708,491.0444125217175,0.502477032567399,0.14524262030034635,0.20253612561283246,77.72123689909591,0.0891373427287871,0.07770622113848605,53122.99331031782,6.227832395604158,0.03607138094433054,0.019472161684783326,44.76456008722753,0.33283561772853243,70822.84478839784,9.287856867283951,0.04477785513000004,2.7005498242976196,86.2265308400411,0.2033613312936763,82.77468837469014
6,106,62.6939,21.9609,36,40.4843,0,122,118,10,135,15,0.98229,57.37035,0.0,0.0,0.17857,6.226,18.35167,0.0,0.0,125.0,32.59495,0.00448,0.42,23.378,-1.0,0.125517,0.49842784313725497,0.028914155921969165,484.64692016170284,0.5095649034181177,0.14158424495821836,0.20832345483699452,78.65857196942335,0.0864687362051894,0.08317308771290043,54524.93844190522,6.273429336324757,0.03665055818984907,0.018762712301054772,44.44688754611545,0.32006230362904076,70786.10896964153,8.899498456790123,0.04488623749585398,2.298501293937671,85.65895808290882,0.20853486772804106,82.7265497518472
7,107,63.609,21.9187,37,42.6779,0,122,118,10,135,15,0.97529,58.20715,0.0,0.0,0.14286,6.465,18.84918,0.0,0.0,125.0,32.92956,0.00497,0.42,20.067,-1.0,0.124097,0.5011454901960785,0.028638607374282626,478.924247069387,0.5101591145255194,0.13635650486942694,0.21457150183873022,79.45216125395513,0.08521691022029365,0.08636039796954974,59252.54599461494,6.3032051343168085,0.03855802295430691,0.018580852196103195,44.218166775173614,0.3117349670434074,70007.33476718534,8.886815200617283,0.04598533065684319,2.6420241570488376,85.65244128398191,0.21329064330805758,82.42307498632833
8,108,63.8955,21.9524,37,39.5571,0,122,118,10,135,15,0.98,58.4694,0.0,0.0,0.14286,6.692,18.81149,0.0,0.0,124.0,33.20145,0.00492,0.42,19.08,0.1259,0.131177,0.5041185098039215,0.028592711303473895,473.4262805809661,0.5063180735464544,0.1293543320450001,0.21754138320538724,79.81600606982671,0.08452688793649463,0.08652291679101909,59623.683279365505,6.28577776587063,0.039809814018757765,0.01833686946466942,44.106023717809606,0.30396641101750277,69331.62985710007,8.197723765432098,0.046523458283197865,3.3835958271038677,88.65392160209447,0.21476830459397828,82.41228755154587
9,109,63.7656,21.9725,36,38.5548,0,122,118,10,135,15,0.96897,58.3457,0.0,0.0,0.07143,6.884,18.83915,0.0,0.0,125.0,33.2141,0.005,0.42,15.322,-1.0,0.132725,0.503443137254902,0.02852758493386073,467.7069102432513,0.5063180735464544,0.12536118983728126,0.2171601193055208,79.75287123511427,0.08449995728026186,0.08725778115088782,59000.47280535322,6.260493672622675,0.04240417816495271,0.01796397373704688,43.91543353045429,0.30031434850794847,68415.78610311897,7.444926697530864,0.04771124894602236,1.5892195971895564,87.47214060367435,0.21596835781479837,82.46635060814226
10,110,64.1399,22.0987,37,39.257,0,122,118,10,135,15,0.9746,58.67925,0.0,0.0,0.14286,7.002,18.8535,0.0,0.0,125.0,33.50519,0.00503,0.42,15.733,-1.0,0.131334,0.5069462745098039,0.028541569836215655,461.71073576142004,0.5101591145255143,0.12365593079285297,0.21684811705316137,80.49044076021778,0.08589738599353554,0.08746850015053921,60201.2876986561,6.233988260512017,0.04061490446771637,0.017736540456767973,43.58755869924286,0.3013305602211173,68754.79453383268,9.686969521604938,0.04720498287571938,2.0248006966608387,88.34144713932622,0.2164228362128906,82.39418831408257
11,111,65.3479,22.1687,37,38.6526,0,122,118,10,135,15,0.99253,59.72441,0.0,0.0,0.07143,7.057,18.9578,0.0,0.0,125.0,33.64947,0.00449,0.42,14.738,-1.0,0.141705,0.5081760784313725,0.028498792415653097,455.7957702330369,0.5063180735464541,0.12313740235747947,0.21643355736779313,80.34595081846794,0.08757368506866563,0.08669359054568722,69066.89210749707,6.231046931218982,0.039928777880795366,0.01757403197533986,43.270118995949076,0.3042810057014849,69254.09536075071,10.675588348765432,0.04714274810521339,2.3628187252809902,87.26704102600631,0.21396697325024136,82.14118530415664
12,112,64.7829,23.0457,37,36.3979,0,122,118,10,135,15,1.00165,59.28591,0.0,0.0,0.28571,6.934,19.01486,0.0,0.0,125.0,33.45455,0.00449,0.42,15.197,-1.0,0.130592,0.5079596078431372,0.028542222565606064,450.326504100625,0.5024770325673936,0.12420989296983505,0.21524754404950305,79.71887108138,0.08876105424034354,0.08639842147706477,62332.742163425406,6.211985148429663,0.040467120557484026,0.01726848878484935,43.23382568359375,0.30520562477638563,70231.73752277199,9.610725308641975,0.047307600383386224,2.794859236826757,89.18002038359842,0.21179024276538228,82.35696149833251
