,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,color_fulness,cubcol.1.0,saturation,cubcol.0.5,movement,cubcol.0.6,tone,cubrow.0.3,staticness,noise,cubrow.1.0,cubcol.0.3,cubcol.0,contrast,temporal,blockiness,fft,uhdhdsim,blur,cubrow.0.5,cubrow.0,cubrow.0.6
0,400,37.4909,7.48467,28,0.0,0,115,118,7,140,7,0.98253,38.97596,0.0,0.0,3.03571,8.169,0.0,0.0,0.0,124.0,41.77874,0.0,0.39,2.047,0.0,0.918271,79.7642686911117,0.17337655687556913,57.60224745008681,0.10261695158135764,0.0,0.14297473694086762,0.6420639215686275,0.12926259462477022,737.6300982505513,0.35409796849534875,0.11057091014493443,0.0640981656053147,0.08421824573873071,89.42303833946717,0.0,1.1187842037937838,63958.96720850053,99.68057881795282,9658.760641715964,0.16883958345431982,0.12971772399893133,0.15330980661748067
1,401,37.4418,7.67889,28,9.17094,0,115,118,7,140,7,0.97604,38.9671,0.0,0.0,2.32143,8.167,6.43338,0.0,0.0,123.0,41.77096,0.0,0.39,2.132,-1.0,0.922378,80.32598348361408,0.17511490579173342,57.771479288736984,0.10172693642646766,2.326340663580247,0.1373482827745153,0.6412682352941176,0.12865603610763485,738.1471944179248,0.3540979684953503,0.11545547194423833,0.06468510568996313,0.08379358550894803,88.43756046248117,4.0326814817348975,1.273907697031316,64028.115405011275,99.6673951537344,9645.097745165403,0.1720842715987142,0.12701381515723248,0.15292718284538095
2,402,37.3794,7.55929,28,9.08361,0,115,118,7,140,7,0.97449,38.89499,0.0,0.0,2.03571,8.238,6.59926,0.0,0.0,123.0,41.74538,0.0,0.39,2.107,-1.0,0.943428,80.79099390499691,0.1812322063652369,57.6838791458695,0.10072686970359274,2.2119984567901234,0.13604722371924877,0.639301568627451,0.1288294364600704,738.7194540511105,0.35409796849535163,0.11784104755912046,0.06573514333440557,0.08723897489197137,85.74073963706361,4.124568969873434,1.210350449357071,64031.05563146028,99.67949933292614,9609.04235431982,0.1691672646250894,0.12226963049331607,0.1511942768051643
3,403,37.4831,7.15373,28,9.54722,0,115,118,7,140,7,0.98033,38.9889,0.0,0.0,3.25,8.224,6.50295,0.0,0.0,123.0,41.68083,0.0,0.39,2.012,-1.0,0.973289,80.99603326603663,0.1861345140831649,57.79441946524161,0.09899313952804535,2.0386766975308643,0.13262741106038226,0.6379643137254901,0.12892101066358236,739.1281323453508,0.3540979684953475,0.1176011630613973,0.06620345638049806,0.09359267629218519,89.40044493637794,4.142805287259848,1.628493982991042,64033.91133412694,99.67423666668907,9646.646097594627,0.1678853712600253,0.1207800467584045,0.15169255045273378
4,404,37.5691,7.1422,28,9.07386,0,115,118,7,140,7,0.9852,39.07679,0.0,0.0,4.28571,8.209,6.15409,0.0,0.0,122.0,41.67494,0.0,0.39,2.07,-1.0,1.026817,81.22375433829238,0.1881682892822364,57.69937736605421,0.1010173177984569,1.7684220679012346,0.13434087166468678,0.6378219607843139,0.12837085118255237,739.5933026835338,0.3540979684953492,0.11729318182867016,0.06633679876992958,0.09744489555635512,88.86217911835081,4.067969233148348,1.9855157394405811,63990.328116335775,99.66000086833992,9717.962390600807,0.16845385290654563,0.12045550945268896,0.15208354978507607
5,405,37.9333,7.44722,28,9.18208,0,115,118,7,140,7,0.99528,39.45432,0.0,0.0,3.39286,8.128,6.14293,0.0,0.0,123.0,41.71722,0.0,0.39,2.028,-1.0,1.050034,81.48874483248473,0.18808296772193275,57.56240901240596,0.10401288858667557,1.7249228395061729,0.1348940156209906,0.6387713725490196,0.12827472513614688,739.3262492211805,0.3540979684953475,0.11777633532790184,0.06708659801341445,0.09742391833340253,87.00297578188639,4.168029348930905,1.7683911963299592,63914.84113927798,99.59779041363248,10005.87977285071,0.16791415489038014,0.12147452882290094,0.15200627748941503
6,406,38.3043,7.32038,29,9.25798,0,115,117,7,140,7,0.99565,39.84979,0.0,0.0,2.67857,8.117,6.43013,0.0,0.0,126.0,42.10226,0.0,0.4,2.041,-1.0,0.971941,81.29065493374611,0.18793837259585652,57.527504626615546,0.10567311260031882,2.232253086419753,0.13594200235772433,0.646328019607841,0.1283173613264163,737.7027101494577,0.3540979684953518,0.11799106347884633,0.06734790861741133,0.0962488854909463,87.78683118113923,4.4042950344538,1.4109448958432955,63909.47576160941,99.51456300767478,10287.73345705352,0.1677047840020792,0.12293685740519873,0.15196949731713788
7,407,38.3984,7.19483,29,9.25125,0,115,117,7,140,7,0.99627,39.99112,0.0,0.0,2.89286,8.166,6.289,0.0,0.0,127.0,42.13949,0.0,0.4,2.172,-1.0,0.914957,81.15068248500603,0.1859055138806377,57.41997518657166,0.10755505996100409,1.5099344135802468,0.1353922565881862,0.6469050980392156,0.12844687533941768,736.4776430665942,0.3540979684953525,0.11886549995049792,0.06775013625423057,0.09391603488185285,89.20353157419406,4.1071313201950534,1.5938696552004423,63835.65973195274,99.46729794877216,10321.256352792168,0.16733938939260634,0.12381591769885153,0.15243860315080066
8,408,38.1143,6.73957,29,9.28761,0,115,116,6,140,7,0.99293,39.69902,0.0,0.0,3.42857,8.159,6.19175,0.0,0.0,125.0,41.61576,0.0,0.4,2.195,0.29668,0.932737,81.52719295473449,0.1820904649448498,59.01148553542149,0.10837905865407124,3.5713734567901234,0.13579471762817255,0.6387305882352942,0.12809272818937262,732.5612078455424,0.3518803424521207,0.11932169948088622,0.06850065093717737,0.0932148934120026,86.65458593106563,4.774022786238961,1.356790022575362,63743.618271533946,99.50316091348837,10069.2787540546,0.16757998682476008,0.1229675543230221,0.15285155984992296
9,409,37.964,6.16565,29,8.75893,0,115,116,6,140,7,0.99301,39.57705,0.0,0.0,3.60714,8.177,5.79342,0.0,0.0,125.0,41.41286,0.0,0.39,2.137,-1.0,0.965268,82.06385636293874,0.17731096118048675,59.656601894049,0.10835949295546635,1.1116415895061729,0.13628492683594218,0.6348219607843137,0.12743303439704934,729.1348473618831,0.3518803424521213,0.11944397114946902,0.0689919152656443,0.09416176470879785,87.37965056836869,4.1615607604555,1.4662575633950854,63773.32460778301,99.51370224529265,9959.214765679139,0.16789009227871643,0.12202839578442681,0.15361532537395706
10,410,37.7904,5.83645,29,8.575,0,115,116,7,140,7,0.99167,39.41037,0.0,0.0,3.10714,8.157,5.30199,0.0,0.0,126.0,41.44009,0.0,0.4,1.79,-1.0,0.950775,82.10044528070658,0.17355951464730493,59.63014654465664,0.10890263823823457,2.084346064814815,0.13689716027846108,0.6347635294117646,0.12732866218025235,726.7050306912179,0.3518803424521193,0.11936413271457363,0.06970183320024959,0.09643959591412889,89.19292004949929,3.71347879602382,1.7050066980416947,63787.088527411805,99.54701914793029,9825.458432734891,0.16845085014465272,0.12076826382999326,0.15381041312100643
11,411,38.0786,5.80695,29,7.85839,0,115,116,7,140,7,0.99329,39.66988,0.0,0.0,3.78571,8.182,5.01074,0.0,0.0,125.0,41.44908,0.0,0.4,1.99,-1.0,0.971784,82.05430044991097,0.1709115817172504,59.553379011742855,0.111986720053033,1.9718846450617284,0.13702744013225812,0.6348027450980392,0.12753175565841185,724.8908980726796,0.35188034245212013,0.11928037131581322,0.07046198334004068,0.09996465522885241,88.91539448132765,3.6055303430679864,1.3469306265612455,63937.41648511734,99.49334660494075,10003.263340367668,0.16923292603885973,0.1196417212361044,0.15435637315390643
12,412,38.0853,5.6903,29,7.46983,0,115,116,7,140,7,0.9979,39.68589,0.0,0.0,3.25,8.157,4.98998,0.0,0.0,126.0,41.48271,0.0,0.4,1.693,-1.0,0.934639,82.4071289269413,0.1690479118498873,59.58539345823688,0.11415081657831162,1.8152488425925926,0.13719055712977707,0.6342058823529411,0.1277069846452253,723.4923747427022,0.35188034245212063,0.11977967149073662,0.0711809084925112,0.10235115366070734,86.37789847872739,3.5854062201697157,1.2717831044558678,63971.563767916574,99.50757981824829,9995.540532180203,0.17007960962778795,0.11858203903467962,0.15508906195576536
13,413,38.1662,5.82382,29,7.47258,0,115,116,7,140,7,1.0056,39.76343,0.0,0.0,3.0,8.128,4.88859,0.0,0.0,126.0,41.50716,0.0,0.4,1.718,-1.0,0.959349,82.38923414525053,0.16770451075026635,59.61562130774981,0.11454976856738351,1.8505979938271604,0.13791935647880368,0.6340717647058822,0.12751174940611235,722.4298706686334,0.3518803424521196,0.12124007791741163,0.07171660338622796,0.10429424799230068,90.49524485189032,3.5300703627108203,1.8124711790865173,63965.83882585089,99.50359343618723,10053.523577141204,0.17098925348720875,0.11769702717158902,0.1550176390345088
14,414,38.04,5.49579,29,7.7997,0,115,116,7,140,7,1.00807,39.62697,0.0,0.0,3.82143,8.163,5.00812,0.0,0.0,127.0,41.47917,0.0,0.4,2.104,-1.0,0.992766,82.46521720269854,0.1661689913345409,59.60832666467737,0.11372031829457888,1.7314332561728396,0.136944883391918,0.6330003921568627,0.12729916990980564,721.5743818886313,0.3518803424521206,0.12325714869926761,0.07220094554278472,0.10536128250990516,86.71169796439324,3.5373034579465785,1.4182132419381994,63989.74796179379,99.5133713964839,10007.443118450627,0.17180521986529765,0.11713180363434804,0.15529849045568747
15,415,37.7927,5.87221,28,7.69216,0,115,116,6,140,7,1.00491,39.41912,0.0,0.0,3.39286,8.134,4.72009,0.0,0.0,126.0,41.45927,0.0,0.4,2.204,-1.0,1.02942,82.41965926168812,0.16452305879072884,59.56441752115885,0.11424498973192207,2.62890625,0.13595777329835798,0.6324560784313726,0.1273169843671352,720.8921642535763,0.35188034245211924,0.12500159561938964,0.07262703671194355,0.10493564104652157,89.86955608454966,3.5863043732170823,1.5883960819244478,63925.524939409,99.55809737371263,9851.136967671804,0.17257015506365508,0.11659689627392947,0.15507125243830203
