,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,temporal,tone,fft,cubcol.0,staticness,cubrow.0,blur,cubcol.0.6,movement,noise,cubrow.0.6,cubcol.0.3,color_fulness,saturation,cubrow.0.5,cubcol.0.5,cubrow.0.3,cubrow.1.0,uhdhdsim,contrast,blockiness,cubcol.1.0
0,400,75.3356,20.1843,45,0.0,0,118,119,11,134,14,0.97179,68.70677,0.0,0.0,2.67857,3.097,0.0,0.0,0.0,125.0,33.23024,0.00014,0.42,3.003,0.0,0.86215,0.0,0.5445470588235293,77656.75683320926,0.04989255622463736,551.0560331212373,0.3342298159251325,71859.64179605081,0.15691827626028781,0.0,0.41587306093308457,0.10477416184148061,0.10983663108795728,95.37652667771121,42.28491022557388,0.04358365824987087,0.19071887878841384,0.4178267394779368,0.26162204903129954,82.53769430417458,88.87552852420224,1.6421735692502308,0.11402190189790039
1,401,75.9988,20.2204,45,32.1503,0,118,119,11,134,14,0.9976,69.2994,0.0,0.0,3.28571,3.107,17.32534,0.0,0.0,125.0,33.38518,0.00022,0.43,3.079,-1.0,0.82846,5.287219305292063,0.5474725490196077,77838.01971480671,0.041485004304771096,544.1637280651975,0.3151991195732536,74221.79996494665,0.11988955746508964,9.26417824074074,0.41587306093308646,0.09870184142292421,0.08754208433005704,95.17184622979607,42.45968401873553,0.041671715510615256,0.15730126057825958,0.3966018697837951,0.21178904703518844,82.46040133428494,89.27899784444114,1.5254308154955925,0.09241068364923309
2,402,76.5546,20.106,46,33.0476,0,118,119,11,134,15,0.97755,69.8121,0.0,0.0,1.82143,3.115,17.3554,0.0,0.0,124.0,33.58459,0.00025,0.44,3.053,-1.0,0.807143,5.239580019879668,0.5510211764705881,77963.28582016124,0.03989591963110534,537.8496313612045,0.3047989997995113,76551.11959103595,0.11358334232881417,8.643470293209877,0.41587306093308896,0.09162902466176238,0.08192041605553345,94.91833250994617,42.527795673888406,0.04190178499395729,0.1501073459107105,0.3848444506595528,0.2115729614361923,82.38410496128557,89.51878867729556,2.018455544699612,0.08756351921678898
3,403,76.4472,20.013,46,33.7571,0,118,119,11,134,15,0.962,69.6914,0.0,0.0,2.67857,3.16,17.25804,0.0,0.0,124.0,33.65802,0.00019,0.43,2.999,-1.0,0.809515,5.222367234738,0.5527623529411765,78418.12015338828,0.03872151939410008,532.3549414816242,0.2991804693664305,76923.23763435864,0.11817430057481926,7.901909722222222,0.41587306093308757,0.0857426717099598,0.07816012236692049,94.75459630345865,42.69675624517747,0.040880687324408534,0.1451335377015929,0.37524175595377207,0.21728842604475967,82.40917186503157,89.34102717011962,2.184089219662431,0.08389224630876008
4,404,76.1289,20.0551,45,32.3196,0,118,119,11,134,15,0.94006,69.42335,0.0,0.0,2.92857,3.118,17.17725,0.0,0.0,124.0,33.61538,0.00025,0.43,3.267,-1.0,0.829711,5.242950468041778,0.5523964705882353,77827.72860800063,0.03781097772328421,527.467949648875,0.29689450087617963,76265.90844808279,0.12433501248973798,7.346739969135802,0.41587306093309,0.09199471220857064,0.0774106084430121,94.27246501490383,42.78234919795283,0.04045089816760005,0.13829344800053922,0.3714122533198619,0.20369209017303574,82.35560649986039,89.11304402652753,2.331285439798994,0.08254366803546712
5,405,76.7949,19.9253,46,32.1629,0,118,119,11,134,15,0.96141,70.03986,0.0,0.0,2.60714,3.073,17.2144,0.0,0.0,124.0,33.61786,0.00032,0.43,3.341,-1.0,0.806419,5.249289508924825,0.5524647058823529,78272.2457935906,0.03744948288121981,523.0029741999908,0.2928790597820028,77498.46965124982,0.13006180563435374,7.037471064814815,0.42030831301954724,0.09808674765519704,0.07577580847425777,93.95833146860666,42.8540800118152,0.039900042022206504,0.1320843311892886,0.37141012458151695,0.19225373499217152,82.27151047109949,85.41116033614783,2.1991935958208226,0.08115371614888721
6,406,76.3088,19.8769,45,31.7134,0,118,119,11,134,15,0.98093,69.55926,0.0,0.0,2.07143,3.094,17.1047,0.0,0.0,124.0,33.54596,0.0002,0.42,3.444,-1.0,0.771104,5.2672391889988734,0.5476827450980393,78648.67051941263,0.0370972984623592,519.1043112554376,0.29031789357892057,77419.04659108675,0.1355123561027315,6.662278163580247,0.4180906869763176,0.09558164603995259,0.0747257338993928,93.69498345971299,42.997277153862846,0.04271421435098748,0.12843619449614158,0.3756527515856686,0.18383517926862036,82.27037866677775,86.9440633672294,1.816020170492902,0.0816203122301923
7,407,76.0997,19.6236,45,30.8821,0,118,119,11,134,15,0.95408,69.39312,0.0,0.0,2.78571,3.047,17.06137,0.0,0.0,124.0,33.45636,0.0002,0.43,3.092,-1.0,0.761859,5.311091074365583,0.5447545098039215,78973.66438088067,0.036479566577499546,515.5306076666448,0.28713697242624253,75283.29846385415,0.13455218281877315,6.582995756172839,0.4158730609330887,0.09458709316337799,0.07401598212919297,93.54618513741582,43.064110649956596,0.044277405514678,0.12118556910040097,0.37248602546516585,0.1729970093427515,82.20300476438373,86.58766362729465,2.1225023975333803,0.08053575075447016
8,408,76.8168,19.9227,45,32.6262,0,118,119,11,134,15,0.97694,70.06147,0.0,0.0,1.96429,3.026,16.84258,0.0,0.0,124.0,33.4311,0.00027,0.42,3.12,0.19817,0.748332,5.263214022139874,0.5419141176470588,79019.37504058509,0.036522416061582415,512.3375245526631,0.2849255354224999,76696.65902946297,0.13953664599475585,6.065731095679013,0.42030831301955235,0.09125804412270525,0.07377216145930839,93.15803734255464,43.133372930832856,0.04604823974002323,0.11484205743278028,0.369051335608257,0.167306195885274,82.08026054911413,89.32832138541838,1.9027650709437094,0.0793829514909022
9,409,76.3002,20.5279,45,33.3883,0,118,119,10,134,15,0.98481,69.59967,0.0,0.0,2.0,3.031,17.10078,0.0,0.0,124.0,33.29578,0.00024,0.43,3.449,-1.0,0.729375,5.2466601694206165,0.5398219607843137,78345.5077892223,0.03623362482037781,509.13203550816314,0.2818071828812456,75098.432911033,0.1398808130027421,5.806471836419753,0.41809068697631746,0.0906364515446094,0.07334323271401212,92.91699143716276,43.161013379509065,0.04849941150954591,0.11030276306361611,0.3687029479442379,0.16489438877977783,82.14105958499647,87.58819462129772,1.5799417086142322,0.07777761845753832
