,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,cubcol.0.5,color_fulness,cubcol.0.6,uhdhdsim,fft,cubcol.1.0,noise,contrast,tone,cubcol.0,cubcol.0.3,temporal,cubrow.1.0,cubrow.0.6,movement,cubrow.0,cubrow.0.5,staticness,cubrow.0.3,saturation,blur
0,200,81.7669,17.414,81,0.0,0,117,117,19,136,18,1.00877,88.73621,0.0,0.0,0.10714,4.324,0.0,0.0,0.0,126.0,43.97139,9e-05,0.54,2.38,0.0,0.079624,6.477066977348003,0.2344096044046623,85.31014702642385,0.23146319618947056,89.64270133909005,69614.86321821924,0.3354013787621685,0.6199685504205575,85.1752223530832,0.6391086274509803,0.2725283496068216,0.2353978889596919,0.0,0.2668795976153633,0.27180109366117466,0.0,0.26853202986693386,0.29843931753921754,580.2525583720944,0.3141739183153999,51.31837727111063,53052.57493041147
1,201,81.3467,17.4656,81,28.5424,0,117,117,19,136,18,1.01174,88.27818,0.0,0.0,0.03571,4.303,14.99999,0.0,0.0,126.0,43.79021,6e-05,0.55,2.529,-1.0,0.083271,4.8139886669257335,0.23056589920438877,85.76075232060722,0.2218430756235836,89.64201382243118,69476.74033758811,0.3238419587619168,0.6199685504205587,84.63328096304055,0.6367023921568626,0.24482675663939993,0.23407671910340594,6.2046525022446755,0.2401377703037928,0.2580213513328865,8.566454475308642,0.2459608020424511,0.29381872862667874,576.4680576892548,0.30082109891857295,51.36659504454813,51678.84654997993
2,202,80.825,17.4215,80,31.0819,0,117,117,19,136,18,1.01553,87.60927,0.0,0.0,0.14286,4.329,15.04295,0.0,0.0,126.0,43.43714,9e-05,0.53,2.529,-1.0,0.10364,5.8595727935153,0.2300344752087369,85.16880565524153,0.2166092447832158,89.7372703728618,69383.04074322754,0.3184555576758193,0.6133156722908712,87.45790207949442,0.632475294117647,0.2532263372011211,0.22601351946533768,6.215964037221985,0.23088244487345838,0.2446813744109999,7.4985532407407405,0.2416773685824774,0.29479948279798496,573.1713791480186,0.29717150378764273,51.10496276101948,50956.99443897349
3,203,80.714,17.1898,80,29.6283,0,117,117,19,136,17,1.0081,87.45075,0.0,0.0,0.14286,4.3,15.00756,0.0,0.0,126.0,43.2335,0.00014,0.52,2.511,-1.0,0.098832,7.525964650834643,0.22459925616846363,84.7070903135174,0.2189681738000432,89.71962831874505,69301.56120423667,0.316529007610699,0.6133156722908729,87.4108155639162,0.6302858823529411,0.2616526307640113,0.21876449794817934,6.154717135415348,0.22708916231361953,0.24433365382826563,6.638888888888889,0.23396194769512965,0.29698197701217843,570.1374774808454,0.29582337022745986,51.09046163676697,50552.283021779615
4,204,80.7514,17.061,79,28.1111,0,117,117,19,136,17,1.00841,87.47345,0.0,0.0,0.28571,4.278,14.80708,0.0,0.0,126.0,43.11129,0.00014,0.53,2.453,-1.0,0.09166,4.2756027869573945,0.2295527793186734,84.51950097088243,0.21972060303224825,89.72741720874646,69146.22345998611,0.3183838767232545,0.6094746313118147,85.69608702966636,0.6305258823529412,0.2601573931247969,0.21379011173403611,6.139719927095943,0.22790008116759164,0.2454107023752529,5.974537037037037,0.23021281442553101,0.2972477602640121,567.7216320242528,0.2940380734174327,50.85948482560523,50575.2438706607
5,205,80.4987,16.6846,79,29.2978,0,117,117,19,136,17,1.00006,87.13977,0.0,0.0,0.28571,4.293,14.69793,0.0,0.0,127.0,42.99211,0.00011,0.52,2.697,-1.0,0.107401,7.793571514501504,0.23048649762584802,83.02585198782322,0.22037064802668913,89.71045836439922,69206.71134406255,0.3156982286158315,0.6094746313118092,87.27358873500901,0.6289309803921569,0.26399205620377225,0.20946841465039545,6.1672374323989105,0.2255869777727257,0.24497003993803868,5.380835262345679,0.22944962377583394,0.29635903415814613,565.4002167307555,0.29325181484341717,50.89662660198447,50344.602844822926
6,206,80.5826,16.5711,79,28.1367,0,117,117,18,136,17,0.99099,87.22919,0.0,0.0,0.25,4.297,14.37808,0.0,0.0,126.0,42.88241,7e-05,0.53,2.555,-1.0,0.138617,5.6240187986735695,0.23036425750606024,82.47387171838903,0.2228587950726732,89.71300858266756,69274.2992127987,0.3156378958935051,0.6094746313118055,88.18127295454158,0.6277921568627451,0.26353946006670365,0.2047739412871353,6.213900349126007,0.22693181379576374,0.24485243122282502,4.967255015432099,0.22787251259805252,0.29312879521666724,563.5219259774901,0.293886806913141,50.7165463294512,50435.2194788523
7,207,80.3956,16.896,79,26.7377,0,117,117,19,136,17,0.99294,87.03162,0.0,0.0,0.21429,4.293,14.2749,0.0,0.0,127.0,42.73171,0.00011,0.53,2.934,-1.0,0.13896,4.691342299117707,0.23082072573721596,82.39547342752564,0.22468014897916555,89.72392513337063,69232.27180294195,0.31324287515454846,0.6072570052685801,88.2046342909041,0.6256389019607841,0.2627246056085824,0.20092583391725136,6.140753746726219,0.22774929063243415,0.24300590372604267,4.514033564814815,0.22590038788031275,0.29185217748870296,562.1248478091741,0.2940167879221798,50.61439646026235,50013.53832858979
8,208,80.6634,16.9501,79,25.3522,0,117,117,19,136,17,0.99899,87.22399,0.0,0.0,0.14286,4.299,14.55788,0.0,0.0,127.0,42.58639,7e-05,0.53,2.798,0.14802,0.132703,7.154442461890582,0.231547893175029,82.46066886224065,0.2268841568302883,89.6862141445895,69370.00396376518,0.30965152509067245,0.6094746313118079,87.02079582218227,0.6255786078431366,0.25610981302454505,0.19842308311663479,6.154142060935288,0.2306535542705358,0.24311551440531873,4.500916280864198,0.22753373751359898,0.29087124406980924,561.1008531425624,0.2936023827479608,50.503871776439524,50723.15650106168
9,209,80.6003,16.8337,79,27.3487,0,117,117,18,136,17,1.00004,87.09868,0.0,0.0,0.5,4.283,14.60569,0.0,0.0,127.0,42.37794,0.0001,0.54,2.53,-1.0,0.16007,6.086470433407943,0.23342525122187263,83.15032489629041,0.2290111604871099,89.6807601829083,69439.1582772487,0.30647614322084427,0.60725700526858,86.49670449838473,0.6234258823529413,0.253736217362382,0.1976204890361144,6.178017698366294,0.2319458596968105,0.24185452084018866,4.596064814814815,0.22431050997062213,0.2901955842608571,560.4456498120746,0.2945752355789711,50.33919779459636,50725.58644031577
