,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,fft,uhdhdsim,cubrow.1.0,tone,contrast,cubrow.0.6,cubcol.1.0,cubrow.0.3,noise,cubcol.0,blur,cubcol.0.6,saturation,temporal,cubcol.0.5,blockiness,cubcol.0.3,staticness,cubrow.0.5,movement,cubrow.0,color_fulness
0,200,57.0838,24.2095,47,0.0,0,111,123,13,130,11,1.00205,60.83259,0.0,0.0,5.53571,5.459,0.0,0.0,0.0,126.0,43.14698,0.00015,1.32,1.43,0.0,1e-06,65921.46443973809,93.96646967241071,0.12917827140366586,0.6576172549019609,87.27114748309651,0.20653373161549718,0.16453632762322035,0.2430385787944747,0.5416408718517826,0.11787520232311711,26085.599217862815,0.166620736312283,30.034557201244212,0.0,0.1407997794984657,5.23499229106378,0.09479512243962845,329.48166202414427,0.2300569463949524,0.0,0.08617357454483703,95.39919787262534
1,201,57.1293,24.1808,47,27.4888,0,111,123,13,130,11,1.00344,60.92571,0.0,0.0,3.96429,5.448,20.81646,0.0,0.0,126.0,43.07519,0.00022,1.33,1.57,-1.0,1e-06,65933.77999960695,94.00044976171309,0.10298457034280896,0.6569489215686264,87.090510050518,0.15873901860269768,0.14509259186622814,0.1779385706514933,0.5416408718517817,0.10342203611822025,26138.335680930635,0.14876331673329518,30.035565599983123,7.121910078764706,0.13331983600363723,4.618889108562592,0.09742289292095488,323.41470947852946,0.168474287096204,14.20606674382716,0.06247448674187313,95.56200654111653
2,202,57.2281,24.0011,47,25.2784,0,111,123,13,130,11,0.98492,60.99635,0.0,0.0,5.85714,5.468,20.79409,0.0,0.0,126.0,43.10054,0.00027,1.34,1.506,-1.0,1e-06,65915.94750124929,93.93553026746673,0.09537058117139251,0.6568215686274509,88.25355327919051,0.14646413138545375,0.1410946036824251,0.16179386520036118,0.5416408718517808,0.10164159126591425,26238.753099411068,0.15636792850367962,29.92223141517168,7.122650492970316,0.13206021451832758,6.210959399375096,0.11111453825659519,317.7168538121745,0.15488552508865505,13.261284722222221,0.057447293393368716,94.89134940254405
3,203,57.1655,24.0243,47,22.1621,0,112,123,13,130,11,0.97972,60.97422,0.0,0.0,5.07143,5.457,20.63672,0.0,0.0,126.0,43.06449,0.00018,1.33,1.669,-1.0,0.0,65879.26081832059,93.9196425392504,0.09548683963969024,0.6569905882352942,89.62443665477991,0.13815063436828665,0.1326593016281569,0.15304528819099789,0.5416408718517838,0.10181266149234512,26225.02994076242,0.15975839265160424,29.9089498637635,7.096368135533878,0.12141288827134347,5.0135917149829785,0.11441786294564506,311.56693216893285,0.14611854106011274,11.782503858024691,0.0549625235202219,94.70304558739069
4,204,56.584,24.176,46,24.0441,0,112,123,13,130,11,1.01395,60.39587,0.0,0.0,5.71429,5.546,20.65736,0.0,0.0,126.0,42.96828,0.00022,1.35,1.626,-1.0,0.0,65658.53981403877,93.96407951957683,0.09373064093272625,0.6553746470588235,86.9004497763739,0.13193031047391382,0.12390285870015913,0.14679051264187687,0.5394232458085539,0.09903111230437404,25552.794423271127,0.15903436857442127,29.803672319577064,7.094051973232205,0.11342661876310912,5.658011697857928,0.11846452752710038,305.6180616683889,0.14027099846414615,10.805893132716049,0.05236001304967029,94.980293190944
5,205,55.9873,24.1292,46,24.5215,0,112,123,13,130,11,0.99367,59.8541,0.0,0.0,7.03571,5.625,20.78378,0.0,0.0,126.0,42.97175,0.00021,1.34,1.638,-1.0,0.0,65494.511274726494,94.0944826095988,0.0911366565423875,0.6543800196078402,90.90861659288556,0.12905771285430173,0.11662164710802596,0.1423537837751296,0.5394232458085525,0.10389345085469452,24735.128251959803,0.16267511122262227,29.80167002736786,7.1005162863640985,0.1069120740445366,5.3259578479011855,0.12504233688227925,300.1645217677048,0.13632269418821716,10.219859182098766,0.05019822887938616,94.59592642834585
6,206,55.588,23.9771,46,25.711,0,112,123,13,130,11,1.03003,59.45466,0.0,0.0,6.14286,5.728,20.7397,0.0,0.0,126.0,42.905,0.00019,1.34,1.626,-1.0,0.0,65504.783133392244,94.14600157208324,0.09050970585074025,0.6533988235294117,90.53550483140364,0.12828854123846803,0.11028577053512559,0.13869690022154785,0.5394232458085501,0.10711353420228353,24404.710642344668,0.1637437924250414,29.63955405906395,7.092676096174625,0.10231294766770471,5.46219256588443,0.13128982139773307,295.00529925064234,0.13289430079226955,9.596547067901234,0.04925679439791703,94.59172318911018
7,207,55.3499,23.97,46,23.2108,0,112,123,13,130,10,1.00978,59.20604,0.0,0.0,5.28571,5.701,20.60992,0.0,0.0,126.0,42.79116,0.00019,1.34,1.755,-1.0,0.0,65406.550422062624,94.13313566364023,0.09203642907897762,0.6520894117647059,86.3054744606668,0.12908098641142082,0.10639032253608166,0.1355407299757861,0.5394232458085519,0.11120556343635733,24111.333068558823,0.16025517106874065,29.66670905219184,7.074668447494576,0.09876333246185985,5.163487813133533,0.13411917213222935,290.2784320696496,0.13044673412330746,9.08936149691358,0.04815159342849702,94.41865673846804
8,208,55.2343,24.1608,46,21.9478,0,112,122,13,130,10,1.02618,59.04588,0.0,0.0,5.64286,5.743,20.60379,0.0,0.0,126.0,42.80628,0.00021,1.33,1.703,0.12796,0.0,65564.09402427998,94.19476489895773,0.0962921987814357,0.651516862745098,87.20575478336903,0.12963334880591712,0.10445121668009484,0.13321952866320674,0.5394232458085538,0.1139430453813195,24195.647437981464,0.15929332897661394,29.793034306278937,7.052076768419725,0.09573050202736594,4.0058294402663535,0.13987441129492037,286.1627451487795,0.12759230651245668,8.713155864197532,0.047542637065741036,93.44970974641745
9,209,54.7195,24.1754,45,27.8591,0,112,123,13,130,10,1.00261,58.52642,0.0,0.0,10.14286,5.736,20.7644,0.0,0.0,126.0,42.66457,0.00022,1.33,1.549,-1.0,0.0,65497.82597302979,94.18091114874412,0.10058927695070755,0.6503179215686264,88.10218795214354,0.12901250401136685,0.10126367263187919,0.1311133794096052,0.5394232458085493,0.12066429617146394,23649.24332291564,0.16053284623474282,29.617284327377508,7.009306510983643,0.09210951688225295,3.3163663043548812,0.1440422663318963,282.237670784535,0.1262562742221751,8.450231481481481,0.0469218929083764,93.41321440059608
