,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.5,cubcol.1.0,cubcol.0.3,staticness,cubcol.0,cubrow.0.3,fft,cubcol.0.6,saturation,tone,movement,blockiness,blur,noise,cubrow.0.6,cubrow.0,temporal,uhdhdsim,contrast,color_fulness,cubrow.0.5,cubrow.1.0
0,400,65.151,2.76368,29,0.0,0,106,131,7,125,5,0.98184,58.27642,0.0,0.0,2.92857,3.902,0.0,0.0,0.0,126.0,59.26513,0.00045,0.28,1.493,0.0,7.878744,0.21989997271513545,0.008484810336436522,0.12141241095604474,539.0585821797314,0.00669852953826188,0.25979564622735984,70347.24767464069,0.22275283911547858,32.60496596348138,0.8543286274509805,0.0,1.7902516721410735,59960.38441090938,0.20187786344425088,0.13528897412392019,0.10443149966574562,0.0,89.48986012752229,94.03363186768979,161.47437474270018,0.14793692070460576,0.1047790680428013
1,401,65.1551,2.67804,30,3.2293,0,106,131,7,125,5,0.98792,58.28937,0.0,0.0,3.78571,3.9,2.32929,0.0,0.0,126.0,59.24817,0.00039,0.28,1.664,-1.0,7.925223,0.2203490566385918,0.00664151449712977,0.11713778380440482,539.4471738368322,0.00579767878636126,0.258246644167353,70468.68447540217,0.22235854114469128,32.638068116741415,0.854098431372549,0.21397569444444445,1.8163616488321381,59838.37684862978,0.20409548948747971,0.1317858689793432,0.10357556957392135,2.104051304746183,89.46856019087056,93.94940944323605,161.94813716322986,0.14713352680001557,0.1023128630962129
2,402,65.1106,2.6809,29,3.12658,0,106,131,7,125,5,0.98362,58.23832,0.0,0.0,4.42857,3.879,2.25195,0.0,0.0,126.0,59.24135,0.00043,0.28,1.637,-1.0,7.917376,0.22001870761024336,0.0061351342549113876,0.11257732414006177,539.2122037132328,0.005513771449017525,0.2580545051620308,70529.20515930586,0.22235085786915723,32.61114049840857,0.854030980392157,0.20119598765432098,1.6887645037701604,59746.82478138535,0.19966023740102634,0.13094794581123936,0.10332278945452547,2.0812278326529907,89.47313213690855,93.97824504219359,161.52574728795167,0.14645882269019095,0.10426922115373162
3,403,65.1499,2.7051,30,3.14093,0,106,131,7,125,5,0.98838,58.28203,0.0,0.0,3.82143,3.872,2.25815,0.0,0.0,125.0,59.24226,0.00036,0.28,1.566,-1.0,7.925224,0.21962858758425316,0.005913695607874313,0.11017685341179802,539.4019088043555,0.005288912691742191,0.25752279232703956,70489.30430438812,0.22174765428554116,32.624082777235245,0.8543215686274511,0.2236207561728395,1.771986379150453,59832.18192604003,0.20187786344425093,0.1303777015372226,0.10323590733747497,2.110742536051695,89.44604166190068,93.46285313498905,162.3465616883268,0.1462468625258862,0.10584932770798099
4,404,65.1242,2.73156,30,3.12448,0,106,131,7,125,5,0.99001,58.2546,0.0,0.0,3.39286,3.9,2.27701,0.0,0.0,126.0,59.22035,0.00038,0.28,1.441,-1.0,7.859444,0.21970856893051738,0.005746493082021659,0.10982706808679568,539.3359473067825,0.005167323418814712,0.25720717039639146,70591.41652976426,0.22178604931033247,32.56916601863908,0.8535627450980392,0.2257908950617284,1.8374427606732022,59852.68884599218,0.20187786344424827,0.13011997628989536,0.1031051721187719,2.118337906195587,89.44628282772226,92.89072259165043,161.9896830002005,0.14604245075132063,0.10575918692729472
5,405,65.1692,2.76427,30,3.1747,0,106,131,7,125,5,0.99015,58.28735,0.0,0.0,3.82143,3.875,2.3019,0.0,0.0,126.0,59.2557,0.00033,0.28,1.436,-1.0,7.91483,0.2196941827790516,0.005633457392741845,0.10957655718810143,539.4369801207282,0.005150501540390901,0.2569702578181656,70522.0741653883,0.22154808914340432,32.63892053674768,0.8537929411764706,0.24030671296296297,1.7411629429255493,59932.5272370589,0.20187786344425007,0.13006373638080682,0.10289792995802917,2.1240714883214267,89.4656178103466,94.03360827017435,162.2802301994687,0.14606564299296512,0.10606032809995981
6,406,65.0975,2.83439,29,3.21438,0,106,131,7,125,5,0.98946,58.2306,0.0,0.0,3.32143,3.879,2.32804,0.0,0.0,126.0,59.22855,0.00043,0.28,1.388,-1.0,8.01319,0.2196932682175013,0.005570252585172832,0.10837264940985036,539.3521081723705,0.005023490781433415,0.2567984516696379,70533.60108732931,0.22164829176197937,32.72848849826389,0.8537929411764706,0.25593171296296297,1.7526026151255965,59792.31814376125,0.2018778634442455,0.12991740592401807,0.10294835087755269,2.115832166352719,89.45415420616393,94.07634063220978,162.49660078446817,0.14582524465609983,0.10608984280823307
7,407,65.1246,2.91159,29,3.18491,0,106,131,7,125,5,0.98957,58.25059,0.0,0.0,3.96429,3.869,2.39346,0.0,0.0,126.0,59.2548,0.00032,0.28,1.485,-1.0,7.975097,0.21964596874615563,0.005486017884681568,0.10727720021015416,539.4275636224743,0.00501704037871893,0.256825072948655,70562.32204469392,0.22149505972106506,32.736570946964214,0.8543662745098041,0.2721354166666667,1.701638882469,59924.92742182173,0.20187786344424818,0.12978689433475435,0.10290656473821738,2.1340914285863772,89.47925728430576,93.67509344340473,162.8684608945166,0.14598165690363485,0.1051954412458022
8,408,65.0874,2.97487,29,3.05577,0,106,131,7,125,5,0.98024,58.20957,0.0,0.0,4.07143,3.881,2.45822,0.0,0.0,126.0,59.21071,0.00039,0.28,1.478,0.46142,8.021943,0.21959244687548213,0.005526865263240955,0.10686075673797157,539.3122740705311,0.005040602240933639,0.25670434904062156,70588.77496861605,0.2213941296342528,32.76065214180652,0.8535627450980392,0.2982735339506173,1.6304680620025713,59838.02150976808,0.19966023740102087,0.12976608283007063,0.10292583458285849,2.145209253908708,89.48655027062188,94.07316761777727,161.98735029385318,0.14599273894992154,0.1043625166906711
9,409,65.1167,2.96815,29,3.05727,0,106,131,7,125,5,0.98252,58.24135,0.0,0.0,3.35714,3.869,2.51763,0.0,0.0,126.0,59.21973,0.00038,0.28,1.378,-1.0,7.984718,0.21964652922473,0.005471797090988956,0.106560448417618,539.2684705623997,0.004927477667801947,0.2566982319812439,70638.13783998587,0.2213131251895807,32.78139693648727,0.8540913725490198,0.31491126543209874,1.871464790418576,59897.69944807362,0.19966023740102448,0.12977699123774322,0.1028361957433405,2.163434086957842,89.4670727348406,94.04597424135548,161.68720796426467,0.1459676032447387,0.10406228722510431
10,410,65.1092,2.9949,29,3.34785,0,106,131,7,125,5,0.98902,58.24733,0.0,0.0,3.28571,3.87,2.5074,0.0,0.0,126.0,59.19663,0.00041,0.28,1.465,-1.0,7.947606,0.21972534341586603,0.005439814293498819,0.1051078088249353,539.1427450268886,0.004973014442719501,0.2565911163114353,70470.02774354669,0.2213980329510131,32.765569427867,0.8535627450980392,0.7056327160493827,1.9345688007948072,59856.773921292704,0.20187786344424916,0.12968925597395248,0.10274449363274059,2.166889864156638,89.47797607510294,93.5401003717018,161.67594468723274,0.14621236840775292,0.10353548766331745
11,411,65.1482,2.94424,29,3.48287,0,106,131,7,125,5,0.98421,58.28222,0.0,0.0,3.39286,3.879,2.53172,0.0,0.0,126.0,59.20503,0.00044,0.28,1.528,-1.0,8.034449,0.21960809457562777,0.005475468533998882,0.10389781372514106,539.1121082032691,0.004945951154110346,0.2565621981692481,70447.65330661471,0.22139968697614232,32.7635117519049,0.8538007843137256,0.7703028549382716,1.8058553277735638,59882.8867858772,0.19966023740102015,0.1299001356446054,0.10273791737540947,2.1621530844619095,89.47846871184525,93.48815671330063,161.7558081024486,0.14639216248591888,0.10314445366151422
