,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,tone,cubrow.0,blockiness,color_fulness,contrast,noise,cubrow.0.3,cubrow.1.0,cubcol.0.5,fft,staticness,temporal,cubcol.1.0,cubcol.0,cubcol.0.3,uhdhdsim,blur,cubcol.0.6,saturation,cubrow.0.6,movement
0,100,65.7031,3.81667,30,0.0,0,107,131,7,125,5,0.98218,58.83198,0.0,0.0,3.32143,3.94,0.0,0.0,0.0,126.0,59.39649,0.00042,0.29,1.513,0.0,7.917052,0.14872738938219107,0.8467533333333335,0.10296359022825079,1.679424517887,161.45329855905985,93.79027696735676,0.20793653046654006,0.26380796542998375,0.10804010198289535,0.21924440116385638,70828.59797470018,547.5359215216998,0.0,0.007836650945374411,0.007773135270346857,0.03202590200832546,89.44013431984644,60821.815552647735,0.24851645504316464,32.598485122492285,0.1291832573160779,0.0
1,101,65.5913,3.71722,30,4.28053,0,107,131,7,125,5,0.98015,58.71999,0.0,0.0,3.28571,3.989,3.24634,0.0,0.0,126.0,59.40742,0.00042,0.28,1.342,-1.0,7.980996,0.14633042102856925,0.8460023529411766,0.10200096536971488,1.7251009920137763,162.41462355441143,93.66947471278009,0.20793653046654179,0.2614166945974206,0.1051275156110132,0.21951009922451875,70702.74742317996,547.8386268990228,2.0883496706030384,0.006505785945345222,0.006312462345779507,0.030935408886946566,89.48724639765926,60591.86045544313,0.2514389210379749,32.63883293999566,0.12817719038013076,0.5108989197530864
2,102,65.5182,3.74351,30,4.22492,0,107,131,7,125,5,0.98194,58.65719,0.0,0.0,3.32143,3.993,3.15877,0.0,0.0,126.0,59.36269,0.00045,0.28,1.495,-1.0,7.978075,0.1463959796963282,0.8464180392156864,0.10208372777876433,1.6914285655897991,161.4859349475871,94.07141086441841,0.20571890442330795,0.26126935799846873,0.10298043445713971,0.219337675034894,70708.250852545,547.4837454929423,2.133467380409554,0.006042430601573667,0.0060039702367820445,0.030937638285633177,89.48017500804443,60618.19760549812,0.2551572594492486,32.550454410505886,0.12871653146699713,0.5523244598765432
3,103,65.5821,3.72969,30,4.02429,0,107,131,7,125,5,0.98351,58.71983,0.0,0.0,3.07143,3.953,3.18102,0.0,0.0,126.0,59.40244,0.00039,0.29,1.556,-1.0,7.902061,0.14585394707959046,0.8470737254901962,0.10250428489713398,1.546695684134338,162.4399677997976,94.06862581008104,0.20793653046654215,0.26088500747798765,0.10308835211848683,0.219360445544045,70815.96358041214,547.4418113986475,2.177404651697178,0.005838043155604878,0.005629209017184441,0.03103403322141589,89.44058298319895,60772.57488571812,0.2579183908441279,32.75020307376061,0.1285010090853294,0.6453028549382716
4,104,65.5599,3.62764,30,4.12772,0,107,131,7,125,5,0.98656,58.69162,0.0,0.0,3.32143,3.925,3.16994,0.0,0.0,126.0,59.36073,0.00042,0.28,1.413,-1.0,8.04941,0.14533549911728152,0.8467682352941177,0.10250726908796416,1.6377537847066195,162.09458050455552,93.60410466026005,0.20409548948747958,0.26120767097045994,0.10360775626835309,0.2197436614031177,70728.15732249174,547.1812116295953,2.174289216494673,0.005547792243478908,0.005556229322254897,0.03071844306962673,89.46832734301316,60773.2570485673,0.2594412830516198,32.68326747564622,0.12857723591491485,0.648485725308642
5,105,65.5353,3.44999,30,3.92454,0,107,131,7,125,5,0.98222,58.65639,0.0,0.0,3.5,3.924,3.08216,0.0,0.0,126.0,59.38039,0.0004,0.28,1.463,-1.0,8.05384,0.14514730654808305,0.8470737254901962,0.10247162150276824,1.6660855754134376,162.58106548825353,93.92028139148063,0.2063131155307156,0.26073860109235864,0.10417520526107357,0.2200633060930034,70737.23992654691,547.0910599985933,2.151188070451938,0.005646116831224841,0.005508608128320463,0.030707589179457262,89.4869459101663,60661.70895209384,0.25893176198760637,32.77643952546296,0.12860708644728722,0.5970293209876543
6,106,65.5099,3.48337,30,3.81408,0,107,131,7,125,5,0.9863,58.64872,0.0,0.0,3.92857,3.949,2.92821,0.0,0.0,126.0,59.34346,0.00041,0.28,1.398,-1.0,8.116619,0.14515984241270644,0.8467682352941177,0.10250915478926095,1.6470882773664528,162.4422891941679,93.88073442497111,0.20409548948747805,0.2608442619791615,0.10503673981242376,0.22003445730668397,70747.44455259279,546.8388547197229,2.1314132149709204,0.0056537427933529135,0.005442994060896041,0.030590392158684948,89.46891519049038,60628.0339290633,0.2575509214136253,32.739367261345,0.12874911285061988,0.5178915895061729
7,107,65.4965,3.32201,30,3.75566,0,107,131,7,125,5,0.98745,58.62756,0.0,0.0,3.10714,3.961,2.95795,0.0,0.0,126.0,59.35043,0.00038,0.28,1.422,-1.0,8.135635,0.14493579256786082,0.8479368627450982,0.10260253748690627,1.5823704372024403,162.64314065698488,93.6560596884488,0.20409548948748335,0.26090465292035653,0.1060508693618865,0.22013399386038815,70678.86797157384,546.7415044573661,2.1582325605675186,0.0056403046935967795,0.005402980068022622,0.03068700324791899,89.47027383306919,60566.252159293326,0.2548667539204418,32.779911370924964,0.1287110340118587,0.49932484567901236
8,108,65.5092,3.13494,30,3.5851,0,107,131,7,125,5,0.99222,58.63039,0.0,0.0,3.25,3.961,2.81837,0.0,0.0,126.0,59.33006,0.00035,0.28,1.505,0.45769,8.148952,0.14492545364009185,0.8476243137254903,0.10263326725480126,1.759847174407113,162.83271109922714,94.07216320798486,0.2018778634442532,0.26107417295966834,0.10714569857527843,0.22020504851392358,70659.05615945632,546.5329762415893,2.100371263784204,0.005588042964039474,0.005460450530563157,0.030613162637805263,89.44778491746163,60732.12451001745,0.2529974899241647,32.85634189181857,0.12856618355242866,0.4308931327160494
9,109,65.4512,3.07264,30,3.4799,0,107,131,7,125,5,0.98778,58.5805,0.0,0.0,3.14286,3.984,2.65535,0.0,0.0,126.0,59.31828,0.00034,0.29,1.446,-1.0,8.232918,0.14484693528057002,0.8479227450980392,0.10252459218319233,1.6297983830008163,162.42638776007442,93.90623436447285,0.20187786344425016,0.2612736835297589,0.10809271917277707,0.22012101637789208,70613.8377379792,546.4340930630021,2.0599050735500013,0.005498878706198652,0.005410102938410084,0.030508593854566664,89.4813182604027,60519.98471753146,0.25168549937268353,32.81718859260465,0.12863239131662316,0.3546006944444444
