,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.6,cubcol.0.5,blockiness,movement,noise,uhdhdsim,cubcol.1.0,blur,cubrow.0,cubrow.0.3,contrast,cubcol.0.3,cubcol.0,color_fulness,fft,saturation,staticness,temporal,tone,cubrow.1.0,cubcol.0.6,cubrow.0.5
0,500,54.0552,31.6151,35,0.0,0,126,123,9,130,6,0.99211,50.70714,0.0,0.0,4.46429,7.652,0.0,0.0,0.0,126.0,64.18951,0.00033,0.26,6.518,0.0,2.237747,0.21847723553233908,0.1589890176902947,2.576962300676653,0.0,0.2757702899265686,95.28726112712262,0.15847591592813023,22816.703701697275,0.024025755042734416,0.10435047330431048,96.51324037170392,0.2011591584514496,0.11822200201176304,74.75186201072486,64997.490853722724,24.07703861189477,395.15792926757524,0.0,0.8787666666666668,0.1406716508990946,0.12836763901850115,0.18638419558903416
1,501,54.0412,30.9216,35,47.9801,0,125,123,9,130,6,1.00228,50.69758,0.0,0.0,3.28571,7.48,27.13384,0.0,0.0,126.0,64.05911,0.00025,0.27,8.795,-1.0,2.24011,0.15891032595273138,0.1448166360811925,1.9316753979614738,20.932243441358025,0.27577028992656794,95.34418372813916,0.15934337162163617,22492.344690797858,0.01938419468033093,0.07998083256887556,96.23167933768691,0.19228359329744507,0.09892066147254772,75.31590539568337,65083.81289354541,24.09178463029273,386.8485018781225,6.571091206765718,0.8795333333333335,0.11867177410150295,0.1142269850254953,0.14790824153810614
2,502,53.6981,30.3442,35,46.7969,0,125,123,9,130,6,1.0079,50.36881,0.0,0.0,3.39286,7.55,26.53615,0.0,0.0,126.0,63.8192,0.00019,0.27,8.19,-1.0,2.274796,0.1444198623730656,0.13345513698115274,2.50652180960999,19.158854166666668,0.2779879159697931,95.45002832322334,0.15810901243390096,22102.08828014113,0.01802989026436918,0.07449988964788103,96.68967537521615,0.18380147753088916,0.09783241951201789,76.644955823987,65172.18145513709,24.093308248637634,378.85503589230234,6.5365232738646055,0.8815054901960786,0.10867026305196718,0.1122049176125789,0.13838744973943917
3,503,53.2886,30.259,35,47.8622,0,125,123,9,130,6,1.01543,49.98818,0.0,0.0,5.53571,7.474,26.03992,0.0,0.0,126.0,63.45641,0.00026,0.27,7.933,-1.0,2.291117,0.13700665426654762,0.1281657018973828,2.1710559191971632,17.328125,0.2735526638833422,95.52171560340844,0.15450139275305277,21496.234726194325,0.017055278473865326,0.07023423447016204,96.6726711502021,0.17164035808459666,0.09712874750435316,77.26169031448433,64945.164352138636,24.197673656322337,371.246081965716,6.522234644129757,0.8818968627450982,0.10490705683198176,0.11294276241387922,0.13350664465207038
4,504,53.2702,30.5295,35,46.125,0,124,123,9,130,6,0.99723,49.95972,0.0,0.0,3.85714,7.571,25.96807,0.0,0.0,126.0,63.05851,0.00029,0.26,8.786,-1.0,2.321347,0.13239666559806684,0.1303295261772114,1.5292215515362082,15.793740354938272,0.2757702899265697,95.48247704955205,0.1402285668852294,21620.800475228847,0.016367384809022893,0.0679641972403133,96.74382520590635,0.1742354918980051,0.093969863770188,77.99912973469097,64983.3841083223,24.341450255594136,364.4209049109165,6.510390555503194,0.8846376470588236,0.10152976486656491,0.10821128667544248,0.13303200079163785
5,505,53.3689,30.7066,34,43.5692,0,124,123,9,130,6,0.99534,50.07029,0.0,0.0,5.82143,7.571,26.19823,0.0,0.0,126.0,62.64441,0.0002,0.26,7.597,-1.0,2.377785,0.1284257113896931,0.12991203748329613,1.630506168266537,14.827980324074074,0.2757702899265715,95.49614563386756,0.14211080599551199,21554.094830204307,0.015614542364208431,0.06711561383775545,96.7393994756595,0.1726861348645074,0.1085909805542831,79.45882863603086,65150.35549669577,24.361603913483794,358.1593655642269,6.508525416657743,0.886810980392157,0.09960705974002591,0.10786257603168292,0.13322330055404968
6,506,53.3226,30.317,34,45.6145,0,124,123,9,129,6,1.02202,50.02443,0.0,0.0,4.82143,7.472,26.35436,0.0,0.0,126.0,62.31464,0.00023,0.27,7.48,-1.0,2.339318,0.1260139542148409,0.12332393127485286,1.8561992577813813,13.842399691358025,0.2735526638833419,95.53854094594459,0.14751975320981178,21425.913514470536,0.015091427865764145,0.06601422871192389,96.92917462209347,0.16829675691593615,0.10169734211507621,80.85315274464786,65221.45914611049,24.50605849277826,352.40364995177504,6.473936659454398,0.8873764705882354,0.09932526052754094,0.10773560499010897,0.13395965369140467
7,507,53.2185,30.0749,35,45.084,0,123,124,9,129,6,1.01365,49.9471,0.0,0.0,2.64286,7.48,26.01632,0.0,0.0,126.0,61.95655,0.00017,0.27,8.935,-1.0,2.416129,0.12463311727054241,0.11934504245580646,1.50562067711976,13.057677469135802,0.27355266388333793,95.51973067853872,0.13762911466269503,21119.550355091716,0.014869440824154569,0.0662250877307301,96.30318532512734,0.1704343974923537,0.10170405090980499,80.57360047087036,65192.13898113288,24.618212476188752,347.00507882258154,6.441963298514149,0.8879490196078432,0.09943966615108998,0.12070659768480123,0.1342932417751354
8,508,53.1692,30.1567,35,45.5574,0,123,124,9,130,6,0.99041,49.92953,0.0,0.0,3.0,7.407,25.81392,0.0,0.0,126.0,61.57493,0.00028,0.27,7.952,0.42798,2.391935,0.12439194084327888,0.11275936878484003,2.327621438367468,12.489197530864198,0.27355266388334026,95.49091732646428,0.13173684556864007,20917.087151348653,0.014578467007045522,0.0658086744151477,96.30136833574176,0.17469769019956838,0.10226906871227477,81.16130442607637,65011.43925634544,24.750138271002122,341.8232323702786,6.425399763487683,0.887629411764706,0.09881254262044206,0.1284571917323979,0.13427302001055322
9,509,53.5729,30.2347,35,43.9737,0,122,124,9,129,6,0.99484,50.30376,0.0,0.0,3.14286,7.38,25.89073,0.0,0.0,126.0,61.24493,0.00025,0.27,8.965,-1.0,2.459109,0.1233566993636174,0.10759885237373419,1.8495287858851859,11.871479552469136,0.2697116229042771,95.46345209619929,0.13025235614615474,21168.31899360331,0.014471606852472407,0.06533692301863009,96.70006791184663,0.17812584806254414,0.10313018185693866,81.317337809167,65127.49253263083,24.815145045150945,336.82859509075934,6.390363419314713,0.8896235294117648,0.0990804568367048,0.13372917223481004,0.13522103320367315
