,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0,cubcol.1.0,cubrow.0.5,cubcol.0.3,saturation,cubrow.0.6,blur,blockiness,color_fulness,fft,noise,movement,uhdhdsim,cubrow.1.0,cubcol.0.5,cubrow.0.3,staticness,tone,cubrow.0,temporal,contrast,cubcol.0.6
0,200,53.3351,21.286,34,0.0,0,110,122,7,130,6,0.99104,51.03144,0.0,0.0,7.67857,5.432,0.0,0.0,0.0,125.0,42.22072,0.00042,0.3,2.187,0.0,2.177419,0.07032074766595015,0.14538355557573693,0.17813000180401062,0.0638003258741343,30.48838259850019,0.1658444967856343,19883.976326664753,6.01280339984416,96.19031867428025,65086.62068153721,0.3005991691231418,0.0,95.08547575648427,0.10665908581485899,0.0897644971986112,0.20206749260682175,315.40888464592854,0.6435827450980393,0.043810998775301965,0.0,93.27225583534182,0.13308631690853076
1,201,53.3804,21.2653,34,27.1219,0,110,122,7,130,6,1.01458,51.08676,0.0,0.0,5.75,5.494,18.27733,0.0,0.0,125.0,42.1497,0.00052,0.3,2.412,-1.0,2.15646,0.06251165923073512,0.12412622681209767,0.1350488009614392,0.0738117291203815,30.455674348054107,0.12941130316343902,20023.348977288566,5.048952721604237,96.39415321262412,65037.80303658173,0.3005991691231424,10.945746527777779,95.19249496611165,0.08880601059080992,0.08299120900643388,0.15178796832079072,311.51135053530766,0.6437702941176423,0.03304571182177045,5.550038275991359,89.66093112880718,0.12177541052872912
2,202,53.3528,21.0717,33,25.9792,0,111,122,7,130,6,0.97504,51.0434,0.0,0.0,7.89286,5.439,18.26095,0.0,0.0,125.0,42.17178,0.00046,0.3,1.963,-1.0,2.189572,0.06241945630320463,0.11990626016028073,0.12436432015303511,0.08495650492353264,30.33176205482012,0.11890719725156043,19905.681096286826,5.947987976132753,95.72170508983854,64812.66566147686,0.3005991691231416,10.563657407407407,95.15864170241301,0.08249763844526466,0.08400156379931856,0.13923807926843765,307.55968779737015,0.6428205490196073,0.03023692103538106,5.550024822220472,89.84097874063042,0.12983878505601038
3,203,53.243,21.0733,33,21.4371,0,111,122,7,130,6,0.96986,50.95868,0.0,0.0,7.35714,5.466,18.0924,0.0,0.0,125.0,42.13899,0.00042,0.3,2.167,-1.0,2.214513,0.06642111001022995,0.10917860242940752,0.11670185664836456,0.0877308266792002,30.378597871756845,0.11266046576034361,19909.3341722171,4.645871160528487,94.572618214238,64858.21735784247,0.30059916912314044,9.87012924382716,95.1289636235888,0.08296306575702092,0.07642232393672563,0.13317560962214584,302.83393713746085,0.6429725490196079,0.029878308585199846,5.520110015509957,90.0852810742661,0.13210250737519658
4,204,52.7418,21.2693,33,24.1814,0,111,122,7,130,6,1.0242,50.45282,0.0,0.0,7.82143,5.483,18.09562,0.0,0.0,126.0,42.04257,0.00044,0.3,2.004,-1.0,2.205111,0.06373333973855701,0.09949979554868874,0.11353256020093778,0.09122576821688697,30.25244046434944,0.10847237547035553,19478.994759852183,4.803262031928449,94.9802433612747,64644.14004001589,0.3005991691231395,9.227912808641975,95.08527006760309,0.08104417374660075,0.07224983804081424,0.12765568355119916,298.05396303436726,0.6417243137254902,0.028307167727884674,5.520838050312451,91.80902737270337,0.13203876039912765
5,205,52.1114,21.1651,33,24.5145,0,111,122,7,130,6,0.99026,49.88409,0.0,0.0,9.60714,5.641,18.26553,0.0,0.0,125.0,42.05251,0.00048,0.29,2.142,-1.0,2.260374,0.06942801158324452,0.09249376262123034,0.10982228944988782,0.09836683483126339,30.268581437475888,0.10593208292297693,18809.649616072933,5.1727186459101935,95.23746815860302,64528.18157986015,0.29838154307991344,8.86154513888889,95.37430701976484,0.07998206121869054,0.06908755446021468,0.12498822256545247,293.52059792493986,0.6419694117647059,0.027445799001844295,5.544200968940616,91.84626099125047,0.13367991277011051
6,206,51.7733,21.0613,32,25.703,0,111,122,7,130,6,1.06059,49.53547,0.0,0.0,7.64286,5.648,18.16856,0.0,0.0,125.0,41.98638,0.00044,0.3,2.1,-1.0,2.243852,0.07346610256731981,0.08669065969227197,0.10755234810260432,0.10433173605601087,30.108590585214117,0.10535719453240563,18604.948289926066,4.634634557877116,94.7579862254303,64467.01115158918,0.30059916912313456,8.308497299382717,95.46119892182078,0.07969901912665686,0.06665742496276694,0.12172495649641846,289.1626087980924,0.6402352941176471,0.02739273382827262,5.539814853504683,89.71430219793604,0.1349099689043213
7,207,51.4488,21.0906,32,23.9792,0,111,122,7,130,6,1.00426,49.23034,0.0,0.0,8.25,5.607,18.08125,0.0,0.0,125.0,41.87491,0.00037,0.29,2.074,-1.0,2.311478,0.0731003653565429,0.08497187537606925,0.10590417259692253,0.10552290381200523,30.132252069167148,0.10669196940185308,18339.795489038872,4.870932152590735,94.95889078756274,64510.08259073606,0.298381543079915,7.923900462962963,95.43921878385115,0.08099564670447539,0.06445146625462825,0.1196679951075739,285.0817677859638,0.639089411764706,0.026577124358716196,5.537418861865966,89.92648273752869,0.13105324423129935
8,208,51.3694,21.2815,32,21.8807,0,111,122,7,130,6,1.04058,49.12408,0.0,0.0,6.67857,5.674,18.10522,0.0,0.0,125.0,41.89146,0.00039,0.3,2.257,0.39969,2.325884,0.07375079024992404,0.08292524111284219,0.10311079270676131,0.10906362089279092,30.305572133005406,0.10680962342309847,18479.326468792187,3.4431894964534773,93.80273507354735,64632.13120734854,0.2983815430799128,7.585792824074074,95.49835299508571,0.08435398357614121,0.06180458686458057,0.11809384931176421,281.50975542055943,0.6391368627450981,0.026609988165364334,5.528245446553128,90.17307179178447,0.12992270562688785
9,209,50.8714,21.2487,32,28.1432,0,111,122,6,130,6,0.99296,48.643,0.0,0.0,11.46429,5.667,18.26879,0.0,0.0,125.0,41.74735,0.00046,0.3,2.067,-1.0,2.360039,0.07991811344875752,0.08038289285826936,0.1024854268454316,0.11208443104845268,30.133240311234083,0.10649196378501596,17995.040655323257,3.2728443385026704,93.85003263787496,64430.09535271642,0.2983815430799122,7.381655092592593,95.43400492254003,0.08796046194116361,0.059186876537150664,0.11599482184500538,278.00236468447775,0.6366156862745098,0.026319874715953314,5.504905760253262,89.59920294172736,0.12953983929283588
