,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,color_fulness,blur,cubrow.0.3,cubrow.0.5,cubcol.0.3,movement,cubcol.0,cubcol.0.6,uhdhdsim,contrast,cubrow.0.6,blockiness,temporal,tone,cubcol.1.0,cubrow.0,cubcol.0.5,staticness,cubrow.1.0,fft,saturation,noise
0,200,90.3179,18.8534,92,0.0,0,123,119,27,135,28,0.98672,90.78027,0.0,0.0,3.32143,2.671,0.0,0.0,0.0,125.0,36.52134,0.01498,2.9,2.813,0.0,0.000149,91.34060596090379,92507.69861422728,0.25490807782037833,0.36574078071525395,0.27506294005933785,0.0,0.3761530211588306,0.42119799175037675,78.40245413282223,88.12373825652526,0.28851130860104124,4.4653115645381565,0.0,0.5789039607843136,0.18316426438101258,0.3172527361678229,0.22375630458655374,600.3182440711764,0.11647942153070047,80082.9448660794,42.709771615487554,2.4201575169013894
1,201,89.9147,19.0857,92,28.5979,0,123,119,27,135,29,0.99841,90.4398,0.0,0.0,3.28571,2.704,16.35616,0.0,0.0,125.0,36.49357,0.01516,2.89,2.755,-1.0,4.5e-05,91.27420167559215,91371.62531397442,0.25066697263026283,0.3493140758870307,0.2597040746625855,7.56274112654321,0.3599634189866551,0.40978964944592083,78.43625691179115,85.38376566025157,0.2474454224307657,3.0241935680277288,6.492842527204562,0.5787921568627437,0.1754727147461483,0.30704032778720847,0.21711271864470857,590.2021069578818,0.10595815893882589,79417.37526214427,42.64968457634066,2.412475434943275
2,202,89.725,19.4299,91,30.7255,0,123,119,27,135,28,0.98325,90.29043,0.0,0.0,4.39286,2.707,16.54638,0.0,0.0,125.0,36.40313,0.01535,2.92,2.662,-1.0,0.000141,91.34736261767092,91321.4042837134,0.2480414129100444,0.3375660804884232,0.2614587165219875,7.272858796296297,0.34915322543792454,0.4070277556308041,78.4822888780106,85.18704164479298,0.24208263513491024,4.087792921329343,6.501315861288447,0.5766854901960783,0.17541714357255642,0.2980369312262458,0.21677726073395273,582.7557228813095,0.1026161085328222,79100.24386985476,42.657253500856,2.4059817751999297
3,203,88.7303,19.5863,90,30.2944,0,123,119,27,135,28,0.97778,89.30372,0.0,0.0,4.78571,2.684,16.83724,0.0,0.0,125.0,36.21714,0.01446,2.94,2.828,-1.0,0.000167,91.04530865862898,86779.19638760787,0.24616204161925165,0.3211237006349932,0.2642307184092473,6.769145447530864,0.3477385622122281,0.3971285387837903,78.6231411375541,86.45957958603991,0.24460123548169932,3.789328157154265,6.5229290133197555,0.5722564705882354,0.17472270389091538,0.2926120588999269,0.21753854271815928,577.1267906896536,0.10096432110337257,78365.34556364712,42.639011901101945,2.3932702300479556
4,204,87.6183,19.813,89,31.0413,0,123,119,27,135,28,0.9887,88.36756,0.0,0.0,5.78571,2.673,16.96953,0.0,0.0,125.0,36.01878,0.01515,2.91,2.857,-1.0,0.000149,90.85761454519923,83161.27953674196,0.24391378237726843,0.3108750162487061,0.2718177270240958,6.354600694444445,0.34585160731250336,0.387736020810688,78.61234502225346,84.04498725156489,0.2479745825456053,4.1416497929342695,6.565913317204485,0.5682309803921569,0.1747244403825581,0.2881510926754936,0.2175921152282008,572.2539545542602,0.10303954876771773,77600.59012306221,42.630713568793404,2.401981515834502
5,205,86.4457,20.8603,89,29.8409,0,123,119,27,135,28,0.95821,87.21251,0.0,0.0,5.78571,2.663,17.16261,0.0,0.0,125.0,35.83156,0.01573,2.87,2.706,-1.0,0.000181,90.71801427262096,80936.97572883403,0.24012262199674653,0.3015983929500511,0.2782223472983111,5.923852237654321,0.34918558523522375,0.3814740464775935,78.67302336046562,85.47271118159675,0.2547696837160068,4.648166262145993,6.490003169444781,0.5641596078431372,0.17508726600337557,0.28281822593871914,0.21763841868619127,567.5928463974427,0.10486299327754309,77595.29128865714,42.64635721842448,2.3947344265974206
6,206,84.2556,22.0603,86,34.7728,0,123,119,26,135,28,0.97568,85.01107,0.0,0.0,6.5,2.841,18.05296,0.0,0.0,125.0,35.55093,0.01647,2.83,2.812,-1.0,0.000121,89.98198034994847,77380.58273296378,0.23231940982999155,0.2920207390292797,0.2765995120351856,5.991608796296297,0.3543266210653103,0.37422756700248627,79.21661822369893,86.77712062279588,0.25009212617281146,3.8805793484931352,6.634161969286115,0.5571698039215687,0.17493574484324018,0.2703709714653823,0.21898397381070386,562.822063899289,0.10555839708008487,77435.94003260395,42.54051528742284,2.361194261614297
7,207,80.2045,22.6394,83,40.5611,0,123,119,26,135,27,0.99751,81.04818,0.0,0.0,3.71429,3.188,19.07493,0.0,0.0,125.0,35.19459,0.01676,2.97,2.736,-1.0,0.00025,89.31563184068376,70641.83769937266,0.2207929779457511,0.28056266447350947,0.2721280380070147,6.405912422839506,0.3578071590606298,0.36860048075111496,79.9928344297136,83.74324668347171,0.24127515204204128,4.239722641737286,6.865074168929817,0.5504415686274511,0.17357363506728757,0.25376646873442893,0.21978234238922548,557.6792521566824,0.10916680307950398,76215.03023801545,42.52771184473862,2.3164067480286348
8,208,77.135,22.4496,79,40.7667,0,123,119,25,135,27,0.97344,77.81804,0.0,0.0,2.46429,3.661,19.56083,0.0,0.0,125.0,34.87472,0.01737,2.81,2.842,0.125,0.000111,88.59920562191103,66984.07076681833,0.2102463291270237,0.27076636863718834,0.2683678344570894,6.760030864197531,0.35958971279500307,0.3577037256371232,80.54698016021149,85.6287262934959,0.23098398317568794,4.223242285264348,7.037039991471115,0.5437541176470588,0.17126042989140683,0.239595735114967,0.21998422777840013,552.2175780440925,0.10727131048144699,75482.63879543396,42.411698517975985,2.266908208021857
9,209,75.8724,22.2832,77,40.2308,0,123,119,25,135,26,0.98405,76.10626,0.0,0.0,1.0,3.947,19.38875,0.0,0.0,125.0,34.71748,0.01781,2.83,2.947,-1.0,0.000153,88.23160944333382,70047.5435403115,0.2005974415241485,0.26092340651660056,0.26475406253031314,7.069492669753086,0.362851724485651,0.3525056836452892,80.83820999499495,87.06175037471668,0.2269130521862244,3.6978507452987226,7.131941210014053,0.5385617450980391,0.16856254145721042,0.2280838624212208,0.21969188300444567,546.7481385392109,0.10327220695140307,77071.19221694818,42.4309050006631,2.241485117717884
