,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,temporal,cubcol.1.0,color_fulness,noise,blur,cubrow.1.0,cubrow.0.6,fft,cubcol.0.3,cubcol.0,contrast,blockiness,uhdhdsim,tone,cubrow.0.5,staticness,cubrow.0.3,cubrow.0,cubcol.0.6,cubcol.0.5,movement,saturation
0,300,46.8221,2.8033,22,0.0,0,115,133,5,125,5,1.0048,41.88738,0.0,0.0,2.10714,5.157,0.0,0.0,0.0,128.0,53.77346,0.00019,0.29,0.981,0.0,9.699885,0.0,0.009444896600886415,161.70020676792657,0.19138394433549374,21296.628537517143,0.164839694418048,0.11134520023062333,66748.83320600119,0.012862828241169376,0.00923178467299768,86.69306993610579,2.3783265246526732,92.47968442531001,0.7624886274509803,0.25269731669034434,608.785255533457,0.21688329406731446,0.10268339687011141,0.12175400593752835,0.15850727923162497,0.0,33.74816442418982
1,301,46.0795,2.78515,21,4.27519,0,115,133,5,125,5,1.00529,41.25798,0.0,0.0,2.28571,5.236,2.37178,0.0,0.0,128.0,53.81635,0.00015,0.29,0.934,-1.0,9.569711,1.8733967339536135,0.007403548617858108,161.54491045591757,0.19138394433549336,20041.528578465026,0.15408626784824062,0.11040001380891062,66366.06761521542,0.011832028481086629,0.007354704771639431,88.66548915473759,2.429879479137039,92.73506988960708,0.7630313725490196,0.24970362345484723,609.1367545225844,0.2091646825143462,0.10117076414584492,0.12067747776517766,0.14718031434443837,0.23013117283950618,33.81209046163677
2,302,45.4277,2.80396,21,4.0393,0,115,133,5,125,5,1.00102,40.68577,0.0,0.0,2.46429,5.301,2.35135,0.0,0.0,128.0,53.80216,0.00019,0.29,0.978,-1.0,9.713952,1.8632741196503664,0.0069871614718623526,161.66821567321787,0.19138394433549324,19128.729327121844,0.15101733122326141,0.11071737162315205,66308.43213763229,0.011385160730070117,0.006837613196795318,87.59277869637202,2.48069206672708,92.90245772618248,0.7618705882352943,0.24822923321655607,608.7301421101686,0.20661359583125685,0.09991688522797679,0.12505007846328636,0.13983897552799196,0.2306616512345679,33.766528471016585
3,303,46.0271,2.73749,21,3.95749,0,115,133,5,125,5,1.00623,41.19477,0.0,0.0,2.71429,5.241,2.36955,0.0,0.0,128.0,53.87416,0.00023,0.29,0.977,-1.0,9.699638,1.8601941580955352,0.006521928185502205,161.76523228350516,0.1913839443354917,20180.949239937658,0.15208088616242496,0.11140351643556029,66630.0505299794,0.01141224010637527,0.006631303936495642,88.99133846418104,2.2466678048899476,92.73226586839195,0.7630313725490196,0.24774914756586103,609.0201721262512,0.20590070442293376,0.09933621980520216,0.12900839064538663,0.13553160703140987,0.22492283950617284,33.80603460618008
4,304,46.8923,2.60043,22,4.52557,0,115,133,5,125,5,0.98177,41.93795,0.0,0.0,2.57143,5.082,2.31066,0.0,0.0,128.0,53.91011,0.00022,0.29,0.958,-1.0,9.734128,1.877054258760044,0.0062632170970960644,161.29991075760975,0.1913839443354922,21434.975532220702,0.15422773673618875,0.11248190694994728,66931.97061453691,0.011289644574099216,0.006454406080595981,91.12619487693767,2.1495932695471702,92.47544113596038,0.7624886274509803,0.24853135756607217,608.842669731886,0.2066256517308061,0.09996586978348543,0.13333659179431687,0.13504911242087692,0.2216917438271605,33.843492484387056
5,305,46.2261,2.49114,21,4.32007,0,115,133,5,125,5,0.97239,41.37192,0.0,0.0,2.5,5.161,2.19671,0.0,0.0,128.0,53.93385,0.00018,0.3,0.961,-1.0,9.580482,1.8626698489129476,0.006093904545758056,161.43007288160305,0.19138394433549255,20240.70569991091,0.1543547881123396,0.11250161090618113,66382.7543675118,0.011176866683004704,0.006309177774254814,91.81592693358652,2.0512345714719795,92.69992979790457,0.7624658823529413,0.2486506013941162,608.9599052795912,0.2064864159040887,0.09990090602258814,0.1355628461987292,0.13865717087937346,0.20066550925925927,33.78864015178916
6,306,45.4223,2.55543,21,4.16574,0,115,133,5,125,5,0.98608,40.67457,0.0,0.0,2.46429,5.318,2.09605,0.0,0.0,128.0,53.94058,0.0002,0.3,0.964,-1.0,9.615009,1.8530931314444463,0.005979323323082948,160.96984635813115,0.19138394433549322,19035.037661964103,0.15610355855240382,0.11253024179419523,66142.16445106198,0.011079712408429341,0.006231027439057732,92.2337601323338,2.206311430822315,92.95793207227122,0.7624588235294117,0.24736825476857424,608.8317724969999,0.20563050771560787,0.09977736008913393,0.13695856389837327,0.14169291232350692,0.18200231481481483,33.87905243296682
7,307,46.2312,2.41466,21,4.47418,0,115,133,5,125,5,0.98949,41.35599,0.0,0.0,2.5,5.246,2.15307,0.0,0.0,128.0,53.98959,0.00022,0.29,0.937,-1.0,9.604653,1.8846595744794217,0.005864657441901939,161.4208958703211,0.19138394433549333,20541.4382175583,0.15862628898560252,0.11251558415656698,66708.05504056285,0.011145790465136763,0.006150925128428982,92.01409837195953,2.199408295685654,92.67729151168432,0.7624658823529413,0.24754284762691842,608.9096131119006,0.20580365596797104,0.09951260299307017,0.13797333559959815,0.14175008312850362,0.17906057098765432,33.80983159571518
8,308,47.5941,2.31238,22,5.13837,0,115,133,5,125,5,0.98473,42.54304,0.0,0.0,2.5,5.006,2.02666,0.0,0.0,128.0,54.02357,0.00025,0.3,1.01,0.51569,9.658093,1.8984624288148026,0.005890168311679703,161.0922498753799,0.19138394433549286,22545.6487557416,0.15898371962703306,0.11285032696355735,67202.78173180886,0.011043514147032293,0.006154650988307554,93.16653963472206,2.1420138568888496,92.28072026359749,0.7630313725490196,0.2484379540685815,608.8072805151148,0.2062095698788792,0.09984682222197523,0.13960172044824318,0.14082165833185734,0.15557484567901234,33.87211081422406
9,309,46.6503,2.2445,22,4.81416,0,115,133,5,125,5,0.99293,41.73472,0.0,0.0,2.53571,5.144,1.94003,0.0,0.0,128.0,54.03078,0.00027,0.29,0.977,-1.0,9.649021,1.8760939452789527,0.005886744061464465,161.80826471237668,0.19138394433549333,20838.006373387976,0.15982410758726764,0.11280101232565572,66676.76353278196,0.011094666768704037,0.00608398757555121,92.15909630156133,2.2351977534957412,92.51044595341646,0.7624796078431373,0.2484932337186325,608.8462059363435,0.20680195375705626,0.09999908332195769,0.1406641588662192,0.14213846851091438,0.13425925925925927,33.73027603714554
