,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,fft,blur,cubrow.1.0,uhdhdsim,staticness,cubcol.1.0,cubcol.0.5,cubcol.0,saturation,cubcol.0.6,contrast,color_fulness,cubrow.0.5,blockiness,cubrow.0.6,tone,noise,cubrow.0,temporal,movement,cubrow.0.3,cubcol.0.3
0,100,52.6663,17.1188,31,0.0,0,115,122,6,133,7,1.01248,51.00269,0.0,0.0,0.89286,4.654,0.0,0.0,0.0,124.0,39.62903,0.00083,0.31,2.448,0.0,1.67552,65216.90273447935,16846.47420099103,0.1451166081088306,93.95290789278411,583.9652249559894,0.1393723831455678,0.0812109770411419,0.24342281294501814,32.92209860719281,0.10774037024123706,89.23648687879331,108.39275062179058,0.15065948897652723,2.8231105275624313,0.17877172548605905,0.5985345098039215,0.3149341292109553,0.11037189345873516,0.0,0.0,0.20534998747187147,0.19877469623399485
1,101,53.8476,17.0219,31,21.6365,0,115,122,6,133,7,1.01084,52.12806,0.0,0.0,1.46429,4.567,14.69368,0.0,0.0,125.0,39.87598,0.00093,0.31,2.605,-1.0,1.697095,65250.70779592637,17805.51480392426,0.1226839555354016,93.63902413926532,575.8222503027894,0.1343911544564387,0.07722990315323612,0.19810272103597165,33.036739961600595,0.09856768989295073,86.20025919904144,109.28591017396332,0.14798601822099527,2.960250546648811,0.1591108919638508,0.6030207843137254,0.3149341292109567,0.10891293788255739,5.308155615932211,9.18894675925926,0.19369491849834203,0.16748035060871475
2,102,54.3321,17.3311,31,22.6545,0,115,122,6,133,7,1.01343,52.64931,0.0,0.0,0.92857,4.512,14.60806,0.0,0.0,125.0,40.1188,0.00093,0.3,2.655,-1.0,1.633641,65161.00921090351,17921.148114903375,0.1282743916682135,93.54788600472278,568.0317266136251,0.13458814222349672,0.08314161943230855,0.186644492550873,32.974683785144194,0.09584429642530648,90.21163295836075,109.02037775373343,0.14677132026570217,4.272651088618848,0.1531140088119832,0.6070752941176472,0.3149341292109584,0.10837095250309557,5.265349248955606,8.535734953703704,0.19157910974359058,0.14061384168684155
3,103,53.9715,17.4376,32,21.6258,0,115,122,6,133,7,1.00054,52.35108,0.0,0.0,1.17857,4.581,14.87702,0.0,0.0,125.0,40.24674,0.00079,0.3,2.266,-1.0,1.623111,64850.240324029684,17620.64255837985,0.13123036987245143,93.70337146744914,560.3870330592143,0.1347625376206636,0.08209821254918497,0.17739669229671715,32.8395267062717,0.09846330055468154,86.3886024980484,107.98810413758287,0.14687852815395094,3.5569527707315984,0.15216993468230974,0.6093223529411764,0.3149341292109585,0.10819396231316906,5.319460219007652,7.903404706790123,0.19208440206896332,0.13025843604147827
4,104,53.5176,17.6869,31,23.2267,0,115,122,6,132,7,1.00551,51.94854,0.0,0.0,1.46429,4.562,14.96218,0.0,0.0,125.0,40.33545,0.00046,0.3,2.238,-1.0,1.574461,64991.22323820551,17668.907342591887,0.13457530174885535,94.07059871116414,553.2154681697114,0.13492464830057965,0.0837680381533131,0.17596054131484792,32.707093980577255,0.09839645515530525,88.34795322645061,109.24560780283123,0.14723437579432497,3.3267421841830536,0.15352830769445577,0.6119650980392156,0.3149341292109577,0.1074657948077965,5.387513068930899,7.645061728395062,0.19303288653643905,0.12978979242100896
5,105,53.4471,17.437,32,23.7235,0,115,122,6,132,7,1.01037,51.82079,0.0,0.0,1.75,4.516,15.17629,0.0,0.0,125.0,40.649,0.00023,0.31,2.128,-1.0,1.547624,65234.757307147716,17991.136792040157,0.1366698465550559,94.29155638676107,546.5119949586265,0.13442476457283978,0.08567655379889645,0.17260469707359746,32.71312986774209,0.1140687600132521,91.60470739718906,108.85701390485775,0.14787649985599802,3.836921856959428,0.15535465228259604,0.6191823529411765,0.3149341292109595,0.10726469987180631,5.428681801160483,7.120997299382716,0.19337132033113738,0.1321879030348165
6,106,53.6877,16.9343,32,23.0162,0,115,122,6,132,7,1.01633,51.97695,0.0,0.0,3.39286,4.475,14.96368,0.0,0.0,125.0,41.01305,0.00014,0.3,2.168,-1.0,1.511773,65424.1164928663,18215.594672888023,0.1390329652326976,94.31626254168381,540.0637840219782,0.13419215702015794,0.08640985269290982,0.1694354032523328,32.596380163122106,0.12460891026451314,89.60992686893967,108.565463533472,0.14940997120075172,3.1083815144226414,0.15761920849315017,0.6270105882352942,0.3149341292109586,0.10694215690004295,5.412298333520503,6.944974922839506,0.19405727200861186,0.1422090342961403
7,107,54.1,16.8704,32,21.777,0,115,122,6,132,7,1.01132,52.2788,0.0,0.0,3.21429,4.511,14.5327,0.0,0.0,125.0,41.26612,0.00012,0.3,2.095,-1.0,1.525608,65260.567887917045,18566.956370451422,0.1392776947478726,94.32401069140613,533.8700574246188,0.13442333835569228,0.0858219739036052,0.16527478940430468,32.55695201732494,0.12471369778145845,88.14882044024107,108.81926757068152,0.15096858458366488,2.5660807897536184,0.15773213352587792,0.6318564705882352,0.31493412921095737,0.1064705909897764,5.340732624033874,6.493152006172839,0.19167995954156405,0.15510967091184374
8,108,54.9076,16.569,32,21.5657,0,115,122,6,132,7,1.01191,52.92489,0.0,0.0,3.67857,4.491,14.47881,0.0,0.0,125.0,41.58128,8e-05,0.31,2.181,0.40484,1.497857,65545.58608525082,19640.739573814735,0.14014165231609507,94.24816630637062,527.8139696180713,0.13415911418873372,0.08251466220519421,0.16068040285639446,32.715449015299484,0.12316826324497249,87.04453426165968,107.78388357634523,0.15272080827774379,2.9816163464494263,0.15848689820046308,0.6369090196078431,0.31493412921095537,0.10571486186210241,5.320696759923429,6.179735725308642,0.19024082020347155,0.1666211124565867
9,109,55.3835,16.5414,32,21.4471,0,114,122,6,132,7,1.01521,53.32658,0.0,0.0,3.28571,4.485,14.22344,0.0,0.0,125.0,41.82686,0.0001,0.31,2.253,-1.0,1.477719,65645.1709051694,20406.53841336886,0.13907161066308193,94.20285691521727,521.862603293754,0.13365602022220033,0.07979636198757044,0.15760376483132352,32.87863630129967,0.11684074542079904,88.69363836872392,107.88111231370529,0.15369031678977438,2.1060573793863333,0.1591468880195279,0.6431011764705882,0.3149341292109569,0.1048469917576051,5.287607409478275,5.860291280864198,0.18878236828535666,0.17199310987675212
