,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.1.0,blur,temporal,contrast,fft,cubrow.0,staticness,noise,cubcol.0,saturation,cubrow.1.0,tone,blockiness,movement,cubcol.0.6,uhdhdsim,cubcol.0.5,cubrow.0.3,cubrow.0.5,color_fulness,cubcol.0.3,cubrow.0.6
0,500,56.6366,13.3599,32,0.0,0,123,127,2,127,2,0.99864,54.48481,0.0,0.0,10.85714,8.755,0.0,0.0,0.0,133.0,57.20099,0.0,0.3,5.523,0.0,2.831732,0.20826337366750688,23890.467496601847,0.0,92.1156511874364,63658.265988314226,0.06842611559094082,261.89648490424554,0.24266511766447754,0.20102465318303442,14.405653400185667,0.18509518113857135,0.8285074509803921,1.9810407932841054,0.0,0.16405769563477932,97.6953370694763,0.2014072968809509,0.11027816334373042,0.19778499615645004,162.51579749718104,0.21489350208837063,0.08617154677596801
1,501,56.5606,13.0525,32,14.4608,0,123,127,2,127,2,1.003,54.40785,0.0,0.0,9.32143,8.778,11.51459,0.0,0.0,132.0,57.1787,2e-05,0.3,5.107,-1.0,2.864907,0.18946830895798789,23879.617025870153,4.911055220715364,89.33739034378966,63622.6678951617,0.05986798837367222,261.35945861719074,0.23882407668541208,0.19100473094648554,14.479482768494407,0.18791731703727055,0.8285074509803921,1.6646135980849104,8.02488425925926,0.15312794405524624,97.6916069880975,0.1893862325624885,0.10787934441500298,0.1912410297728179,163.05412887234516,0.198930047007621,0.08230237276659694
2,502,56.5409,13.2432,32,13.879,0,123,127,2,127,2,0.9999,54.37684,0.0,0.0,10.0,8.736,11.25157,0.0,0.0,132.0,57.19038,0.0,0.3,5.392,-1.0,2.981175,0.18017237574307315,23695.497407407165,4.889792043576482,90.53342980196733,63572.692897683526,0.06254534619125558,260.7632895221348,0.24266511766447427,0.18357023564104782,14.382219856168016,0.1942747296919907,0.8285074509803921,1.6778642079562613,7.9897280092592595,0.14710709772409472,97.67564872927343,0.18545912098923525,0.11190973816235261,0.19130554256096166,162.91388367280453,0.1935714570982918,0.08040092840794892
3,503,56.527,13.1366,32,14.4955,0,123,127,2,127,2,1.00008,54.34971,0.0,0.0,12.57143,8.784,11.41923,0.0,0.0,132.0,57.16171,0.0,0.3,5.023,-1.0,2.806277,0.1758053495801349,23743.306386874476,4.902670298370751,88.68959643908765,63531.965727461,0.064997610666758,260.1925619323571,0.23882407668541106,0.17802745613194962,14.418418790087287,0.2000048107582213,0.8285074509803921,1.8972548191008807,7.705054012345679,0.14375308121454622,97.68536171575056,0.18285211662602835,0.11536757352899987,0.189600973585199,163.21517253769557,0.18825682428968504,0.07956949313366893
4,504,56.4588,13.3642,32,14.9855,0,123,127,2,127,2,1.00488,54.29094,0.0,0.0,14.25,8.748,11.32547,0.0,0.0,132.0,57.15907,0.0,0.3,4.929,-1.0,2.950606,0.17498363474324902,23722.034235334664,4.899512572075925,88.53186101359054,63537.29954264626,0.07050245713683054,259.5631302138338,0.23882407668541275,0.17330672805535655,14.439904672128181,0.20137925106326307,0.8285074509803921,1.9639196414091062,7.253568672839506,0.14209426844374848,97.70546334035339,0.1795990057238465,0.11313186665848204,0.18823343415803337,163.24247893694485,0.18545447026853737,0.08073524307800495
5,505,56.4509,12.9774,32,14.5599,0,123,127,2,127,2,0.99871,54.27103,0.0,0.0,13.57143,8.723,11.52085,0.0,0.0,132.0,57.15876,0.0,0.3,4.77,-1.0,3.025296,0.17445989822205563,23664.527868453468,4.914775347674296,86.40634822870753,63568.5006997527,0.07657933034646094,258.8552246925794,0.2388240766854104,0.16935185557993332,14.399817007559317,0.20204950833817067,0.8285074509803921,2.1557839434564148,6.919704861111111,0.14315219327254064,97.70170255441141,0.17997842325078686,0.1098563421922969,0.1871609008006791,163.31641415185697,0.1845803386213436,0.0824710099300144
6,506,56.4015,13.3968,32,14.701,0,123,127,2,127,2,0.99489,54.20642,0.0,0.0,14.35714,8.753,11.18648,0.0,0.0,133.0,57.13783,0.0,0.3,4.506,-1.0,3.015777,0.1732569044457549,23552.923768182558,4.875058694381284,86.33731558499726,63563.26373376168,0.07993826851619722,258.22468885749635,0.23882407668541042,0.16806617044703784,14.381654904212482,0.20319176416938042,0.8296462745098039,1.9299667284291477,6.400704089506172,0.14251492833781526,97.72151333432019,0.18109593320470527,0.10825985424906931,0.18658904602225945,163.24901618461485,0.18534652219568637,0.08503666677307294
7,507,56.5279,13.025,32,15.0726,0,123,127,2,127,2,1.00036,54.3025,0.0,0.0,12.78571,8.714,11.54755,0.0,0.0,133.0,57.13992,0.0,0.3,4.786,-1.0,3.035411,0.17017660821674296,23897.478937698997,4.913789127732384,90.26862434689417,63449.65532345541,0.08168877683718319,257.5608230157897,0.23882407668540936,0.16783084367086876,14.380128460165894,0.20392784342881562,0.8298913725490196,1.4769284541067835,6.375916280864198,0.1436790104337491,97.71428277100904,0.18059797157602198,0.10743847552767023,0.18478771000105043,163.08274408419683,0.18527323871107634,0.08641421170750199
8,508,56.4078,13.3017,32,15.0056,0,123,127,2,127,2,0.99984,54.21521,0.0,0.0,10.5,8.743,11.23276,0.0,0.0,133.0,57.15833,0.0,0.3,5.22,0.49447,3.023927,0.17117976105421734,23674.713107573556,4.881475400258956,89.42816946851104,63572.51543081172,0.08181386124835169,256.85233168898225,0.23882407668540848,0.16822047058725878,14.39602717646846,0.20384333952212577,0.830456862745098,1.7278975757518744,5.961082175925926,0.14504985943511844,97.71836520173535,0.18117325676475968,0.10707658280133636,0.18316504651518592,163.4063086726222,0.1869995647968829,0.08669901667673668
9,509,56.4569,13.5281,32,15.004,0,123,127,2,127,2,0.99287,54.22836,0.0,0.0,10.85714,8.749,11.47131,0.0,0.0,132.0,57.16104,0.0,0.29,5.269,-1.0,3.071932,0.16981742149725357,23764.676135556416,4.894128725444834,89.44719740705254,63573.36928515265,0.08156142128946951,256.1484193101533,0.23882407668540875,0.1684513869031866,14.454982427903163,0.20413447198116005,0.8316333333333333,1.7183856203108485,5.941068672839506,0.14572602159159415,97.73577468777275,0.1798598176196288,0.10707835254158617,0.18169553948717065,163.36129494418896,0.18644478824737795,0.08851259395609648
