,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,color_fulness,contrast,saturation,cubcol.1.0,cubcol.0.6,cubcol.0.3,staticness,cubrow.0.6,cubrow.0,uhdhdsim,blur,cubrow.1.0,tone,fft,noise,cubrow.0.5,cubcol.0,temporal,cubrow.0.3,blockiness,cubcol.0.5,movement
0,400,58.3791,13.9166,44,0.0,0,126,127,6,128,5,0.99421,61.56251,0.0,0.0,11.85714,8.691,0.0,0.0,0.0,132.0,56.67677,0.0,1.44,2.493,0.0,0.000245,157.06079084999104,90.28846888748829,15.537565820011093,0.18389111972131134,0.09518805410193228,0.16767187294729688,313.5868061904887,0.17652436686193615,0.09839050683982861,96.31664072078746,31026.662561196794,0.382503591832632,0.7647058823529413,65102.99891415628,0.4324256470641343,0.18592250889184353,0.21998775499988135,0.0,0.1558133905937331,1.6540736974723167,0.2679015144796435,0.0
1,401,58.2891,13.5979,44,14.6788,0,126,127,6,128,5,0.99837,61.44423,0.0,0.0,9.32143,8.744,12.05007,0.0,0.0,131.0,56.68931,0.0,1.43,3.318,-1.0,0.000248,157.14557663669447,86.95330061362608,15.552688787012926,0.17566897556401503,0.08908116523372948,0.1686250393698344,312.0846617039498,0.16967810488563723,0.08520177356325087,96.3306057455886,30890.086548128715,0.3781544239079862,0.7671752941176472,65207.201898333,0.43626668804319285,0.17630892548812463,0.1973114083074479,6.417627480874992,0.15121560687385283,1.9700503248696555,0.25049774243677997,8.012586805555555
2,402,58.1693,13.5959,44,14.658,0,126,127,6,128,5,1.00562,61.30274,0.0,0.0,10.21429,8.728,11.77662,0.0,0.0,133.0,56.71715,0.0,1.45,4.022,-1.0,0.000356,157.1914784894513,87.06676729304525,15.520771733036748,0.17220093783930435,0.08774714698334626,0.16539377087008328,310.93503370121175,0.16168180843168575,0.07884536800908812,96.35380223030369,30674.094242162442,0.3806040402438429,0.7696498039215687,65181.42165947887,0.4324256470641323,0.17263057974589371,0.18701815496175028,6.371274606434469,0.15403193130905668,1.5690407699162083,0.2432535914474473,7.977575231481482
3,403,58.142,13.6295,44,14.5187,0,126,127,6,128,5,1.00585,61.22669,0.0,0.0,9.82143,8.761,11.7676,0.0,0.0,132.0,56.76446,0.0,1.43,4.432,-1.0,0.000335,157.19903961767614,88.03547497706337,15.57065478666329,0.1713068716654199,0.08785268109865055,0.16230262049605093,309.9511466534279,0.15737617760843725,0.07837605320911355,96.35809025935478,30631.856723194036,0.3806867747756377,0.7735687254901962,65195.91428031486,0.4324256470641343,0.16883643184226937,0.18159676922052057,6.376318274292957,0.1547417239066162,1.4832111237943766,0.23999461733373717,7.633439429012346
4,404,58.0225,13.7081,44,14.9018,0,126,127,6,128,5,0.9988,61.12977,0.0,0.0,9.42857,8.774,11.80162,0.0,0.0,132.0,56.79859,0.0,1.44,4.542,-1.0,0.000764,157.07862173384305,87.2705270951214,15.492276227032697,0.17102458608208818,0.08732765699678242,0.15994617963032437,308.7316932743778,0.1543172784370418,0.07719170262516674,96.37505802705667,30444.858017228184,0.3798498756857308,0.7767454901960785,65168.10772115057,0.4324256470641324,0.1642034954986251,0.18140078002871296,6.384215090459034,0.15542098409620467,1.4329848828413572,0.23557658758889455,7.0104648919753085
5,405,57.9097,13.8892,44,15.3573,0,126,127,6,127,5,0.99871,60.95013,0.0,0.0,12.35714,8.743,11.86572,0.0,0.0,132.0,56.82831,0.0,1.44,4.569,-1.0,0.00035,157.4069379391979,87.20993812934873,15.547888485001929,0.1731357470872757,0.08755021817666113,0.15913493682362023,307.5348556656144,0.15252602104832377,0.07719978126081713,96.40696232002362,30301.02313343473,0.37662479044800523,0.779246274509804,65254.30560767201,0.4324256470641337,0.15949246386427277,0.18156857467998813,6.384109449199798,0.15558604221669167,2.105342857107097,0.23307909621504802,6.513551311728395
6,406,57.9117,13.991,44,14.9608,0,126,127,6,128,5,0.99599,60.95573,0.0,0.0,10.75,8.728,12.02638,0.0,0.0,133.0,56.86467,0.0,1.44,4.399,-1.0,0.000507,157.2498316397707,87.91249314425278,15.503169683762538,0.17571771799839667,0.08696497942024993,0.1590484390574098,306.3045688841821,0.15126180929328126,0.07830585924201029,96.39935467659852,30337.452429838417,0.371976400733461,0.7820219607843137,65256.0476711378,0.4302080210209118,0.15671233891054218,0.18154039608282196,6.408193171118065,0.15575106133441818,1.9652657014795587,0.2295601585138967,6.192708333333333
7,407,57.6164,14.2199,43,15.3279,0,126,127,6,128,5,1.00191,60.69161,0.0,0.0,10.35714,8.727,12.11683,0.0,0.0,133.0,56.87909,1e-05,1.44,4.002,-1.0,0.001547,157.32995903291763,85.95815469696169,15.542022893458238,0.1779356525024373,0.08771515782798062,0.1592191176921961,305.08570542720787,0.15098299826490075,0.07842254020443451,96.43078959769491,29884.858554648134,0.36688612641350393,0.7823415686274511,65165.83229037953,0.4324256470641294,0.1552904580487679,0.17865868874565843,6.431394508708519,0.15488943416440434,1.89462580810626,0.22716267226689435,5.959442515432099
8,408,57.6092,13.7638,43,15.2179,0,126,127,6,128,5,1.00121,60.72908,0.0,0.0,10.17857,8.785,12.31692,0.0,0.0,132.0,56.86659,0.0,1.44,4.177,0.125,0.000462,157.44192380287106,87.97385881725063,15.454190101152584,0.18055012991262231,0.08855193062045288,0.16040842913891445,303.77510162649287,0.1509927820648449,0.07848447774139157,96.42361109466593,29920.15720186465,0.36315068125843025,0.7832871372549021,65222.54402118215,0.4324256470641319,0.1542133929468088,0.17654911140496507,6.457347719495463,0.15347773644805016,1.9659071075081678,0.22450774789615302,5.908227237654321
9,409,57.6669,13.7053,43,15.0868,0,126,127,6,127,5,0.99905,60.77916,0.0,0.0,11.32143,8.739,11.91682,0.0,0.0,132.0,56.87588,0.0,1.43,4.571,-1.0,0.000194,157.6105252066228,88.85634772622215,15.484029887635032,0.1826133376289938,0.09070180631614394,0.16025921680014155,302.52895100662215,0.1505117262952963,0.07917093808405323,96.42415755860044,30046.046080300264,0.3610447989746636,0.7837780392156863,65186.10425916962,0.4324256470641286,0.15384399879677943,0.17515285781170203,6.412517597983217,0.15223344987166873,1.6346706990189217,0.2217034700378766,5.51195987654321
