,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,fft,contrast,cubcol.1.0,cubrow.0.5,cubcol.0.6,color_fulness,noise,cubrow.0.6,cubcol.0,saturation,tone,cubrow.0,cubrow.1.0,uhdhdsim,movement,temporal,cubcol.0.5,staticness,blockiness,cubcol.0.3,blur,cubrow.0.3
0,400,57.9827,12.6666,33,0.0,0,126,126,2,127,2,0.99475,55.39718,0.0,0.0,14.89286,8.64,0.0,0.0,0.0,133.0,55.86564,0.0,0.3,3.589,0.0,2.334147,63257.588372995546,90.85000718178455,0.17168231209206194,0.14827467060876628,0.07471296828741927,157.8183940605611,0.23882407668541114,0.15949221712653558,0.19700778250084477,15.040513215241608,0.742873725490196,0.06557387450718771,0.35374668008829563,97.4771955721375,0.0,0.0,0.25084780639690407,299.5740200085611,1.6086194675314573,0.13790068530749985,25609.795307140463,0.13027743162388125
1,401,57.7648,12.3394,33,13.9782,0,126,126,2,127,2,1.00204,55.17196,0.0,0.0,12.03571,8.719,10.94068,0.0,0.0,133.0,55.87215,0.0,0.3,3.756,-1.0,2.427441,63260.68274587448,92.27022275036049,0.16009486547623658,0.1380366354158518,0.0654463753449092,157.9193118429271,0.2388240766854135,0.15516676569344776,0.18190346419912845,15.088802573121624,0.7456713725490196,0.056672556744464864,0.3460629506227919,97.52637077811795,6.853057484567901,4.675680021953542,0.23653162684289786,298.8686884507471,1.6672459912284918,0.14275113266136885,25324.43073256623,0.12683836345576058
2,402,57.732,12.3326,33,13.3131,0,125,126,2,127,2,1.01171,55.12877,0.0,0.0,13.21429,8.727,10.65739,0.0,0.0,133.0,55.90531,0.0,0.3,4.479,-1.0,2.439116,63299.3775812003,90.82086457671907,0.15870272576222763,0.1332356049398578,0.06835592696739659,158.01078167546575,0.23882407668541208,0.14631410894470262,0.17018133666787816,15.05168377911603,0.7481039215686275,0.05240167679475849,0.3489843682262836,97.51845236310936,6.745322145061729,4.642780407807745,0.22894071227106674,298.3167559222386,1.5633817556962983,0.1374598182929616,25273.4857003278,0.13040478938764194
3,403,57.6642,12.3634,33,13.5672,0,125,126,2,127,2,1.00902,55.04354,0.0,0.0,12.71429,8.717,10.64715,0.0,0.0,134.0,55.96196,2e-05,0.3,3.92,-1.0,2.490763,63258.33440378122,89.96435520394694,0.1610083181182514,0.12746369776966698,0.06679018319205714,157.92451306427932,0.2388240766854103,0.14211878987141058,0.1662994081258697,15.096134138695987,0.7512149019607843,0.05148589039139542,0.34873725477003226,97.53474093857876,6.328993055555555,4.633920482631511,0.22684010726695614,297.9650954754787,1.6983605351189763,0.13449377193376186,25190.33131628489,0.1325944743358433
4,404,57.5681,12.475,32,13.4963,0,125,126,2,127,2,0.99903,54.95584,0.0,0.0,14.28571,8.747,10.67157,0.0,0.0,134.0,55.99318,0.0,0.31,3.919,-1.0,2.45169,63237.96025433849,90.27547880499873,0.15807571269867435,0.12223060397548462,0.06707086201289954,158.05173600486978,0.23882407668541336,0.1385513578700537,0.16405151091913353,14.99635484483507,0.7537674509803922,0.052581750568213535,0.3497042374891101,97.5322428953772,5.956934799382716,4.640847664601704,0.22230473786012572,297.3792033998493,1.4490989920572712,0.13228987533825048,25083.465259399465,0.13284252212820133
5,405,57.4644,12.5647,32,14.1857,0,125,126,2,127,2,0.99738,54.82654,0.0,0.0,16.92857,8.695,10.7703,0.0,0.0,133.0,56.0376,0.0,0.3,5.442,-1.0,2.417242,63278.83627559677,90.62477553758072,0.1591159791960098,0.11808645644899188,0.0683516216945456,158.3115101958537,0.2388240766854103,0.13555167270326998,0.16246981769871996,15.08079641836661,0.7559917647058824,0.053526070815770356,0.3477933733538932,97.55697331977692,5.5805844907407405,4.6338629661374675,0.21988414487286104,296.8504149552406,1.989550291480451,0.13261481902843725,25063.745992959084,0.13326269197529098
6,406,57.4259,12.6455,32,14.161,0,125,126,2,127,2,0.99577,54.79394,0.0,0.0,15.07143,8.693,10.84874,0.0,0.0,134.0,56.07676,0.0,0.3,5.697,-1.0,2.377362,63267.563635512655,88.25092132753771,0.16145633106981525,0.11503636750206246,0.06686983386611062,158.21844413710463,0.23882407668541106,0.1341543470389234,0.16246417856080322,15.020600495515046,0.7590580392156863,0.05460001614994525,0.3442128745014739,97.57508503509058,5.2982253086419755,4.64364628738402,0.21635319929002228,296.2598380503157,1.7796414912205905,0.13190861463546635,25004.645732138546,0.133294364627868
7,407,57.1215,12.8904,32,14.3211,0,125,126,2,127,2,1.00527,54.50005,0.0,0.0,14.14286,8.698,10.9183,0.0,0.0,134.0,56.09224,0.0,0.3,4.689,-1.0,2.383097,63254.92422607622,92.40843572598439,0.16262031181262918,0.11345009614636417,0.06854916871284003,158.40785122792795,0.2388240766854118,0.13332638545635397,0.15920163436637122,15.06226395971981,0.7638349019607843,0.054412520720168424,0.3401942756841061,97.60539028335857,5.104504243827161,4.661127647936718,0.21312144840503497,295.6616122365692,1.7917257178898744,0.13299776584694623,24574.23174673244,0.13225727289244185
8,408,57.0499,12.4553,32,14.3412,0,125,126,2,127,2,1.00356,54.46225,0.0,0.0,15.46429,8.743,11.1355,0.0,0.0,133.0,56.07893,0.0,0.3,5.892,0.48161,2.304074,63375.786710453496,92.28776327113353,0.16587667294570874,0.1123464374991976,0.06875153219639775,158.68004038595728,0.23882407668541106,0.132490420490417,0.15729060761452948,14.963206915207852,0.7635862745098039,0.05486164947359864,0.33806238343156386,97.61243580324916,5.120949074074074,4.690097702703575,0.2107244762972795,294.93629335538463,1.7698527727734656,0.13430773760993275,24497.03943569807,0.13125149909029005
9,409,57.2086,12.3881,32,13.9651,0,125,126,2,127,2,1.00184,54.61565,0.0,0.0,13.53571,8.708,10.75424,0.0,0.0,132.0,56.10153,0.0,0.3,6.739,-1.0,2.348615,63245.67563292615,91.34468733501005,0.16788483511964614,0.11240677680241176,0.07191364201038981,158.84873420299496,0.2388240766854127,0.13169708357835366,0.1550960389436489,15.013371031961324,0.7640878431372549,0.056382226411247995,0.3363097958263663,97.5873653437283,4.818721064814815,4.6599150964664275,0.20694515027799698,294.25822111352437,1.7267415250569387,0.13454891217981185,24780.259275550827,0.13035413108786617
