,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.6,cubrow.0.6,color_fulness,cubrow.0,cubrow.1.0,fft,blur,blockiness,cubcol.0.5,cubcol.1.0,staticness,contrast,saturation,cubrow.0.5,cubcol.0,uhdhdsim,noise,movement,temporal,cubrow.0.3,tone,cubcol.0.3
0,300,65.2853,17.9343,52,0.0,0,131,126,7,128,6,0.99914,69.85003,0.0,0.0,7.78571,8.527,0.0,0.0,0.0,130.0,59.85613,0.0,1.44,1.819,0.0,0.000165,0.2087634487878756,0.2777754071562431,138.2224649791916,0.13316198937208987,0.28301415511370165,65320.83816874685,40360.122717746744,1.5187323370001387,0.22622416287529817,0.17411225391120583,339.5872300735987,85.0297176298427,16.371749689549574,0.2473846845802326,0.17177728852897647,95.39744723892568,0.4384843140864249,0.0,0.0,0.2487495534780477,0.7857054901960786,0.21464612657400686
1,301,65.1884,18.3483,52,19.2121,0,131,126,7,128,6,1.00136,69.73967,0.0,0.0,7.64286,8.523,15.54359,0.0,0.0,130.0,59.8023,0.0,1.44,1.718,-1.0,0.000204,0.1948961594327416,0.2720651956897086,138.38583317057336,0.12497877433674301,0.2729727539290897,65281.50864246052,40269.258253090666,1.47019623379643,0.20360434387249282,0.16494312750935083,338.34708875210697,86.3113060475989,16.36894056532118,0.23841855140049997,0.1526621106493882,95.4153231640978,0.43848431408642563,12.094328703703704,6.9051371815398985,0.2466649124066079,0.7854015098039216,0.20149142877842663
2,302,65.3243,18.0853,52,20.1917,0,131,126,7,128,6,1.00059,69.80184,0.0,0.0,8.39286,8.475,15.89978,0.0,0.0,131.0,59.77272,0.0,1.43,1.983,-1.0,0.000192,0.18317030358110079,0.27354175397214636,138.56640609965027,0.11979484956834897,0.2632455818337186,65214.16513829035,40445.22621764125,1.8132764750785073,0.19544199540685744,0.15681115340268037,337.11447988546274,84.65594807308561,16.43466751663773,0.2341873062086868,0.14614471587438357,95.40531985569893,0.438484314086426,12.476032021604938,6.944461562478902,0.24675054717283879,0.7865168627450982,0.19701411004077762
3,303,65.1783,18.2871,52,19.2277,0,131,126,7,128,6,1.0029,69.71042,0.0,0.0,7.78571,8.489,15.67782,0.0,0.0,131.0,59.69015,0.0,1.46,1.711,-1.0,9.8e-05,0.1818434818271349,0.2765359384693922,139.36893403957382,0.11596421604475855,0.25881708356606126,65230.865874258285,40219.47183305333,1.8545283625028213,0.1935550731802181,0.1550518012545415,335.53729824305236,88.96445951776819,16.35204155062452,0.23293523242518746,0.1421127483263375,95.41865728031134,0.4384843140864234,11.485243055555555,6.916541744558339,0.24379549273764384,0.7857054901960786,0.19476268262134194
4,304,65.3895,18.3736,52,19.3806,0,131,126,7,128,6,1.00511,69.82479,0.0,0.0,6.96429,8.498,15.84738,0.0,0.0,131.0,59.68406,0.0,1.43,1.912,-1.0,0.000182,0.17987298168289118,0.2807236491808089,139.2931607501798,0.11341870655414173,0.25697458599130507,65102.31262369426,40524.36797721061,2.086971055951941,0.1933746152343621,0.15249965347155553,333.77505087518546,89.90669417804352,16.339064798237366,0.2276684165091497,0.13755899656745663,95.41177845017201,0.4384843140864283,10.653645833333334,6.933630770455565,0.2375076131259076,0.7860180392156864,0.19311696163999792
5,305,65.229,17.4884,52,19.3926,0,131,126,7,128,6,0.99951,69.71969,0.0,0.0,9.67857,8.462,15.91938,0.0,0.0,132.0,59.62686,0.0,1.44,2.04,-1.0,0.000151,0.17880818706668347,0.28213374573266525,139.66182602330855,0.11239923412862378,0.2561961260977566,65186.265671925554,40296.29813960619,2.07907595535806,0.19475327142122376,0.15143970864247616,332.06992994748924,89.35488158942377,16.36896750367718,0.2203874046412647,0.13534955750973618,95.42201345425656,0.4362666880432043,9.849537037037036,6.94208495795959,0.23176519109341967,0.7856792156862746,0.1924135679365991
6,306,65.3184,17.4137,52,18.9878,0,131,126,7,128,6,0.99904,69.84614,0.0,0.0,9.0,8.502,15.15745,0.0,0.0,131.0,59.61189,0.0,1.44,1.708,-1.0,0.000134,0.17923232450248738,0.28197015467287223,139.6813711999673,0.11297781140779034,0.2560970422328315,65247.803619306345,40540.097664512534,2.045618076314694,0.19682658138718243,0.15152242361329013,330.53956744664725,89.10045119852201,16.412611407998167,0.2161578892334091,0.1346293497308206,95.41486494610682,0.4407019401296524,8.763840663580247,6.867472485361071,0.22677408618901485,0.7868812941176472,0.19243623210259092
7,307,65.144,17.5981,52,19.2127,0,131,126,7,128,6,0.99685,69.64339,0.0,0.0,9.32143,8.49,15.08997,0.0,0.0,132.0,59.56858,0.0,1.45,1.754,-1.0,8.6e-05,0.17819615593301782,0.28124838211773934,140.20864207183706,0.11358534507956848,0.25540754857166786,65272.126877562616,40209.223309488225,2.0168792635585735,0.19802567748510919,0.1505818136505245,329.01079060679825,91.06299123757711,16.396545786916477,0.21306200984721496,0.13320343481768354,95.42278903413353,0.43848431408642635,8.249469521604938,6.850915539129047,0.22409388331354219,0.7865764705882354,0.19241159923125958
8,308,65.1628,17.7549,52,18.9053,0,130,126,7,128,6,1.00013,69.65903,0.0,0.0,7.07143,8.48,15.25047,0.0,0.0,131.0,59.54024,0.0,1.45,1.74,0.125,5.1e-05,0.17922807825575693,0.28002266964086125,140.07234122220962,0.11489376045633654,0.2567750471779499,65247.56559653858,40325.15127992177,2.1118109413596864,0.19973451584283028,0.1491383204009329,327.49722767417916,86.42092476342133,16.402525348427854,0.2095532934981079,0.13245261077947637,95.41985485983865,0.43848431408642724,8.028115354938272,6.877912799525788,0.22232868108588738,0.7870745098039217,0.19241036339939277
9,309,65.0941,18.075,52,19.4624,0,130,126,7,128,6,1.00314,69.5401,0.0,0.0,11.21429,8.492,15.39137,0.0,0.0,132.0,59.50884,0.0,1.44,1.74,-1.0,0.000113,0.17860235613038467,0.27847941505810925,140.77753551452173,0.1158924409485536,0.2568780295797079,65172.73080945392,40088.31276665012,1.5177914210729466,0.201559847327304,0.14753148419700213,326.02095524026765,89.50079146294343,16.37752448187934,0.20658084418358508,0.13251693933145164,95.43081862053255,0.4384843140864246,7.872251157407407,6.889267357715205,0.21968815110707482,0.7868443137254904,0.1925780788914983
10,310,65.0403,17.6757,52,18.766,0,130,126,7,128,6,1.0,69.48155,0.0,0.0,9.42857,8.54,15.66372,0.0,0.0,132.0,59.44906,0.0,1.44,2.016,-1.0,0.000121,0.17869305437547506,0.27744336954093307,140.96471552408104,0.11645168457918577,0.2564015928568417,65091.386196210246,40012.77333642154,2.244145139797599,0.20314354964827788,0.1461726934218569,324.54950687279614,89.53121649788217,16.37986642343027,0.2030536772016841,0.1328189385201105,95.4247140108036,0.43848431408642613,9.546778549382717,6.928802917076162,0.21724285302824925,0.7868207843137256,0.19209892309479115
11,311,65.0385,18.038,52,19.7399,0,130,126,7,128,6,0.99855,69.4822,0.0,0.0,9.0,8.506,15.31953,0.0,0.0,133.0,59.42266,0.0,1.44,1.91,-1.0,3.3e-05,0.17842162199594794,0.2770932943542962,141.05235573365383,0.11728385639103157,0.25630117227711785,65187.69536411955,40041.14939099945,1.177854339484537,0.2048219155743527,0.14454395822128693,323.11086165533715,89.64055461427552,16.366425690827548,0.19912973249186988,0.13292800701823335,95.43114734589552,0.43848431408642696,10.987413194444445,6.888099531482323,0.2157156784625603,0.7867463137254903,0.19232654993273804
