,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.3,cubrow.1.0,staticness,blockiness,cubrow.0.3,noise,blur,uhdhdsim,cubrow.0,fft,cubcol.0.6,movement,contrast,cubcol.1.0,color_fulness,cubcol.0,tone,temporal,saturation,cubrow.0.6,cubrow.0.5,cubcol.0.5
0,0,61.6783,22.6591,36,0.0,0,124,117,9,136,13,0.9942,56.74073,0.0,0.0,0.5,6.305,0.0,0.0,0.0,119.0,30.77825,0.00499,0.57,11.042,0.0,0.023369,0.19399383411059892,0.050760251161509166,529.3210904605756,2.5749847128552417,0.046497478909262695,0.7203132710353009,51207.26319506314,82.92979224386913,0.030784688332433023,69551.35004019273,0.2750580066336895,0.0,85.90076128486074,0.1387884449640248,73.51964610024771,0.33582155743833303,0.484727843137255,0.0,45.09547461992429,0.14409748086716404,0.17740597599292796,0.20763632964819773
1,1,61.3517,22.2953,35,34.5903,0,124,117,9,136,13,0.98064,56.4072,0.0,0.0,0.67857,6.444,19.45882,0.0,0.0,123.0,30.85173,0.00563,0.56,10.077,-1.0,0.03309,0.19052535847121352,0.04826655017529552,508.10687876989766,1.4193835613609858,0.038063939957183386,0.7203132710352985,51189.17527233529,82.9776187406525,0.021618111552590046,69114.01317995078,0.2632941258746182,15.255304783950617,87.43717556958588,0.12819053594372146,72.1030063288309,0.3073941703997595,0.48310196078431356,6.40949326965599,44.9053940007716,0.09483252660027772,0.12897278493389688,0.19046495057445328
2,2,59.7628,22.5767,35,35.1958,0,124,117,9,136,13,0.96441,54.97398,0.0,0.0,0.17857,6.633,19.14835,0.0,0.0,121.0,30.9666,0.0051,0.56,11.062,-1.0,0.033635,0.1917982009698316,0.04490602755265968,492.79410862728713,1.1845968001002123,0.035698920780099036,0.7180956449920574,46956.26825655904,83.21451667371777,0.019148388390114235,67056.83178128419,0.2713481316378728,13.302324459876543,87.5543446481915,0.1278713561964107,72.14542830036335,0.260091175220412,0.48155019607843136,6.437199441623241,45.12360523365162,0.08395436827701486,0.11968275434145814,0.18102906140023922
3,3,58.0593,22.095,34,40.5137,0,124,117,9,136,13,0.97938,53.43885,0.0,0.0,0.0,6.823,19.39008,0.0,0.0,124.0,31.21281,0.00485,0.57,11.628,-1.0,0.037655,0.1898325953463033,0.03700223203732435,482.1482987386177,1.81501066686838,0.03432181381136629,0.7186898560994562,42363.97649157611,83.53129508898036,0.018048891661393514,67750.8830801795,0.2828921975983308,12.210407021604938,87.0860248248603,0.1306457367131879,73.7493478197359,0.23683041157490173,0.4838502352941174,6.509893880244695,45.185564205970294,0.07850849234721753,0.10272045184715703,0.1817974342990124
4,4,57.1067,21.7607,34,38.2779,0,123,118,9,136,13,0.98683,52.61514,0.0,0.0,0.03571,6.652,18.9712,0.0,0.0,124.0,31.53987,0.00503,0.57,11.87,-1.0,0.036425,0.18959473040892214,0.034581466072530216,474.42999449990987,1.953805500796703,0.03591614171178834,0.7203132710352954,38670.96829374276,83.66995445217756,0.017285693142694698,66867.51196159307,0.28806801055567544,11.726900077160494,85.4794259149159,0.13041593162617232,75.3244365841202,0.24972149396067747,0.4891996078431373,6.552591542440891,45.340436770592206,0.07320624823994935,0.09285202535836219,0.1717623660652263
5,5,56.9489,22.404,34,40.2905,0,123,118,9,136,13,0.96532,52.45216,0.0,0.0,0.39286,6.77,18.67943,0.0,0.0,123.0,31.19654,0.00547,0.57,13.128,-1.0,0.021239,0.19190668733276378,0.032760852828625855,468.4618877549604,2.2085383574827695,0.037084455542805,0.7203132710352955,38913.473920236975,83.5845476686693,0.016657817630298378,67634.17239516231,0.2883516590969122,10.416425540123457,86.23843383724193,0.12947870557830116,76.6985399410382,0.2704530918780951,0.4912494117647058,6.552987667968193,45.362364592375584,0.06977986701004206,0.08713800670040332,0.16732525276019997
6,6,57.0742,22.8559,34,39.9873,0,123,118,9,136,14,0.96245,52.61376,0.0,0.0,0.10714,6.613,19.23843,0.0,0.0,125.0,31.10311,0.00567,0.55,12.785,-1.0,0.013092,0.19422049312943138,0.030727784453591207,462.0883639199805,2.0669939836932074,0.03870804989477239,0.7203132710353003,38261.088697208805,83.59382611870613,0.016306715647133783,67539.9734452164,0.2854924495264161,10.329716435185185,90.79764770703333,0.12852156779770516,78.10455158164397,0.27181980481572643,0.4918133333333333,6.623284048680547,45.20233022430797,0.06827954583278716,0.08318472142161344,0.16760071217207345
7,7,57.4559,22.5065,34,39.7106,0,124,118,9,136,13,0.94885,52.98482,0.0,0.0,0.53571,6.733,19.62999,0.0,0.0,122.0,30.77472,0.00508,0.57,11.873,-1.0,0.012018,0.19651233905144,0.02904618825636342,455.9657360060079,1.5238335579153353,0.03817535536641906,0.7225308970785229,39188.85690504432,83.58935891921314,0.015920974571166736,67773.6996600539,0.2715024288533181,9.749228395061728,86.52603507188442,0.12681946108401324,78.80010268669602,0.2749277951592858,0.4886537254901961,6.664897889392515,45.052460281937215,0.06793544568507329,0.08005273596301091,0.16816395493576522
8,8,58.0964,23.0862,34,38.0908,0,124,118,9,136,13,0.96228,53.49792,0.0,0.0,0.42857,6.664,19.33115,0.0,0.0,122.0,30.78755,0.00488,0.56,12.718,0.1304,0.013529,0.19996592733833263,0.027640114282913214,450.46485650346455,1.9231675005815534,0.03693189277049484,0.7203132710352899,42122.185949383376,83.40996303282049,0.015650828371213538,66942.06233384467,0.2637934719002437,8.609278549382717,89.85203342471414,0.12600777717190645,78.43265541472653,0.2590813201626642,0.4857690196078432,6.668245123224352,44.93678132987316,0.06653175718437285,0.07838819637556839,0.1753124889202165
9,9,58.3741,23.48,34,39.7821,0,123,118,9,136,13,0.96028,53.72849,0.0,0.0,0.25,6.802,19.82734,0.0,0.0,125.0,31.15083,0.00526,0.56,10.242,-1.0,0.016056,0.2010053311271735,0.0265355183345648,445.4362736693913,3.436915982137237,0.03608379439554404,0.7180956449920647,43608.81872027513,83.30162542077176,0.015548230790244406,66384.23941668264,0.25311964665356707,8.217110339506172,87.75573938941662,0.12569620260288739,78.34341204278311,0.248049540152383,0.48884552941176307,6.675577751521978,44.90072123209635,0.06569116761751045,0.07685996357829346,0.17651707225059665
