,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,tone,fft,contrast,movement,temporal,blockiness,cubcol.0.5,staticness,cubcol.0.6,noise,saturation,cubcol.1.0,color_fulness,uhdhdsim,cubrow.1.0,cubcol.0,cubrow.0,cubcol.0.3,cubrow.0.5,cubrow.0.6,blur,cubrow.0.3
0,200,34.2764,17.333,20,0.0,0,119,117,6,136,9,1.01449,33.58082,0.0,0.0,8.35714,9.392,0.0,0.0,0.0,116.0,33.11067,0.0,0.3,3.825,0.0,2.898131,0.4912584313725491,62944.165788742735,87.56000368566276,0.0,0.0,1.323977514336493,0.1355309626856679,552.1323466647951,0.05573880487508106,0.2674939968610413,49.52377959828318,0.055563004753483164,89.49707449589467,100.55443683196414,0.027000015913330323,0.11435562294567544,0.06919182790995336,0.057827409578805965,0.14345881583028888,0.16006023031601924,7165.362710680284,0.17596568417863384
1,201,33.9739,17.1357,20,16.4003,0,119,117,6,136,9,1.00578,33.25358,0.0,0.0,13.71429,9.381,14.93535,0.0,0.0,116.0,32.88407,0.0,0.3,3.954,-1.0,2.965618,0.4897905882352942,62846.054185526846,89.05400935577553,8.473234953703704,4.693578757431469,1.2976815146984415,0.1333302472890295,544.4162240061557,0.05496986952418503,0.2614353298387549,49.557059393988716,0.055087142918561004,88.4243251167905,100.62076765597853,0.025963335033521443,0.08695775205651511,0.06681800132114835,0.05771383071522479,0.1266493384279636,0.1308469302703065,7150.513220056906,0.16850344801220285
2,202,34.3238,16.491,20,16.0684,0,119,117,6,136,9,0.99726,33.55502,0.0,0.0,8.89286,9.144,14.76336,0.0,0.0,119.0,32.68229,0.0,0.3,3.476,-1.0,2.935702,0.4875356862745099,62904.026953804634,88.06684291047202,7.878279320987654,4.665438258048272,0.9726504640134892,0.1322789745954108,536.8064822503567,0.054518991637673694,0.26143532983875456,49.44637515221113,0.05490685875597681,87.36849446682942,100.50595321806921,0.025586184067012598,0.08249313053921876,0.06548243651008691,0.05785679420283058,0.1277564524058688,0.1226143563514953,7586.811006664359,0.16390807996170315
3,203,35.1432,16.6379,20,15.5215,0,119,117,6,136,9,0.9903,34.28822,0.0,0.0,7.92857,8.875,14.20361,0.0,0.0,122.0,32.53539,0.0,0.3,4.021,-1.0,2.943117,0.48638549019607846,62980.402133767035,84.74102617648511,7.008873456790123,4.613488778585436,1.1819744480615784,0.13141503060215362,529.6968002014182,0.05407551118526644,0.26143532983875467,49.48813826949508,0.055069309933224744,86.03487707381493,100.37206770882997,0.025271990999557185,0.08353692966072103,0.06452799331810115,0.058149391279278304,0.1282085022138372,0.12143602147086767,8326.686373473702,0.16444567670003746
4,204,35.2527,17.0941,20,15.0802,0,119,117,6,136,8,0.98316,34.35843,0.0,0.0,9.78571,8.827,14.32984,0.0,0.0,121.0,32.48497,0.0,0.3,4.437,-1.0,2.837254,0.4859066666666667,63022.98631300712,89.59176763883896,6.41796875,4.550168237856525,1.1953312485563818,0.13067857807814812,523.0735350636936,0.05367175360938544,0.26143532983875484,49.47565601490162,0.05524449329756729,85.25692808301392,100.3813751530898,0.025023624994095005,0.08561656155112707,0.06377730574490464,0.05823155340868121,0.12642815947235522,0.1205930376953676,8308.191075954266,0.16699594961958145
5,205,35.5053,17.1004,20,15.7254,0,119,117,6,136,8,0.9931,34.62898,0.0,0.0,12.32143,8.733,14.72507,0.0,0.0,118.0,32.5771,0.0,0.3,5.049,-1.0,2.82831,0.4878411764705883,62978.254230792634,89.48687093161831,5.76147762345679,4.51294819257754,1.325121113360553,0.13003916228586446,516.7602537660975,0.05342691264033128,0.2636529558819832,49.40379691418306,0.055300360766506566,84.5847695982236,100.36766044135047,0.02494156596461341,0.08863034860388111,0.06406401578749685,0.058410472048987014,0.12671906554271187,0.1174878406384669,8299.622491499988,0.1691249978592816
6,206,35.8233,16.9139,20,15.5441,0,119,117,6,136,9,0.98751,34.94271,0.0,0.0,10.46429,8.77,14.74435,0.0,0.0,117.0,32.61263,0.0,0.3,4.447,-1.0,2.711924,0.48984313725490203,62967.015440232324,87.9392231978779,5.409818672839506,4.456242442666123,1.5674457730376792,0.12958412681897608,510.801261518568,0.05308673987793668,0.26365295588198334,49.57369825575087,0.05534314945348812,84.31311515178113,100.33803079314673,0.024718419848150576,0.08477395496866147,0.06458022666042885,0.05867233357240039,0.1228485083040574,0.11867282215147848,8497.992234910309,0.17304809553062606
7,207,36.2025,16.9141,20,13.9274,0,119,117,6,136,9,0.98876,35.26607,0.0,0.0,10.21429,8.67,14.56021,0.0,0.0,113.0,32.61199,0.0,0.3,4.647,-1.0,2.692686,0.4918309803921569,62828.75608175477,90.64634211778811,4.890962577160494,4.393480003148511,2.318164860477724,0.12944380999032515,505.37103510362476,0.05285288619206298,0.2636529558819823,49.55054219563802,0.05530694402246088,83.61309162060937,100.28145776032673,0.024563957941229838,0.0821462322419048,0.06553923453582691,0.05882503476392963,0.12108384869728626,0.12215603881335499,8773.920540569037,0.17562504828470277
8,208,36.0473,16.7848,20,14.23,0,119,117,6,136,9,0.99486,35.10536,0.0,0.0,9.03571,8.69,14.5585,0.0,0.0,110.0,32.58464,0.0,0.3,4.931,0.46734,2.713631,0.4933874509803922,62811.964835486426,86.1200427068431,4.564718364197531,4.348013328798269,1.347925465179379,0.12886023544166478,500.7836779010804,0.05250073138923898,0.26365295588197973,49.58776987334828,0.05534442769628958,83.04056073112228,100.31678483121658,0.024454040783360095,0.08113202908261327,0.06649377995569196,0.059241451211128504,0.1186982076859091,0.12430484108914443,8652.206654809135,0.17826231216287095
9,209,35.9417,16.5761,20,13.8402,0,119,117,6,136,9,0.98957,34.97335,0.0,0.0,6.96429,8.647,14.44477,0.0,0.0,105.0,32.47998,0.0,0.3,4.286,-1.0,2.68497,0.4909153921568628,62774.2812596243,89.23031199573062,4.311631944444445,4.287748796006398,1.1359996250281081,0.1273734560863567,496.65079422458757,0.05225739421788063,0.26365295588198084,49.496174188307776,0.055443611979715694,82.30118418522869,100.35388155073028,0.024394717378667552,0.0809272727972398,0.06724290604333995,0.059446652284280574,0.11621814244142768,0.1250536978314949,8561.884018077782,0.179417260234223
