,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,staticness,temporal,movement,cubrow.1.0,tone,cubcol.0,contrast,fft,cubcol.0.3,cubrow.0.3,cubcol.0.5,color_fulness,cubcol.0.6,saturation,cubrow.0,uhdhdsim,blockiness,noise,blur,cubrow.0.6,cubcol.1.0
0,0,61.0776,23.2507,57,0.0,0,125,118,19,136,19,0.99944,59.68296,0.0,0.0,0.5,4.693,0.0,0.0,0.0,121.0,31.13837,0.01542,2.53,4.766,0.0,0.00022,0.18441071045849733,533.1523710303262,0.0,0.0,0.0792694542687097,0.48938284313725455,0.3461863483155109,84.6792918552722,69917.26650714969,0.2121670219672302,0.07333329773623726,0.22356206246385757,73.72952210541038,0.28670469454585107,44.26936604064188,0.07173396882259563,81.76938828240543,2.5612139734074786,2.3242480483731276,52032.81788444593,0.1594229927251553,0.15863582467542128
1,1,60.7645,22.8874,56,32.0905,0,125,118,19,136,19,0.99196,59.33971,0.0,0.0,0.39286,4.62,20.09634,0.0,0.0,124.0,31.1939,0.01613,2.54,5.16,-1.0,0.000415,0.1363096592529189,511.1971815098811,7.329185353607238,15.548659336419753,0.06811194061047475,0.48788731372549005,0.3155083609044041,84.90035902565403,69599.06925454276,0.20403241760974716,0.058127177729929105,0.20538620793401685,72.46695896907653,0.27146330882171354,44.111420996395154,0.05374574541124257,81.80180920747736,2.288939641224955,2.3319301303312496,52002.29668699693,0.10640353797678438,0.1427653964449666
2,2,59.2097,23.1688,55,33.1611,0,125,118,19,136,19,0.98404,57.95248,0.0,0.0,0.17857,4.624,19.76423,0.0,0.0,123.0,31.30994,0.01576,2.53,5.475,-1.0,0.000685,0.12598306382911395,495.71211215442884,7.352421189704997,13.518614969135802,0.06337384567376435,0.4872368627450981,0.26786818524963024,86.32783817051148,67805.93917504148,0.20414016468495638,0.0553587304845912,0.19439594679677918,72.41413262952881,0.27907353791212736,44.32433931327161,0.049090673608775524,81.97424895466932,1.7800653210660837,2.326465674416356,47762.45259139661,0.0960852783874347,0.1414353581075338
3,3,57.5317,22.6965,55,36.0969,0,124,118,19,136,19,0.99457,56.45636,0.0,0.0,0.0,4.39,20.02765,0.0,0.0,125.0,31.55876,0.01512,2.55,4.831,-1.0,0.000379,0.10956232457864422,485.0065804727604,7.407258031624651,12.393373842592593,0.0561393284489035,0.49029450980392153,0.2455049127061312,87.01038879331426,68424.58848626255,0.20053075190004782,0.05288332037992845,0.1943233765638073,74.03221544030238,0.2894444078227258,44.393954806857636,0.04730221364691798,82.22616174791759,1.9563042266950652,2.34139484561158,43245.23459558947,0.09041605446647866,0.14364111952049627
4,4,56.6101,22.3601,55,34.4434,0,124,118,19,136,19,0.99823,55.65635,0.0,0.0,0.0,4.243,19.62042,0.0,0.0,125.0,31.88993,0.01602,2.55,5.39,-1.0,0.000428,0.10057619397001434,477.28477911905895,7.439763764834419,11.853491512345679,0.05413208369334033,0.49572892156862736,0.2582434713020624,88.13410599199237,67695.28096358379,0.19959537891319576,0.0535783669983,0.18452617384817382,75.62599741756651,0.2941058812607473,44.550985077281055,0.04554091678417466,82.2991163373414,2.0766896328706443,2.3424240494400164,39568.26133169354,0.0851193574842006,0.14355698012868442
5,5,56.4727,22.9991,55,36.3607,0,124,118,19,136,19,0.98591,55.50781,0.0,0.0,0.0,4.222,19.32899,0.0,0.0,125.0,31.56614,0.01606,2.54,4.85,-1.0,4.6e-05,0.09496986656549009,471.32617669542134,7.421932648140853,10.542534722222221,0.05220984031546567,0.49620588235294116,0.2778351018367885,89.14035927803718,68406.2034432291,0.20210437243925988,0.05387124283752318,0.17916322838988982,77.14451959869974,0.29549942238556026,44.56333923339844,0.04439453113805267,82.22297489639836,1.3883595499124675,2.349076927569703,39775.84656375016,0.08176193145369019,0.14221741974161667
6,6,56.5774,23.4514,55,36.3342,0,124,118,19,136,19,0.98138,55.66432,0.0,0.0,0.0,4.354,19.89807,0.0,0.0,126.0,31.47691,0.01603,2.55,5.055,-1.0,0.0,0.09106376492624177,464.9702042269336,7.468478943288081,10.435667438271604,0.051037133609578504,0.4961682352941177,0.27927913064537624,84.87971841352083,68280.76900655394,0.20417647899189484,0.05462593492872775,0.17929445815702735,78.38574855538053,0.2926868436732783,44.377739046826775,0.043790402191752564,82.24365960814588,1.6102246067516113,2.3523237574413756,39101.517394538765,0.0801744282280365,0.14089315837142605
7,7,56.9355,23.1163,55,36.3689,0,124,118,19,136,19,0.97684,56.00332,0.0,0.0,0.32143,4.455,20.30641,0.0,0.0,124.0,31.16274,0.0152,2.58,5.129,-1.0,0.0,0.08804317500845213,458.8507374986654,7.495542485384614,9.835841049382717,0.049515487717197604,0.4938886274509804,0.2818859108684938,83.33513849929929,68475.24660984802,0.20616621060181706,0.05430317253148968,0.17943943026458054,78.99245938607328,0.2790514025384489,44.231813218858505,0.0430157113414267,82.23815224109488,1.8046075776286774,2.345235886590639,40091.30506858488,0.0796920347685145,0.1387714221026982
8,8,57.5832,23.6852,55,34.7801,0,124,118,19,136,19,0.98296,56.46554,0.0,0.0,0.42857,4.33,20.00847,0.0,0.0,123.0,31.17684,0.01595,2.57,5.555,0.12526,0.0,0.08642191321316392,453.36342094228047,7.495933375384942,8.703076774691358,0.04835090584560761,0.49137568627450984,0.2661546433837787,83.39370508288704,67766.21821585202,0.2094074632162733,0.05324738428354925,0.18607431207547087,78.62213622844148,0.2714058087216687,44.12525355963059,0.042614565133606834,82.10590006757548,2.055924587237814,2.345670879311685,43032.09828882853,0.07828760723685353,0.1380198684614945
9,9,57.8304,24.0779,55,36.3162,0,124,118,19,136,18,0.97862,56.66392,0.0,0.0,0.25,4.316,20.48707,0.0,0.0,126.0,31.5411,0.01605,2.57,5.331,-1.0,0.0,0.08495480478383892,448.3235564510619,7.504297669132298,8.26904899691358,0.04743174757219702,0.49399894117647025,0.25532091343695396,86.66642753161872,67381.89924197081,0.21089090899813784,0.052471015599459166,0.1870080085311266,78.62806151065743,0.26080728897308475,44.092282518928435,0.04218348639326365,82.03678833579272,3.2884937483172534,2.337097480692458,44565.12380653078,0.07750414465877176,0.13773002976624313
