,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,blockiness,noise,cubrow.0.3,cubcol.0.6,cubrow.0.5,contrast,blur,color_fulness,cubcol.1.0,temporal,cubcol.0.5,cubrow.1.0,movement,staticness,cubrow.0.6,saturation,cubcol.0.3,fft,tone,uhdhdsim,cubcol.0
0,200,70.7579,17.7791,51,0.0,0,134,125,3,129,4,1.00056,71.28291,0.0,0.0,7.67857,8.439,0.0,0.0,0.0,132.0,65.07385,0.0,0.32,2.633,0.0,1.21878,0.19197642852687913,1.5191878752005452,0.29232287605762025,0.1858533378166031,0.19055817482830031,0.2356599463099144,92.3000021240884,43008.562152301405,95.47210607238908,0.23838238783411292,0.0,0.22438109302828566,0.16075932302595763,0.0,322.7140279221821,0.3070821551983614,16.02459132818528,0.16924051815465616,64227.49976767551,0.4028181766397539,95.52050351305022,0.22685271439251933
1,201,70.6097,18.5,52,21.8721,0,134,125,3,129,4,0.99977,71.1217,0.0,0.0,6.67857,8.424,15.36458,0.0,0.0,133.0,65.06349,0.0,0.32,2.859,-1.0,1.173198,0.18136740384474487,1.9115150598495534,0.29232287605761736,0.18101925794612042,0.18009851207827215,0.22977291552512136,92.43054016413882,42682.013758671375,96.55510727487113,0.21960364441966188,5.819752972352677,0.19432245353733363,0.15791138476502492,12.252507716049383,322.0367519095958,0.2846911467850123,16.03150506667149,0.1575531897562562,64066.94548398054,0.4070583844982698,95.54594701142318,0.20777784472246413
2,202,70.7586,17.9767,52,22.7091,0,134,125,3,129,4,0.99931,71.33121,0.0,0.0,8.03571,8.46,15.98632,0.0,0.0,132.0,65.03454,0.0,0.32,2.91,-1.0,1.169293,0.175250976280164,1.7291817058030694,0.29232287605762114,0.18580591951486966,0.16934747740075723,0.22543686612888666,92.48606121670723,43030.025029149525,96.87188936104569,0.21304728444338802,5.875129283447491,0.18603981628760236,0.15999279386801932,12.766782407407407,321.40005807913303,0.26889578446238216,16.020074161482444,0.15752092829440106,64062.48663166384,0.41615392324798295,95.5140203242027,0.20062242613999598
3,203,70.7729,18.0373,52,22.0165,0,134,125,3,129,4,1.00098,71.38129,0.0,0.0,6.17857,8.457,15.53603,0.0,0.0,130.0,64.99541,0.0,0.32,2.601,-1.0,1.106788,0.1665169964137388,1.8290030989781971,0.29454050210084615,0.18566145126785438,0.16695961281768174,0.22368709162172776,88.05463213453778,42934.11953584908,97.23455375995631,0.21067005959194254,5.846585970926289,0.18165816016595387,0.16063697410770972,11.604890046296296,320.63160694973783,0.25661869420841327,16.04025833695023,0.16288172502094944,64249.81711198716,0.41578684549019623,95.52406748387354,0.2016083333381882
4,204,70.8546,17.744,52,21.6444,0,134,125,3,129,4,1.00178,71.48471,0.0,0.0,6.42857,8.446,15.58095,0.0,0.0,131.0,64.96302,0.0,0.32,2.653,-1.0,1.153388,0.1581586029148503,1.6371075183421346,0.29232287605762225,0.18509713203071176,0.1672267186699442,0.22116884574287993,88.86676442460691,43163.55615905192,98.31983717959201,0.20761833738290417,5.851427789516498,0.1786115171753917,0.15666850748296712,10.880160108024691,319.71102122279217,0.2503696089248161,15.992853800455729,0.16567041996177606,64202.25651770497,0.41608055712726016,95.49995554945129,0.2032599225545599
5,205,70.9384,17.9232,52,21.0949,0,134,125,3,129,4,1.00409,71.57229,0.0,0.0,6.5,8.401,15.33191,0.0,0.0,132.0,64.93123,0.0,0.32,2.515,-1.0,1.077546,0.14918703574134082,1.6880061617135387,0.2945405021008487,0.18597999521310843,0.16552282927124531,0.21907851638502257,89.850308341604,43423.47933781802,97.85442878846429,0.20593011990259555,5.823921971457862,0.17575304030187627,0.15550715509018806,10.028404706790123,318.7547448859232,0.243536724330723,16.013813348464023,0.16688353951363377,64283.20238968607,0.41653956037831746,95.49683530295802,0.20220704059402314
6,206,70.8183,18.3407,52,21.6908,0,133,125,3,129,4,1.00235,71.45841,0.0,0.0,4.57143,8.419,15.47605,0.0,0.0,130.0,64.88134,0.0,0.32,2.738,-1.0,1.118218,0.14636515630791905,1.8463536923448554,0.29454050210085064,0.18884799698183144,0.16623327689865738,0.21918139361896297,91.80589206511875,43074.25884038523,99.20361993522341,0.20559492481455025,5.848532076499682,0.17202694673702656,0.15629235732349214,9.617235725308642,317.81087652772544,0.2412407191816521,15.969515388394578,0.16816827567572484,64290.97850675346,0.4212880274048463,95.50031678788378,0.19949400171945755
7,207,70.8422,18.2004,52,21.9488,0,133,125,3,129,4,0.99689,71.50263,0.0,0.0,6.5,8.397,15.83784,0.0,0.0,132.0,64.82343,0.0,0.32,2.712,-1.0,1.097598,0.14634347998387687,1.9223091126636735,0.29454050210085275,0.19178194858641517,0.165435339976687,0.2194651332006585,92.23482789791618,43218.678380208024,98.86387021807344,0.20541290441607588,5.888481966963743,0.17035232974245051,0.1578239351270652,9.45336612654321,316.81270442200275,0.24070845224765125,15.971722073025173,0.16594130798444695,64383.34480909639,0.4253511536055378,95.49827510696764,0.20251292877264898
8,208,70.8302,18.6326,52,21.8476,0,133,125,3,129,4,0.99214,71.51772,0.0,0.0,7.82143,8.444,15.71463,0.0,0.0,132.0,64.7745,0.0,0.32,3.143,0.45525,1.102895,0.14550836814297052,1.754453018166288,0.29838154307990994,0.19552495680303755,0.16613624767963986,0.22119371375068897,92.33306281383483,43097.782543324734,99.70073686593257,0.20528903603931448,5.873677273718074,0.16885137074284853,0.15998939633107362,8.988474151234568,315.77884428056535,0.23975356341010345,15.983290118935667,0.16382047513463563,64272.18791979705,0.424866446203768,95.50428650301512,0.2036211642247805
9,209,70.6982,18.1931,52,22.3765,0,133,125,3,129,4,0.99066,71.40735,0.0,0.0,6.78571,8.429,16.08723,0.0,0.0,132.0,64.696,0.0,0.32,2.505,-1.0,1.064139,0.14468692303442568,1.7934353214107912,0.2983815430799102,0.19865526697243102,0.1657760112919586,0.22511804686524053,91.51342223958693,42873.73695699184,99.33132617747265,0.20532383701875298,5.918940277272244,0.16737803850931376,0.16224252422892715,8.998794367283951,314.68543687266396,0.23721935461690577,15.931359938633294,0.16175492096511015,64410.903072188274,0.42518908131488037,95.50543557531888,0.20242911525795632
10,210,70.789,18.1022,52,21.6323,0,133,125,3,129,4,0.99598,71.52681,0.0,0.0,7.0,8.385,15.71051,0.0,0.0,131.0,64.64674,0.0,0.32,2.868,-1.0,1.074835,0.14389214162218578,1.923681634532714,0.2983815430799061,0.2009455034511811,0.16557760876150523,0.23020667531061784,92.31667572274905,43105.59677422843,99.97306113968489,0.20466200397087075,5.869928585578724,0.16627347191617903,0.1647515174062273,10.527199074074074,313.5591555186224,0.23569716273268548,15.885431171935283,0.16009828548228044,64323.308145561285,0.42497708379238897,95.4969317076418,0.2005702942226169
11,211,70.7481,18.2973,52,21.659,0,133,125,3,129,4,1.00391,71.49343,0.0,0.0,7.92857,8.429,15.62904,0.0,0.0,130.0,64.60915,0.0,0.32,2.701,-1.0,1.012395,0.1425838496519813,1.9940168416391384,0.29838154307991255,0.20254966169581307,0.1664832264551054,0.23340541075421803,92.35752264904181,43000.54144574041,99.89440060661524,0.20399522728828645,5.869226680198992,0.1647744774973516,0.1640754826743919,12.211612654320987,312.43461313984255,0.2339284563574765,15.911175198025173,0.1580132088621068,64349.08623154084,0.4250425248996554,95.48634955533817,0.19914195415849892
