,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,uhdhdsim,tone,fft,cubcol.1.0,cubrow.0.5,cubrow.0.3,saturation,cubcol.0.3,movement,cubcol.0.6,cubcol.0.5,temporal,color_fulness,cubrow.0.6,staticness,cubrow.0,cubrow.1.0,blur,contrast,cubcol.0,noise,blockiness
0,200,73.779,15.6769,66,0.0,0,117,117,14,136,13,1.01035,75.47921,0.0,0.0,0.46429,4.362,0.0,0.0,0.0,126.0,42.76578,9e-05,0.44,2.581,0.0,0.188904,90.88065096579501,0.6122204313725489,68595.85466773703,0.28747216593560687,0.24213596567828974,0.2719171991111561,50.84086703076775,0.17909958563084646,0.0,0.20281871469136853,0.18884424871332683,0.0,84.32289259351894,0.22170332964347758,566.5194291922113,0.23607664567425257,0.22634689021146503,38035.00683001683,87.27471524475882,0.2370386455376741,0.49863599158832383,6.328191803592909
1,201,73.2958,15.7541,66,28.5174,0,117,117,14,136,13,1.01574,74.97003,0.0,0.0,0.32143,4.336,13.48547,0.0,0.0,125.0,42.58704,0.0001,0.44,2.339,-1.0,0.177234,90.87183308116099,0.6095605098039212,68486.51238131846,0.2774507865210497,0.24175663094092145,0.25828469266225185,50.89273542239342,0.1829179338916712,7.224971064814815,0.1960702520415472,0.18389369163764635,5.5254433786445585,84.71513601700231,0.20815696359503144,564.0810387129327,0.216710156623822,0.21149641865118962,36938.77284724833,87.37088075799244,0.20990195738042433,0.5002594065241582,5.659128464907729
2,202,72.6875,15.6952,65,31.0494,0,117,117,13,136,13,1.01953,74.30334,0.0,0.0,0.32143,4.37,13.55228,0.0,0.0,126.0,42.23095,0.0001,0.43,1.889,-1.0,0.212552,90.97052382908376,0.6069275098039213,68529.83911954674,0.26984014291950936,0.24366012340622273,0.25599213650813496,50.635504263418696,0.17398367934643885,6.432436342592593,0.19241911339132803,0.1839903270486345,5.566105723197387,84.12744682207814,0.19673109973704708,561.6998724951927,0.21217188358820405,0.20688321179472033,36427.66942544601,86.90826887737568,0.21956695275140703,0.4942007395018646,5.008319562436732
3,203,72.4421,15.4608,65,29.0608,0,117,117,13,136,13,1.01134,74.04962,0.0,0.0,0.42857,4.343,13.50513,0.0,0.0,125.0,42.02487,0.00012,0.45,1.982,-1.0,0.214772,90.97893300010239,0.6057937254901962,68301.03272618921,0.2665792182848132,0.24515566294392277,0.25444157125301436,50.61306781533324,0.16655574392015307,5.756703317901234,0.19136264865649213,0.17968189369391668,5.499651568415148,83.72107636984221,0.19729087116591848,559.3667789735601,0.204931172460352,0.20396452902771303,35864.91786648014,89.84050413066258,0.22315212092235787,0.49198311345863743,6.279769480087975
4,204,72.4513,15.3357,65,27.4518,0,117,117,14,136,13,1.00927,74.06955,0.0,0.0,0.67857,4.338,13.30054,0.0,0.0,124.0,41.89499,0.00014,0.45,2.127,-1.0,0.210464,90.98663157725687,0.6061298039215686,68226.85826554998,0.2707609371078482,0.24580433804015572,0.2528332726028953,50.38336558400849,0.16243691467115862,5.2213059413580245,0.1914192323327462,0.18439788136977067,5.484400870321078,83.46433230959624,0.19907475043461323,557.4659115352881,0.2017364455164578,0.2030679385250883,35863.1055197101,85.84623379925225,0.22119934894788096,0.4919831134586376,5.295213508554993
5,205,72.1123,14.9339,64,28.6825,0,117,117,13,136,12,0.99718,73.68989,0.0,0.0,0.67857,4.329,13.19448,0.0,0.0,125.0,41.77337,0.00016,0.44,2.125,-1.0,0.243016,90.99159550833699,0.6057937254901962,68251.98217222879,0.2687741589286396,0.24435143459286102,0.2521326848478127,50.435781408239286,0.15951402489460398,4.758005401234568,0.19327252637071568,0.18557887146467994,5.5013181027873275,82.04940311052871,0.19868824156667494,555.5331194028271,0.20271558361251318,0.1995615712201264,35776.63969324795,87.98194879882816,0.22501913899586015,0.4919831134586366,6.0715886302250555
6,206,72.1724,14.9172,64,27.508,0,117,117,13,136,12,0.9848,73.74187,0.0,0.0,0.64286,4.331,12.85282,0.0,0.0,125.0,41.66168,0.00012,0.45,2.005,-1.0,0.253915,90.99858007133768,0.6045882352941176,68338.15706282548,0.26878985227436264,0.2412523226129924,0.2531095497076975,50.24852498372396,0.15767389390440933,4.381510416666667,0.19527407490975895,0.18577549482012973,5.55410694366027,81.42717325389134,0.19859937449522141,553.9764903764222,0.20085006463064276,0.20014695848506187,35842.45218065467,90.30867846169602,0.22364532190774977,0.4919831134586358,5.536147994476351
7,207,71.913,15.2885,64,26.5372,0,117,117,13,136,12,0.98604,73.48093,0.0,0.0,0.5,4.326,12.83511,0.0,0.0,126.0,41.50466,8e-05,0.44,2.296,-1.0,0.260727,91.01930242337036,0.6031643137254901,68232.07041545835,0.266831534163989,0.24017616881247017,0.25309393521577467,50.14239407763069,0.1556472334817568,4.075424382716049,0.19667386989601823,0.1868425163615796,5.508393581808498,81.24988485296686,0.19738006467050537,552.8506134126419,0.1988829805366358,0.20036375019492084,35382.05735781421,89.52677354710494,0.22197974358136086,0.4919831134586357,6.314330194187972
8,208,72.1523,15.3753,64,25.2645,0,117,117,13,136,12,0.99397,73.6927,0.0,0.0,0.53571,4.335,13.15961,0.0,0.0,126.0,41.34849,0.00013,0.46,2.349,0.16834,0.268404,90.96234650680611,0.6028607843137255,68457.64196206121,0.26549819485521176,0.23894792410979881,0.25280536310985424,50.030238963939524,0.1529228905795646,4.121141975308642,0.19839911037444066,0.1878814947190943,5.540191181904044,81.3880246219897,0.197369837672881,552.1051997212294,0.2002453466210486,0.20190743537557712,35865.87135308155,87.16496301643784,0.2154256588812955,0.49198311345863716,5.556185007598102
9,209,72.1097,15.2184,64,26.5563,0,117,117,13,136,12,0.99312,73.61337,0.0,0.0,1.25,4.321,13.23232,0.0,0.0,126.0,41.14153,9e-05,0.45,2.534,-1.0,0.288876,90.94765800147522,0.6010913725490196,68459.49592912513,0.2643570238389124,0.23846677067786998,0.253582517333792,49.869583318262926,0.15183902498665633,4.279417438271605,0.20017561220020003,0.18983712028210797,5.5627070145739035,81.95505266439596,0.19609932289894816,551.7031987952607,0.19639667063866098,0.20227303928288098,36030.62843081675,89.91233348604672,0.21318869174296656,0.49198311345863593,4.673240407164887
