,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,staticness,cubrow.0,cubcol.0.3,cubrow.0.5,cubcol.0,cubrow.0.3,cubcol.0.6,saturation,uhdhdsim,cubcol.1.0,noise,color_fulness,temporal,blockiness,movement,tone,fft,cubrow.1.0,blur,cubcol.0.5,contrast,cubrow.0.6
0,300,67.1967,22.2677,43,0.0,0,120,119,11,133,13,0.99583,62.04419,0.0,0.0,0.57143,4.473,0.0,0.0,0.0,119.0,34.02576,0.00065,0.47,7.189,0.0,0.315724,445.0940514635557,0.22787174033038157,0.12412167519671485,0.1855425610048697,0.04531972078985813,0.04102517729579032,0.255930190366531,42.01356355643567,84.51615272898147,0.13063524652658207,0.44676060715195226,79.01171414660816,0.0,3.004481856215485,0.0,0.49368433333333317,75826.95754697993,0.0671760922158778,45835.26517734549,0.30258232950637337,84.1738390948722,0.3811952582959074
1,301,73.5387,21.7068,47,44.3404,0,120,119,11,133,13,0.96782,67.93038,0.0,0.0,1.42857,3.927,19.10849,0.0,0.0,121.0,34.28404,0.00134,0.46,5.954,-1.0,0.299104,438.9993821550001,0.19888804168157018,0.09999777415158455,0.1534448573617515,0.041139838018791404,0.03562098612667963,0.21419378429036778,41.98769519947193,83.02698295328847,0.12067858519945304,0.45503690021748205,79.70314037998588,5.2674091009557324,3.3796555785442957,9.382282021604938,0.4959086274509803,76410.39215383092,0.059336262935755245,57908.21158287381,0.23822100489995093,86.6072241775764,0.27351201415355053
2,302,79.9848,20.4787,51,42.8945,0,120,119,12,133,14,0.93019,73.81439,0.0,0.0,2.25,3.384,18.62917,0.0,0.0,115.0,34.61496,0.00181,0.45,6.637,-1.0,0.290801,434.2294445805959,0.1929064139587523,0.10417828398490227,0.15327985642812694,0.04210284596623649,0.036171886951352795,0.20267605241285122,42.04992958351418,81.66717823181799,0.12113896141350923,0.46715423426206804,80.23784325718626,5.064724575377634,5.653186887507457,7.502266589506172,0.4989949019607842,78029.27110329109,0.057220914848795865,74248.21056513615,0.23925719495913686,85.51618416016458,0.24135388830308008
3,303,84.1364,19.0105,54,36.9312,0,120,119,12,133,14,1.00463,77.58735,0.0,0.0,0.96429,3.108,17.57634,0.0,0.0,114.0,34.82729,0.00185,0.45,6.756,-1.0,0.262681,430.207009076767,0.1946301367169073,0.1183466874209268,0.1561791974891562,0.042206197915254755,0.03895740569974185,0.20876957703357632,42.01559316376109,80.69110792991276,0.12280082424896753,0.4776481533708197,80.98660320433838,4.885747425561273,5.461094555523126,5.765673225308642,0.5019865294117647,79744.54229803334,0.0564813963344184,83534.87738285169,0.2449028676387371,88.6754178616687,0.21855933580441325
4,304,86.14,17.8662,56,33.1218,0,120,119,12,133,14,0.96016,79.4528,0.0,0.0,1.75,2.993,16.31816,0.0,0.0,115.0,34.99321,0.00222,0.44,7.517,-1.0,0.286704,427.14936522239896,0.19693414966303716,0.13211415401829885,0.16291598876025043,0.04309518366180144,0.03989415816315484,0.21050351571469506,42.080982161156925,80.12952631815766,0.13019055965343582,0.483706820393112,81.26581776222503,4.762293440996515,5.689816377318249,4.96826774691358,0.5059559607843136,80428.48438862078,0.05601210674498801,87689.44780907039,0.25202597189818304,83.98942523765564,0.2077986349302691
5,305,87.2106,17.7074,56,29.8467,0,120,119,12,133,14,1.00978,80.46831,0.0,0.0,1.03571,2.868,15.33861,0.0,0.0,115.0,35.13746,0.00297,0.45,8.095,-1.0,0.291772,424.7775912443915,0.19881618764172457,0.14424554835231976,0.16399616911661444,0.043277248577012394,0.03955632883561762,0.21516178122656843,41.999767915702165,79.8138561358389,0.13110998675898514,0.48976548741539955,81.90374409713813,4.669282638701828,5.890070320123087,4.500916280864198,0.5113776470588235,80245.33164508016,0.05604019828989217,91639.6648334535,0.2611802708875267,87.02481379674249,0.19956964596738005
6,306,86.9455,18.1493,56,28.0742,0,120,119,12,133,14,1.01246,80.25842,0.0,0.0,1.46429,2.859,15.20121,0.0,0.0,115.0,35.25251,0.00312,0.44,8.446,-1.0,0.283599,422.69436174962107,0.19868651916589017,0.14819853131811533,0.1646520094130795,0.0436596563639227,0.039481869738566835,0.21957431917108808,41.944329344196085,79.8287993905232,0.13640971974560842,0.4897654874154056,83.03449660673776,4.5301916246579905,6.28308085226987,4.433545524691358,0.512046274509804,79944.01404191389,0.055334769827179026,90369.66707047114,0.26693159110348874,86.90530484194176,0.19552227381391732
7,307,86.1,19.2355,56,27.694,0,119,119,12,133,14,1.00526,79.54486,0.0,0.0,1.96429,2.868,15.58369,0.0,0.0,115.0,35.42863,0.00321,0.43,8.269,-1.0,0.289236,420.7305170524599,0.19625035390602028,0.1500626896290949,0.16629059687341186,0.04444208576818844,0.039881713562146565,0.22256561280522086,41.95584351339458,79.86167310936621,0.14370657113287333,0.49198311345863566,83.3712786040165,4.413286089033008,5.6380697783295615,4.627411265432099,0.5173317647058824,79624.42512933242,0.05527564404686993,86364.77498254729,0.27802335679370405,86.75849414704535,0.19849636948212868
8,308,85.4485,19.6695,55,26.2032,0,119,119,12,133,14,1.03149,78.96228,0.0,0.0,2.14286,2.881,16.51563,0.0,0.0,114.0,35.48725,0.00314,0.43,8.299,0.15252,0.285987,418.8966008966868,0.19312466937974906,0.15634873061589669,0.16682296353415316,0.04482922696861077,0.04053517130288448,0.2258222220052614,42.0420841169946,79.83067550818649,0.14774970756076916,0.49582415443769595,83.94818524920139,4.423551514221485,3.3611066730864247,4.984760802469136,0.5197047058823527,79212.39301319118,0.055061359239955136,84688.10272044547,0.29067114541739636,87.19183762903288,0.2025820559719122
9,309,85.3878,19.9633,55,27.9408,0,119,119,12,133,15,1.01805,78.90228,0.0,0.0,2.67857,2.859,16.89073,0.0,0.0,115.0,35.49553,0.00304,0.44,8.249,-1.0,0.276179,417.13086231305954,0.19217286273392548,0.1612032508444097,0.1676330473108661,0.045495886716122105,0.04110628537497571,0.23145469985195186,42.14740480022666,79.82337488678469,0.15103547207232304,0.4980417804809248,84.44338751973702,4.4628796264503015,4.977797181564036,5.113859953703703,0.5168847058823529,79159.79368037976,0.055144525191261444,85617.64955248791,0.30290907703967335,85.92559112331838,0.20139950250775185
