,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,noise,blockiness,staticness,cubrow.0.5,blur,cubcol.0,tone,uhdhdsim,cubcol.0.5,cubrow.0.3,cubcol.0.6,movement,cubrow.0.6,cubrow.1.0,contrast,temporal,fft,cubcol.0.3,cubcol.1.0,saturation,color_fulness
0,100,59.4001,19.5601,45,0.0,0,116,122,12,133,12,1.00399,63.59915,0.0,0.0,1.28571,4.512,0.0,0.0,0.0,126.0,40.62961,0.00034,1.34,1.461,0.0,0.0,0.1324207575350711,0.5454819128308451,2.531744527805254,594.2034135195076,0.20663129870715585,24223.08092934934,0.28539962179629813,0.6145341176470587,92.4481327277391,0.12332861769053145,0.2471081550118911,0.13743732439487574,0.0,0.22509225678774814,0.17328543900104537,85.69105152929357,0.0,66546.55540270067,0.2881804119567371,0.1609475369319361,32.40767189308449,107.01778780020611
1,101,60.5437,19.4188,45,22.4606,0,116,122,12,133,12,1.00198,64.66839,0.0,0.0,2.28571,4.508,16.79812,0.0,0.0,126.0,40.8726,0.00037,1.35,1.567,-1.0,0.0,0.12887183311363445,0.5454819128308476,3.6827948979737797,584.4615956315776,0.20316395931200312,25392.629580377747,0.22838911823014432,0.618884705882353,92.16999802904098,0.11532555682674463,0.23570134977748342,0.11897769988697955,11.012876157407407,0.20173566753687774,0.15227718474420515,88.7491917474052,6.3168013143650965,66613.18893031233,0.22251667818047569,0.15749123308046917,32.4749232162664,107.8229278107361
2,102,61.0266,19.6918,45,23.166,0,116,122,12,133,12,1.00407,65.18271,0.0,0.0,1.32143,4.466,16.67567,0.0,0.0,126.0,41.11555,0.00047,1.35,1.529,-1.0,0.0,0.1276287657444254,0.5454819128308467,2.8800344867226038,575.8493915730738,0.20169304534411253,25679.96303009576,0.21276167556587366,0.6243529411764706,92.11082431286883,0.12114339674441875,0.23371155935395832,0.11476090260001709,9.576003086419753,0.196197659405677,0.1510809846516648,86.55821467752745,6.2755175329266635,66504.7808029713,0.18965796794413461,0.15776963579947711,32.45125042950666,107.54387208695677
3,103,60.8522,19.857,46,22.1032,0,116,122,12,133,12,0.99737,65.03582,0.0,0.0,1.46429,4.443,16.90944,0.0,0.0,126.0,41.24049,0.00029,1.34,1.457,-1.0,0.0,0.12664293976634952,0.5454819128308483,4.728395642786875,567.767278235673,0.2018992530489549,25483.277091106316,0.20296983800523066,0.6290735882352917,92.27830319447206,0.11728136643924879,0.23356612298325763,0.11704071964398426,8.673466435185185,0.1959899632584608,0.1570008859885471,87.4437453962329,6.2996443984819575,66446.17628803856,0.1754147892071472,0.1583636194634835,32.36357700677566,106.99072060113895
4,104,60.5836,20.1589,46,23.6746,0,116,122,12,133,12,1.00064,64.78803,0.0,0.0,1.28571,4.476,17.04691,0.0,0.0,126.0,41.33233,0.00022,1.36,1.503,-1.0,0.0,0.12556910797340898,0.5454819128308411,3.0645951009480545,560.3629821725468,0.20269825285581844,25576.775359939355,0.19996985901707526,0.6320133333333333,92.58774600459299,0.11800118182145171,0.2339921233312523,0.11641071881661211,8.305893132716049,0.19775844405690138,0.16131546664301527,89.65365802323026,6.3317492765003704,66475.2103008465,0.1752207924381987,0.15929491777930338,32.247752248505016,107.66815221855238
5,105,60.5053,19.9443,46,23.9375,0,116,122,12,133,12,1.00102,64.6976,0.0,0.0,1.32143,4.442,17.30836,0.0,0.0,126.0,41.64245,0.0001,1.35,1.499,-1.0,0.0,0.1252059529082316,0.5454819128308435,3.8729501447617727,553.5076375907836,0.20332292349646347,25945.71986530721,0.19740562666841086,0.636593607843137,92.80911860123867,0.12071098577771303,0.23403453339820204,0.13155233966737254,7.700520833333333,0.19989398000279995,0.16276027035639953,86.42816278928788,6.367377445316196,66733.09099575326,0.17702396799040823,0.15967065196773977,32.25642168963397,107.37311128877148
6,106,60.645,19.4049,46,23.8711,0,116,122,12,133,12,1.00703,64.75519,0.0,0.0,2.64286,4.466,17.12605,0.0,0.0,126.0,42.00018,8e-05,1.34,1.451,-1.0,0.0,0.12515594300961244,0.5454819128308416,2.7242921911762026,546.9585498193131,0.20466658851336814,26169.601316987955,0.19469561708534372,0.6436054901960784,92.88527844435337,0.12190206909440005,0.23506549433082705,0.14173529398911375,7.271942515432099,0.20186444929979186,0.16469868063266485,88.58925218954104,6.337544236499536,66890.50346260799,0.19110802441208968,0.16009111503930598,32.17624862105758,107.10645378847929
7,107,60.8352,19.2519,46,22.6664,0,116,122,12,133,12,1.00525,64.79774,0.0,0.0,3.39286,4.469,16.66391,0.0,0.0,126.0,42.24485,8e-05,1.35,1.448,-1.0,0.0,0.12478953384894839,0.5454819128308412,2.883877433681718,540.6899260362885,0.2063585403224875,26432.60421577275,0.1896400272600444,0.6484266666666667,92.92876106970081,0.12164504148765186,0.23302971120031918,0.14106636118840798,6.790798611111111,0.20233105326151335,0.16350059860984947,86.78627025590114,6.275247859101538,66673.26498899903,0.20541754017647879,0.16113210124958222,32.14018117645641,107.17794654163573
8,108,61.435,18.9092,46,22.1206,0,115,122,12,133,12,1.00465,65.18261,0.0,0.0,5.25,4.457,16.53119,0.0,0.0,126.0,42.53937,8e-05,1.35,1.418,0.12706,0.0,0.1242233988644061,0.5416408718517851,3.377323942771705,534.5628740493045,0.207985197601546,27489.230036999226,0.18367382658322007,0.6546356862745097,92.91078654519723,0.11873795306590228,0.23173746518799157,0.14034336873344996,6.5327932098765435,0.2026542378475228,0.16330103269131194,88.97484255166017,6.267498664746797,66956.44312834524,0.21649134465477343,0.16134688369295727,32.28680363407842,106.04861507923493
9,109,61.7753,18.8662,46,22.3163,0,115,122,12,132,12,1.00669,65.40975,0.0,0.0,3.89286,4.443,16.23826,0.0,0.0,126.0,42.77436,6e-05,1.62,1.474,-1.0,0.0,0.1231689283906194,0.5416408718517841,3.1241995105071543,528.5547022841484,0.20920354953174242,28144.388203055045,0.18028251613416657,0.6626180392156863,92.89602028100546,0.11599986345130645,0.2299643706876765,0.133430785352426,6.156201774691358,0.20308300961780862,0.1621588256928404,90.0278637260152,6.257653441558602,66948.35690548272,0.22242378537276145,0.1616999158186357,32.46919288164304,105.91280511462135
