,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0,noise,cubrow.0.6,uhdhdsim,fft,contrast,temporal,blur,cubcol.0.5,cubrow.0.5,cubrow.0.3,cubcol.0.3,cubcol.0.6,staticness,blockiness,saturation,cubrow.0,cubcol.1.0,cubrow.1.0,tone,movement,color_fulness
0,100,57.1816,18.0481,35,0.0,0,115,122,6,133,8,1.01405,56.18679,0.0,0.0,1.03571,4.566,0.0,0.0,0.0,124.0,40.03341,0.00085,0.31,2.481,0.0,1.621394,0.26208107427863825,0.33754538236429377,0.20014780563420145,93.27139497808182,65406.64276650669,87.72451889709195,0.0,19850.196486436373,0.09584251413772255,0.17621077772443802,0.2214500812893858,0.23556338927765136,0.11179740012248342,586.4483720929665,4.240373001135065,33.06622163749036,0.12154642601618378,0.15085749836745743,0.15349274489491968,0.603190588235294,0.0,108.94807337869723
1,101,58.3395,17.9301,35,23.181,0,115,122,6,133,8,1.01231,57.289,0.0,0.0,1.92857,4.522,15.49312,0.0,0.0,125.0,40.28217,0.00089,0.32,2.635,-1.0,1.603232,0.20951088503661014,0.33532775632107265,0.17915693260222523,92.99677314248747,65431.12110422204,86.53691411249362,5.411739984085506,20897.191793691887,0.0914037401395118,0.17368254447570342,0.2092478135402444,0.19034112884891644,0.10266989885493412,577.8842492829526,2.8856645081581638,33.18472836341387,0.12007761380334563,0.14677876415747698,0.13159978234953462,0.6073501960784313,9.598234953703704,109.88288179079261
2,102,58.8313,18.2315,36,23.9914,0,115,122,6,133,8,1.01574,57.83157,0.0,0.0,0.82143,4.476,15.38841,0.0,0.0,125.0,40.52517,0.0009,0.32,2.829,-1.0,1.553728,0.19552150061621862,0.33754538236429715,0.1735410656523424,92.90888443096617,65407.71911238135,86.9729456226175,5.369217763245042,21127.37428549954,0.09839671970494976,0.17180988111962062,0.20720797494705548,0.1611391305129263,0.10000360899540252,569.8216400179006,4.47440016809341,33.13980837221499,0.11930117284707498,0.1473356076194418,0.13619296101274095,0.6122101960784314,8.783564814814815,109.58871467992526
3,103,58.5547,18.3893,36,22.7543,0,115,122,7,133,8,1.00423,57.6122,0.0,0.0,1.42857,4.485,15.65208,0.0,0.0,125.0,40.65266,0.00083,0.32,2.284,-1.0,1.544756,0.18613586039490845,0.33754538236429904,0.17296176996733456,93.03860399807277,65227.285193810516,88.66604137039855,5.418389238208012,20809.843372988013,0.09590225410270375,0.17204057564312858,0.20717659915251854,0.14965711958904296,0.10332972035909162,562.0092784428292,5.167371670382896,33.01592565465856,0.11911657332931955,0.14797605126972638,0.14070249672169916,0.6167768627450981,8.082127700617283,108.56792930161569
4,104,58.216,18.6807,36,24.5863,0,115,122,7,132,8,1.00788,57.32932,0.0,0.0,1.85714,4.496,15.78087,0.0,0.0,125.0,40.74696,0.00049,0.31,2.398,-1.0,1.496645,0.184953855672789,0.33148671534201707,0.17440119541903001,93.36756668371835,65290.35312940908,89.10701406201579,5.482117085154194,20860.86434372423,0.09733616406614315,0.1726211500946489,0.20776079798089708,0.1490569540553852,0.10400438627763804,554.7428828844173,4.135734961214434,32.881824446313175,0.11821287855204334,0.14846609494708737,0.1442848271569495,0.6211921568627452,7.824315200617284,109.80521504800271
5,105,58.0869,18.4251,36,24.889,0,115,122,7,132,8,1.01021,57.17042,0.0,0.0,2.03571,4.466,16.03077,0.0,0.0,125.0,41.05699,0.00035,0.32,2.313,-1.0,1.492818,0.18224071582415605,0.3353277563210734,0.17610898482459578,93.60154956371382,65570.00764677743,88.7343358311416,5.529656907709131,21176.555999054795,0.09938552276039848,0.1730567534452518,0.20807218871839242,0.15188994791701338,0.12001524677152499,547.9781744525307,4.051136328275865,32.892669677734375,0.11828219538902814,0.14812534086446655,0.145880255378971,0.6260749019607843,7.25853587962963,109.56043798117283
6,106,58.2329,17.8735,36,24.5233,0,115,122,6,132,8,1.01478,57.22698,0.0,0.0,3.60714,4.448,15.81394,0.0,0.0,125.0,41.41361,0.00013,0.31,2.473,-1.0,1.456009,0.17991415940113384,0.3375453823642957,0.17824585282564184,93.67110854901185,65697.12874721465,89.2154286050371,5.5106547505102315,21363.857329496183,0.10040284518970495,0.1744439198711946,0.20901663438789392,0.16383912497495443,0.13069137259977534,541.4673536646843,4.200124190332903,32.7768221254702,0.11787199684069499,0.14794691711425662,0.14791011581685967,0.632652156862745,6.988184799382716,109.17535302323422
7,107,58.5161,17.7665,36,23.0995,0,115,122,6,132,8,1.01188,57.38528,0.0,0.0,3.35714,4.487,15.34154,0.0,0.0,125.0,41.66126,0.0001,0.31,2.166,-1.0,1.475315,0.17532337383471822,0.3314867153420127,0.17843637377832477,93.72856570328258,65531.968259278496,88.50130580593942,5.440756631432748,21680.921151302875,0.09956529914041107,0.1760836447387192,0.20673688318530947,0.17822892402520588,0.13074648950284626,535.2301915128068,2.747733044571033,32.73734236352237,0.11733528560209773,0.14817518698397056,0.14783594567875608,0.6379796078431375,6.561390817901234,109.55314329227976
8,108,59.226,17.4449,36,22.7349,0,115,122,6,132,8,1.01174,57.9186,0.0,0.0,5.0,4.439,15.24932,0.0,0.0,125.0,41.96712,0.00015,0.32,2.437,0.40136,1.435219,0.17014108000800182,0.3353277563210692,0.1788739225610074,93.68411295892156,65843.04463926103,93.11442535668532,5.428456349860003,22733.093961088805,0.09612627455867338,0.17777021348936964,0.20522227404617924,0.1899556375540039,0.12938545146394015,529.1248748986372,2.5674071831818357,32.89441520785108,0.1165037525609858,0.14776348867707678,0.14854839415067797,0.6432850980392157,6.263888888888889,108.310074447843
9,109,59.6022,17.4214,36,22.9325,0,114,122,6,132,8,1.01517,58.21475,0.0,0.0,4.35714,4.444,14.97604,0.0,0.0,125.0,42.20699,0.00012,0.31,2.434,-1.0,1.40741,0.16710395669960135,0.3314867153420114,0.17928414778732354,93.65065944949006,65832.26983881374,87.70154511103966,5.402742862045609,23440.323799989936,0.09348268405947856,0.1788196088696394,0.20356859411129608,0.19645489111553305,0.12302026862316318,523.1302223858681,2.4753344870798877,33.044534942250195,0.11550635949241216,0.1473091543584884,0.14736590627154186,0.6520886274509804,5.896846064814815,108.39830007710646
