,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.6,temporal,contrast,saturation,blur,cubrow.0.3,cubcol.0.3,cubcol.0,cubrow.0.5,blockiness,fft,noise,cubcol.1.0,color_fulness,tone,uhdhdsim,cubrow.0,cubcol.0.5,cubcol.0.6,movement,cubrow.1.0,staticness
0,300,42.5214,23.8831,34,0.0,0,109,123,11,131,9,0.99219,45.2012,0.0,0.0,2.75,8.996,0.0,0.0,0.0,126.0,37.28214,0.00035,1.33,1.555,0.0,0.0,0.11403683968044902,0.0,86.5207951880949,31.358683079849055,13017.85710671926,0.13534078538885902,0.10261524705712419,0.19762542644560205,0.1107216604207933,3.2689566197007385,64363.1504305784,0.4919831134586432,0.15297091748637007,87.74975096412017,0.541675294117647,95.52632747290562,0.08468690842379421,0.07336126040351369,0.1757215889469392,0.0,0.10460607055775621,329.25489491283327
1,301,42.593,23.8557,34,26.9605,0,109,123,11,131,9,0.99039,45.19592,0.0,0.0,2.75,9.073,20.50995,0.0,0.0,126.0,37.28763,0.00026,1.32,1.516,-1.0,2e-06,0.08238652191713063,7.379792561604615,88.58289504723442,31.374073923369984,13198.087263394118,0.10398700872942149,0.08742747554806735,0.15903074240671228,0.08165576978460112,3.132207586423535,64367.122836105606,0.4942007395018691,0.12091389538471603,88.44948499176108,0.542753725490196,95.67383103193367,0.06238455073819546,0.07368048525172163,0.15421773981316894,20.06322337962963,0.08546419073864275,320.9242672476844
2,302,42.8902,23.8351,34,27.7671,0,109,123,12,131,9,0.98816,45.42045,0.0,0.0,2.35714,9.084,20.48629,0.0,0.0,126.0,37.41168,0.00023,1.32,1.67,-1.0,0.0,0.07466145604656317,7.358134913278376,88.65433904321806,31.53770880051601,13483.741411464725,0.09586723609577277,0.08059420044127455,0.1585202260310443,0.0741882467637197,2.7821173518634312,64568.44440496802,0.4919831134586416,0.12219161706641347,87.87941603574455,0.5455682352941177,95.70708856201645,0.05588584267338232,0.07317085476275217,0.14949374876877491,17.18094135802469,0.07953731241737667,314.43929406749703
3,303,43.0014,23.7753,34,27.7273,0,109,123,11,131,9,0.99275,45.49351,0.0,0.0,2.71429,9.061,20.4638,0.0,0.0,126.0,37.44748,0.00023,1.32,1.684,-1.0,1e-06,0.07024556628110269,7.352728116655671,89.50758869037254,31.46584913465712,13580.239697041574,0.09165921078841388,0.07410593909669408,0.15473852881931435,0.07010742130810917,2.46101509473436,64635.98487287197,0.49420073950187177,0.1220794138924286,87.16496448563176,0.5467435294117647,95.71076413168291,0.052889068276072065,0.06729802705397908,0.14443388771932494,14.984326774691358,0.07338260037141774,308.5412722706526
4,304,43.0032,23.7481,34,25.231,0,109,123,11,131,9,0.99835,45.50916,0.0,0.0,3.53571,9.003,20.41681,0.0,0.0,126.0,37.44722,0.00022,1.32,1.599,-1.0,2e-06,0.06830941903674037,7.349674849247448,89.31682385315338,31.53500987865307,13545.33817032521,0.08866372946257468,0.07257143261664176,0.150320456758871,0.06744679708566557,3.376065808353344,64699.22936719688,0.4964183655450964,0.1234649954459674,88.18432600997798,0.5481117647058824,95.7567950817089,0.05038192792837736,0.0626205211919573,0.1376817492489353,13.326822916666666,0.06933026654675052,303.43830158060257
5,305,43.1282,23.727,34,26.816,0,109,123,11,131,9,1.00076,45.64294,0.0,0.0,2.57143,8.966,20.39582,0.0,0.0,126.0,37.54604,0.00024,1.33,1.612,-1.0,0.0,0.06862971109096659,7.353844683959709,86.31311137064253,31.66695997450087,13596.035366912387,0.08657765871456545,0.0701993826014811,0.15016345838473605,0.06540454662460943,3.74309084328199,64707.25643336507,0.49641836554509383,0.12302190796590054,87.69246022920039,0.550596862745098,95.6651758109935,0.04908694736441773,0.061116500734977104,0.13007086313697264,12.01808449074074,0.06697574612886892,299.13012937086353
6,306,43.4088,23.6077,34,29.0603,0,109,123,11,131,9,0.99531,45.93836,0.0,0.0,2.75,8.902,20.37714,0.0,0.0,126.0,37.58253,0.00026,1.32,1.615,-1.0,0.0,0.06748339575778974,7.345365946017641,89.72502320878203,31.525021588360826,13885.831804467396,0.08573489572469278,0.0689275611291988,0.15224789532205346,0.06383058012387728,3.6245673665719136,64686.14160219925,0.4919831134586452,0.12027528212969367,88.27686214309117,0.5519372549019592,95.52607457203253,0.04824505661947776,0.059155745975663226,0.1263035882559594,10.935233410493828,0.06414544995211988,295.1434399764538
7,307,43.7041,23.5382,34,26.1085,0,109,123,11,131,9,0.99744,46.21889,0.0,0.0,3.17857,8.781,20.27533,0.0,0.0,126.0,37.58481,0.00027,1.33,1.646,-1.0,0.0,0.06530953139205589,7.343030828983441,86.20595972698652,31.552447660469713,14189.63828096412,0.0850768003551931,0.06837529359450484,0.15082839645016236,0.06247980254325701,1.9160592800083271,64832.57143894418,0.4964183655450924,0.11601488246117006,89.08290087307778,0.5530066666666668,95.34311424154596,0.04736596682324367,0.05840367212628375,0.12425406140640743,9.899836033950617,0.06261346462118557,291.4909215859551
8,308,43.9008,23.4876,35,25.1153,0,109,123,11,131,9,0.99263,46.39201,0.0,0.0,2.64286,8.732,20.21546,0.0,0.0,126.0,37.74162,0.00028,1.32,1.676,0.13439,0.0,0.06413124594874209,7.337242651437953,91.70053252535226,31.55144434799383,14316.64874670862,0.08392884966074705,0.06942654132212493,0.15384296085279292,0.061476433463605845,3.3012244580990195,64910.62696050023,0.4964183655450978,0.11568526828561418,89.22309844440417,0.5558963921568616,95.18411703479936,0.047122568392205105,0.05851166578314143,0.11894090723503488,9.049527391975309,0.06119940174428372,288.2667565956305
9,309,44.0485,23.5194,35,26.733,0,109,123,11,131,9,0.99766,46.53054,0.0,0.0,2.17857,8.632,20.17592,0.0,0.0,126.0,37.80142,0.00029,1.33,1.685,-1.0,0.0,0.06300662622952986,7.330554755150616,91.2835441514189,31.34576943479938,14429.706121424755,0.08319752678137536,0.07025531870833729,0.15828527207130852,0.0604667123695249,3.6007183479891207,64841.21459571015,0.49420073950187177,0.1150551732951553,89.50380170307831,0.5578764705882353,95.12170364326238,0.04628461407884101,0.06676740749981734,0.11941069661353695,8.45949074074074,0.060450149395312285,285.0913856397099
10,310,44.1096,23.5882,35,28.3802,0,109,123,11,131,9,0.99764,46.61417,0.0,0.0,1.25,8.563,20.20105,0.0,0.0,126.0,37.7841,0.00019,1.33,1.849,-1.0,0.0,0.06244805935334773,7.350858557187574,89.1361072103971,31.29520614058883,14399.793113656604,0.08277945900865151,0.07153243196674305,0.16495211153482486,0.05986803230311809,3.1182581310020074,65065.422810095195,0.4942007395018701,0.11549381542372078,89.80260435248309,0.559646274509804,94.95005882684418,0.04587867808875662,0.07379615668170958,0.12020214048170266,11.32349537037037,0.06045301862108294,282.09259313656185
11,311,44.2366,23.6512,35,26.2268,0,109,123,11,131,9,0.99611,46.76155,0.0,0.0,1.42857,8.458,20.25963,0.0,0.0,126.0,37.89877,0.00025,1.33,1.844,-1.0,8e-06,0.0621021708344718,7.346951878384136,91.2618166506225,31.430860354576584,14489.4505136904,0.0824318018043926,0.07315148479477476,0.16991958431290627,0.05921711080238593,4.0656403899233835,65115.689221268854,0.49420073950187504,0.11451493919985685,90.29670293652111,0.5616156862745099,94.91580815435466,0.04541727010304828,0.08082502246062231,0.11967690530295375,12.479166666666666,0.06021994838536073,279.2804416356661
12,312,44.2695,23.6756,35,25.9722,0,109,123,11,131,9,0.99438,46.82628,0.0,0.0,2.25,8.444,20.31124,0.0,0.0,126.0,37.92213,0.0002,1.31,1.735,-1.0,0.0,0.061620538229319906,7.3505968213745225,91.55042228237936,31.140160643024213,14441.3001130377,0.0820388682440334,0.0745264214801846,0.17274495166546003,0.05879758394527101,2.85591770416377,65238.84241903963,0.49863599158832583,0.11488440953805006,89.38482322032279,0.5637008823529411,94.77362155501896,0.04513033370325059,0.08680329682779221,0.11804343275461701,11.71436149691358,0.0600413561702415,276.55909859250374
13,313,44.1689,23.674,35,27.6741,0,109,123,11,131,9,0.99387,46.76489,0.0,0.0,2.39286,8.51,20.33331,0.0,0.0,126.0,37.89617,0.00022,1.32,1.767,-1.0,1e-06,0.06151571723373916,7.35170389463021,90.40594134070639,31.25393940489969,14300.851722382562,0.0816711843658771,0.07430343983056784,0.17420828186805476,0.058610172944505774,3.3173107759710496,65132.62419461811,0.49641836554510094,0.1164218999516307,91.22960428566371,0.5650988235294118,94.74862461626296,0.04486523373076169,0.09265583749183687,0.11823816723172607,10.50294174382716,0.059423324902906305,273.9919521738144
14,314,44.1073,23.6665,35,26.8856,0,109,123,11,131,9,0.99088,46.69888,0.0,0.0,2.39286,8.572,20.32522,0.0,0.0,126.0,38.01778,0.00022,1.32,1.827,-1.0,0.0,0.061387383862034746,7.332598781252884,91.71971396608359,31.2690651976032,14149.29205997048,0.08143364002917061,0.07371434937270765,0.17492580072671743,0.05863141992887716,3.472396382099943,64947.20881273087,0.5002594065241509,0.1189757286880379,90.68182867497909,0.5675262745098039,94.69019304926768,0.04464220815484983,0.09740370211262843,0.11852350785023845,9.813850308641975,0.058634976185795516,271.73234321943255
