,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.1.0,cubcol.0.5,movement,fft,cubrow.0,cubcol.0.3,contrast,color_fulness,cubrow.0.3,cubrow.0.6,cubrow.0.5,blur,cubcol.0,cubrow.1.0,staticness,cubcol.0.6,tone,saturation,uhdhdsim,temporal,blockiness,noise
0,300,48.1936,3.10491,25,0.0,0,115,133,6,125,5,0.99722,44.2122,0.0,0.0,3.14286,5.182,0.0,0.0,0.0,128.0,53.91711,0.00014,0.0,0.977,0.0,8.427127,0.009921874228331046,0.16617308119734323,0.0,64988.701701061946,0.10547578893951517,0.03694314378619961,91.83397760627537,161.7836391358021,0.22368458168834382,0.12228711751635203,0.24690167580466985,19723.736376096458,0.009524911254064091,0.16896308395907575,610.8876350432264,0.1251270934468336,0.7661572549019608,33.83085877218364,93.05145749457041,0.0,2.163936602221715,0.2222714905543607
1,301,47.4476,3.07501,25,4.91871,0,115,133,6,125,5,1.00006,43.57541,0.0,0.0,3.75,5.303,2.62955,0.0,0.0,128.0,53.96003,0.00015,0.0,0.952,-1.0,8.350687,0.007923035817551386,0.15771827319524295,0.24445408950617284,64570.16380462979,0.1032429578453155,0.035753790241525876,91.3365056837994,161.6425548337465,0.2161262090221081,0.11906230402236885,0.24346214307508723,18405.71127720468,0.007506080161683268,0.1637227131807164,611.2159550470216,0.12348902460382162,0.765814117647059,33.89552099910783,93.23696390354124,2.3737636550791863,2.1607414628110533,0.22227149055436188
2,302,46.7561,3.11959,24,4.44992,0,115,133,6,125,5,0.99643,42.97541,0.0,0.0,3.32143,5.386,2.59795,0.0,0.0,128.0,53.94476,0.00013,0.0,0.997,-1.0,8.384231,0.0073929909863919285,0.15047981847083958,0.2470582561728395,64426.47682390753,0.10027095058312084,0.034852595207601644,88.19575128953528,161.7695234714059,0.2133309638476815,0.11908222408254145,0.24157626762119738,17408.48110393708,0.00702788516215447,0.16247584602182366,610.8274058136982,0.1276240550479923,0.7652337254901962,33.84696131576727,93.3634446096673,2.3525872487789448,2.2697092382518567,0.22227149055436154
3,303,47.3486,3.08424,24,4.62516,0,115,133,6,125,5,1.00244,43.46393,0.0,0.0,3.75,5.257,2.63924,0.0,0.0,128.0,54.01669,0.00013,0.0,0.981,-1.0,8.387392,0.006972070950936586,0.14665245303430088,0.24869791666666666,64815.46477676481,0.0993092508082644,0.03412877606780415,88.48650762224072,161.84871091647824,0.21245093382284913,0.11978583861582437,0.24136645687734046,18528.236467521267,0.00662058914453054,0.1628459639947144,611.1271826024863,0.13149107750326683,0.7658141176470588,33.88983191972898,93.32567416848349,2.3849793388537477,2.062524273964896,0.2222714905543602
4,304,48.2981,2.97146,25,5.06285,0,115,133,6,125,5,0.98317,44.28765,0.0,0.0,3.32143,5.141,2.60882,0.0,0.0,128.0,54.05191,0.00018,0.0,0.967,-1.0,8.484293,0.006728246566229674,0.14685160620961288,0.23900462962962962,65038.39974287157,0.10037101926816738,0.03317966036050088,90.57397693522735,161.38203658029474,0.21306059847364914,0.12125588849824152,0.24218594000614882,19907.39014835953,0.006410571771719897,0.16439658509578176,610.9480066560067,0.1353354315430596,0.765814117647059,33.929408885814524,93.0292266675082,2.4160964432097796,1.9536735661038394,0.2222714905543602
5,305,47.6189,2.88958,25,4.92761,0,115,133,6,125,5,0.97738,43.7031,0.0,0.0,3.28571,5.244,2.51539,0.0,0.0,128.0,54.0763,0.00015,0.0,0.98,-1.0,8.361886,0.006609539336732699,0.14994047362485005,0.2201485339506173,64682.29832294027,0.10056196855856886,0.03325925418698114,92.07650093095022,161.52233447661928,0.21277539813146715,0.12132778561839803,0.24199263587292666,18619.951224851462,0.006297071889720178,0.16513622785151186,611.0581833015109,0.13765711821231477,0.7658141176470588,33.870335708429785,93.15852410895224,2.393629186047487,1.986632956094235,0.2222714905543606
6,306,46.7301,2.91548,24,4.63399,0,115,133,6,125,5,0.98536,42.95194,0.0,0.0,3.10714,5.387,2.43988,0.0,0.0,128.0,54.08149,0.00012,0.0,1.018,-1.0,8.329071,0.006540598202183538,0.15325533803850044,0.20023148148148148,64363.65938015649,0.09994668286113235,0.0326070230928689,92.26274794139982,161.04877786990855,0.2117024077404963,0.12111225431809523,0.24082430875042746,17281.048171277005,0.006240025377775884,0.16596796934559213,610.9226015706977,0.13852918072672502,0.7652486274509804,33.960696938597124,93.38073171644616,2.3874315577956233,2.2960465931570804,0.22227149055436116
7,307,47.5259,2.80158,24,5.29592,0,115,133,6,125,5,0.98784,43.59815,0.0,0.0,3.28571,5.284,2.46199,0.0,0.0,128.0,54.13039,0.00015,0.0,0.944,-1.0,8.411576,0.0064932073001658435,0.15427657478080212,0.19106867283950618,64906.466927834255,0.09956766378504935,0.032293173074953406,90.26615299565569,161.53994310285978,0.21169892870287274,0.12132050853498105,0.24107848868191178,18913.18696335353,0.006256709516637215,0.16823001672531238,610.9908401944807,0.13974771385933357,0.7652486274509804,33.892630683051216,93.30795904068074,2.4061543658511453,2.500902406225003,0.22227149055436066
8,308,49.0291,2.72138,25,5.85724,0,115,133,6,125,5,0.98575,44.89914,0.0,0.0,3.53571,5.019,2.36097,0.0,0.0,128.0,54.16617,0.00015,0.0,0.995,0.48302,8.397258,0.006484158521887379,0.15404802077761062,0.1636284722222222,65321.92925706616,0.10017069613326818,0.03242958108091847,90.78936280846233,161.17855975033603,0.21242212649412354,0.12202830849652048,0.2418604166617068,21174.690459078694,0.006308343731329238,0.1695850224278141,610.8963691458628,0.14143993531419805,0.765546274509804,33.95766835153839,92.87270311428932,2.3851766146937408,2.6365578080873155,0.22227149055436093
9,309,48.0598,2.66119,25,5.61637,0,115,133,6,125,5,0.98627,44.08963,0.0,0.0,3.96429,5.184,2.29324,0.0,0.0,128.0,54.17241,0.0001,0.0,0.981,-1.0,8.341436,0.006572906163047541,0.1548556926779714,0.14260223765432098,64792.92134780314,0.10049840747032651,0.03261397222798579,89.90227069508248,161.90533878534129,0.21309287919113534,0.1221610282210439,0.24201237066397574,19286.84922414642,0.006230323435967088,0.16999096171396214,610.9169767844352,0.14220805431669167,0.7657634901960781,33.813962206428435,93.01865640797666,2.3820570443637323,2.247838509681985,0.2222714905543615
