,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,color_fulness,cubrow.0.5,cubrow.0.3,uhdhdsim,cubrow.0.6,noise,blur,temporal,cubcol.0,cubcol.1.0,staticness,fft,blockiness,cubcol.0.3,saturation,movement,cubcol.0.5,cubcol.0.6,cubrow.0,contrast,cubrow.1.0,tone
0,100,122.51,26.4723,145,0.0,0,115,129,20,125,15,1.00011,121.83222,0.0,0.0,1.14286,3.751,0.0,0.0,0.0,128.0,58.74178,0.00223,0.48,4.717,0.0,0.002792,147.0802307703472,0.4426537561300027,0.49305374105240674,80.37436767861882,0.48332772411570674,0.8482987079972165,194730.19853946278,0.0,0.27674833989319286,0.4359978066640324,237.44457189611288,83065.44549005658,2.429119198234396,0.5067966347251597,23.1884987913532,0.0,0.5645511060265536,0.48487836680011276,0.2335001775894398,94.97163183769834,0.44953150999593466,0.9018862745098041
1,101,122.38,25.9407,145,45.1474,0,115,129,20,125,15,0.99859,121.72231,0.0,0.0,1.07143,3.761,22.73246,0.0,0.0,128.0,58.72942,0.00232,0.48,4.662,-1.0,0.003094,147.21821772519667,0.4003213418813191,0.45234067844801945,80.40433572900285,0.4448800550128084,0.8472695041687843,194094.86177533405,5.537549582217247,0.25530953631510955,0.40185826117094187,234.5774131788395,83046.05256807747,2.0806468724096727,0.44535637104220377,23.193429640781734,13.020833333333334,0.4947821916271021,0.4394744265825193,0.21973815241624667,93.40122312739261,0.4153817919305426,0.9016482352941179
2,102,122.365,26.0888,146,45.0396,0,115,129,20,125,15,1.00731,121.75074,0.0,0.0,1.10714,3.749,22.27287,0.0,0.0,128.0,58.74668,0.002,0.49,5.786,-1.0,0.005549,147.24391255695656,0.3878658295523012,0.43741949370334104,80.3723193343888,0.43581537764158207,0.8499221229330519,193569.9384790964,5.417525513583597,0.252991543007277,0.3927384732019581,231.43983481242384,83162.32781011099,1.7992750208655002,0.4250276716755936,23.138904147677952,12.720389660493828,0.4700870134738267,0.42401708237835245,0.21613998370067783,93.99691542996797,0.40998564612705485,0.9013505882352943
3,103,122.762,26.5639,146,46.4862,0,115,129,20,125,15,1.00501,122.19226,0.0,0.0,0.75,3.731,22.40325,0.0,0.0,128.0,58.79942,0.00256,0.49,5.899,-1.0,0.003711,147.36014171330862,0.3766600557136272,0.4255234165242547,80.33844576041497,0.435128394784126,0.848733700718256,195500.6543519844,5.501078007663514,0.24955097079963376,0.3862957896655291,228.6820799315385,83067.21584912855,1.6771754348147228,0.4143699863890026,22.978462125048225,12.411361882716049,0.4610077188515544,0.418345295820166,0.21244094853985948,95.72707263428428,0.40770936299619104,0.9008454901960786
4,104,123.223,26.3458,147,44.6798,0,115,129,20,125,15,1.01538,122.59484,0.0,0.0,0.92857,3.735,22.81026,0.0,0.0,128.0,58.95607,0.00224,0.49,5.905,-1.0,0.005009,147.63241222182353,0.3699788332565932,0.41718448667176783,80.30415505451356,0.43901369435685594,0.8482987079972165,199036.05769942398,5.534986197757149,0.24736807371649447,0.37904710041955547,226.18884104084555,82952.94659655805,1.958533054292634,0.40869229531765816,22.903119499300733,12.113908179012345,0.4484090270565828,0.4155252207910529,0.2093649526776291,94.8639935204493,0.40693244109174503,0.9011054901960787
5,105,122.786,26.2168,146,44.3331,0,115,129,20,125,15,1.00388,122.18578,0.0,0.0,0.60714,3.742,22.62347,0.0,0.0,128.0,59.08963,0.0024,0.49,5.692,-1.0,0.004409,147.76530441694064,0.3628100473835524,0.4151042261677281,80.36555685062669,0.4448033389737515,0.8482987079972201,196124.73613293745,5.444145089913646,0.2456912789456003,0.3758336556409579,224.01043999959697,82957.8419477527,1.856613107313988,0.40287860351376176,23.00658765251254,11.437162422839506,0.440471293140707,0.41174885318099236,0.20679508179114356,95.74571315736819,0.4041906089163021,0.9013505882352943
6,106,122.774,26.3703,146,42.461,0,115,129,20,125,15,1.00882,122.15493,0.0,0.0,0.42857,3.726,22.51489,0.0,0.0,128.0,59.05925,0.00228,0.48,5.386,-1.0,0.002538,147.76370470803795,0.35610471450804587,0.41355628229617597,80.34343940144682,0.4468650700544904,0.8482987079972197,196896.38343653973,5.460575209897066,0.2457913598541615,0.37542277216324793,221.95482398802528,82983.52371040019,1.6908706832915463,0.39878284316867363,23.081936494803724,10.862847222222221,0.43564941926734213,0.40770249329351155,0.19911833934455853,93.38384465844216,0.40175323762971804,0.9013505882352943
7,107,122.546,26.839,146,44.8369,0,115,129,20,125,15,1.00517,122.02198,0.0,0.0,0.92857,3.739,22.6451,0.0,0.0,128.0,58.92152,0.00213,0.49,5.342,-1.0,0.004158,147.72704888799316,0.3520415989427388,0.4136034851194807,80.37857825256667,0.445174040542486,0.8499221229330519,194582.34444957352,5.458762028448433,0.2461525923933449,0.3761672647110904,219.93774774665948,82864.29188815597,1.8402606120794374,0.3963235432393051,23.19412777747637,10.374324845679013,0.4316783313371051,0.4058651399179841,0.19380997396646393,95.63790509484096,0.40178548376491896,0.9016858823529413
8,108,122.683,26.3819,147,46.4026,0,115,129,20,125,15,1.01164,122.23009,0.0,0.0,1.03571,3.737,23.0464,0.0,0.0,128.0,58.81046,0.00215,0.49,5.618,0.17425,0.003012,147.62383974807017,0.3488465835911405,0.4121023522392137,80.35031385472391,0.44586469248646166,0.8581984159985754,195132.7100921495,5.6220795030423405,0.24518272271707703,0.3754538264317069,217.9694058384452,83117.6031096978,2.697685676118878,0.3956012835916379,23.216357007438752,9.98341049382716,0.43270150299583193,0.4023150095278558,0.19126000147452651,94.91015290579372,0.40652223359451234,0.9018862745098041
9,109,122.764,26.4701,147,44.7762,0,115,129,20,125,15,1.01208,122.31016,0.0,0.0,1.03571,3.733,22.65308,0.0,0.0,128.0,58.76614,0.00212,0.49,5.489,-1.0,0.003978,147.64075950996505,0.3445062201132017,0.4105602619319095,80.35324323970563,0.4447569086091716,0.8581984159985767,195783.15289762677,5.580402351080839,0.2468365005312253,0.37776260564552305,216.12081153933642,83002.40556760579,1.9227324443494322,0.39478153649096487,23.237641699520157,9.254822530864198,0.43636179821773574,0.39938114170596356,0.18868416769730764,94.74708077979406,0.4096983481399505,0.9018862745098041
