,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,cubcol.0,cubrow.1.0,cubcol.0.5,cubrow.0.3,cubcol.0.3,staticness,cubrow.0.6,contrast,cubrow.0,blur,fft,cubrow.0.5,cubcol.0.6,movement,color_fulness,temporal,cubcol.1.0,uhdhdsim,saturation,tone,noise
0,400,48.2743,21.5672,33,0.0,0,118,113,14,137,15,0.99981,45.9172,0.0,0.0,4.0,5.218,0.0,0.0,0.0,128.0,28.27734,6e-05,0.47,1.498,0.0,0.495335,1.281117340494284,0.08439162284621918,0.10411165956156807,0.07426476351799967,0.2166624817226277,0.1267529636277093,582.3571423834042,0.09534558438593597,85.14136023768752,0.23962638900980984,18829.064094650777,66453.51010822528,0.11433437220313396,0.0791507558533131,0.0,85.38936165544558,0.0,0.10780050357547523,96.23261695335026,60.79826920120804,0.4127188235294118,0.38498551471422066
1,401,49.8174,20.3752,34,22.0754,0,119,113,14,137,15,0.99892,47.33687,0.0,0.0,4.10714,5.218,18.50938,0.0,0.0,128.0,28.47252,5e-05,0.47,1.564,-1.0,0.504997,1.0968878605834562,0.08376776044572772,0.09276351408264687,0.07481613823271632,0.20473972660887246,0.12554617167970566,566.9557718445975,0.09484863626399956,88.36093530436884,0.23756670333869304,20748.790799354418,66766.38908826027,0.09949119965986693,0.07794372279197036,10.490210262345679,84.31513162576536,4.766884940207705,0.10288809148045487,96.06795445688786,60.86985326696325,0.41759098039215686,0.3849855147142193
2,402,50.4781,20.686,34,19.2083,0,119,113,15,137,15,1.00512,47.922,0.0,0.0,5.14286,5.175,17.48906,0.0,0.0,127.0,28.44,1e-05,0.47,1.578,-1.0,0.526366,1.6411660983797927,0.08323311016706456,0.09018707478000113,0.07472989962756375,0.20603322472805985,0.12103742958030927,556.5567943807107,0.09410458179364549,90.35239264175635,0.23790163222897806,21684.1663059547,66877.73501541548,0.10226053159722713,0.07819555511506178,8.698640046296296,83.65974801393224,4.545977697546992,0.10285848853336374,96.02323840858895,60.81177247600791,0.4168181372549018,0.38498551471422005
3,403,50.8701,20.3222,34,17.8002,0,119,113,15,137,15,0.9989,48.3119,0.0,0.0,4.78571,5.181,17.752,0.0,0.0,128.0,28.23002,5e-05,0.47,1.534,-1.0,0.512089,1.7204937896407388,0.08262131523470038,0.08628164947971385,0.07365830312661945,0.2061031632523773,0.11966630561457052,549.278311681778,0.09376923026884075,84.8444912391975,0.23719751873660616,22091.13710976158,66996.43545169546,0.1030789455722172,0.07809977414460681,7.667052469135802,82.76895545104999,4.610128255917425,0.10241145285586725,95.91313681231577,61.06342287416812,0.40985411764705876,0.3872031407574495
4,404,50.9273,19.4834,34,16.0373,0,119,113,15,137,15,1.00118,48.32326,0.0,0.0,5.92857,5.154,17.43966,0.0,0.0,128.0,28.12093,3e-05,0.47,1.509,-1.0,0.519155,1.348311839738019,0.08218898230970392,0.08471780938445202,0.0727912717283896,0.20588027627594374,0.12139545660501665,542.2470168570505,0.0947819799326399,89.43314594347866,0.23688649703289208,22181.736272158694,66934.65413683208,0.10855966057961701,0.07843956670724839,7.219955632716049,82.28471531710588,4.508698689869263,0.10262806043577087,95.90001284570164,61.21164882330247,0.40356274509803924,0.3872031407574432
5,405,50.8331,19.5193,34,16.573,0,119,113,15,137,15,0.99927,48.20555,0.0,0.0,5.39286,5.194,16.71996,0.0,0.0,127.0,28.20032,7e-05,0.47,1.541,-1.0,0.529078,1.2220038499362238,0.08221903418569394,0.0872495215453488,0.07010412132698891,0.20585801890411312,0.12196786251759739,535.0626794174918,0.09750136801438794,88.28332957769595,0.2382897766220453,22007.768677954908,66920.34258454748,0.11106516650600053,0.07891682391219323,6.956983024691358,82.78139907418847,4.44991113449901,0.10291455009763628,95.95049220944261,61.26711433316454,0.40544549019607845,0.3849855147142227
6,406,50.9828,19.3411,35,18.1887,0,118,113,15,137,16,1.00017,48.39922,0.0,0.0,4.35714,5.147,16.75706,0.0,0.0,127.0,28.49699,5e-05,0.46,1.482,-1.0,0.515796,1.0823407465002581,0.0822318099627329,0.08643702823717798,0.0697219611400837,0.20595009281504195,0.12338808560263072,528.793835803304,0.09702710981746704,88.16819109785799,0.23764583755171145,22069.587515790365,66936.02400238805,0.11383807925957297,0.07923642667626934,6.393856095679013,84.1534633496097,4.4492462667086645,0.10297685385086813,95.95014641806607,61.281234929591044,0.417396862745098,0.3872031407574499
7,407,51.3636,19.2823,35,18.9351,0,118,113,15,137,16,1.00007,48.79207,0.0,0.0,5.53571,5.181,16.60289,0.0,0.0,127.0,28.80986,4e-05,0.47,1.55,-1.0,0.511267,1.3160463255611605,0.08264801780236197,0.08584239787734817,0.07216821663528934,0.20663098401182314,0.12435953108820554,523.56539594829,0.09602659723538386,87.13352488995348,0.23712067025085126,22184.502329537456,66953.42239600343,0.11711921310020451,0.07962777112759536,5.893904320987654,85.02466472353527,4.570929149906732,0.10267026091802797,95.90443955182221,61.1644620542173,0.4296725490196078,0.38720314075744766
8,408,51.4241,19.4641,35,19.3823,0,118,113,16,137,16,1.00016,48.86424,0.0,0.0,3.46429,5.232,16.5532,0.0,0.0,127.0,29.03273,5e-05,0.46,1.684,0.20936,0.511167,1.251203065160143,0.08274507774620377,0.0851468043772037,0.07191620362280872,0.20772723054065917,0.12428607307497119,519.1993520162385,0.09587395951364193,85.42269334360759,0.2360909159665971,22007.158367949043,66881.13322943314,0.11887857438415214,0.07970374962377651,5.880594135802469,85.9630776129535,4.492937326711698,0.10234790316879488,95.86218058942194,61.01614134988667,0.44048470588235294,0.38498551471422654
9,409,51.7515,19.9196,36,19.6123,0,118,113,16,137,16,0.99881,49.19621,0.0,0.0,3.82143,5.266,16.70887,0.0,0.0,127.0,29.20086,4e-05,0.47,1.708,-1.0,0.509194,1.639569864811152,0.08278582811540772,0.0852064825240663,0.07702540815209556,0.20806393556462013,0.12487569122704509,515.180919859501,0.0961677774978059,85.12317391147693,0.23516023836407177,22168.85901010991,66834.64030664912,0.12022257816742861,0.07931356553371587,5.851032021604938,87.04770317027537,4.601312851519849,0.10202737657460952,95.79477396248947,60.90419345431858,0.4503599803921568,0.3849855147142269
