,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,cubcol.0,fft,blur,cubcol.0.3,cubcol.0.6,cubcol.1.0,noise,cubcol.0.5,contrast,temporal,blockiness,uhdhdsim,cubrow.0,cubrow.1.0,movement,staticness,color_fulness,tone,cubrow.0.3,cubrow.0.6,saturation
0,300,42.4886,22.1885,25,0.0,0,108,122,6,130,6,0.98728,40.66829,0.0,0.0,4.28571,8.667,0.0,0.0,0.0,125.0,36.79686,0.00039,0.3,2.05,0.0,3.292991,0.0946738258660628,0.15923970991346573,63333.01448427367,11471.010756303489,0.09358822397460657,0.1531654479122521,0.13438808460421348,0.2735526638833404,0.05096599579007884,91.34759658264608,0.0,3.2995128805257936,96.71544122120166,0.060999980586057725,0.09521596906608037,0.0,318.6768901469772,90.96303860776605,0.5282588235294118,0.12433789309616139,0.09764690292382296,32.27672397943191
1,301,42.6256,22.1689,26,28.3059,0,108,122,6,130,5,0.98683,40.73191,0.0,0.0,4.57143,8.69,19.04295,0.0,0.0,125.0,36.80452,0.00042,0.3,1.787,-1.0,3.28669,0.07118717290705628,0.13794265526157884,63360.478324909775,11647.361084399648,0.07920267998677487,0.13619721584980204,0.10302922805155092,0.2735526638833392,0.05412657003251436,86.82643035152853,6.296965552836629,3.342964517774135,96.83125399648638,0.04489652241346254,0.07772960740729289,16.555989583333332,313.6515490584418,91.31934655910418,0.529589411764706,0.09803011334589565,0.07152427183594959,32.30512680242091
2,302,42.8946,22.1364,26,28.8681,0,108,122,6,130,6,0.98661,40.96728,0.0,0.0,5.60714,8.748,19.02619,0.0,0.0,125.0,36.92818,0.00049,0.3,1.861,-1.0,3.233327,0.06545738668053293,0.13909941089472128,63656.21703133308,11914.157047824023,0.07290562036923325,0.13332745687490236,0.10656660898631003,0.27577028992656655,0.05454644586008529,91.23834362712837,6.265094273033727,3.3720884754684755,96.78037479131928,0.04076991895643233,0.0724157418194917,15.19675925925926,308.9988841523547,91.04867278134824,0.5324860392156856,0.09110153865834934,0.06485462136924872,32.48685728473428
3,303,43.0458,22.0877,26,28.7762,0,108,122,6,130,6,0.99242,41.09148,0.0,0.0,4.25,8.566,18.99587,0.0,0.0,125.0,36.97031,0.00051,0.3,1.794,-1.0,3.299731,0.06191252591410619,0.13742091820923874,63684.97429087775,11999.206251148837,0.06436806683670972,0.12873012335484205,0.10527169148541099,0.27355266388333477,0.051424803758540624,93.16251336105144,6.2664249582974545,3.4749113898087063,96.70596148477753,0.038581449647396036,0.06644407491161645,13.429012345679013,304.22037106878577,90.34699434392417,0.5338435294117647,0.08828844985579629,0.061501913991228035,32.40625810034481
4,304,43.0697,22.0366,26,26.5694,0,108,122,6,130,6,0.99275,41.10282,0.0,0.0,6.39286,8.609,18.95824,0.0,0.0,125.0,36.96641,0.00051,0.3,1.93,-1.0,3.270474,0.059528563113779735,0.13381381036472254,63721.7504596494,11971.58727205052,0.06267475675433472,0.12291307320928259,0.10811083882844062,0.275770289926567,0.04785404322550444,90.97361165009279,6.257617965353002,2.7930689592945606,96.77957024303247,0.037099388999034304,0.06311778794993399,11.989438657407407,299.85806254455065,91.47255485629077,0.5356415686274509,0.08554232951511163,0.05959905534322862,32.48740754304109
5,305,43.058,22.0028,26,27.7969,0,108,122,6,130,5,1.00249,41.11296,0.0,0.0,4.53571,8.611,18.91703,0.0,0.0,125.0,37.06496,0.00058,0.3,2.007,-1.0,3.239323,0.05796728243513082,0.1350348781353545,63727.50784381977,11865.520521403401,0.060869248966013305,0.11638734269477626,0.10883539255010354,0.27355266388333904,0.045800356465340954,90.77578105581699,6.259472310195888,4.236544794589844,96.73840931401934,0.03636776255819687,0.06062806179820711,10.831452546296296,296.020020800451,90.70462300935483,0.5400333333333334,0.08363967084467204,0.06002573014025906,32.62116797176408
6,306,43.3017,21.8764,26,30.927,0,108,122,6,130,6,0.99415,41.33802,0.0,0.0,4.67857,8.491,18.88585,0.0,0.0,125.0,37.09993,0.00066,0.3,2.245,-1.0,3.2659,0.05667689091980807,0.13816942091334738,63692.34436310317,12142.306868651664,0.05925918198561065,0.1130584868267025,0.1052425192779573,0.2757702899265651,0.04414462809224543,90.8797574813299,6.247858506577264,4.053852878182961,96.69304656103353,0.03554800674430112,0.05842121708344501,9.971595293209877,292.39269011752236,91.63782046391897,0.5436247058823529,0.08293850099529955,0.05947006476810507,32.47113715277778
7,307,43.5814,21.7919,26,26.8327,0,108,122,6,130,5,0.99554,41.60366,0.0,0.0,3.17857,8.38,18.77466,0.0,0.0,125.0,37.1043,0.00055,0.3,2.268,-1.0,3.265984,0.05548511177965617,0.13762211219084347,63915.834506409294,12414.611635255673,0.05862566173702063,0.11045252623668662,0.10129142960939629,0.2757702899265666,0.04314069812594717,90.75048328067038,6.2360326569551505,3.8113591060367003,96.53408954406441,0.03503998046971955,0.05688451269213646,9.041425540123457,289.0310650324438,92.41408611116354,0.5448658823529412,0.08263854720970298,0.057511199322765036,32.49747740192178
8,308,43.6559,21.7298,26,26.3462,0,108,122,6,130,5,0.98741,41.67043,0.0,0.0,4.10714,8.355,18.70587,0.0,0.0,125.0,37.26179,0.00056,0.3,2.596,0.39558,3.237633,0.054530218294489986,0.1410808897181468,63965.983288294534,12460.884581724335,0.05909162062152513,0.1058571993848835,0.10170841645470573,0.2757702899265688,0.04376678486083025,90.96350029929579,6.224219643644101,3.376846620586393,96.4578314185315,0.03460795160405779,0.055581776952769675,8.337432484567902,286.054249292409,92.68144588906284,0.547723137254902,0.081697106807876,0.05619546456296509,32.494775654357156
9,309,43.7667,21.7825,26,28.1403,0,108,122,6,130,5,1.0008,41.76792,0.0,0.0,3.17857,8.297,18.65308,0.0,0.0,125.0,37.32519,0.00049,0.3,2.525,-1.0,3.143912,0.05374390671078251,0.14425525421530103,63932.72223384958,12567.879345190267,0.05973986213491046,0.10573851727692861,0.10110411905070325,0.2757702899265659,0.053173358244076846,89.60453098850755,6.215456248730807,3.6717941720370404,96.40591318138848,0.034196190560513755,0.054671357453892046,7.801890432098766,283.0815227215307,92.81829548060662,0.54946,0.08103137519685588,0.0553814177943848,32.26277424376688
