,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,color_fulness,staticness,saturation,fft,movement,contrast,cubrow.0.5,cubcol.0.5,temporal,cubrow.0.6,noise,blur,cubrow.1.0,cubrow.0,cubcol.1.0,cubcol.0,cubrow.0.3,cubcol.0.3,cubcol.0.6,tone,uhdhdsim,blockiness
0,300,71.5045,24.875,74,0.0,0,121,119,24,134,22,0.97901,72.20622,0.0,0.0,0.5,3.903,0.0,0.0,0.0,121.0,34.87212,0.00965,2.85,3.053,0.0,0.000219,81.01192190421523,451.7863118359288,41.41831518102575,74686.56383957305,0.0,84.0669180909498,0.21649613890298178,0.33919236451421514,0.0,0.4147944184940987,2.3474535126338654,52629.58765597534,0.11621040487593583,0.26419618938004635,0.17388182738783484,0.0973579154502903,0.08217471263052556,0.1786166833022019,0.28974980297976005,0.5082082745098039,82.52058545555795,4.7799574121676915
1,301,78.383,24.2208,79,44.1373,0,121,119,25,134,23,0.96676,78.85334,0.0,0.0,0.89286,3.403,21.45305,0.0,0.0,123.0,35.1728,0.01127,2.84,3.265,-1.0,0.000311,82.03618804926288,443.6082166049667,41.42535249686535,75102.333831218,10.594280478395062,83.98177920424195,0.17423752202365386,0.26810641799818286,7.214858559097176,0.2966505730881882,2.3478885053549052,66199.54364786713,0.09901488534788296,0.23141583130001733,0.1551671909726116,0.08347474746000404,0.06909320337768748,0.14054983485242029,0.23963105749854127,0.5130927254901925,81.13929056777373,8.015653970295158
2,302,84.9662,22.7398,83,43.773,0,121,119,26,134,24,0.94839,85.07788,0.0,0.0,1.64286,3.056,20.89629,0.0,0.0,117.0,35.52535,0.01244,2.92,3.144,-1.0,0.000201,82.85115643619984,437.787514634945,41.516414312668786,76330.04128870206,8.347608024691358,85.62825170552613,0.17327238810841378,0.2661237840939713,7.056875571419983,0.26257582193405554,2.376558425530545,83650.8022429275,0.0962041590408956,0.22153726124032383,0.15459480529221623,0.082938950907074,0.06926733554096542,0.14339287665150297,0.22777460593656967,0.5181678431372548,79.90792504558567,7.646089936098957
3,303,89.229,20.999,87,37.2316,0,121,119,26,134,24,0.98833,89.07858,0.0,0.0,1.21429,2.83,19.63049,0.0,0.0,116.0,35.74718,0.01279,2.94,3.113,-1.0,0.000148,83.45161678678491,433.1984038519419,41.505780066972896,77997.15088280337,6.372685185185185,86.99178368761235,0.1764441403492776,0.27398670803428543,6.882947963796116,0.2388885667783886,2.41247543494326,94222.20878723315,0.09374793441454046,0.22228006816530047,0.15664513859803175,0.08265964868011781,0.07122724918828785,0.15881581899231614,0.23317553958241938,0.5218298039215686,79.0479280757617,8.423409843753
4,304,91.3005,19.5419,89,33.2871,0,121,119,26,134,25,0.96464,91.10083,0.0,0.0,1.42857,2.718,18.1379,0.0,0.0,116.0,35.92397,0.01371,2.9,3.248,-1.0,0.000246,83.87728530800241,429.8252203331681,41.577099458670915,78702.89945380736,5.394965277777778,86.91784008126669,0.18340466940965947,0.28287653373816374,6.752159672032757,0.2290786336874783,2.4306514360101574,99315.46817360628,0.09183249390312091,0.22435418504262217,0.16207677088337827,0.0825980121102479,0.0723064580795605,0.17143620600099688,0.23654623149451653,0.526548274509804,78.58731982219275,8.955676043267463
5,305,92.3301,19.1463,89,30.1107,0,121,119,26,133,25,0.99733,92.09805,0.0,0.0,1.39286,2.616,16.88512,0.0,0.0,116.0,36.0713,0.01451,2.9,3.533,-1.0,0.000406,84.4729744021678,427.3238099490903,41.50168129249855,78667.13899196479,4.75342399691358,84.17012400137281,0.18555141271639555,0.29226789799864494,6.570591070848873,0.2216104241277385,2.4504508520128656,103223.22465532384,0.09091690733250783,0.2271554592612786,0.16357618276571556,0.08266711503225646,0.07120879392522325,0.18348000623092764,0.2407793332137497,0.5312227450980391,78.23139944242155,8.583851075551449
6,306,92.1385,19.5275,89,27.7975,0,120,119,26,133,25,0.9998,91.93806,0.0,0.0,1.53571,2.615,16.54359,0.0,0.0,117.0,36.18557,0.0149,2.9,3.439,-1.0,0.000206,85.58806115692695,425.14137258756114,41.44316609700521,78592.14492638968,4.608844521604938,87.49580564563966,0.18638762991458452,0.2982845721974294,6.353234866408365,0.21841276002342144,2.4389277290756737,102467.09994418145,0.08936446010713289,0.2277770600374183,0.169978639473469,0.08295186319935959,0.0711355030195239,0.18873999935553246,0.24657831282623935,0.532532137254899,78.18190741517904,7.398854577605783
7,307,91.3853,20.5577,89,27.6273,0,120,119,26,133,25,0.99628,91.29784,0.0,0.0,2.42857,2.628,16.88311,0.0,0.0,117.0,36.36937,0.0153,2.88,3.507,-1.0,0.000183,85.99360096012032,423.1133316095611,41.456081249095774,78148.17444070254,4.784191743827161,87.58268321010777,0.1888004657493954,0.30851033134195344,6.145620235895457,0.2226264864908484,2.459480574572139,98647.59640591999,0.08858112223855454,0.22657426871161976,0.17718425805515226,0.0836364992774968,0.07101590249365447,0.19160932796563884,0.2496832604750532,0.5374447058823528,78.18583883789707,7.41428404073017
8,308,90.7459,20.9566,89,27.5813,0,120,119,26,134,25,1.00495,90.68121,0.0,0.0,2.46429,2.631,17.77926,0.0,0.0,116.0,36.4338,0.01485,2.89,3.52,0.12551,0.00013,86.51619851455366,421.2350903190379,41.54199331778067,77769.87457713726,5.107590663580247,85.6342788856407,0.190264598026171,0.32113149320392037,6.070993093701864,0.22713601985407506,2.4625681860574513,96785.33477824072,0.0869551938350996,0.22430779794039285,0.18166366440981155,0.08428545023611532,0.07178233774103489,0.1987300174397222,0.2535347995737576,0.540152156862745,78.15642752295392,4.82896055404326
9,309,90.7108,21.2369,88,28.7562,0,120,119,26,134,26,1.00272,90.61752,0.0,0.0,2.60714,2.591,18.11994,0.0,0.0,118.0,36.43879,0.01532,2.91,3.662,-1.0,0.000178,86.98096513982196,419.4619395190403,41.6413257740162,77787.82709103986,5.186680169753086,86.28742334607948,0.19152588213179145,0.33295295235427075,6.057542771431857,0.22538069130481467,2.4721921197241343,97795.12319526663,0.08640854599618981,0.22366589130513057,0.18551628342978288,0.08562407498291517,0.07223435532786808,0.20374463929080566,0.25965976778121086,0.5378133333333334,78.16199159500601,7.336488639050737
