,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,staticness,tone,cubcol.0.3,cubrow.0.5,cubrow.0.6,movement,temporal,cubcol.1.0,blockiness,color_fulness,contrast,cubcol.0.6,uhdhdsim,cubcol.0.5,noise,cubcol.0,blur,cubrow.1.0,cubrow.0,fft,saturation,cubrow.0.3
0,100,118.814,26.4955,150,0.0,0,116,129,25,125,22,0.9992,123.37272,0.0,0.0,1.07143,3.862,0.0,0.0,0.0,129.0,58.71926,0.00185,1.84,5.253,0.0,8e-05,240.42835471499228,0.9038356862745099,0.5086866144715598,0.4477490519096896,0.4869385586759443,0.0,0.0,0.44117441710825467,2.1774491940427674,158.10783957787888,95.62525635420484,0.48846452785195504,80.36449712741569,0.5667449202822474,1.4648612101597667,0.28546107942724186,191293.31733288412,0.4593809664964812,0.24273933983994903,82516.11073846168,22.57574481728636,0.4988086756688256
1,101,118.643,25.9596,150,42.7685,0,116,129,25,125,22,0.99722,123.22547,0.0,0.0,0.75,3.868,22.78561,0.0,0.0,129.0,58.70546,0.00185,1.85,5.552,-1.0,6.2e-05,236.86392130868174,0.9036352941176472,0.44897680262810613,0.4057077497196846,0.4498231477261229,13.217110339506172,6.114327502166951,0.40692274919929683,2.2236781438270152,158.1476431482228,95.73291745856363,0.4450148889204137,80.40413621826889,0.49814429559786355,1.457773339309034,0.26512467326923267,190583.79741155592,0.4252212300021993,0.22726192020808988,82489.03521882549,22.576464429313752,0.4583270323207404
2,102,118.648,26.1116,150,42.7524,0,115,129,25,125,22,1.00549,123.27896,0.0,0.0,1.03571,3.86,22.32366,0.0,0.0,129.0,58.72324,0.00171,1.86,5.791,-1.0,6.9e-05,233.36618011442172,0.9033000000000001,0.4297076274239455,0.39374517979899665,0.4409204465255423,12.894338348765432,5.991515844978428,0.3981713764233822,1.704203114153685,158.22477315142876,95.5775187704396,0.4293258300215169,80.3734149048733,0.4733584130304609,1.4632377952239342,0.2631650105599407,190118.95976891625,0.42063465731030864,0.22372558756914637,82576.7030267374,22.523304692021124,0.44295321280605965
3,103,119.043,26.582,151,44.1471,0,116,129,25,125,22,1.00384,123.71455,0.0,0.0,0.85714,3.84,22.45519,0.0,0.0,129.0,58.7763,0.00208,1.86,6.411,-1.0,7.9e-05,230.33443273820896,0.9029568627450981,0.4192364012308271,0.3826352739558298,0.44017661000376407,12.56467013888889,6.074340514530873,0.39210275165481223,1.9470004145584736,158.27036611925593,93.8829371657423,0.4242645855792094,80.34149184876466,0.46455813940238755,1.4622085913954903,0.25967232764610615,191964.18585192045,0.41832942737339257,0.22000785933354117,82519.1898726032,22.368356775354457,0.430924284860768
4,104,119.506,26.3583,151,42.2578,0,116,129,25,125,22,1.01306,124.09133,0.0,0.0,0.71429,3.852,22.85965,0.0,0.0,129.0,58.93248,0.00194,1.86,6.249,-1.0,7.7e-05,227.6782058458868,0.9030015686274511,0.41290438059035234,0.37557502343920435,0.4439993227595016,12.248939043209877,6.109025738466898,0.3849597151624239,1.990572228573237,158.50795243882283,93.94093636337278,0.42141087647169634,80.31391722851978,0.4521903312448927,1.4616143802880925,0.2571785086786997,195461.8503513414,0.4175526419845884,0.21677664931401772,82430.09926737414,22.303733731493537,0.422910337815364
5,105,119.048,26.2343,151,42.3161,0,116,129,25,125,22,1.00294,123.65944,0.0,0.0,0.60714,3.861,22.66896,0.0,0.0,129.0,59.06414,0.00211,1.84,6.011,-1.0,8.3e-05,225.35000765122513,0.9035670588235296,0.4068072397196159,0.3686958408022403,0.4492001748275079,11.550154320987655,6.015841716875536,0.38157016419410417,1.8818375129018634,158.55876425459132,94.96646202215332,0.417814047150904,80.37564684875997,0.4445611238303099,1.4555557132658004,0.25550501633597256,192537.42764901425,0.41483239471184874,0.21431709893388762,82383.30895020439,22.394726223415798,0.42061152704455557
6,106,119.045,26.3884,151,40.2705,0,116,129,25,125,22,1.0069,123.65178,0.0,0.0,0.39286,3.847,22.56384,0.0,0.0,129.0,59.03352,0.00191,1.84,6.128,-1.0,8.1e-05,223.19218918918523,0.9036203921568629,0.40258890732736263,0.3618467448293133,0.45103462097757263,10.964795524691358,6.031949907682093,0.38116842086146124,1.7187324222710694,158.52497250309622,93.90602615864938,0.4138971741051301,80.35182004326684,0.4398096584082154,1.453338087222571,0.2555568270780605,193233.45701974194,0.41238565454606463,0.20642525673558942,82401.87934826291,22.461162802613813,0.41897342963457584
7,107,118.819,26.8579,151,42.5562,0,116,129,25,125,22,1.00268,123.5193,0.0,0.0,0.85714,3.862,22.69378,0.0,0.0,129.0,58.89614,0.00183,1.84,5.82,-1.0,0.000101,221.08309117708058,0.9038654901960785,0.40007033807951037,0.3580566928063032,0.4493617445577,10.46701388888889,6.028712791771451,0.38179947599290004,1.793574232272504,158.31820898951568,93.80374755706224,0.41202266114725744,80.38361537322224,0.4359805433729759,1.460585176459657,0.2555693786214919,191079.0406243436,0.4125419131520741,0.20121024373341742,82337.42487449505,22.56723192003038,0.4190060525638052
8,108,118.939,26.3986,151,44.1274,0,115,129,25,125,22,1.0083,123.72632,0.0,0.0,1.10714,3.859,23.09515,0.0,0.0,129.0,58.78561,0.00204,1.84,6.217,0.18197,0.0001,219.03413754583445,0.9040658823529413,0.3993870190169281,0.3549721928696305,0.44974540003504865,10.058641975308642,6.1914721397212515,0.38118495395377144,2.2546761280306646,158.27978402110503,95.71553190271672,0.40829992882839977,80.36105017134916,0.4369129065154231,1.4650204285461204,0.2546552758718293,191576.23769585902,0.41719240269518454,0.19880422895491498,82560.92904243486,22.591354558497297,0.4173451165753951
9,109,119.03,26.4988,152,42.4809,0,116,129,25,125,22,1.00995,123.80428,0.0,0.0,0.92857,3.857,22.70011,0.0,0.0,129.0,58.74225,0.00177,1.83,5.988,-1.0,9.2e-05,217.1187205656032,0.9038654901960785,0.3987464019938805,0.3505934391412642,0.4484929288778373,9.321469907407407,6.150346036260134,0.3832796443121374,2.668483669347783,158.1550263611707,94.25148124572726,0.40551836661573637,80.36706067983178,0.4403405428906436,1.464426217438718,0.2561491053584426,192287.25435783432,0.4202696851587373,0.19631579940142674,82431.04460941386,22.6085585605951,0.41601982690117645
