,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,staticness,color_fulness,cubcol.0.5,temporal,noise,cubcol.1.0,tone,cubrow.0.3,contrast,blur,saturation,cubcol.0.6,cubrow.0.6,fft,cubrow.1.0,blockiness,cubrow.0,movement,uhdhdsim,cubcol.0.3,cubrow.0.5,cubcol.0
0,100,62.7469,12.7361,75,0.0,0,95,123,22,128,13,0.99428,63.6633,0.0,0.0,0.46429,4.168,0.0,0.0,0.0,129.0,35.30415,0.00386,0.55,1.373,0.0,0.098744,254.42770317403895,152.11211957723043,0.18838470554420642,0.0,0.9304674275450653,0.09210837282096662,0.4842725490196079,0.1608901643301369,88.03637445312276,24474.571972102676,34.94267348301264,0.21153099166967856,0.19879309681713125,72811.61545874062,0.13054475582429773,3.9064055436799308,0.3112508669288404,0.0,83.59674268607492,0.1609891435223294,0.20787105484019686,0.3422252785287637
1,101,62.6503,12.6264,75,18.5833,0,95,123,22,128,14,0.99269,63.5723,0.0,0.0,0.17857,4.144,10.94242,0.0,0.0,130.0,35.32489,0.00367,0.54,1.396,-1.0,0.108054,251.57705732079927,152.1975909523561,0.17371355899806495,4.968452235687967,0.931061638652462,0.08899380142773203,0.48505686274509807,0.14931434462149662,91.76966265935097,24194.076643457396,34.86448085455247,0.2063017987092775,0.18840026493121187,72592.61744595505,0.10192407510525577,3.6805167965932415,0.2566149231439411,3.270978009259259,83.60867203105465,0.1513759239957675,0.19954944439405486,0.3163322757311765
2,102,62.4593,13.2929,75,18.5607,0,95,123,22,128,13,0.98722,63.37559,0.0,0.0,0.21429,4.132,10.8499,0.0,0.0,130.0,35.36781,0.00351,0.54,1.364,-1.0,0.115567,249.30797035746937,152.15350632339346,0.1711846562932466,4.745869627079163,0.9304674275450644,0.08894210385930346,0.48593921568627463,0.14432939323593072,92.86747754607312,23983.5656715963,35.053983711902006,0.21111117169904953,0.18576867840266284,72703.18300512181,0.09374803067399647,3.9075170142504234,0.2349531779836323,3.021894290123457,83.62513456047252,0.1449862759466023,0.19674190870176517,0.3171410766082821
3,103,62.4985,12.4364,75,19.7776,0,95,123,22,128,13,0.99249,63.3928,0.0,0.0,0.10714,4.145,11.42202,0.0,0.0,129.0,35.41053,0.00365,0.55,1.43,-1.0,0.129965,247.14350109018605,152.20681624765913,0.16600682613577122,5.16222237979006,0.9244087605227742,0.08662231561900766,0.485942470588235,0.13867509014181606,92.73576563870412,23938.598611412497,34.86119154941888,0.21470244067004596,0.17960286115057977,72988.09787208684,0.09118933220226415,3.400638365317678,0.22740802150296074,2.788966049382716,83.6211141515175,0.13713471004464858,0.18954968869432345,0.3202530348831523
4,104,62.3444,12.1132,75,18.0573,0,95,123,22,128,13,0.98988,63.20589,0.0,0.0,0.0,4.142,10.68302,0.0,0.0,128.0,35.42503,0.0037,0.55,1.481,-1.0,0.118058,245.42206271904078,152.13384799259958,0.16455012340186795,5.081975016483103,0.9282498015018358,0.08551912245481136,0.4864443137254902,0.13764351774061695,92.67650323095557,23684.782857826987,34.83582918143567,0.21746849299378349,0.1756004580044033,72868.82730274354,0.09186190762873196,3.692079894219423,0.2213821575765206,2.236448688271605,83.65555232740732,0.13419628012437368,0.1874201927993823,0.32866932729123105
5,105,62.4009,12.6251,75,17.4076,0,95,123,22,128,13,0.99521,63.28473,0.0,0.0,0.42857,4.16,10.40618,0.0,0.0,129.0,35.46016,0.00433,0.54,1.319,-1.0,0.118208,243.89909868618795,152.06951308759028,0.1627262043139486,5.091388167758793,0.9304674275450657,0.08333286310351912,0.4864145098039216,0.13674730424202405,92.3959317878531,23810.795550948435,35.06848050341194,0.21736867148631583,0.17358257207169359,72842.99886116006,0.09422461302468943,4.27568882873359,0.21584072642314273,1.990210262345679,83.6054271834629,0.1364651298289447,0.18492141617929556,0.33199757172400796
6,106,62.2955,12.1256,75,19.2942,0,95,123,22,128,13,0.98229,63.16117,0.0,0.0,0.32143,4.161,10.84333,0.0,0.0,129.0,35.48534,0.0041,0.55,1.46,-1.0,0.12008,242.34283395688593,152.0157048141848,0.16100309579778416,5.168462249592519,0.9244087605227741,0.08296824329102961,0.4870098039215686,0.1350287790080956,92.87655223144036,23690.117224538488,34.9814119692202,0.215324638234848,0.16891546814931915,72916.15812713762,0.09581234608632697,4.5639198667691625,0.21229538663691228,2.058497299382716,83.65106815483543,0.13952269120804028,0.18057357646114236,0.3332355606432195
7,107,62.2811,11.9877,75,18.7072,0,95,123,22,128,13,0.98212,63.13547,0.0,0.0,0.07143,4.155,10.41321,0.0,0.0,129.0,35.51588,0.00409,0.55,1.379,-1.0,0.119161,240.83625940571451,151.90099123812038,0.16245493598904956,5.093430602347098,0.9282498015018282,0.08266826070154935,0.48698,0.13384544301115553,93.11772799096505,23687.547164518222,34.86707089271074,0.21102312336832665,0.16586577538703381,72923.45277246261,0.09696201569048875,4.569435943166056,0.21195613833403149,1.8409529320987654,83.62877391500953,0.14505123967756514,0.17731291203254093,0.34272718855036083
8,108,62.282,12.2566,75,19.0331,0,95,123,22,128,13,0.98303,63.15216,0.0,0.0,0.46429,4.115,10.29389,0.0,0.0,129.0,35.53459,0.00392,0.55,1.408,0.12616,0.127976,239.39532812117625,151.76745620076582,0.16322716136859533,5.108118887484202,0.9298732164376663,0.08218904758111129,0.48757529411764705,0.1341571623542205,91.85360385880219,23606.72968683611,34.60157719364872,0.20693244531669597,0.16396414681753094,72783.29922167253,0.09582738095436336,5.4357931718088235,0.21161888399120404,1.7134452160493827,83.6422376802141,0.15075782387675093,0.17582203683630723,0.3444351508713315
9,109,62.2014,12.2604,75,18.8474,0,95,123,22,128,13,0.97566,63.03116,0.0,0.0,0.21429,4.168,10.52681,0.0,0.0,130.0,35.56283,0.00427,0.54,1.412,-1.0,0.122996,238.01097352386392,151.9474431013711,0.16310301072827155,5.055824518435543,0.9260321754586034,0.08168922812696662,0.487278431372549,0.134006846446151,91.78822968786048,23680.008276327586,34.689627753363716,0.20679700284512645,0.1622457898504896,73046.71437648474,0.09444673296192158,4.854688755750567,0.21191854640891458,1.7478780864197532,83.66068928758891,0.1550773094065728,0.17334771380317152,0.3444737903135683
