,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,temporal,contrast,cubcol.0.3,cubrow.1.0,cubrow.0.6,cubrow.0.5,cubcol.0,noise,cubcol.1.0,tone,saturation,blur,cubcol.0.5,fft,color_fulness,cubrow.0,movement,cubrow.0.3,cubcol.0.6,uhdhdsim,staticness,blockiness
0,100,61.5588,13.3616,89,0.0,0,96,124,33,128,24,0.99256,68.49881,0.0,0.0,0.17857,4.12,0.0,0.0,0.0,135.0,35.58,0.00817,2.1,1.343,0.0,0.0,0.0,89.53457639201781,0.18636766474933558,0.14763082974776884,0.22007273053654391,0.21911122246921771,0.3567032167599334,2.157098772126815,0.1160489128698403,0.49431164705882336,32.6156781985436,24863.171058472137,0.21653895807116194,72544.11583466479,148.01391042307634,0.31901855227749637,0.0,0.19098915397910077,0.240253685099095,82.64769718676942,260.9417389284405,4.155937929792561
1,101,61.4617,13.1933,89,17.2266,0,96,124,33,128,24,0.98928,68.40218,0.0,0.0,0.0,4.067,11.50257,0.0,0.0,136.0,35.6006,0.00833,2.11,1.322,-1.0,0.0,6.234218798000896,93.27581220310653,0.17222482363906927,0.11608066484431084,0.2083606119850279,0.21002219291267202,0.3334536916426014,2.158722187062646,0.11219758085313014,0.49405725490196073,32.54830857265143,24567.810524655244,0.20059651990608038,72288.05158753562,148.01673124556044,0.26569324639751807,3.3817515432098766,0.17558671013423563,0.23396202723087384,82.6545309479121,256.44575284214767,4.901816223454711
2,102,61.2825,13.9882,88,17.2103,0,96,124,33,128,24,0.98849,68.23314,0.0,0.0,0.07143,4.082,11.36131,0.0,0.0,136.0,35.64355,0.00813,2.09,1.39,-1.0,0.0,5.958294321291606,92.64493787145993,0.1650268598380588,0.10755866655969262,0.2050684745073075,0.20638792715138363,0.3330593099841267,2.1698103172787926,0.1110155518510932,0.49482313725490196,32.71156235683112,24368.06838119492,0.19581074436452423,72457.85485758042,148.04957513404324,0.24565667807564454,3.1243730709876543,0.1697805207141206,0.23901265486217982,82.658201275977,253.09779493812925,4.510278381708655
3,103,61.3264,13.1313,88,18.0729,0,96,124,33,128,24,0.99007,68.24409,0.0,0.0,0.0,4.068,12.0413,0.0,0.0,135.0,35.68395,0.00818,2.11,1.252,-1.0,0.0,6.423504028136481,93.24439665751564,0.1571089737866055,0.1054338039884144,0.1985730353605946,0.19893647647723003,0.3351099678617282,2.1570987721268104,0.10811933665770156,0.49463058823529404,32.54264153374566,24322.484648702433,0.1899710470760407,72689.60890502982,148.03564215325952,0.2377827780504027,2.86304012345679,0.16307295750401882,0.24151010760653133,82.66527209053035,249.86170285199051,4.376994094520046
4,104,61.1735,12.8355,88,16.6908,0,96,124,33,128,24,0.99095,68.07692,0.0,0.0,0.0,4.078,11.30276,0.0,0.0,133.0,35.6983,0.00818,2.11,1.296,-1.0,0.0,6.394278511196955,92.69762627945374,0.1547300735139412,0.10578989726038114,0.19403917426264325,0.19647563660392356,0.34336003749876753,2.1565045610194122,0.10671744912450837,0.495158431372549,32.517642739378374,24083.079352429522,0.18730047761468613,72639.9694132385,147.94954176174141,0.23211476234788989,2.291184413580247,0.16143226590814075,0.2428538209287296,82.70191198166953,247.29046836522141,4.454226166091244
5,105,61.2352,13.3863,88,16.0792,0,96,124,33,128,24,0.99266,68.1634,0.0,0.0,0.0,4.092,11.04675,0.0,0.0,135.0,35.73351,0.00851,2.1,1.388,-1.0,0.0,6.397075961544266,92.56022627816117,0.15692131483773236,0.10774745573377094,0.19151324475050155,0.19382498200437281,0.34642591602606526,2.163751650256496,0.10450779436784056,0.4957317647058823,32.72751231252411,24195.980925076896,0.1855669516690586,72601.66828483669,147.95406289818374,0.22689508175003037,2.03491512345679,0.15964957141698694,0.24265258106491022,82.65047686363472,244.96468101415127,5.180582858481697
6,106,61.132,12.9035,88,17.6391,0,96,124,33,128,24,0.986,68.02588,0.0,0.0,0.07143,4.083,11.51729,0.0,0.0,135.0,35.75736,0.00878,2.11,1.418,-1.0,0.0,6.435310379644168,92.77975450185971,0.1590910031492091,0.10955671240091651,0.18655004172783374,0.18934234818248433,0.34739525562741247,2.148822479061288,0.10411284602560417,0.496267450980392,32.647450764973954,24087.25408555409,0.18408056243653545,72722.18160525929,147.89110627787107,0.22322108201490537,2.138599537037037,0.15719732669986625,0.2401013993709416,82.69470387719693,242.65545015729995,4.874493658426891
7,107,61.1337,12.7449,88,17.1868,0,96,124,33,128,24,0.9857,68.00741,0.0,0.0,0.0,4.074,11.09532,0.0,0.0,135.0,35.78834,0.0089,2.09,1.349,-1.0,0.0,6.367353032354314,92.85170578443166,0.16407082098125694,0.11078697942347099,0.18330465603716653,0.18612566580734885,0.35650402437261514,2.153257731147748,0.10376907009780217,0.49628235294117645,32.55110921977479,24114.35558535758,0.1853371159269726,72704.91168037643,147.82165953341018,0.22253723796262914,1.9028742283950617,0.15537486635358494,0.23638769107944912,82.67578124388035,240.504030291559,5.589007811516034
8,108,61.1641,12.9866,88,17.3006,0,96,124,33,128,24,0.98483,68.03896,0.0,0.0,0.17857,4.066,10.9605,0.0,0.0,135.0,35.80735,0.00836,2.09,1.309,0.125,0.0,6.4156356144137545,93.23918620546449,0.16912538659268175,0.10936593889076718,0.18124426633916849,0.18452462528669514,0.3579514484256562,2.162128235320669,0.10301306279981982,0.4960372549019608,32.31179790732301,24026.98500198447,0.18617307988862244,72526.27700541295,147.66889481029267,0.2220065262406445,1.7521219135802468,0.15507199149491158,0.23251144826191264,82.66959853139181,238.56527783716217,6.229897557453832
9,109,61.0663,13.0792,88,17.341,0,96,124,33,128,24,0.98148,67.90801,0.0,0.0,0.32143,4.104,11.17248,0.0,0.0,136.0,35.83685,0.00873,2.09,1.331,-1.0,0.0,6.31187858551574,93.28912657658162,0.17376585808186812,0.10805613239798231,0.17941271939667053,0.18192284464340985,0.3583584501919844,2.1405461859957637,0.10280990132378243,0.4964996078431374,32.37376987786941,24090.954523211913,0.18623618584765034,72785.44968010207,147.7753310984267,0.22212820639136271,1.7877604166666667,0.15449758754296136,0.23211344177007484,82.69933527388744,236.77064727003815,5.805926222003696
