,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.1.0,temporal,cubrow.0.6,cubrow.1.0,cubcol.0.6,uhdhdsim,tone,staticness,cubrow.0,fft,saturation,cubrow.0.5,contrast,noise,cubcol.0,cubcol.0.3,cubcol.0.5,blockiness,movement,color_fulness,cubrow.0.3,blur
0,100,53.7536,11.1035,54,0.0,0,95,123,14,128,8,1.00704,51.61447,0.0,0.0,0.39286,5.259,0.0,0.0,0.0,129.0,34.54123,0.00137,0.43,1.491,0.0,0.64627,0.06697148323299772,0.0,0.13210101383713785,0.10935108648412882,0.1504782568139419,85.60484236018895,0.47923490196078433,246.39550760038443,0.28922328540246833,74452.97633707615,34.69772263515143,0.17387314328545425,93.09200527569534,0.5394232458085557,0.31008309410311186,0.1137842221377268,0.12936778904672933,2.2474394815492227,0.0,152.59116127113367,0.10495188366404923,21911.56679739859
1,101,53.597,11.0705,54,18.3042,0,95,123,14,128,8,1.01645,51.47458,0.0,0.0,0.0,5.286,9.54221,0.0,0.0,130.0,34.56175,0.00157,0.43,1.398,-1.0,0.68135,0.06717727299038626,3.974030017111508,0.12668309365973127,0.08423413173803714,0.14787262628704143,85.64458361102655,0.4806109803921569,244.5024359833125,0.22917026018210138,74249.8767529222,34.61898351598669,0.16795867250348165,92.61764643504824,0.5416408718517832,0.2784758343013118,0.1061671617474784,0.11992645240272821,2.2231698757509806,2.826003086419753,152.63920806047054,0.09941299179933193,21591.752976516662
2,102,53.4214,11.4593,54,18.2546,0,95,123,14,128,8,1.00496,51.30109,0.0,0.0,0.28571,5.276,9.51319,0.0,0.0,129.0,34.61048,0.00156,0.42,1.435,-1.0,0.72067,0.06772208658262849,3.8560257236473463,0.12474588111153226,0.07705574366366179,0.1523165905462591,85.67182294467017,0.4806188235294119,243.0375964408506,0.20641516111937264,74420.23532547137,34.812409389166184,0.16535022804624122,92.84128491247955,0.5401553440832896,0.28306706425611616,0.09775827475570527,0.12034012343788367,2.1076009753026614,2.6457851080246915,152.60215496225172,0.09594967305225763,21455.573073396226
3,103,53.486,10.7043,54,19.5892,0,95,123,14,128,8,1.00438,51.34703,0.0,0.0,0.10714,5.224,9.84583,0.0,0.0,129.0,34.65443,0.00127,0.42,1.425,-1.0,0.727949,0.06719396021050605,4.157793948045441,0.12109352458835188,0.07482210309138346,0.1579431135652889,85.61913274212073,0.4811843137254902,241.55700375712192,0.20168153967925484,74657.66502596096,34.62853099681713,0.1595167545848275,93.06742472403705,0.5394232458085524,0.2911016431600014,0.08961082713945856,0.1168216397133618,2.1548804660699457,2.429542824074074,152.6711436115041,0.09191181876648588,21420.243289084592
4,104,53.2727,10.3197,53,17.6692,0,95,123,14,128,8,1.00671,51.13237,0.0,0.0,0.03571,5.254,9.19618,0.0,0.0,128.0,34.6714,0.00144,0.42,1.407,-1.0,0.688057,0.06757912451613485,4.032987790173595,0.1189630570510901,0.07581467303261633,0.1624406370898014,85.69383301684717,0.4811843137254902,240.3346382332215,0.19497393568020535,74430.0438057562,34.59535330313223,0.1577434713047227,92.41865355070863,0.5394232458085517,0.2998003296814382,0.08602781988322197,0.11614229507079164,1.927586870499779,1.9690875771604939,152.6321787087306,0.09161763212798514,21164.138625257932
5,105,53.3264,10.69,54,17.0052,0,95,123,14,128,8,1.01105,51.18769,0.0,0.0,0.14286,5.272,8.86664,0.0,0.0,129.0,34.70711,0.00144,0.42,1.308,-1.0,0.710682,0.06668204613272108,4.039913748990173,0.1184661168023236,0.07757205081766876,0.16469901102047438,85.6352129733053,0.4822854901960786,239.22089922201565,0.18763687166071852,74515.04783957385,34.83147665895061,0.15585055184522417,92.6950936558176,0.5394232458085512,0.30490040866367557,0.08649506053951458,0.1131135767805171,1.9453498250244834,1.726514274691358,152.56579317824094,0.0917031011798457,21306.33415238814
6,106,53.2167,10.1925,54,18.7109,0,95,123,14,128,8,0.99501,51.08297,0.0,0.0,0.39286,5.279,9.17932,0.0,0.0,129.0,34.73537,0.0013,0.42,1.402,-1.0,0.682041,0.06638015444109566,4.158963983635957,0.11584914061391308,0.07799684183679119,0.1637692514134322,85.67582569666378,0.4822854901960786,238.09068309306573,0.18580273061242353,74473.68169627419,34.74271628297406,0.15226969920608313,92.45288131776564,0.539423245808552,0.3076092735850013,0.0896555196482034,0.110828507728404,2.559688799139964,1.7340856481481481,152.44071251211892,0.09068038804011669,21114.510312888804
7,107,53.2373,10.126,54,18.291,0,95,123,14,128,8,0.98862,51.0915,0.0,0.0,0.5,5.254,8.75292,0.0,0.0,129.0,34.76777,0.00123,0.42,1.355,-1.0,0.748872,0.06602797296810509,4.085686876849281,0.11452183478114342,0.07872575352956615,0.15884696810071547,85.64442964841606,0.4828239215686275,236.9489701406965,0.18540106137306497,74641.94249934558,34.6287587483724,0.14984515416054456,93.06396939682894,0.5394232458085509,0.3149019500512416,0.09551460456260477,0.11158654749594779,2.8041337269105333,1.5584490740740742,152.34927268625717,0.09035501292258613,21208.683588746902
8,108,53.1579,10.4022,54,18.0966,0,95,123,14,128,8,0.9988,51.02803,0.0,0.0,0.35714,5.256,8.69472,0.0,0.0,129.0,34.78463,0.00143,0.42,1.39,0.13182,0.711906,0.06574801973711462,4.053910573763563,0.11372450375272668,0.0772010831171771,0.15436405860919541,85.71605939325552,0.4828509803921569,235.79319358667578,0.1850952948334741,74356.74786038908,34.3640200767988,0.14882096473845807,93.01969012856989,0.5394232458085502,0.3152795246058369,0.10238799197436661,0.11155595373719582,2.8754554797905545,1.4943576388888888,152.20642346607377,0.09059462144039891,21044.014841582848
9,109,53.1466,10.2592,54,18.3453,0,95,123,14,128,8,0.98739,50.99664,0.0,0.0,0.5,5.297,8.93394,0.0,0.0,129.0,34.81856,0.00145,0.42,1.4,-1.0,0.704254,0.06559457813953917,4.070651780988875,0.11308820991431068,0.07562529547028327,0.1539846909405356,85.69674478734937,0.48286588235294126,234.6735445450202,0.1853081557899195,74678.14868359394,34.44971400131414,0.14713234877529074,93.12141835808103,0.5372056197653231,0.3153950748427436,0.10584622854769897,0.11048203817980144,2.789123352078664,1.5303337191358024,152.359589078785,0.09084851485278883,21118.13326310029
