,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,staticness,cubcol.1.0,color_fulness,noise,cubcol.0.5,contrast,cubcol.0,movement,cubrow.0.6,cubcol.0.3,temporal,blur,cubrow.1.0,blockiness,cubcol.0.6,cubrow.0,cubrow.0.3,saturation,tone,fft,cubrow.0.5,uhdhdsim
0,100,86.2843,16.3838,94,0.0,0,120,117,24,136,22,0.99188,99.44555,0.0,0.0,0.57143,4.262,0.0,0.0,0.0,130.0,42.75631,8e-05,3.51,2.895,0.0,0.0,587.3769988321048,0.3526781821989994,91.00966792408279,0.786523615559484,0.3169866185888787,84.71929253677041,0.24748715587568876,0.0,0.3321597714687438,0.2521560839241865,0.0,69096.4923554364,0.2790512085431085,5.993945118260201,0.23571133427163213,0.4873915557015205,0.3313561134369055,49.50815911940587,0.6403659803921568,70498.93056657095,0.33570010729075533,88.67890785117282
1,101,86.6186,16.4912,94,22.7999,0,120,117,24,136,22,0.9926,99.86152,0.0,0.0,0.46429,4.274,14.1831,0.0,0.0,130.0,42.89701,8e-05,3.53,2.931,-1.0,0.0,583.1881386473694,0.3449155769936884,90.19099551888124,0.7887412416027174,0.2995953812121334,86.4021604795524,0.24558383294342134,6.317611882716049,0.31297324472991245,0.24638134725233998,6.200341145781745,70022.92163432253,0.2677657498117962,8.312920042858059,0.23370735409154172,0.4503129037606219,0.3254131528678171,49.65160511158131,0.6414529411764707,70717.14904824046,0.33204845339042677,88.66811612550201
2,102,86.5963,16.5889,94,22.3607,0,120,117,23,136,22,1.00249,99.89932,0.0,0.0,0.53571,4.264,14.27728,0.0,0.0,130.0,43.05134,6e-05,3.17,2.954,-1.0,0.0,579.8610136029943,0.3401887094030227,89.33437641007376,0.7947999086250074,0.287661517634347,85.8009768532545,0.23195612921583086,5.728780864197531,0.3094863903823109,0.24450947503930334,6.237449203756648,70109.35069552508,0.26217962044244814,8.953579295871583,0.23825473832011096,0.44140872425091204,0.3261098020784932,49.73429776415413,0.642815294117647,70718.15334278236,0.3321767793180083,88.68782604059531
3,103,86.5906,16.4711,94,22.0996,0,120,117,23,136,21,1.009,99.99011,0.0,0.0,0.96429,4.252,14.36043,0.0,0.0,130.0,43.18752,9e-05,3.58,2.787,-1.0,0.0,577.4514663469225,0.3319576807552143,89.57481285315218,0.8008585756473025,0.27441103676006645,85.97703175171247,0.2308793291835699,5.184895833333333,0.3096845900044602,0.2409311103471481,6.22564060830661,69787.98855755807,0.260576725911098,8.927902539735188,0.24182183859076706,0.4356616602861439,0.32778998468965115,49.8430222876278,0.6432667450980393,70750.09914676355,0.3303160675129218,88.68195836908662
4,104,86.782,16.1318,94,23.174,0,120,117,23,136,21,1.0055,100.20972,0.0,0.0,0.14286,4.243,14.25531,0.0,0.0,130.0,43.24601,0.00012,3.54,2.898,-1.0,0.0,575.7349977202728,0.3220330506792807,89.95597773112173,0.8008585756473025,0.26809201131197014,88.82622650579093,0.2389195022720909,4.726032021604938,0.30850873238266896,0.23896735756220575,6.28068448921254,69762.2333739389,0.26176792482130645,6.505761625203158,0.24196166973817268,0.42987018657603665,0.32787480772768596,49.886036813994984,0.6433200000000001,70440.53006678012,0.3274167440129498,88.61670100242044
5,105,87.0717,16.0407,95,20.7946,0,120,117,23,136,21,0.99298,100.50293,0.0,0.0,0.21429,4.251,13.96466,0.0,0.0,130.0,43.34825,0.0001,3.55,2.747,-1.0,0.0,574.5041246468231,0.3157883420216924,90.13771549116089,0.8008585756473062,0.2606461704063278,88.96856071334174,0.24516147678317368,4.013985339506172,0.3078893142238508,0.24224176345494808,6.241193577131902,70504.17499563559,0.2648401375396833,6.67730374626504,0.24275911701827396,0.4268637840811069,0.32805655244155596,49.93531102309992,0.6446050980392157,70463.42446640812,0.3251327102906832,88.58733431439026
6,106,87.0352,16.0386,95,20.7096,0,120,117,23,136,22,0.9926,100.47372,0.0,0.0,0.25,4.245,13.89717,0.0,0.0,130.0,43.42372,8e-05,3.59,3.032,-1.0,0.0,573.6228069866363,0.3123489399835872,90.55553913718188,0.8030762016905267,0.2565653799997988,88.8189004245561,0.24550077562125638,3.6412037037037037,0.3067528719087553,0.24428426418995522,6.3039133783050065,70388.54025146484,0.26742694553222857,7.603048081531511,0.2424445623851254,0.429675840646397,0.32705805709451813,49.975684837058736,0.6457545098039217,70420.38381559296,0.323422823256404,88.60870921615285
7,107,87.3118,15.8988,95,22.0283,0,120,117,23,136,21,0.99789,100.7511,0.0,0.0,0.39286,4.244,13.89342,0.0,0.0,130.0,43.52186,0.00012,3.54,2.748,-1.0,0.0,573.1049884593501,0.31047677270622853,91.56660474220867,0.7992351607114675,0.25256636894574724,88.64367496444332,0.24751769905609308,3.3996431327160495,0.3069678976752782,0.24585181928620292,6.29422798868203,71046.70187536383,0.2681818616761456,11.823819014859206,0.24149113981581308,0.4350923033992091,0.3273165243861025,50.094102270809216,0.6457317647058823,70613.39449504737,0.32143468763802296,88.57273309702924
8,108,87.4789,15.9884,95,20.2921,0,120,117,24,136,22,1.00593,100.87369,0.0,0.0,0.39286,4.252,13.77453,0.0,0.0,130.0,43.59185,8e-05,3.54,2.796,0.125,0.0,572.7132290597513,0.3071712496496185,92.04342810109996,0.8008585756473007,0.2520886035019063,88.92762310316094,0.24832499997673754,3.018132716049383,0.307849588699741,0.2477087482253378,6.12577542700084,71400.42201634964,0.2686969666755108,8.924272445483473,0.24132966679689216,0.43626829112527465,0.32716930363603236,50.234986481843166,0.6455254509803908,70517.91134225416,0.32041158370942296,88.5887511078265
9,109,87.1593,15.7431,95,22.0667,0,120,117,24,136,21,0.99652,100.5222,0.0,0.0,0.25,4.236,13.84379,0.0,0.0,130.0,43.6362,9e-05,3.52,3.249,-1.0,0.0,572.3464212618618,0.30442076648281063,92.26593232822013,0.8008585756473084,0.25258953854507743,87.60234394621509,0.256618185453261,2.961130401234568,0.30841972878582186,0.2488884969709171,6.210446692146865,70700.96456854622,0.26847258196675994,9.205023622310275,0.24149042709434965,0.4390201696820168,0.3269236446571538,50.1524292745708,0.646078431372549,70583.12601344705,0.3199269748941565,88.6348998452216
