,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,color_fulness,fft,staticness,saturation,movement,cubcol.0.5,cubcol.1.0,cubrow.0.6,tone,blockiness,contrast,cubrow.0.5,uhdhdsim,cubrow.0.3,cubcol.0.3,cubcol.0.6,noise,temporal,blur,cubrow.1.0,cubcol.0,cubrow.0
0,300,70.6821,13.7297,66,0.0,0,115,121,18,131,21,1.02003,67.09436,0.0,0.0,1.07143,3.516,0.0,0.0,0.0,125.0,58.79791,0.00052,0.42,1.667,0.0,0.279199,144.99569778837304,78009.73359962698,484.4014379170471,39.633271205572434,0.0,0.3218081674210466,0.12735754268833258,0.2287557838594297,0.8962235294117648,3.979838827053097,95.3767985117105,0.22566340293679216,82.96298135016269,0.21748360176286938,0.32148410200833394,0.2644797217040642,0.6546971376184936,0.0,39512.16151669372,0.302891621224658,0.08294392980189776,0.2536047850435122
1,301,69.7345,14.0255,65,20.2248,0,115,121,18,131,21,1.0234,66.27599,0.0,0.0,0.92857,3.531,11.80555,0.0,0.0,125.0,58.74391,0.00053,0.42,1.691,-1.0,0.294749,144.9287048296241,77677.31889493749,480.15452193041705,39.71131350670332,5.822048611111111,0.2833726682380936,0.1272143551620056,0.22759220764427085,0.8946427450980392,3.541820881338486,98.01527605670671,0.2219080214348205,83.13799218500986,0.20635898943326278,0.23723207587928002,0.219160768926253,0.6546971376184972,4.57969473625861,38081.305582590096,0.28984164505008747,0.08213879797643851,0.22088398674052417
2,302,70.2066,13.6885,66,21.4056,0,115,121,18,131,21,1.02641,66.7203,0.0,0.0,0.53571,3.534,12.05666,0.0,0.0,125.0,58.7404,0.00049,0.42,1.934,-1.0,0.297248,144.9645735924998,77779.51466221444,476.46480226403384,39.95618900251977,5.46802662037037,0.27353120585619084,0.12644877633318072,0.22574819571897053,0.8944054901960784,3.6644716145155116,98.08616941260547,0.2210650044465159,83.02868402135074,0.20171425742901541,0.215905664164191,0.20679251902880136,0.659132389704955,4.581200015587503,38934.52792264817,0.2822312984448837,0.08193854735567957,0.2252368086563168
3,303,70.3626,14.0997,66,19.7516,0,115,121,18,131,21,1.02682,66.84368,0.0,0.0,0.14286,3.488,11.76969,0.0,0.0,125.0,58.82366,0.00048,0.42,1.869,-1.0,0.277407,144.8609917398911,77944.25178257177,473.2359517735851,40.00297358006607,4.666859567901234,0.2685188247772366,0.1266022952251209,0.22589961202951764,0.8950138627450979,3.6904076541245847,97.98937833232165,0.22119114624980976,82.98645691054729,0.1984272207593463,0.2132886307261154,0.20246910525280504,0.6690320977063093,4.5398333809797045,39428.030126297366,0.2773051328641009,0.08214156577292143,0.22322623962045304
4,304,70.3966,14.3065,66,20.4476,0,115,121,18,131,21,1.02672,66.86375,0.0,0.0,0.67857,3.473,12.12096,0.0,0.0,125.0,58.78043,0.00052,0.42,1.843,-1.0,0.279119,145.10548109160877,77996.20079996104,470.8158903723078,40.17363239806375,4.031201774691358,0.26375209610685446,0.12670157734379503,0.22572598939510935,0.8951145098039216,3.5265372633821257,97.93346747851778,0.22102810531580924,83.06388311354394,0.19624412681209671,0.20277915060284094,0.1972896851491586,0.6645968456198547,4.571798581640549,39813.7832070902,0.2727341623973546,0.0819112459576389,0.22268851748458454
5,305,71.0571,14.5142,67,20.8617,0,115,121,18,131,21,1.01912,67.47139,0.0,0.0,0.67857,3.469,12.30032,0.0,0.0,125.0,58.65638,0.00053,0.42,2.015,-1.0,0.286199,145.3400530300772,78195.77056046021,469.13789434269364,40.105540899582856,4.128279320987654,0.26141480857860955,0.12691032597860427,0.22525273721208877,0.8943450980392157,3.30037191044258,98.09881710818212,0.22087195705431648,82.90348898095763,0.19478709355909343,0.19937489513517265,0.19433032099205372,0.6601615935333988,4.647379157928848,40757.16686192267,0.2716187427117403,0.08186688402688028,0.22378511116472283
6,306,70.7555,15.1897,67,20.5666,0,115,121,18,131,21,1.02712,67.22887,0.0,0.0,1.46429,3.496,12.47112,0.0,0.0,125.0,58.60014,0.00054,0.42,1.829,-1.0,0.281101,145.35117429746768,77959.04656767815,467.80255947007373,40.2505771966628,4.508246527777778,0.2567390346221404,0.12681034658494586,0.2247761811754679,0.8942811764705882,2.9410717887558615,98.12502310191812,0.22138743153629395,82.9149911667652,0.19456087966429178,0.19522477905033003,0.1953572114408969,0.6668144716630763,4.719103885975124,40213.02659796663,0.2664892579414204,0.08182166500896397,0.22916793048788975
7,307,70.4096,15.2538,66,20.8963,0,115,121,18,131,21,1.02956,66.92659,0.0,0.0,0.89286,3.516,13.05398,0.0,0.0,125.0,58.49447,0.00057,0.43,1.922,-1.0,0.287374,145.5222440668737,77761.2131684176,466.2627487117395,40.16283313138985,4.841869212962963,0.2524359079028105,0.12683405136320308,0.2250415415408236,0.8943450980392157,3.035324168475558,98.16876924397222,0.2219469761589326,82.96936646905564,0.1946165403088215,0.1931875680278001,0.19537449103811969,0.6645968456198537,4.794048522341832,39651.86921874955,0.26381240402798073,0.08193455251948205,0.22644979519789202
8,308,71.1704,15.1864,66,21.3765,0,115,121,18,131,21,1.02893,67.57738,0.0,0.0,0.21429,3.509,13.10751,0.0,0.0,125.0,58.42968,0.00048,0.42,1.977,0.17721,0.287396,145.82801179961817,77649.51834864491,464.78513791546015,40.071865882402584,4.8463059413580245,0.2495189327963776,0.1266450228978242,0.22486854436406867,0.8945490196078432,3.036203041518949,97.94139773538807,0.2224722728680337,82.86096944070891,0.1949047458999708,0.19105895938529235,0.1937000545903247,0.6546971376184992,4.824229316342288,40237.65181755831,0.2605888255817508,0.08189588541279218,0.22985287538740776
9,309,70.925,15.2047,66,22.7234,0,115,121,18,131,21,1.03111,67.37511,0.0,0.0,0.92857,3.517,13.05047,0.0,0.0,125.0,58.41484,0.00053,0.42,1.863,-1.0,0.300695,146.16341084076538,77738.19563660459,463.5149262828987,40.05141703287761,4.155140817901234,0.24739333640198893,0.1266122451745556,0.22460440125389083,0.895789411764706,2.5176008559954326,97.9728994640949,0.22259442494723744,82.93929551558355,0.1946771229310506,0.18925418198740815,0.19193485952698505,0.6546971376184972,4.759282238469528,40041.100951847046,0.25973912778118363,0.08179770077760952,0.23200746272190467
