,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,staticness,uhdhdsim,blur,cubrow.0.5,cubrow.0.6,cubcol.0,temporal,movement,cubcol.0.3,noise,cubcol.0.5,tone,cubrow.1.0,saturation,color_fulness,fft,contrast,cubcol.0.6,cubrow.0.3,cubcol.1.0,blockiness,cubrow.0
0,500,66.2626,3.18609,37,0.0,0,107,132,10,125,8,0.99088,61.91403,0.0,0.0,2.89286,4.093,0.0,0.0,0.0,126.0,59.05963,7e-05,0.72,1.193,0.0,0.0,565.3604870771179,90.01925011901903,60906.55759154424,0.17232418444004813,0.14483235521631044,0.026107070378224854,0.0,0.0,0.10371565098293056,0.5273059117639581,0.22035923840017657,0.8490011764705883,0.11153218705508795,33.23460746105806,159.23803907769636,69036.78858108223,89.63475526617987,0.22244858610914786,0.28646833448128395,0.03654975868911071,1.6381220066291418,0.1138942158900787
1,501,66.3262,3.20382,37,4.19616,0,107,132,10,125,8,0.98637,61.96713,0.0,0.0,3.57143,4.084,2.67832,0.0,0.0,126.0,59.08287,9e-05,0.71,1.214,-1.0,0.0,565.1601747215782,90.00012293840486,61087.6872130363,0.17050001929962033,0.14311611782733938,0.02114248439606572,3.1171646370104344,0.045090663580246916,0.10147179221551474,0.5273059117639605,0.2200502358872952,0.8509654901960786,0.10816683037355006,33.2532593526958,159.4412366759979,69097.49373415242,92.81921120170414,0.2214343640069485,0.2861366543279301,0.029051353199826897,1.7611681378788393,0.11168679934116925
2,502,66.2982,3.19974,37,4.2085,0,107,132,10,125,8,0.9828,61.93997,0.0,0.0,2.85714,4.091,2.69396,0.0,0.0,126.0,59.06326,8e-05,0.71,1.201,-1.0,0.0,564.8810471148032,90.01396634319435,60948.22656541394,0.17023462943985862,0.14196041041456609,0.01974090141886308,3.099990121574265,0.08010223765432099,0.10070064884472019,0.525088285720739,0.22064835246896206,0.8490082352941176,0.10676728934845757,33.3326400945216,159.0083056152096,69094.78002082271,93.54417881531606,0.22181678854936585,0.28424378728566074,0.027561463774609347,2.1770717444561667,0.11142193626395253
3,503,66.3511,3.2086,37,4.11511,0,107,132,10,125,8,0.99028,62.00467,0.0,0.0,4.0,4.091,2.6905,0.0,0.0,126.0,59.06883,7e-05,0.71,1.235,-1.0,1e-06,564.8826442619833,90.0077702916188,61083.54913529309,0.16988833252789903,0.14177867340439076,0.019439487788066367,3.1035203414052988,0.09717399691358025,0.10020291411571955,0.5250882857207403,0.22125383249278044,0.8507650980392159,0.106902019624606,33.35223765432099,158.93267403710632,69129.62066157543,93.7603521898369,0.22089556482515696,0.28392158919339416,0.026470964524887872,2.05383423454783,0.11106533961707372
4,504,66.3259,3.24772,37,4.18592,0,107,132,10,125,8,0.98575,61.98225,0.0,0.0,3.78571,4.083,2.69714,0.0,0.0,126.0,59.03823,8e-05,0.72,1.242,-1.0,0.0,564.7942449761005,89.99675618616877,60989.14290994664,0.1699368934907714,0.14162898208655897,0.019136636066916776,3.1275309966538885,0.10165895061728394,0.10024863937282126,0.5250882857207394,0.22134690717197564,0.8490011764705883,0.10689744270569977,33.392010535722896,158.66260724911822,69147.66708588072,90.74893324591685,0.22114472351971115,0.2831819336775137,0.02601369579471467,2.746577191704339,0.11135549704756413
5,505,66.3503,3.3632,37,4.02669,0,107,132,10,125,8,0.98827,62.01303,0.0,0.0,3.03571,4.079,2.73106,0.0,0.0,126.0,59.0624,8e-05,0.7,1.239,-1.0,0.0,564.8033547706287,89.98230226853633,61022.039005579776,0.1701361237860848,0.14168346752299307,0.019086563295876033,3.104257678465288,0.1427951388888889,0.09988861280701677,0.5273059117639645,0.2212224108699948,0.8509733333333335,0.10730665608610124,33.323542277018234,159.19157892423388,69184.43784177284,93.54773418478132,0.22078270551617632,0.2829004115768672,0.025494893422977317,1.9204242226792676,0.11115482126771188
6,506,66.3601,3.31959,37,4.30697,0,107,132,10,125,8,0.98691,62.00896,0.0,0.0,3.75,4.071,2.83291,0.0,0.0,126.0,59.02775,4e-05,0.71,1.2,-1.0,0.0,564.7357837664175,89.97800827690428,60969.524211560376,0.170143566698829,0.14139773983415344,0.01883252132400504,3.162657036513285,0.19439621913580246,0.09937293051929909,0.5228706596775091,0.22127721552545046,0.8490011764705883,0.10774328164503413,33.36192076883198,159.25525480211894,69121.79654203504,94.31386685026091,0.2208289806359336,0.2826423619496286,0.025253240488656233,2.5500003570329124,0.11093845419517147
7,507,66.4079,3.33243,37,4.23641,0,107,132,10,125,8,0.98106,62.05107,0.0,0.0,3.17857,4.071,2.79639,0.0,0.0,126.0,59.03502,9e-05,0.72,1.243,-1.0,0.0,564.6738251263301,89.98752429859422,61055.79776961218,0.17015716541065196,0.14143351851231317,0.018753540431704754,3.1745276353033263,0.1957465277777778,0.09909681233746044,0.5250882857207372,0.22146699640008735,0.8509733333333335,0.10818323820233891,33.485461199725115,159.07056283067283,69126.52730900442,94.18918282929097,0.22066762447821478,0.2820314004419336,0.0246669284478818,2.30332322576038,0.11086142460499095
8,508,66.3638,3.45579,37,4.22919,0,107,132,10,125,8,0.98324,62.00639,0.0,0.0,3.5,4.065,2.80761,0.0,0.0,126.0,59.00651,5e-05,0.72,1.209,0.125,0.0,564.5906912181433,89.97491210735899,60938.575072515094,0.1701367524831112,0.14146154447662662,0.01875039364981689,3.1940558086862003,0.19290123456790123,0.0988644591692396,0.5250882857207406,0.2214215744645418,0.8490082352941176,0.10861512345491549,33.372733598873936,159.17841026886697,69075.66079035192,92.51784084258766,0.220718321986644,0.28194397995358267,0.024710122920433616,2.1604111015426204,0.11068180673350518
9,509,66.3672,3.65859,37,4.33366,0,107,132,10,125,8,0.98837,61.99549,0.0,0.0,3.53571,4.084,2.91744,0.0,0.0,126.0,59.01985,0.0001,0.71,1.25,-1.0,0.0,564.5258866762831,89.98572428573424,60925.8263493969,0.170170920719203,0.1413426723305912,0.018539227141843966,3.2248798706372233,0.22265625,0.09878718354043065,0.5273059117639641,0.22155010275431086,0.8509733333333335,0.10963333712921353,33.41061533233266,159.07022229584942,69192.96220037613,93.86343867817658,0.22076005287632383,0.28174835937207876,0.02463501206953915,1.5541776103604932,0.11072600293655045
